지역명,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
태백시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165.85,166.15,166.47,168.26
속초시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308.02,309.99,310.7,312.19
삼척시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179.91,181.1,182.35,183.34
홍천군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234.52,235.8,239.63,242.9
횡성군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165.65,169.41,170.26,175.09
영월군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151.13,151.13,151.13,151.38
평창군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195.28,195.58,196.82,197.17
정선군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190.89,196.31,196.31,196.82
철원군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154.02,154.63,154.63,156.24
양구군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,191.57,193.79,195.26,197.05
