카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년03월_남_40~49세,"89,719","39,750","1,214","2,188","4,267","1,884",872,870,"1,793","1,837","2,802","3,109","1,222","2,920","3,065","1,595","1,805","2,524","3,798","1,795",190,"24,855","3,236","3,582","1,790","3,331","2,438","1,896","1,970","1,330","1,018","2,356","1,908","25,114","2,183","1,362","3,355","4,597","2,179","2,283","2,570","1,782","4,803"
2020년03월_남_50~59세,"95,390","40,863","1,755","1,558","2,938","2,141","1,021",696,"1,509","1,259","2,672","3,538","1,651","3,763","2,834","2,233","2,060","2,960","4,561","1,413",301,"27,241","3,081","4,400","2,151","3,327","2,705","1,948","2,395","1,535",969,"2,338","2,392","27,286","2,573","2,126","3,213","4,706","2,389","2,473","3,135","1,960","4,711"
2020년03월_남_60~69세,"56,469","26,336","1,139","1,243","2,085","1,336",758,407,"1,224",974,"1,869","2,698","1,129","1,906","1,467","1,431","1,312","1,628","2,407","1,060",263,"15,402","1,440","2,586","1,354","1,948","1,519","1,061","1,281",748,601,"1,183","1,681","14,731","1,509","1,292","1,571","2,116","1,456","1,487","1,737","1,075","2,488"
2020년03월_남_70~79세,"25,861","12,849",549,583,"1,091",648,397,201,690,469,"1,062","1,365",567,994,674,629,537,758,"1,031",489,115,"6,462",544,"1,112",623,818,576,470,514,343,232,495,735,"6,550",759,529,576,925,672,736,769,499,"1,085"
2020년03월_남_80~89세,"11,365","5,134",204,181,338,275,186,73,220,144,403,452,204,602,354,257,252,320,471,159,39,"3,045",232,528,256,385,288,206,245,236,61,318,290,"3,186",321,242,288,454,434,477,314,229,427
2020년03월_남_90~99세,"1,169",498,19,19,24,23,13,19,13,21,41,46,15,57,31,17,22,33,59,22,4,329,29,68,30,41,16,25,31,35,3,31,20,342,34,23,39,49,55,63,31,17,31
2020년03월_남_100세 이상,83,52,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,1,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,12,1,0,1,0,1,3,3,1,2
2020년03월_여_총인구수,"547,153","237,938","7,526","12,355","22,887","11,071","6,015","5,214","11,389","10,049","15,372","17,933","7,782","19,831","17,426","9,476","11,564","16,730","24,019","10,203","1,096","153,330","17,649","24,692","12,465","20,409","16,310","10,809","12,781","8,827","5,119","13,510","10,759","155,885","14,473","9,582","18,789","26,954","15,064","15,773","18,034","10,970","26,246"
2020년03월_여_연령구간인구수,"547,153","237,938","7,526","12,355","22,887","11,071","6,015","5,214","11,389","10,049","15,372","17,933","7,782","19,831","17,426","9,476","11,564","16,730","24,019","10,203","1,096","153,330","17,649","24,692","12,465","20,409","16,310","10,809","12,781","8,827","5,119","13,510","10,759","155,885","14,473","9,582","18,789","26,954","15,064","15,773","18,034","10,970","26,246"
2020년03월_여_0~9세,"41,528","19,243",297,"1,611","2,834",660,347,703,"1,123","1,185","1,199","1,116",443,"1,086","1,437",391,757,"1,207","1,465","1,339",43,"10,575","1,704","1,749",641,"1,703","1,043",482,740,617,625,585,686,"11,710","1,100",536,"1,345","2,387","1,035","1,010","1,097",826,"2,374"
2020년03월_여_10~19세,"52,495","20,616",585,957,"1,849",922,549,392,695,733,"1,573","1,381",599,"1,847","1,936",634,"1,113","1,488","2,553",731,79,"14,747","2,248","2,266","1,114","2,278","1,440",675,"1,617","1,127",460,784,738,"17,132","1,394",742,"2,885","2,870","1,690","1,699","1,446","1,152","3,254"
2020년03월_여_20~29세,"73,542","30,293",991,"1,189","2,549","1,423",676,772,"1,397","1,210","1,654","1,974",973,"3,176","2,287","1,360","1,577","2,423","3,385","1,123",154,"22,236","2,369","3,372","1,983","2,673","2,554","1,757","1,967","1,132",530,"2,612","1,287","21,013","1,951","1,362","2,431","3,752","1,825","1,935","3,224","1,439","3,094"
2020년03월_여_30~39세,"71,910","33,157",677,"2,273","4,207","1,257",666,"1,113","2,128","2,248","1,728","2,025",886,"2,112","2,194","1,018","1,351","2,417","2,603","2,147",107,"19,853","2,144","2,931","1,472","2,479","2,344","1,810","1,230",907,898,"2,333","1,305","18,900","1,686","1,010","1,842","3,726","1,741","1,780","2,484","1,496","3,135"
