카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년04월_남_80~89세,"3,200",109,166,74,38,194,145,65,151,69,30,127,224,89,76,102,208,102,259,160,157,86,62,60,183,204,60
2020년04월_남_90~99세,298,14,11,4,1,20,17,9,12,5,4,9,23,7,11,5,17,10,29,10,6,10,7,12,15,25,5
2020년04월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"141,001","1,390","2,269","9,326","15,620","6,094","1,496",966,"1,613",749,485,"1,681","2,791","1,396","1,952","2,370","12,311","3,215","22,662","3,906","4,518","1,506","1,226","1,566","9,171","20,647","10,075"
2020년04월_여_연령구간인구수,"141,001","1,390","2,269","9,326","15,620","6,094","1,496",966,"1,613",749,485,"1,681","2,791","1,396","1,952","2,370","12,311","3,215","22,662","3,906","4,518","1,506","1,226","1,566","9,171","20,647","10,075"
2020년04월_여_0~9세,"11,673",23,78,793,"2,863",419,30,18,31,5,10,38,75,25,75,73,856,174,"1,818",182,183,63,28,53,"1,012","1,809",939
2020년04월_여_10~19세,"14,737",66,104,"1,254","2,232",493,48,46,62,17,22,74,145,69,123,166,"1,332",294,"2,688",277,339,100,54,97,820,"2,446","1,369"
2020년04월_여_20~29세,"17,073",73,179,"1,456","1,486",611,73,72,86,38,26,105,167,108,166,372,"1,728",341,"3,054",411,522,156,144,160,"1,007","3,025","1,507"
2020년04월_여_30~39세,"16,355",58,98,"1,135","3,406",566,56,41,53,16,14,65,122,68,149,196,"1,265",300,"2,517",375,375,127,89,130,"1,346","2,529","1,259"
2020년04월_여_40~49세,"22,286",91,189,"1,971","3,268",830,67,48,68,36,25,94,209,126,211,241,"1,873",476,"3,884",448,523,157,115,211,"1,395","3,772","1,958"
2020년04월_여_50~59세,"24,387",233,387,"1,645","1,453","1,065",194,154,257,126,67,267,436,249,292,392,"2,368",569,"4,574",723,887,262,243,255,"1,498","3,869","1,922"
2020년04월_여_60~69세,"16,106",238,432,560,551,914,306,187,326,113,89,360,506,269,415,389,"1,595",555,"2,450",713,836,272,279,288,"1,026","1,765",672
