카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년04월_남_80~89세,"2,947",740,385,292,156,204,54,69,299,398,350,,,,
2020년04월_남_90~99세,256,71,27,26,14,20,8,6,15,37,32,,,,
2020년04월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0,,,,
2020년04월_여_총인구수,"183,353","54,137","21,000","10,631","4,098","7,104",722,"1,245","21,319","30,051","33,046",,,,
2020년04월_여_연령구간인구수,"183,353","54,137","21,000","10,631","4,098","7,104",722,"1,245","21,319","30,051","33,046",,,,
2020년04월_여_0~9세,"17,450","5,523","1,836",714,242,520,22,78,"1,959","2,524","4,032",,,,
2020년04월_여_10~19세,"16,297","4,186","2,271",887,292,538,28,102,"1,998","2,851","3,144",,,,
2020년04월_여_20~29세,"20,946","6,295","2,410","1,260",402,500,54,95,"2,736","3,677","3,517",,,,
2020년04월_여_30~39세,"28,134","9,787","2,760","1,228",409,719,47,100,"3,256","3,986","5,842",,,,
2020년04월_여_40~49세,"30,690","9,001","3,652","1,636",530,"1,039",73,169,"3,518","5,119","5,953",,,,
2020년04월_여_50~59세,"30,496","8,633","3,431","2,010",778,"1,220",115,217,"3,634","5,588","4,870",,,,
2020년04월_여_60~69세,"22,471","6,230","2,545","1,502",741,"1,411",170,219,"2,412","3,752","3,489",,,,
2020년04월_여_70~79세,"10,942","2,970","1,324",818,409,732,129,151,"1,201","1,727","1,481",,,,
2020년04월_여_80~89세,"4,920","1,257",651,482,243,346,73,91,499,692,586,,,,
2020년04월_여_90~99세,934,244,117,80,46,74,11,21,96,117,128,,,,
2020년04월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4,,,,
2020년05월_계_총인구수,"376,753","110,532","44,080","22,870","9,144","14,552","1,500","2,666","43,434","60,882","67,093",,,,
2020년05월_계_연령구간인구수,"376,753","110,532","44,080","22,870","9,144","14,552","1,500","2,666","43,434","60,882","67,093",,,,
2020년05월_계_0~9세,"35,836","11,433","3,768","1,440",512,"1,054",41,150,"4,146","5,040","8,252",,,,
2020년05월_계_10~19세,"33,608","8,673","4,788","1,878",613,"1,181",73,217,"4,014","5,698","6,473",,,,
2020년05월_계_20~29세,"44,433","13,258","5,158","2,841",961,"1,107",113,183,"5,723","7,835","7,254",,,,
2020년05월_계_30~39세,"58,846","20,579","5,849","2,793",969,"1,448",91,228,"6,634","8,522","11,733",,,,
2020년05월_계_40~49세,"65,372","19,330","7,861","3,591","1,331","2,332",164,398,"7,368","10,520","12,477",,,,
2020년05월_계_50~59세,"62,593","16,997","7,566","4,563","1,786","2,519",259,501,"7,420","11,124","9,858",,,,
2020년05월_계_60~69세,"45,466","12,203","5,342","3,264","1,673","2,751",371,499,"4,908","7,530","6,925",,,,
2020년05월_계_70~79세,"21,397","5,717","2,559","1,609",830,"1,504",242,301,"2,288","3,335","3,012",,,,
2020년05월_계_80~89세,"7,899","2,005","1,039",764,400,556,127,160,801,"1,099",948,,,,
2020년05월_계_90~99세,"1,208",322,146,108,61,94,19,27,116,158,157,,,,
2020년05월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4,,,,
2020년05월_남_총인구수,"192,894","56,134","22,977","12,217","5,040","7,411",775,"1,427","22,106","30,829","33,978",,,,
2020년05월_남_연령구간인구수,"192,894","56,134","22,977","12,217","5,040","7,411",775,"1,427","22,106","30,829","33,978",,,,
2020년05월_남_0~9세,"18,411","5,898","1,937",730,276,532,20,73,"2,196","2,527","4,222",,,,
2020년05월_남_10~19세,"17,259","4,466","2,476",990,320,636,43,114,"2,024","2,859","3,331",,,,
2020년05월_남_20~29세,"23,479","6,942","2,739","1,580",558,610,58,90,"2,988","4,171","3,743",,,,
2020년05월_남_30~39세,"30,735","10,771","3,093","1,558",560,735,44,129,"3,406","4,543","5,896",,,,
2020년05월_남_40~49세,"34,624","10,304","4,203","1,961",796,"1,288",91,228,"3,829","5,418","6,506",,,,
2020년05월_남_50~59세,"31,931","8,294","4,109","2,535","1,012","1,277",144,288,"3,786","5,520","4,966",,,,
2020년05월_남_60~69세,"22,825","5,906","2,776","1,755",926,"1,335",200,280,"2,478","3,752","3,417",,,,
2020년05월_남_70~79세,"10,380","2,726","1,227",792,419,771,113,150,"1,077","1,595","1,510",,,,
2020년05월_남_80~89세,"2,959",747,388,284,155,205,53,69,301,402,355,,,,
2020년05월_남_90~99세,269,76,28,27,16,21,9,6,15,39,32,,,,
