카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년05월_계_30~39세,"65,486","5,171","6,677","3,724","3,802","2,251","1,943","3,838","4,259","5,152","3,818","4,022","3,059","3,216","3,497","6,937","4,120"
2020년05월_계_40~49세,"62,124","3,997","5,892","3,347","4,375","2,060","2,178","3,978","4,135","3,756","2,696","3,326","3,313","2,387","3,475","6,840","6,369"
2020년05월_계_50~59세,"54,455","3,765","6,736","3,526","2,934","1,991","1,792","3,541","3,686","3,108","2,403","3,042","2,790","2,065","2,854","5,747","4,475"
2020년05월_계_60~69세,"38,749","2,555","4,479","2,662","2,099","1,421","1,167","2,392","2,353","2,226","1,929","2,396","2,149","1,706","2,150","4,140","2,925"
2020년05월_계_70~79세,"24,486","1,222","2,726","1,572","1,278",914,850,"1,540","1,413","1,557","1,229","1,621","1,452","1,119","1,347","2,896","1,750"
2020년05월_계_80~89세,"10,796",640,"1,245",830,627,429,371,661,665,736,522,621,523,507,523,"1,110",786
2020년05월_계_90~99세,"1,615",100,174,148,78,83,47,102,95,125,80,86,70,84,60,180,103
2020년05월_계_100세 이상,325,51,40,27,10,23,12,17,15,25,18,6,16,18,15,14,18
2020년05월_남_총인구수,"176,985","11,639","18,751","10,604","10,312","6,800","5,925","11,372","11,930","11,256","8,607","9,953","9,078","7,417","9,279","18,790","15,272"
2020년05월_남_연령구간인구수,"176,985","11,639","18,751","10,604","10,312","6,800","5,925","11,372","11,930","11,256","8,607","9,953","9,078","7,417","9,279","18,790","15,272"
2020년05월_남_0~9세,"13,184","1,261","1,240",826,"1,118",347,480,897,"1,017",448,658,577,655,329,527,"1,374","1,430"
2020년05월_남_10~19세,"14,761",762,"1,262",891,976,490,554,"1,066",893,635,473,673,808,453,771,"1,881","2,173"
2020년05월_남_20~29세,"28,032","1,371","2,964","1,482","1,089","1,454",896,"1,831","2,244","2,451","1,610","1,647","1,330","1,443","1,493","2,759","1,968"
2020년05월_남_30~39세,"31,034","2,419","3,278","1,787","1,767","1,152",940,"1,851","1,983","2,354","1,811","1,901","1,469","1,551","1,678","3,205","1,888"
2020년05월_남_40~49세,"30,233","2,016","2,915","1,614","2,108","1,052","1,117","1,842","1,982","1,822","1,306","1,629","1,626","1,201","1,649","3,285","3,069"
2020년05월_남_50~59세,"26,791","1,812","3,298","1,697","1,452","1,064",893,"1,797","1,770","1,512","1,132","1,512","1,386",963,"1,370","2,820","2,313"
2020년05월_남_60~69세,"17,917","1,203","2,162","1,261","1,009",677,540,"1,143","1,150",997,864,"1,059",936,781,970,"1,855","1,310"
2020년05월_남_70~79세,"10,355",505,"1,148",695,537,366,343,626,599,682,534,704,631,469,569,"1,167",780
2020년05월_남_80~89세,"4,151",246,431,307,233,172,147,278,265,315,192,228,209,188,228,403,309
2020년05월_남_90~99세,448,30,44,38,20,22,13,36,26,31,24,23,23,33,19,36,30
2020년05월_남_100세 이상,79,14,9,6,3,4,2,5,1,9,3,0,5,6,5,5,2
2020년05월_여_총인구수,"197,852","13,209","20,838","11,540","11,527","7,163","6,314","11,968","13,152","13,243","9,958","11,229","10,052","8,372","10,405","22,224","16,658"
2020년05월_여_연령구간인구수,"197,852","13,209","20,838","11,540","11,527","7,163","6,314","11,968","13,152","13,243","9,958","11,229","10,052","8,372","10,405","22,224","16,658"
2020년05월_여_0~9세,"12,825","1,396","1,140",729,"1,222",315,461,841,945,436,596,567,612,355,518,"1,376","1,316"
2020년05월_여_10~19세,"14,463",840,"1,277",790,"1,005",443,574,904,891,662,540,706,855,395,750,"1,716","2,115"
2020년05월_여_20~29세,"33,536","1,717","3,737","1,590","1,226","1,742",914,"1,732","2,471","3,182","1,993","1,892","1,498","1,712","1,704","4,044","2,382"
2020년05월_여_30~39세,"34,452","2,752","3,399","1,937","2,035","1,099","1,003","1,987","2,276","2,798","2,007","2,121","1,590","1,665","1,819","3,732","2,232"
2020년05월_여_40~49세,"31,891","1,981","2,977","1,733","2,267","1,008","1,061","2,136","2,153","1,934","1,390","1,697","1,687","1,186","1,826","3,555","3,300"
2020년05월_여_50~59세,"27,664","1,953","3,438","1,829","1,482",927,899,"1,744","1,916","1,596","1,271","1,530","1,404","1,102","1,484","2,927","2,162"
2020년05월_여_60~69세,"20,832","1,352","2,317","1,401","1,090",744,627,"1,249","1,203","1,229","1,065","1,337","1,213",925,"1,180","2,285","1,615"
2020년05월_여_70~79세,"14,131",717,"1,578",877,741,548,507,914,814,875,695,917,821,650,778,"1,729",970
2020년05월_여_80~89세,"6,645",394,814,523,394,257,224,383,400,421,330,393,314,319,295,707,477
2020년05월_여_90~99세,"1,167",70,130,110,58,61,34,66,69,94,56,63,47,51,41,144,73
2020년05월_여_100세 이상,246,37,31,21,7,19,10,12,14,16,15,6,11,12,10,9,16
2020년06월_계_총인구수,"374,390","24,890","39,362","22,069","21,817","14,109","12,233","23,332","25,070","24,647","18,474","21,094","19,113","15,769","19,618","40,967","31,826"
2020년06월_계_연령구간인구수,"374,390","24,890","39,362","22,069","21,817","14,109","12,233","23,332","25,070","24,647","18,474","21,094","19,113","15,769","19,618","40,967","31,826"
2020년06월_계_0~9세,"25,880","2,681","2,367","1,551","2,328",663,944,"1,725","1,957",875,"1,224","1,146","1,257",674,"1,045","2,710","2,733"
2020년06월_계_10~19세,"29,114","1,606","2,505","1,674","1,984",929,"1,138","1,961","1,785","1,293","1,009","1,360","1,657",836,"1,509","3,592","4,276"
2020년06월_계_20~29세,"61,673","3,065","6,685","3,066","2,297","3,249","1,789","3,552","4,693","5,801","3,586","3,526","2,841","3,192","3,186","6,822","4,323"
2020년06월_계_30~39세,"65,359","5,177","6,642","3,700","3,782","2,292","1,953","3,834","4,269","5,184","3,805","4,006","3,017","3,193","3,491","6,909","4,105"
2020년06월_계_40~49세,"61,932","4,002","5,842","3,308","4,389","2,087","2,182","3,968","4,125","3,734","2,691","3,310","3,335","2,390","3,452","6,785","6,332"
2020년06월_계_50~59세,"54,313","3,752","6,682","3,542","2,929","2,011","1,783","3,547","3,682","3,082","2,385","3,014","2,790","2,053","2,832","5,768","4,461"
2020년06월_계_60~69세,"38,860","2,586","4,462","2,650","2,109","1,425","1,170","2,413","2,366","2,235","1,924","2,404","2,154","1,701","2,156","4,168","2,937"
