카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020년09월_계_20~29세,"39,301",379,656,"1,320","1,912","1,861","1,293","2,417","1,555","1,896","4,227","1,699","3,264","1,713","2,524","1,650","3,719","7,002",214,
2020년09월_계_30~39세,"42,623",344,582,"1,203","1,939","1,843","1,323","1,993","1,562","1,625","3,961","2,407","3,060","2,620","2,997","2,118","4,084","8,732",230,
2020년09월_계_40~49세,"52,779",396,752,"1,408","2,036","2,395","1,851","2,564","2,249","1,747","6,172","2,373","5,070","2,492","3,603","2,411","6,286","8,745",229,
2020년09월_계_50~59세,"50,954",571,963,"1,884","2,494","2,570","1,826","3,085","2,007","2,532","5,511","2,172","4,521","2,166","3,315","2,007","4,861","8,028",441,
2020년09월_계_60~69세,"37,840",444,948,"1,660","2,420","2,173","1,462","2,593","1,261","1,870","3,669","1,559","2,983","1,621","2,566","1,173","3,591","5,326",521,
2020년09월_계_70~79세,"18,171",270,532,972,"1,262","1,164",753,"1,257",567,749,"1,508",772,"1,299",847,"1,482",534,"1,556","2,389",258,
2020년09월_계_80~89세,"7,570",98,211,350,437,462,266,487,227,329,670,261,530,504,801,258,619,893,167,
2020년09월_계_90~99세,"1,124",14,24,44,61,56,37,66,41,50,102,29,97,75,120,33,115,141,19,
2020년09월_계_100세 이상,144,3,5,6,19,6,8,7,1,7,8,2,7,14,9,1,17,17,7,
2020년09월_남_총인구수,"150,994","1,431","2,619","4,781","6,951","7,287","5,360","8,382","5,900","6,315","16,139","6,788","13,289","6,720","9,899","6,221","15,821","25,814","1,277",
2020년09월_남_연령구간인구수,"150,994","1,431","2,619","4,781","6,951","7,287","5,360","8,382","5,900","6,315","16,139","6,788","13,289","6,720","9,899","6,221","15,821","25,814","1,277",
2020년09월_남_0~9세,"12,326",51,103,198,364,467,426,464,540,239,"1,504",551,"1,281",525,845,567,"1,598","2,570",33,
2020년09월_남_10~19세,"16,109",97,192,322,469,698,595,809,760,454,"2,169",645,"1,663",589,993,782,"2,237","2,578",57,
2020년09월_남_20~29세,"20,586",216,357,706,996,"1,006",683,"1,275",808,"1,024","2,199",891,"1,754",840,"1,257",837,"1,940","3,675",122,
2020년09월_남_30~39세,"21,553",201,328,650,"1,032",955,670,"1,054",763,931,"1,837","1,226","1,496","1,357","1,469","1,077","1,924","4,444",139,
2020년09월_남_40~49세,"26,147",211,405,715,"1,013","1,228",903,"1,269","1,069",921,"2,906","1,195","2,506","1,238","1,773","1,144","3,028","4,483",140,
2020년09월_남_50~59세,"25,337",298,482,906,"1,227","1,236",929,"1,476",993,"1,325","2,724","1,103","2,307","1,004","1,595",966,"2,436","4,057",273,
2020년09월_남_60~69세,"17,994",209,432,724,"1,111","1,004",693,"1,250",620,951,"1,804",731,"1,492",679,"1,169",548,"1,708","2,570",299,
2020년09월_남_70~79세,"8,162",122,241,418,575,520,364,584,253,333,737,356,608,326,541,212,729,"1,107",136,
2020년09월_남_80~89세,"2,491",24,69,128,144,159,86,184,84,119,237,85,160,144,230,82,192,294,70,
2020년09월_남_90~99세,253,2,9,11,15,12,10,16,10,15,19,5,21,15,26,6,25,30,6,
2020년09월_남_100세 이상,36,0,1,3,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2,
2020년09월_여_총인구수,"154,842","1,349","2,604","5,066","7,292","7,476","5,509","8,609","6,097","5,816","16,851","6,797","13,283","7,525","11,039","6,547","16,507","25,509",966,
2020년09월_여_연령구간인구수,"154,842","1,349","2,604","5,066","7,292","7,476","5,509","8,609","6,097","5,816","16,851","6,797","13,283","7,525","11,039","6,547","16,507","25,509",966,
2020년09월_여_0~9세,"11,747",48,100,195,347,439,465,480,497,229,"1,448",525,"1,197",528,742,509,"1,548","2,418",32,
2020년09월_여_10~19세,"15,148",65,155,285,483,629,564,769,730,404,"2,041",590,"1,600",551,941,725,"2,097","2,484",35,
2020년09월_여_20~29세,"18,715",163,299,614,916,855,610,"1,142",747,872,"2,028",808,"1,510",873,"1,267",813,"1,779","3,327",92,
2020년09월_여_30~39세,"21,070",143,254,553,907,888,653,939,799,694,"2,124","1,181","1,564","1,263","1,528","1,041","2,160","4,288",91,
2020년09월_여_40~49세,"26,632",185,347,693,"1,023","1,167",948,"1,295","1,180",826,"3,266","1,178","2,564","1,254","1,830","1,267","3,258","4,262",89,
2020년09월_여_50~59세,"25,617",273,481,978,"1,267","1,334",897,"1,609","1,014","1,207","2,787","1,069","2,214","1,162","1,720","1,041","2,425","3,971",168,
2020년09월_여_60~69세,"19,846",235,516,936,"1,309","1,169",769,"1,343",641,919,"1,865",828,"1,491",942,"1,397",625,"1,883","2,756",222,
2020년09월_여_70~79세,"10,009",148,291,554,687,644,389,673,314,416,771,416,691,521,941,322,827,"1,282",122,
2020년09월_여_80~89세,"5,079",74,142,222,293,303,180,303,143,210,433,176,370,360,571,176,427,599,97,
2020년09월_여_90~99세,871,12,15,33,46,44,27,50,31,35,83,24,76,60,94,27,90,111,13,
2020년09월_여_100세 이상,108,3,4,3,14,4,7,6,1,4,5,2,6,11,8,1,13,11,5,
2020년10월_계_총인구수,"302,761","1,896","4,357","9,837","14,247","14,802","10,887","16,967","11,636","11,324","32,991","13,570","26,564","14,281","20,908","12,716","32,257","51,292","2,229",
2020년10월_계_연령구간인구수,"302,761","1,896","4,357","9,837","14,247","14,802","10,887","16,967","11,636","11,324","32,991","13,570","26,564","14,281","20,908","12,716","32,257","51,292","2,229",
2020년10월_계_0~9세,"23,751",66,163,383,712,900,879,947,"1,014",437,"2,919","1,061","2,459","1,050","1,570","1,073","3,111","4,941",66,
2020년10월_계_10~19세,"31,016",106,282,608,946,"1,316","1,168","1,580","1,444",799,"4,230","1,240","3,265","1,137","1,921","1,498","4,331","5,059",86,
2020년10월_계_20~29세,"38,786",248,534,"1,307","1,933","1,872","1,301","2,405","1,511","1,709","4,213","1,700","3,243","1,723","2,528","1,644","3,695","7,011",209,
2020년10월_계_30~39세,"42,020",250,485,"1,197","1,913","1,823","1,312","1,976","1,504","1,544","3,935","2,388","3,058","2,606","2,978","2,099","4,062","8,658",232,
2020년10월_계_40~49세,"52,369",282,634,"1,406","2,035","2,411","1,862","2,559","2,188","1,654","6,174","2,363","5,075","2,497","3,587","2,394","6,268","8,754",226,
2020년10월_계_50~59세,"50,424",385,805,"1,879","2,495","2,583","1,832","3,079","1,938","2,342","5,510","2,177","4,525","2,171","3,330","2,016","4,870","8,048",439,
2020년10월_계_60~69세,"37,616",307,799,"1,681","2,424","2,197","1,455","2,606","1,228","1,767","3,708","1,576","2,986","1,648","2,571","1,173","3,602","5,364",524,
2020년10월_계_70~79세,"17,988",182,454,973,"1,261","1,165",759,"1,258",549,701,"1,519",773,"1,312",852,"1,483",532,"1,564","2,395",256,
2020년10월_계_80~89세,"7,514",56,173,353,449,471,273,484,221,316,673,260,531,504,811,254,619,901,165,
2020년10월_계_90~99세,"1,133",11,23,44,60,58,38,66,38,48,102,30,103,79,120,32,118,144,19,
2020년10월_계_100세 이상,144,3,5,6,19,6,8,7,1,7,8,2,7,14,9,1,17,17,7,
2020년10월_남_총인구수,"149,478",992,"2,205","4,770","6,961","7,312","5,372","8,361","5,723","5,922","16,140","6,776","13,268","6,758","9,875","6,188","15,775","25,807","1,273",
2020년10월_남_연령구간인구수,"149,478",992,"2,205","4,770","6,961","7,312","5,372","8,361","5,723","5,922","16,140","6,776","13,268","6,758","9,875","6,188","15,775","25,807","1,273",
2020년10월_남_0~9세,"12,175",35,85,192,362,464,417,465,528,227,"1,492",540,"1,271",533,833,566,"1,582","2,549",34,
2020년10월_남_10~19세,"15,970",62,151,323,467,690,604,805,744,427,"2,180",644,"1,668",587,985,773,"2,231","2,575",54,
2020년10월_남_20~29세,"20,326",145,292,701,"1,009","1,014",681,"1,274",778,925,"2,189",895,"1,737",844,"1,264",831,"1,935","3,691",121,
2020년10월_남_30~39세,"21,229",148,272,644,"1,023",947,662,"1,036",738,892,"1,828","1,217","1,507","1,353","1,464","1,059","1,900","4,400",139,
2020년10월_남_40~49세,"25,950",151,348,714,"1,023","1,240",911,"1,273","1,038",877,"2,905","1,190","2,496","1,243","1,762","1,138","3,020","4,484",137,
2020년10월_남_50~59세,"25,082",206,416,899,"1,223","1,242",929,"1,472",958,"1,236","2,727","1,104","2,308","1,006","1,601",974,"2,438","4,070",273,
2020년10월_남_60~69세,"17,895",147,370,736,"1,116","1,017",701,"1,254",601,900,"1,816",738,"1,485",698,"1,169",548,"1,711","2,587",301,
