카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020년09월_계_0~9세,"35,659","3,354","1,576","3,558","2,304","2,567","5,130","3,047","2,689","2,634","3,221","5,579",,
2020년09월_계_10~19세,"38,445","3,441","1,518","3,256","3,039","3,479","4,578","2,963","3,248","3,139","4,593","5,191",,
2020년09월_계_20~29세,"52,903","4,473","8,306","8,402","2,896","3,195","3,867","4,039","4,350","4,234","3,723","5,418",,
2020년09월_계_30~39세,"56,858","4,545","6,693","6,528","3,268","3,229","6,512","5,277","4,492","4,209","4,050","8,055",,
2020년09월_계_40~49세,"60,822","5,990","4,372","5,598","4,363","4,877","7,368","4,226","4,389","4,824","6,117","8,698",,
2020년09월_계_50~59세,"54,171","6,325","5,637","5,967","3,249","4,026","5,219","3,500","4,496","4,617","4,358","6,777",,
2020년09월_계_60~69세,"32,945","4,269","3,914","4,434","1,780","2,043","3,332","1,863","2,378","2,429","2,063","4,440",,
2020년09월_계_70~79세,"13,354","1,910","1,751","1,659",873,"1,082","1,283",666,730,"1,157",655,"1,588",,
2020년09월_계_80~89세,"6,315",906,804,756,428,508,517,377,457,646,281,635,,
2020년09월_계_90~99세,"1,076",130,142,122,73,87,93,59,100,97,48,125,,
2020년09월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3,,
2020년09월_남_총인구수,"178,003","17,949","17,955","20,957","11,029","12,357","18,617","13,626","13,973","14,340","14,884","22,316",,
2020년09월_남_연령구간인구수,"178,003","17,949","17,955","20,957","11,029","12,357","18,617","13,626","13,973","14,340","14,884","22,316",,
2020년09월_남_0~9세,"18,342","1,695",796,"1,776","1,188","1,306","2,613","1,584","1,442","1,377","1,689","2,876",,
2020년09월_남_10~19세,"19,917","1,844",780,"1,710","1,572","1,790","2,331","1,545","1,647","1,613","2,393","2,692",,
2020년09월_남_20~29세,"28,375","2,453","4,269","4,911","1,485","1,644","2,029","2,242","2,381","2,353","1,972","2,636",,
2020년09월_남_30~39세,"29,527","2,342","3,846","3,560","1,620","1,608","3,074","2,887","2,430","2,261","2,070","3,829",,
2020년09월_남_40~49세,"29,920","3,079","2,331","2,802","2,060","2,286","3,611","2,132","2,100","2,450","2,904","4,165",,
2020년09월_남_50~59세,"27,024","3,171","2,802","2,873","1,661","2,045","2,548","1,805","2,213","2,384","2,384","3,138",,
2020년09월_남_60~69세,"16,408","2,136","2,025","2,227",867,"1,007","1,587",974,"1,259","1,226","1,070","2,030",,
2020년09월_남_70~79세,"6,172",915,771,796,396,469,621,341,342,461,319,741,,
2020년09월_남_80~89세,"2,066",286,287,265,161,183,183,104,130,195,73,199,,
2020년09월_남_90~99세,240,25,45,36,18,18,19,12,27,20,10,10,,
2020년09월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0,,
2020년09월_여_총인구수,"174,601","17,404","16,781","19,329","11,245","12,737","19,286","12,392","13,359","13,649","14,226","24,193",,
2020년09월_여_연령구간인구수,"174,601","17,404","16,781","19,329","11,245","12,737","19,286","12,392","13,359","13,649","14,226","24,193",,
2020년09월_여_0~9세,"17,317","1,659",780,"1,782","1,116","1,261","2,517","1,463","1,247","1,257","1,532","2,703",,
2020년09월_여_10~19세,"18,528","1,597",738,"1,546","1,467","1,689","2,247","1,418","1,601","1,526","2,200","2,499",,
2020년09월_여_20~29세,"24,528","2,020","4,037","3,491","1,411","1,551","1,838","1,797","1,969","1,881","1,751","2,782",,
2020년09월_여_30~39세,"27,331","2,203","2,847","2,968","1,648","1,621","3,438","2,390","2,062","1,948","1,980","4,226",,
2020년09월_여_40~49세,"30,902","2,911","2,041","2,796","2,303","2,591","3,757","2,094","2,289","2,374","3,213","4,533",,
2020년09월_여_50~59세,"27,147","3,154","2,835","3,094","1,588","1,981","2,671","1,695","2,283","2,233","1,974","3,639",,
2020년09월_여_60~69세,"16,537","2,133","1,889","2,207",913,"1,036","1,745",889,"1,119","1,203",993,"2,410",,
2020년09월_여_70~79세,"7,182",995,980,863,477,613,662,325,388,696,336,847,,
2020년09월_여_80~89세,"4,249",620,517,491,267,325,334,273,327,451,208,436,,
2020년09월_여_90~99세,836,105,97,86,55,69,74,47,73,77,38,115,,
2020년09월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3,,
2020년10월_계_총인구수,"352,231","35,306","34,759","40,241","22,248","24,994","37,888","26,097","27,288","27,911","29,081","46,418",,
2020년10월_계_연령구간인구수,"352,231","35,306","34,759","40,241","22,248","24,994","37,888","26,097","27,288","27,911","29,081","46,418",,
2020년10월_계_0~9세,"35,421","3,307","1,573","3,538","2,293","2,517","5,112","3,062","2,668","2,613","3,195","5,543",,
2020년10월_계_10~19세,"38,338","3,426","1,506","3,230","3,041","3,471","4,593","2,961","3,220","3,108","4,577","5,205",,
2020년10월_계_20~29세,"52,880","4,478","8,290","8,404","2,884","3,199","3,862","4,036","4,360","4,236","3,740","5,391",,
2020년10월_계_30~39세,"56,632","4,507","6,738","6,516","3,214","3,161","6,482","5,319","4,469","4,194","4,038","7,994",,
2020년10월_계_40~49세,"60,763","6,001","4,367","5,585","4,391","4,878","7,372","4,227","4,377","4,777","6,103","8,685",,
2020년10월_계_50~59세,"54,175","6,318","5,620","5,943","3,262","4,016","5,224","3,513","4,499","4,629","4,364","6,787",,
2020년10월_계_60~69세,"33,144","4,300","3,941","4,466","1,778","2,061","3,342","1,875","2,400","2,445","2,082","4,454",,
2020년10월_계_70~79세,"13,414","1,918","1,760","1,672",881,"1,094","1,291",667,728,"1,161",654,"1,588",,
2020년10월_계_80~89세,"6,333",911,798,758,430,510,514,378,463,648,278,645,,
2020년10월_계_90~99세,"1,075",130,143,123,73,86,92,58,101,97,49,123,,
2020년10월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3,,
2020년10월_남_총인구수,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271",,
2020년10월_남_연령구간인구수,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271",,
2020년10월_남_0~9세,"18,222","1,673",795,"1,767","1,184","1,279","2,604","1,601","1,430","1,357","1,678","2,854",,
2020년10월_남_10~19세,"19,846","1,835",769,"1,691","1,567","1,792","2,338","1,537","1,635","1,603","2,375","2,704",,
2020년10월_남_20~29세,"28,382","2,450","4,263","4,916","1,487","1,641","2,023","2,243","2,385","2,356","1,984","2,634",,
2020년10월_남_30~39세,"29,425","2,324","3,877","3,555","1,587","1,577","3,070","2,914","2,428","2,247","2,056","3,790",,
2020년10월_남_40~49세,"29,918","3,097","2,326","2,799","2,083","2,287","3,608","2,132","2,093","2,424","2,907","4,162",,
2020년10월_남_50~59세,"27,004","3,166","2,789","2,855","1,668","2,040","2,556","1,804","2,212","2,391","2,385","3,138",,
2020년10월_남_60~69세,"16,503","2,157","2,038","2,233",865,"1,011","1,593",984,"1,273","1,238","1,077","2,034",,
2020년10월_남_70~79세,"6,210",914,781,805,404,475,629,342,340,459,318,743,,
2020년10월_남_80~89세,"2,073",288,284,266,163,185,182,104,131,198,71,201,,
2020년10월_남_90~99세,238,24,45,35,18,18,17,12,29,19,10,11,,
2020년10월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0,,
2020년10월_여_총인구수,"174,398","17,375","16,789","19,318","11,221","12,688","19,267","12,424","13,330","13,619","14,220","24,147",,
2020년10월_여_연령구간인구수,"174,398","17,375","16,789","19,318","11,221","12,688","19,267","12,424","13,330","13,619","14,220","24,147",,
2020년10월_여_0~9세,"17,199","1,634",778,"1,771","1,109","1,238","2,508","1,461","1,238","1,256","1,517","2,689",,
2020년10월_여_10~19세,"18,492","1,591",737,"1,539","1,474","1,679","2,255","1,424","1,585","1,505","2,202","2,501",,
2020년10월_여_20~29세,"24,498","2,028","4,027","3,488","1,397","1,558","1,839","1,793","1,975","1,880","1,756","2,757",,
2020년10월_여_30~39세,"27,207","2,183","2,861","2,961","1,627","1,584","3,412","2,405","2,041","1,947","1,982","4,204",,
2020년10월_여_40~49세,"30,845","2,904","2,041","2,786","2,308","2,591","3,764","2,095","2,284","2,353","3,196","4,523",,
2020년10월_여_50~59세,"27,171","3,152","2,831","3,088","1,594","1,976","2,668","1,709","2,287","2,238","1,979","3,649",,
2020년10월_여_60~69세,"16,641","2,143","1,903","2,233",913,"1,050","1,749",891,"1,127","1,207","1,005","2,420",,
2020년10월_여_70~79세,"7,204","1,004",979,867,477,619,662,325,388,702,336,845,,
2020년10월_여_80~89세,"4,260",623,514,492,267,325,332,274,332,450,207,444,,
2020년10월_여_90~99세,837,106,98,88,55,68,75,46,72,78,39,112,,
2020년10월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3,,
2020년11월_계_총인구수,"351,790","35,210","34,834","40,202","22,213","24,946","37,903","25,989","27,213","27,887","29,073","46,320",,
2020년11월_계_연령구간인구수,"351,790","35,210","34,834","40,202","22,213","24,946","37,903","25,989","27,213","27,887","29,073","46,320",,
2020년11월_계_0~9세,"35,132","3,281","1,563","3,535","2,272","2,484","5,078","2,997","2,646","2,580","3,186","5,510",,
2020년11월_계_10~19세,"38,303","3,408","1,491","3,208","3,044","3,476","4,615","2,963","3,213","3,100","4,581","5,204",,
2020년11월_계_20~29세,"52,861","4,454","8,310","8,440","2,878","3,194","3,850","4,054","4,359","4,243","3,733","5,346",,
2020년11월_계_30~39세,"56,375","4,496","6,773","6,465","3,198","3,147","6,459","5,237","4,433","4,176","4,046","7,945",,
2020년11월_계_40~49세,"60,631","5,972","4,385","5,598","4,388","4,829","7,387","4,220","4,365","4,756","6,051","8,680",,
2020년11월_계_50~59세,"54,169","6,307","5,612","5,891","3,248","4,030","5,231","3,531","4,489","4,660","4,388","6,782",,
2020년11월_계_60~69세,"33,409","4,329","3,974","4,506","1,789","2,088","3,373","1,882","2,417","2,468","2,093","4,490",,
2020년11월_계_70~79세,"13,407","1,909","1,756","1,670",890,"1,094","1,297",662,730,"1,160",655,"1,584",,
2020년11월_계_80~89세,"6,365",914,800,760,432,518,513,385,459,647,286,651,,
2020년11월_계_90~99세,"1,082",130,147,123,73,85,96,57,99,94,53,125,,
2020년11월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3,,
2020년11월_남_총인구수,"177,584","17,890","17,999","20,886","11,012","12,289","18,622","13,615","13,921","14,289","14,857","22,204",,
2020년11월_남_연령구간인구수,"177,584","17,890","17,999","20,886","11,012","12,289","18,622","13,615","13,921","14,289","14,857","22,204",,
2020년11월_남_0~9세,"18,066","1,657",793,"1,763","1,179","1,264","2,583","1,574","1,408","1,339","1,676","2,830",,
2020년11월_남_10~19세,"19,831","1,833",760,"1,678","1,571","1,801","2,350","1,534","1,630","1,596","2,375","2,703",,
2020년11월_남_20~29세,"28,336","2,431","4,259","4,918","1,483","1,641","2,010","2,252","2,393","2,366","1,978","2,605",,
2020년11월_남_30~39세,"29,318","2,322","3,895","3,521","1,578","1,565","3,065","2,876","2,416","2,244","2,063","3,773",,
2020년11월_남_40~49세,"29,828","3,084","2,337","2,811","2,080","2,267","3,610","2,119","2,084","2,417","2,875","4,144",,
2020년11월_남_50~59세,"27,019","3,161","2,787","2,833","1,668","2,042","2,562","1,819","2,207","2,402","2,399","3,139",,
2020년11월_남_60~69세,"16,647","2,178","2,052","2,256",866,"1,021","1,608",989,"1,282","1,251","1,086","2,058",,
2020년11월_남_70~79세,"6,186",904,779,804,404,475,633,332,339,461,320,735,,
2020년11월_남_80~89세,"2,098",294,288,266,164,193,181,108,130,194,74,206,,
2020년11월_남_90~99세,243,23,46,35,18,19,19,12,30,19,11,11,,
2020년11월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0,,
2020년11월_여_총인구수,"174,206","17,320","16,835","19,316","11,201","12,657","19,281","12,374","13,292","13,598","14,216","24,116",,
2020년11월_여_연령구간인구수,"174,206","17,320","16,835","19,316","11,201","12,657","19,281","12,374","13,292","13,598","14,216","24,116",,
2020년11월_여_0~9세,"17,066","1,624",770,"1,772","1,093","1,220","2,495","1,423","1,238","1,241","1,510","2,680",,
2020년11월_여_10~19세,"18,472","1,575",731,"1,530","1,473","1,675","2,265","1,429","1,583","1,504","2,206","2,501",,
2020년11월_여_20~29세,"24,525","2,023","4,051","3,522","1,395","1,553","1,840","1,802","1,966","1,877","1,755","2,741",,
2020년11월_여_30~39세,"27,057","2,174","2,878","2,944","1,620","1,582","3,394","2,361","2,017","1,932","1,983","4,172",,
2020년11월_여_40~49세,"30,803","2,888","2,048","2,787","2,308","2,562","3,777","2,101","2,281","2,339","3,176","4,536",,
2020년11월_여_50~59세,"27,150","3,146","2,825","3,058","1,580","1,988","2,669","1,712","2,282","2,258","1,989","3,643",,
2020년11월_여_60~69세,"16,762","2,151","1,922","2,250",923,"1,067","1,765",893,"1,135","1,217","1,007","2,432",,
2020년11월_여_70~79세,"7,221","1,005",977,866,486,619,664,330,391,699,335,849,,
2020년11월_여_80~89세,"4,267",620,512,494,268,325,332,277,329,453,212,445,,
2020년11월_여_90~99세,839,107,101,88,55,66,77,45,69,75,42,114,,
2020년11월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3,,
2020년12월_계_총인구수,"351,047","35,106","34,820","40,180","22,203","24,850","37,832","25,858","27,203","27,835","29,057","46,103",,
2020년12월_계_연령구간인구수,"351,047","35,106","34,820","40,180","22,203","24,850","37,832","25,858","27,203","27,835","29,057","46,103",,
2020년12월_계_0~9세,"34,946","3,264","1,556","3,521","2,274","2,474","5,051","2,928","2,635","2,552","3,191","5,500",,
2020년12월_계_10~19세,"38,155","3,383","1,491","3,194","3,050","3,441","4,610","2,957","3,208","3,077","4,572","5,172",,
2020년12월_계_20~29세,"52,744","4,450","8,317","8,443","2,855","3,187","3,814","4,073","4,378","4,247","3,722","5,258",,
2020년12월_계_30~39세,"56,069","4,499","6,742","6,442","3,193","3,115","6,437","5,132","4,421","4,149","4,054","7,885",,
2020년12월_계_40~49세,"60,445","5,942","4,388","5,594","4,378","4,800","7,376","4,221","4,350","4,750","6,002","8,644",,
2020년12월_계_50~59세,"54,074","6,273","5,589","5,896","3,257","4,013","5,224","3,529","4,480","4,657","4,406","6,750",,
2020년12월_계_60~69세,"33,611","4,328","3,997","4,513","1,813","2,114","3,389","1,910","2,440","2,490","2,103","4,514",,
2020년12월_계_70~79세,"13,453","1,902","1,764","1,682",885,"1,098","1,307",661,723,"1,170",661,"1,600",,
2020년12월_계_80~89세,"6,411",922,806,768,424,523,525,388,463,647,294,651,,
2020년12월_계_90~99세,"1,082",133,146,121,73,84,95,58,102,93,51,126,,
2020년12월_계_100세 이상,57,10,24,6,1,1,4,1,3,3,1,3,,
2020년12월_남_총인구수,"177,240","17,830","17,982","20,855","11,017","12,244","18,591","13,551","13,939","14,286","14,847","22,098",,
2020년12월_남_연령구간인구수,"177,240","17,830","17,982","20,855","11,017","12,244","18,591","13,551","13,939","14,286","14,847","22,098",,
2020년12월_남_0~9세,"17,980","1,653",795,"1,753","1,182","1,268","2,564","1,540","1,402","1,326","1,677","2,820",,
2020년12월_남_10~19세,"19,752","1,812",763,"1,667","1,574","1,780","2,348","1,528","1,636","1,592","2,367","2,685",,
2020년12월_남_20~29세,"28,314","2,430","4,258","4,918","1,468","1,637","1,998","2,269","2,412","2,370","1,973","2,581",,
2020년12월_남_30~39세,"29,156","2,314","3,882","3,509","1,579","1,545","3,058","2,820","2,416","2,238","2,066","3,729",,
2020년12월_남_40~49세,"29,737","3,079","2,332","2,801","2,083","2,248","3,608","2,118","2,082","2,413","2,849","4,124",,
2020년12월_남_50~59세,"26,996","3,142","2,776","2,833","1,678","2,040","2,554","1,819","2,195","2,414","2,413","3,132",,
2020년12월_남_60~69세,"16,723","2,174","2,059","2,261",875,"1,033","1,616","1,004","1,293","1,251","1,093","2,064",,
2020년12월_남_70~79세,"6,215",899,782,809,401,479,638,332,342,471,321,741,,
2020년12월_남_80~89세,"2,109",300,286,268,159,195,187,108,129,191,77,209,,
2020년12월_남_90~99세,246,24,46,35,17,18,19,13,30,20,11,13,,
2020년12월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0,,
2020년12월_여_총인구수,"173,807","17,276","16,838","19,325","11,186","12,606","19,241","12,307","13,264","13,549","14,210","24,005",,
2020년12월_여_연령구간인구수,"173,807","17,276","16,838","19,325","11,186","12,606","19,241","12,307","13,264","13,549","14,210","24,005",,
2020년12월_여_0~9세,"16,966","1,611",761,"1,768","1,092","1,206","2,487","1,388","1,233","1,226","1,514","2,680",,
2020년12월_여_10~19세,"18,403","1,571",728,"1,527","1,476","1,661","2,262","1,429","1,572","1,485","2,205","2,487",,
2020년12월_여_20~29세,"24,430","2,020","4,059","3,525","1,387","1,550","1,816","1,804","1,966","1,877","1,749","2,677",,
2020년12월_여_30~39세,"26,913","2,185","2,860","2,933","1,614","1,570","3,379","2,312","2,005","1,911","1,988","4,156",,
2020년12월_여_40~49세,"30,708","2,863","2,056","2,793","2,295","2,552","3,768","2,103","2,268","2,337","3,153","4,520",,
2020년12월_여_50~59세,"27,078","3,131","2,813","3,063","1,579","1,973","2,670","1,710","2,285","2,243","1,993","3,618",,
2020년12월_여_60~69세,"16,888","2,154","1,938","2,252",938,"1,081","1,773",906,"1,147","1,239","1,010","2,450",,
2020년12월_여_70~79세,"7,238","1,003",982,873,484,619,669,329,381,699,340,859,,
2020년12월_여_80~89세,"4,302",622,520,500,265,328,338,280,334,456,217,442,,
2020년12월_여_90~99세,836,109,100,86,56,66,76,45,72,73,40,113,,
2020년12월_여_100세 이상,45,7,21,5,0,0,3,1,1,3,1,3,,
2021년01월_계_총인구수,"350,875","35,090","34,917","40,070","22,160","24,797","37,778","26,071","27,104","27,830","29,062","45,996",,
2021년01월_계_연령구간인구수,"350,875","35,090","34,917","40,070","22,160","24,797","37,778","26,071","27,104","27,830","29,062","45,996",,
2021년01월_계_0~9세,"34,697","3,246","1,553","3,495","2,258","2,430","5,009","2,957","2,592","2,527","3,187","5,443",,
2021년01월_계_10~19세,"38,129","3,397","1,479","3,177","3,033","3,445","4,626","2,962","3,199","3,070","4,574","5,167",,
2021년01월_계_20~29세,"52,673","4,429","8,374","8,394","2,862","3,168","3,794","4,107","4,348","4,265","3,719","5,213",,
2021년01월_계_30~39세,"55,991","4,475","6,773","6,407","3,190","3,102","6,366","5,285","4,406","4,114","4,052","7,821",,
2021년01월_계_40~49세,"60,403","5,954","4,394","5,586","4,376","4,771","7,389","4,207","4,339","4,745","5,977","8,665",,
2021년01월_계_50~59세,"53,935","6,236","5,534","5,884","3,245","4,014","5,212","3,501","4,468","4,673","4,427","6,741",,
2021년01월_계_60~69세,"33,975","4,382","4,060","4,533","1,825","2,150","3,434","1,941","2,453","2,519","2,124","4,554",,
2021년01월_계_70~79세,"13,482","1,899","1,780","1,687",872,"1,109","1,322",663,724,"1,168",661,"1,597",,
2021년01월_계_80~89세,"6,430",929,799,775,424,521,525,387,466,647,292,665,,
2021년01월_계_90~99세,"1,101",132,146,126,74,86,97,60,106,98,49,127,,
2021년01월_계_100세 이상,59,11,25,6,1,1,4,1,3,4,0,3,,
2021년01월_남_총인구수,"177,175","17,818","18,045","20,836","11,003","12,201","18,558","13,660","13,898","14,272","14,843","22,041",,
2021년01월_남_연령구간인구수,"177,175","17,818","18,045","20,836","11,003","12,201","18,558","13,660","13,898","14,272","14,843","22,041",,
2021년01월_남_0~9세,"17,856","1,640",800,"1,753","1,173","1,250","2,533","1,563","1,377","1,311","1,669","2,787",,
2021년01월_남_10~19세,"19,724","1,825",757,"1,652","1,557","1,786","2,364","1,517","1,630","1,586","2,370","2,680",,
2021년01월_남_20~29세,"28,290","2,421","4,276","4,910","1,473","1,621","1,987","2,282","2,400","2,379","1,971","2,570",,
2021년01월_남_30~39세,"29,145","2,293","3,901","3,501","1,585","1,524","3,025","2,908","2,422","2,214","2,072","3,700",,
2021년01월_남_40~49세,"29,733","3,091","2,341","2,800","2,089","2,243","3,613","2,109","2,074","2,403","2,833","4,137",,
2021년01월_남_50~59세,"26,890","3,114","2,746","2,821","1,672","2,036","2,538","1,813","2,191","2,432","2,418","3,109",,
2021년01월_남_60~69세,"16,902","2,199","2,096","2,277",882,"1,043","1,644","1,015","1,296","1,264","1,103","2,083",,
2021년01월_남_70~79세,"6,253",902,797,815,396,485,643,330,348,468,322,747,,
2021년01월_남_80~89세,"2,120",305,283,271,159,193,191,109,127,194,74,214,,
2021년01월_남_90~99세,248,24,44,35,16,19,19,14,31,21,11,14,,
2021년01월_남_100세 이상,14,4,4,1,1,1,1,0,2,0,0,0,,
2021년01월_여_총인구수,"173,700","17,272","16,872","19,234","11,157","12,596","19,220","12,411","13,206","13,558","14,219","23,955",,
2021년01월_여_연령구간인구수,"173,700","17,272","16,872","19,234","11,157","12,596","19,220","12,411","13,206","13,558","14,219","23,955",,
2021년01월_여_0~9세,"16,841","1,606",753,"1,742","1,085","1,180","2,476","1,394","1,215","1,216","1,518","2,656",,
2021년01월_여_10~19세,"18,405","1,572",722,"1,525","1,476","1,659","2,262","1,445","1,569","1,484","2,204","2,487",,
2021년01월_여_20~29세,"24,383","2,008","4,098","3,484","1,389","1,547","1,807","1,825","1,948","1,886","1,748","2,643",,
2021년01월_여_30~39세,"26,846","2,182","2,872","2,906","1,605","1,578","3,341","2,377","1,984","1,900","1,980","4,121",,
2021년01월_여_40~49세,"30,670","2,863","2,053","2,786","2,287","2,528","3,776","2,098","2,265","2,342","3,144","4,528",,
2021년01월_여_50~59세,"27,045","3,122","2,788","3,063","1,573","1,978","2,674","1,688","2,277","2,241","2,009","3,632",,
2021년01월_여_60~69세,"17,073","2,183","1,964","2,256",943,"1,107","1,790",926,"1,157","1,255","1,021","2,471",,
2021년01월_여_70~79세,"7,229",997,983,872,476,624,679,333,376,700,339,850,,
2021년01월_여_80~89세,"4,310",624,516,504,265,328,334,278,339,453,218,451,,
2021년01월_여_90~99세,853,108,102,91,58,67,78,46,75,77,38,113,,
2021년01월_여_100세 이상,45,7,21,5,0,0,3,1,1,4,0,3,,
2021년02월_계_총인구수,"350,374","34,967","34,968","40,073","22,158","24,738","37,687","26,029","27,052","27,807","28,977","45,918",,
2021년02월_계_연령구간인구수,"350,374","34,967","34,968","40,073","22,158","24,738","37,687","26,029","27,052","27,807","28,977","45,918",,
2021년02월_계_0~9세,"34,435","3,235","1,546","3,458","2,264","2,400","4,969","2,935","2,564","2,501","3,181","5,382",,
2021년02월_계_10~19세,"38,001","3,373","1,489","3,202","3,024","3,432","4,593","2,947","3,186","3,060","4,531","5,164",,
2021년02월_계_20~29세,"52,519","4,393","8,362","8,394","2,865","3,136","3,788","4,122","4,334","4,243","3,716","5,166",,
2021년02월_계_30~39세,"55,662","4,416","6,788","6,382","3,170","3,089","6,304","5,217","4,375","4,095","4,033","7,793",,
2021년02월_계_40~49세,"60,367","5,956","4,399","5,598","4,372","4,755","7,361","4,241","4,332","4,757","5,940","8,656",,
2021년02월_계_50~59세,"53,979","6,202","5,532","5,884","3,250","4,014","5,240","3,498","4,480","4,685","4,452","6,742",,
2021년02월_계_60~69세,"34,283","4,408","4,107","4,553","1,838","2,173","3,473","1,966","2,471","2,547","2,130","4,617",,
2021년02월_계_70~79세,"13,521","1,902","1,780","1,698",879,"1,122","1,328",653,731,"1,166",654,"1,608",,
2021년02월_계_80~89세,"6,436",935,794,770,422,531,529,387,465,653,290,660,,
2021년02월_계_90~99세,"1,113",137,146,128,73,85,98,62,111,96,50,127,,
2021년02월_계_100세 이상,58,10,25,6,1,1,4,1,3,4,0,3,,
2021년02월_남_총인구수,"176,852","17,738","18,065","20,834","10,992","12,167","18,508","13,629","13,874","14,252","14,801","21,992",,
2021년02월_남_연령구간인구수,"176,852","17,738","18,065","20,834","10,992","12,167","18,508","13,629","13,874","14,252","14,801","21,992",,
2021년02월_남_0~9세,"17,688","1,627",795,"1,732","1,183","1,240","2,503","1,555","1,361","1,289","1,653","2,750",,
2021년02월_남_10~19세,"19,640","1,807",760,"1,645","1,554","1,773","2,356","1,509","1,623","1,583","2,354","2,676",,
2021년02월_남_20~29세,"28,200","2,404","4,255","4,913","1,471","1,604","1,985","2,275","2,397","2,361","1,979","2,556",,
2021년02월_남_30~39세,"29,002","2,266","3,915","3,494","1,565","1,526","3,004","2,875","2,411","2,208","2,056","3,682",,
2021년02월_남_40~49세,"29,699","3,066","2,344","2,816","2,086","2,236","3,588","2,131","2,066","2,404","2,832","4,130",,
2021년02월_남_50~59세,"26,891","3,105","2,742","2,820","1,673","2,025","2,554","1,806","2,199","2,441","2,418","3,108",,
2021년02월_남_60~69세,"17,065","2,218","2,123","2,281",891,"1,058","1,663","1,030","1,305","1,280","1,109","2,107",,
2021년02월_남_70~79세,"6,277",904,798,826,397,490,644,324,350,470,318,756,,
2021년02월_남_80~89세,"2,130",312,285,270,156,196,191,111,129,196,71,213,,
2021년02월_남_90~99세,246,25,44,36,15,18,19,13,31,20,11,14,,
2021년02월_남_100세 이상,14,4,4,1,1,1,1,0,2,0,0,0,,
2021년02월_여_총인구수,"173,522","17,229","16,903","19,239","11,166","12,571","19,179","12,400","13,178","13,555","14,176","23,926",,
2021년02월_여_연령구간인구수,"173,522","17,229","16,903","19,239","11,166","12,571","19,179","12,400","13,178","13,555","14,176","23,926",,
2021년02월_여_0~9세,"16,747","1,608",751,"1,726","1,081","1,160","2,466","1,380","1,203","1,212","1,528","2,632",,
2021년02월_여_10~19세,"18,361","1,566",729,"1,557","1,470","1,659","2,237","1,438","1,563","1,477","2,177","2,488",,
2021년02월_여_20~29세,"24,319","1,989","4,107","3,481","1,394","1,532","1,803","1,847","1,937","1,882","1,737","2,610",,
2021년02월_여_30~39세,"26,660","2,150","2,873","2,888","1,605","1,563","3,300","2,342","1,964","1,887","1,977","4,111",,
2021년02월_여_40~49세,"30,668","2,890","2,055","2,782","2,286","2,519","3,773","2,110","2,266","2,353","3,108","4,526",,
2021년02월_여_50~59세,"27,088","3,097","2,790","3,064","1,577","1,989","2,686","1,692","2,281","2,244","2,034","3,634",,
2021년02월_여_60~69세,"17,218","2,190","1,984","2,272",947,"1,115","1,810",936,"1,166","1,267","1,021","2,510",,
2021년02월_여_70~79세,"7,244",998,982,872,482,632,684,329,381,696,336,852,,
2021년02월_여_80~89세,"4,306",623,509,500,266,335,338,276,336,457,219,447,,
2021년02월_여_90~99세,867,112,102,92,58,67,79,49,80,76,39,113,,
2021년02월_여_100세 이상,44,6,21,5,0,0,3,1,1,4,0,3,,
2021년03월_계_총인구수,"350,136","34,904","34,920","40,074","22,090","24,785","37,650","26,000","27,009","27,806","28,942","45,956",,
2021년03월_계_연령구간인구수,"350,136","34,904","34,920","40,074","22,090","24,785","37,650","26,000","27,009","27,806","28,942","45,956",,
2021년03월_계_0~9세,"34,261","3,220","1,542","3,447","2,243","2,392","4,933","2,914","2,548","2,474","3,164","5,384",,
2021년03월_계_10~19세,"37,931","3,344","1,499","3,224","3,019","3,440","4,575","2,937","3,169","3,056","4,522","5,146",,
2021년03월_계_20~29세,"52,588","4,394","8,363","8,449","2,866","3,133","3,788","4,137","4,330","4,238","3,713","5,177",,
2021년03월_계_30~39세,"55,473","4,406","6,797","6,355","3,174","3,116","6,205","5,183","4,382","4,081","4,034","7,740",,
2021년03월_계_40~49세,"60,212","5,919","4,395","5,567","4,329","4,715","7,402","4,239","4,302","4,741","5,916","8,687",,
