년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,9,30,"31,269",129,807,93,"2,658",440,375,126,55,32,137,450,323,360,288,592,315,459,"1,201",717,"2,080","2,167","1,287","1,195","1,398","4,057","5,748","2,314","1,216",185,65
2020,9,40,"42,315",247,"1,303",149,"3,222",746,627,250,93,87,232,564,358,583,491,791,453,627,"1,614",941,"2,853","3,247","1,833","1,764","1,578","5,655","6,597","3,335","1,655",291,129
2020,9,50,"48,466",469,"1,425",321,"3,508","1,048","1,237",451,186,138,469,720,491,729,664,"1,044",618,943,"2,129","1,165","3,434","3,380","2,248","1,875","1,552","5,910","6,056","4,517","1,027",475,237
2020,9,60,"40,336",633,"1,591",451,"2,514","1,231","1,363",663,303,168,469,964,598,961,862,"1,283",802,"1,243","2,082","1,340","2,943","2,721","1,678","1,360","1,522","3,270","3,230","2,721",691,460,219
2020,9,70,"24,303",562,"1,002",388,"1,381","1,046","1,128",605,340,175,292,729,543,714,761,946,572,957,"1,304",763,"1,346","1,419",894,581,958,"1,420","1,263","1,252",434,341,187
2020,9,80,"10,571",292,449,247,738,620,653,363,202,100,154,219,213,241,269,321,235,345,422,216,598,585,382,185,361,568,542,574,151,197,129
2020,9,90,"1,590",47,66,42,92,108,120,45,43,17,30,41,22,24,34,44,36,42,40,32,80,98,47,34,57,95,98,90,16,28,22
2020,9,100,106,2,1,1,6,5,4,4,2,1,4,5,1,8,5,6,2,7,8,3,1,0,1,1,8,4,3,1,2,10,0
2020,10,총,"280,584","2,709","8,668","1,931","20,488","6,292","6,531","2,865","1,347",831,"2,085","4,631","3,236","4,466","4,070","6,272","3,855","5,506","11,797","7,033","19,093","20,072","11,982","10,455","10,530","32,880","37,509","21,574","8,234","2,446","1,196"
2020,10,0,"21,183",53,612,42,"2,116",273,146,69,13,24,57,239,103,155,118,250,157,172,769,487,"1,305","1,530",696,804,"1,067","2,814","4,739","1,243","1,028",73,29
2020,10,10,"26,557",97,660,72,"2,054",315,305,139,38,39,81,282,210,304,228,313,258,269,932,624,"1,927","2,178","1,104","1,229",936,"3,985","4,547","2,104","1,132",132,63
2020,10,20,"33,758",190,755,132,"2,207",461,561,149,63,56,166,425,386,400,357,697,422,460,"1,295",750,"2,534","2,589","1,807","1,438","1,088","5,113","4,643","3,377",863,259,115
2020,10,30,"31,183",128,805,93,"2,657",445,375,128,58,30,139,447,325,359,284,587,313,454,"1,190",719,"2,047","2,238","1,273","1,170","1,391","4,041","5,732","2,303","1,204",183,65
2020,10,40,"42,185",239,"1,300",147,"3,205",736,628,246,94,85,225,566,356,580,496,774,447,630,"1,598",937,"2,832","3,277","1,838","1,753","1,576","5,610","6,585","3,350","1,663",286,126
2020,10,50,"48,506",464,"1,420",320,"3,499","1,048","1,233",455,190,138,465,714,484,726,661,"1,046",613,929,"2,122","1,160","3,432","3,404","2,247","1,877","1,558","5,932","6,081","4,531","1,040",479,238
2020,10,60,"40,521",628,"1,600",447,"2,528","1,235","1,370",660,305,166,473,965,599,957,859,"1,276",803,"1,234","2,102","1,343","2,978","2,743","1,690","1,374","1,526","3,293","3,258","2,730",699,458,222
2020,10,70,"24,366",568,998,391,"1,383","1,043","1,133",608,334,175,294,726,542,706,758,955,568,960,"1,305",758,"1,358","1,427",890,590,963,"1,430","1,273","1,269",435,340,186
2020,10,80,"10,622",293,454,245,740,620,658,362,206,101,152,222,208,247,271,324,236,349,433,221,600,583,386,184,361,560,548,578,151,199,130
2020,10,90,"1,594",47,63,41,93,111,118,45,44,16,29,39,22,24,33,44,36,42,43,30,79,103,50,35,56,97,100,88,17,27,22
2020,10,100,109,2,1,1,6,5,4,4,2,1,4,6,1,8,5,6,2,7,8,4,1,0,1,1,8,5,3,1,2,10,0
2020,11,총,"280,549","2,707","8,656","1,941","20,472","6,305","6,514","2,856","1,348",825,"2,079","4,628","3,234","4,467","4,054","6,234","3,840","5,476","11,689","7,006","18,921","20,829","11,946","10,397","10,489","32,767","37,444","21,575","8,208","2,445","1,197"
2020,11,0,"21,014",53,597,40,"2,101",271,138,67,14,21,56,239,105,153,112,246,152,171,743,476,"1,252","1,701",687,779,"1,061","2,771","4,664","1,232","1,012",72,28
