년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021,12,0,"8,646",441,"1,440",498,359,140,734,535,56,71,24,410,"3,254",429,255
2021,12,10,"10,669",616,"2,121",456,402,196,593,574,94,110,54,733,"3,903",421,396
2021,12,20,"13,503",629,"2,072",763,591,297,900,"1,383",145,156,69,"1,273","3,534",964,727
2021,12,30,"14,242",671,"2,325",822,638,272,"1,192","1,149",132,128,61,925,"4,492",891,544
2021,12,40,"16,874",951,"3,210",881,751,291,933,950,202,195,84,"1,240","5,694",823,669
2021,12,50,"17,119","1,154","2,593","1,264","1,063",458,954,920,364,366,201,"1,489","4,246","1,095",952
2021,12,60,"14,018","1,321","1,799","1,060",913,548,825,841,487,514,338,"1,397","2,155","1,013",807
2021,12,70,"7,077",745,873,537,499,309,451,446,290,346,208,616,878,478,401
2021,12,80,"4,519",530,528,305,313,212,292,304,234,275,206,340,509,264,207
2021,12,90,763,86,74,62,68,36,53,52,35,52,40,48,85,48,24
2021,12,100,20,3,3,2,3,1,0,1,0,3,0,0,0,2,2
