년도,월,나이,보령시,웅천읍,주포면,오천면,오천면어항출장소,오천면원산도출장소,천북면,청소면,청라면,남포면,주산면,미산면,성주면,주교면,대천1동,대천2동,대천3동,대천4동,대천5동,원산도출장소
2021,10,50,"7,722",478,112,152,123,,243,166,295,410,160,103,172,406,"1,165",547,"1,275","1,289",549,77
2021,10,60,"9,061",774,188,269,190,,416,296,444,605,293,201,286,559,"1,115",543,998,"1,020",748,116
2021,10,70,"6,207",559,150,177,95,,287,282,372,454,286,199,206,376,706,375,527,573,481,102
2021,10,80,"4,182",402,99,132,78,,264,256,278,355,230,151,125,273,344,219,303,324,263,86
2021,10,90,742,91,19,29,17,,47,44,51,83,52,31,14,48,52,26,36,47,42,13
2021,10,100,33,0,0,1,1,,1,0,6,8,1,0,1,1,1,1,2,6,3,0
2021,11,총,"48,497","2,975",786,"1,022",749,,"1,654","1,291","1,914","2,552","1,209",826,"1,092","2,441","7,002","3,361","8,198","7,885","3,029",511
2021,11,0,"2,768",57,22,26,31,,52,22,48,61,10,19,29,77,479,208,757,734,122,14
2021,11,10,"3,907",143,43,53,46,,74,40,92,126,38,24,43,151,689,333,953,854,178,27
2021,11,20,"3,738",120,45,61,42,,83,59,103,145,43,31,64,155,675,297,856,761,177,21
2021,11,30,"4,072",142,46,44,42,,68,46,83,105,36,34,63,137,710,330,"1,048",918,197,23
2021,11,40,"6,052",213,62,80,83,,124,78,148,195,59,34,93,253,"1,058",485,"1,448","1,343",264,32
2021,11,50,"7,723",476,112,149,121,,239,164,289,405,160,105,172,412,"1,170",544,"1,271","1,305",552,77
2021,11,60,"9,061",771,187,271,192,,415,299,444,611,293,197,281,557,"1,118",547,996,"1,017",749,116
2021,11,70,"6,197",554,152,177,93,,290,279,372,458,286,200,208,377,700,370,528,570,480,103
2021,11,80,"4,206",408,98,132,81,,258,257,280,354,232,152,125,274,351,219,302,336,265,82
2021,11,90,748,91,19,28,17,,50,47,50,84,52,30,13,47,51,27,37,47,42,16
2021,11,100,25,0,0,1,1,,1,0,5,8,0,0,1,1,1,1,2,0,3,0
2021,12,총,"48,475","2,974",777,"1,011",743,,"1,650","1,293","1,911","2,535","1,204",829,"1,075","2,433","6,972","3,327","8,068","8,147","3,015",511
2021,12,0,"2,764",58,21,24,29,,52,21,47,60,9,19,28,77,485,211,747,740,122,14
2021,12,10,"3,893",143,44,53,45,,74,40,90,123,36,25,41,152,689,334,939,859,178,28
2021,12,20,"3,746",120,43,58,40,,80,63,103,149,45,30,63,152,670,291,832,812,174,21
2021,12,30,"4,025",145,44,43,41,,70,46,81,100,36,34,58,133,701,321,"1,016",940,195,21
2021,12,40,"6,066",209,61,79,82,,124,75,148,194,58,35,95,250,"1,041",487,"1,443","1,383",269,33
2021,12,50,"7,725",476,111,147,122,,239,166,285,405,160,107,167,419,"1,172",539,"1,251","1,338",544,77
2021,12,60,"9,066",769,187,269,191,,414,299,448,606,290,200,278,552,"1,113",530,981,"1,075",747,117
2021,12,70,"6,187",552,148,174,94,,289,280,372,459,285,199,206,373,695,366,523,593,478,101
2021,12,80,"4,220",407,98,135,81,,258,254,282,351,232,148,125,276,352,219,299,356,264,83
2021,12,90,762,95,20,28,17,,49,49,50,83,53,32,13,48,53,28,35,51,42,16
2021,12,100,21,0,0,1,1,,1,0,5,5,0,0,1,1,1,1,2,0,2,0
