년도,월,나이,강원도,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
2021,4,총,"763,138","142,914","178,673","107,363","44,246","20,813","41,531","31,823","33,311","22,649","18,558","20,049","17,253","21,221","11,168","10,413","14,461","12,998","13,694"
2021,4,0,"50,677","10,367","13,698","6,400","3,157","1,162","2,844","1,835","1,844","1,003",774,920,832,"1,646",877,835,"1,201",630,652
2021,4,10,"65,251","12,859","17,173","8,913","4,128","1,808","3,531","2,502","2,484","1,694","1,331","1,332","1,196","1,773",862,"1,020","1,073",731,841
2021,4,20,"77,625","17,354","21,171","11,274","3,814","1,524","3,907","3,079","2,644","1,640","1,316","1,355","1,152","1,957","1,130","1,012","1,357",980,959
2021,4,30,"77,898","16,654","22,221","10,179","4,153","1,691","4,215","2,549","2,697","1,617","1,247","1,370","1,300","2,077","1,155","1,115","1,626",976,"1,056"
2021,4,40,"107,892","21,287","28,831","15,747","6,902","2,969","6,141","3,938","3,762","2,235","2,044","2,370","1,994","2,609","1,192","1,155","1,747","1,372","1,597"
2021,4,50,"128,272","23,220","30,176","18,056","7,500","3,344","7,594","5,090","5,847","4,024","3,207","3,643","3,028","3,295","1,748","1,624","2,382","2,177","2,317"
2021,4,60,"124,839","20,312","23,886","18,097","7,326","3,981","6,824","5,679","6,853","5,050","3,954","4,328","3,585","3,519","1,820","1,629","2,518","2,636","2,842"
2021,4,70,"73,977","11,684","11,939","10,821","4,362","2,712","3,828","3,970","3,815","2,844","2,625","2,640","2,445","2,586","1,293","1,131","1,374","1,968","1,940"
2021,4,80,"47,491","7,701","8,076","6,464","2,470","1,385","2,144","2,669","2,848","2,113","1,786","1,781","1,455","1,463",914,760,997,"1,248","1,217"
2021,4,90,"8,852","1,432","1,452","1,355",425,223,490,487,487,406,258,297,256,282,171,123,183,265,260
2021,4,100,364,44,50,57,9,14,13,25,30,23,16,13,10,14,6,9,3,15,13
2021,5,총,"762,598","143,021","178,759","107,194","44,301","20,558","41,491","31,713","33,258","22,679","18,356","20,040","17,248","21,116","11,145","10,415","14,517","13,050","13,737"
2021,5,0,"50,456","10,307","13,648","6,388","3,153","1,151","2,828","1,817","1,829","1,004",766,908,825,"1,637",863,838,"1,207",639,648
2021,5,10,"65,090","12,823","17,159","8,880","4,128","1,803","3,508","2,485","2,475","1,703","1,320","1,337","1,194","1,753",863,"1,020","1,067",729,843
2021,5,20,"77,518","17,380","21,101","11,278","3,830","1,496","3,896","3,080","2,619","1,618","1,310","1,349","1,141","1,959","1,126","1,003","1,381",980,971
2021,5,30,"77,646","16,638","22,187","10,107","4,135","1,672","4,217","2,510","2,681","1,612","1,236","1,364","1,299","2,061","1,149","1,120","1,632",976,"1,050"
2021,5,40,"107,611","21,274","28,821","15,716","6,888","2,910","6,103","3,905","3,751","2,217","2,011","2,351","1,994","2,603","1,180","1,153","1,740","1,398","1,596"
2021,5,50,"128,098","23,218","30,200","18,024","7,502","3,297","7,581","5,071","5,819","4,044","3,170","3,647","3,024","3,261","1,750","1,611","2,386","2,173","2,320"
2021,5,60,"125,466","20,496","24,066","18,131","7,377","3,928","6,870","5,693","6,902","5,077","3,904","4,357","3,598","3,522","1,836","1,641","2,540","2,667","2,861"
2021,5,70,"73,829","11,643","11,952","10,801","4,360","2,694","3,835","3,961","3,810","2,844","2,596","2,629","2,450","2,565","1,274","1,128","1,378","1,958","1,951"
2021,5,80,"47,677","7,766","8,113","6,468","2,487","1,379","2,148","2,683","2,854","2,117","1,782","1,791","1,451","1,466",928,766,997,"1,259","1,222"
2021,5,90,"8,859","1,430","1,461","1,353",431,215,491,486,489,420,247,293,262,277,170,126,186,259,263
2021,5,100,348,46,51,48,10,13,14,22,29,23,14,14,10,12,6,9,3,12,12
2021,6,총,"762,581","143,006","178,889","107,234","44,297","20,413","41,482","31,693","33,277","22,687","18,346","19,998","17,237","21,100","11,142","10,407","14,567","13,076","13,730"
2021,6,0,"50,228","10,253","13,606","6,350","3,131","1,135","2,817","1,809","1,813","1,002",765,903,824,"1,626",865,835,"1,210",641,643
2021,6,10,"64,975","12,780","17,150","8,848","4,130","1,791","3,493","2,467","2,480","1,703","1,319","1,334","1,187","1,755",865,"1,030","1,072",727,844
2021,6,20,"77,503","17,405","21,078","11,293","3,818","1,495","3,900","3,067","2,619","1,619","1,309","1,340","1,133","1,954","1,134",998,"1,382",989,970
2021,6,30,"77,438","16,588","22,172","10,095","4,120","1,652","4,200","2,501","2,670","1,598","1,230","1,349","1,293","2,057","1,143","1,114","1,652",973,"1,031"
2021,6,40,"107,465","21,239","28,800","15,700","6,891","2,884","6,100","3,892","3,752","2,211","2,008","2,350","1,992","2,585","1,179","1,157","1,740","1,389","1,596"
2021,6,50,"127,759","23,126","30,173","18,003","7,485","3,273","7,550","5,064","5,789","4,020","3,159","3,620","3,012","3,274","1,740","1,588","2,382","2,182","2,319"
2021,6,60,"126,450","20,714","24,292","18,254","7,413","3,914","6,925","5,730","6,968","5,131","3,916","4,383","3,629","3,528","1,846","1,656","2,569","2,702","2,880"
2021,6,70,"73,589","11,605","11,923","10,792","4,364","2,681","3,840","3,948","3,784","2,817","2,586","2,612","2,432","2,555","1,264","1,118","1,371","1,951","1,946"
2021,6,80,"47,955","7,819","8,171","6,500","2,496","1,372","2,155","2,701","2,883","2,141","1,788","1,795","1,466","1,477",931,776,"1,001","1,259","1,224"
2021,6,90,"8,872","1,430","1,469","1,353",439,203,488,492,491,421,253,298,259,277,169,126,185,254,265
2021,6,100,347,47,55,46,10,13,14,22,28,24,13,14,10,12,6,9,3,9,12
2021,7,총,"762,908","143,046","179,135","107,305","44,307","20,375","41,529","31,647","33,268","22,716","18,340","19,985","17,202","21,072","11,123","10,397","14,606","13,101","13,754"
2021,7,0,"50,039","10,202","13,592","6,333","3,113","1,130","2,807","1,796","1,809","1,001",752,893,813,"1,614",853,835,"1,222",637,637
2021,7,10,"64,885","12,775","17,149","8,836","4,105","1,786","3,485","2,451","2,473","1,697","1,311","1,331","1,191","1,755",858,"1,020","1,071",742,849
2021,7,20,"77,375","17,368","21,084","11,277","3,844","1,483","3,901","3,046","2,602","1,619","1,311","1,332","1,131","1,937","1,136",989,"1,382",963,970
2021,7,30,"77,346","16,591","22,179","10,096","4,097","1,643","4,203","2,490","2,650","1,577","1,223","1,335","1,275","2,048","1,140","1,123","1,655",988,"1,033"
2021,7,40,"107,363","21,223","28,771","15,717","6,867","2,859","6,086","3,884","3,741","2,215","2,009","2,343","1,994","2,596","1,172","1,153","1,743","1,396","1,594"
2021,7,50,"127,659","23,069","30,230","17,998","7,496","3,270","7,552","5,057","5,741","4,034","3,157","3,611","2,984","3,259","1,737","1,587","2,377","2,189","2,311"
2021,7,60,"127,322","20,908","24,479","18,345","7,453","3,919","6,980","5,768","7,042","5,163","3,936","4,406","3,650","3,548","1,857","1,660","2,586","2,714","2,908"
2021,7,70,"73,522","11,578","11,911","10,786","4,376","2,686","3,848","3,935","3,791","2,816","2,587","2,618","2,416","2,543","1,255","1,110","1,369","1,952","1,945"
2021,7,80,"48,167","7,843","8,219","6,521","2,498","1,384","2,165","2,706","2,901","2,150","1,792","1,803","1,478","1,485",940,780,"1,012","1,262","1,228"
2021,7,90,"8,879","1,438","1,467","1,352",446,202,488,491,490,419,249,299,260,275,169,131,186,249,268
2021,7,100,351,51,54,44,12,13,14,23,28,25,13,14,10,12,6,9,3,9,11
2021,8,총,"763,010","143,086","179,315","107,327","44,340","20,359","41,544","31,575","33,216","22,713","18,336","19,993","17,174","20,998","11,119","10,407","14,656","13,106","13,746"
2021,8,0,"49,911","10,143","13,569","6,322","3,110","1,126","2,809","1,776","1,797","1,002",751,888,809,"1,613",856,842,"1,230",637,631
2021,8,10,"64,782","12,782","17,127","8,841","4,115","1,782","3,468","2,427","2,456","1,697","1,297","1,333","1,189","1,747",847,"1,013","1,063",746,852
2021,8,20,"77,179","17,360","21,049","11,233","3,842","1,481","3,890","3,031","2,575","1,611","1,313","1,336","1,120","1,904","1,137",990,"1,388",954,965
2021,8,30,"77,205","16,559","22,195","10,082","4,082","1,610","4,193","2,477","2,655","1,579","1,219","1,327","1,269","2,030","1,134","1,118","1,663",988,"1,025"
2021,8,40,"107,188","21,208","28,788","15,661","6,834","2,869","6,089","3,864","3,731","2,203","2,002","2,328","1,984","2,584","1,175","1,143","1,748","1,395","1,582"
2021,8,50,"127,757","23,073","30,284","18,047","7,515","3,263","7,553","5,045","5,744","4,032","3,164","3,606","2,968","3,247","1,732","1,593","2,387","2,194","2,310"
2021,8,60,"127,953","21,051","24,611","18,413","7,491","3,934","7,028","5,792","7,069","5,187","3,938","4,429","3,666","3,564","1,869","1,674","2,601","2,718","2,918"
2021,8,70,"73,426","11,551","11,902","10,780","4,384","2,688","3,844","3,939","3,770","2,807","2,583","2,622","2,413","2,518","1,248","1,111","1,367","1,950","1,949"
2021,8,80,"48,332","7,858","8,264","6,553","2,504","1,389","2,170","2,714","2,902","2,149","1,803","1,807","1,484","1,498",944,779,"1,014","1,264","1,236"
2021,8,90,"8,920","1,449","1,473","1,350",450,203,486,487,489,421,251,302,262,281,171,135,192,251,267
2021,8,100,357,52,53,45,13,14,14,23,28,25,15,15,10,12,6,9,3,9,11
2021,9,총,"763,270","143,392","179,476","107,390","44,343","20,314","41,575","31,586","33,196","22,671","18,339","19,935","17,110","20,972","11,120","10,370","14,649","13,100","13,732"
2021,9,0,"49,868","10,157","13,556","6,313","3,093","1,121","2,804","1,769","1,779","1,005",745,885,806,"1,630",859,841,"1,234",638,633
2021,9,10,"64,641","12,768","17,085","8,818","4,103","1,769","3,465","2,472","2,453","1,684","1,290","1,316","1,178","1,739",842,"1,000","1,073",738,848
2021,9,20,"76,898","17,397","20,990","11,190","3,837","1,469","3,888","3,042","2,555","1,573","1,305","1,321","1,096","1,877","1,122",975,"1,365",943,953
2021,9,30,"77,081","16,621","22,201","10,089","4,061","1,595","4,172","2,451","2,640","1,560","1,212","1,298","1,257","2,010","1,127","1,115","1,657",984,"1,031"
2021,9,40,"107,136","21,180","28,813","15,632","6,842","2,861","6,087","3,864","3,718","2,205","2,011","2,311","1,977","2,586","1,190","1,135","1,753","1,393","1,578"
2021,9,50,"127,910","23,154","30,351","18,091","7,545","3,252","7,570","5,025","5,734","4,024","3,172","3,605","2,945","3,245","1,735","1,589","2,364","2,207","2,302"
2021,9,60,"128,641","21,174","24,763","18,510","7,523","3,944","7,071","5,815","7,112","5,227","3,951","4,463","3,679","3,577","1,877","1,681","2,622","2,727","2,925"
2021,9,70,"73,283","11,513","11,897","10,756","4,366","2,693","3,850","3,922","3,770","2,798","2,573","2,611","2,411","2,513","1,246","1,107","1,364","1,949","1,944"
2021,9,80,"48,499","7,915","8,279","6,589","2,514","1,393","2,165","2,717","2,915","2,148","1,812","1,807","1,493","1,499",946,783,"1,017","1,263","1,244"
2021,9,90,"8,957","1,459","1,491","1,356",447,202,490,486,492,423,252,303,259,284,170,135,196,249,263
2021,9,100,356,54,50,46,12,15,13,23,28,24,16,15,9,12,6,9,4,9,11
2021,10,총,"763,709","143,599","179,759","107,372","44,359","20,278","41,604","31,561","33,225","22,670","18,342","19,921","17,074","20,937","11,089","10,385","14,698","13,119","13,717"
2021,10,0,"49,670","10,157","13,511","6,268","3,084","1,102","2,796","1,759","1,763",997,745,882,805,"1,612",848,838,"1,234",638,631
2021,10,10,"64,594","12,730","17,095","8,817","4,103","1,775","3,452","2,474","2,464","1,681","1,284","1,304","1,171","1,742",849,"1,002","1,072",734,845
2021,10,20,"76,838","17,393","20,990","11,158","3,855","1,467","3,893","3,055","2,561","1,556","1,310","1,316","1,079","1,871","1,103",967,"1,364",951,949
2021,10,30,"77,073","16,668","22,254","10,059","4,045","1,575","4,184","2,430","2,637","1,551","1,212","1,295","1,249","2,003","1,116","1,122","1,665",992,"1,016"
2021,10,40,"106,965","21,168","28,794","15,600","6,823","2,858","6,072","3,851","3,708","2,197","1,998","2,302","1,973","2,579","1,192","1,127","1,764","1,386","1,573"
2021,10,50,"127,961","23,170","30,422","18,104","7,538","3,244","7,587","5,005","5,715","4,028","3,173","3,606","2,931","3,235","1,730","1,603","2,374","2,198","2,298"
2021,10,60,"129,388","21,338","24,940","18,600","7,557","3,948","7,101","5,847","7,164","5,267","3,964","4,477","3,698","3,587","1,882","1,689","2,640","2,744","2,945"
2021,10,70,"73,139","11,495","11,883","10,762","4,374","2,703","3,829","3,907","3,746","2,793","2,565","2,608","2,403","2,497","1,237","1,104","1,353","1,943","1,937"
2021,10,80,"48,722","7,962","8,304","6,603","2,518","1,392","2,185","2,727","2,940","2,151","1,820","1,812","1,499","1,515",952,787,"1,031","1,274","1,250"
2021,10,90,"9,008","1,464","1,514","1,358",450,199,491,485,498,427,255,304,259,284,174,137,197,250,262
2021,10,100,351,54,52,43,12,15,14,21,29,22,16,15,7,12,6,9,4,9,11
2021,11,총,"764,041","143,780","180,094","107,344","44,275","20,244","41,672","31,507","33,236","22,680","18,303","19,928","17,066","20,903","11,088","10,350","14,714","13,169","13,688"
2021,11,0,"49,521","10,163","13,499","6,254","3,052","1,088","2,790","1,745","1,743",994,737,878,794,"1,609",835,828,"1,242",654,616
2021,11,10,"64,484","12,693","17,102","8,797","4,094","1,779","3,457","2,460","2,470","1,679","1,273","1,300","1,172","1,730",858,996,"1,057",728,839
2021,11,20,"76,740","17,392","20,975","11,122","3,834","1,473","3,869","3,038","2,571","1,550","1,311","1,313","1,070","1,859","1,102",969,"1,380",962,950
2021,11,30,"77,058","16,722","22,274","10,029","4,016","1,557","4,195","2,426","2,629","1,541","1,202","1,294","1,237","2,001","1,118","1,114","1,672","1,013","1,018"
2021,11,40,"106,932","21,154","28,861","15,566","6,809","2,856","6,082","3,859","3,701","2,194","1,995","2,284","1,975","2,580","1,195","1,119","1,750","1,381","1,571"
2021,11,50,"128,026","23,203","30,486","18,139","7,536","3,223","7,606","4,984","5,718","4,008","3,156","3,607","2,936","3,229","1,725","1,602","2,379","2,196","2,293"
2021,11,60,"130,030","21,465","25,112","18,645","7,575","3,967","7,149","5,870","7,192","5,320","3,986","4,510","3,715","3,602","1,887","1,689","2,646","2,759","2,941"
2021,11,70,"72,943","11,469","11,853","10,752","4,370","2,690","3,824","3,891","3,733","2,784","2,543","2,595","2,393","2,482","1,227","1,105","1,357","1,937","1,938"
2021,11,80,"48,929","7,993","8,362","6,637","2,520","1,402","2,187","2,728","2,945","2,158","1,825","1,827","1,510","1,526",961,787,"1,032","1,283","1,246"
2021,11,90,"9,047","1,476","1,520","1,359",457,198,501,488,504,429,262,305,257,275,173,136,195,247,265
2021,11,100,331,50,50,44,12,11,12,18,30,23,13,15,7,10,7,5,4,9,11
2021,12,총,"764,160","144,010","180,361","107,298","44,286","20,188","41,711","31,386","33,181","22,622","18,278","19,905","17,110","20,887","11,057","10,284","14,704","13,230","13,662"
2021,12,0,"49,365","10,152","13,487","6,220","3,043","1,083","2,771","1,729","1,724",993,729,865,793,"1,609",823,826,"1,234",668,616
2021,12,10,"64,281","12,688","17,087","8,757","4,086","1,776","3,462","2,446","2,459","1,644","1,259","1,279","1,172","1,733",858,960,"1,051",730,834
2021,12,20,"76,680","17,398","20,979","11,111","3,841","1,458","3,891","2,974","2,557","1,537","1,318","1,320","1,093","1,853","1,098",959,"1,388",968,937
2021,12,30,"76,950","16,754","22,294","10,003","3,997","1,546","4,193","2,398","2,606","1,531","1,191","1,292","1,227","2,000","1,120","1,098","1,669","1,023","1,008"
2021,12,40,"107,037","21,216","28,892","15,572","6,815","2,851","6,076","3,862","3,712","2,198","1,990","2,278","1,970","2,578","1,198","1,118","1,745","1,390","1,576"
2021,12,50,"128,042","23,249","30,570","18,127","7,540","3,205","7,618","4,969","5,686","3,988","3,147","3,610","2,938","3,234","1,709","1,589","2,375","2,204","2,284"
2021,12,60,"130,372","21,537","25,206","18,682","7,583","3,971","7,149","5,886","7,233","5,326","3,997","4,524","3,730","3,596","1,894","1,701","2,654","2,761","2,942"
2021,12,70,"72,832","11,439","11,839","10,766","4,370","2,686","3,838","3,879","3,703","2,790","2,540","2,576","2,396","2,469","1,211","1,100","1,354","1,934","1,942"
2021,12,80,"49,220","8,051","8,422","6,653","2,532","1,408","2,199","2,742","2,981","2,169","1,829","1,837","1,522","1,530",968,791,"1,039","1,297","1,250"
2021,12,90,"9,092","1,483","1,537","1,365",468,202,503,485,500,423,269,309,262,274,172,138,192,247,263
2021,12,100,289,43,48,42,11,2,11,16,20,23,9,15,7,11,6,4,3,8,10
