년도,월,나이,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021,10,70,"14,121","1,203","1,107","1,128",516,323,546,"1,894",956,841,"1,746","1,046",806,951,"1,058"
2021,10,80,"7,001",720,517,612,329,232,343,"1,011",423,447,831,444,314,362,416
2021,10,90,"1,286",130,115,127,74,63,62,154,69,72,132,84,58,63,83
2021,10,100,39,5,4,4,2,4,4,2,1,5,4,2,1,1,0
2021,11,총,"242,844","13,480","24,070","13,763","4,066","2,455","3,751","31,029","19,956","11,306","31,645","21,144","22,635","18,056","25,488"
2021,11,0,"26,412",858,"3,061","1,112",139,68,128,"2,903","2,288",687,"3,101","2,656","3,190","2,644","3,577"
2021,11,10,"24,435","1,084","2,256","1,216",232,127,188,"3,115","2,768",977,"3,415","2,643","2,099","1,625","2,690"
2021,11,20,"25,477","1,422","2,165","1,299",342,189,303,"3,562","1,956","1,448","3,959","1,953","3,019","1,544","2,316"
2021,11,30,"38,410","1,407","4,446","1,726",310,166,292,"4,193","2,833","1,332","4,673","3,353","5,069","3,876","4,734"
2021,11,40,"44,285","1,872","4,581","2,111",448,220,325,"5,400","4,238","1,828","5,857","4,567","4,111","3,336","5,391"
2021,11,50,"33,791","2,483","3,023","2,243",770,467,702,"5,265","2,603","2,125","4,617","2,494","2,191","1,858","2,950"
2021,11,60,"27,523","2,284","2,793","2,183",902,597,856,"3,532","1,816","1,539","3,311","1,907","1,755","1,787","2,261"
2021,11,70,"14,137","1,210","1,113","1,120",514,323,543,"1,886",958,842,"1,739","1,041",818,961,"1,069"
2021,11,80,"7,039",723,512,625,330,232,345,"1,013",425,451,833,444,325,362,419
2021,11,90,"1,296",131,116,123,77,62,65,158,71,73,136,85,56,62,81
2021,11,100,39,6,4,5,2,4,4,2,0,4,4,1,2,1,0
2021,12,총,"243,093","13,528","24,151","13,785","4,083","2,452","3,737","30,998","19,927","11,291","31,684","21,146","22,699","18,132","25,480"
2021,12,0,"26,323",859,"3,063","1,105",140,69,127,"2,887","2,262",683,"3,102","2,642","3,180","2,647","3,557"
2021,12,10,"24,525","1,085","2,275","1,214",238,128,190,"3,099","2,763",980,"3,434","2,652","2,115","1,651","2,701"
2021,12,20,"25,436","1,423","2,167","1,290",335,186,294,"3,560","1,959","1,430","3,941","1,963","3,014","1,554","2,320"
2021,12,30,"38,255","1,393","4,450","1,728",314,170,291,"4,155","2,803","1,329","4,667","3,322","5,070","3,860","4,703"
2021,12,40,"44,466","1,884","4,619","2,114",453,220,326,"5,396","4,245","1,832","5,875","4,581","4,151","3,371","5,399"
2021,12,50,"33,835","2,486","3,024","2,256",778,460,698,"5,267","2,605","2,125","4,617","2,502","2,200","1,857","2,960"
2021,12,60,"27,660","2,298","2,805","2,199",905,606,850,"3,566","1,826","1,542","3,323","1,913","1,770","1,792","2,265"
2021,12,70,"14,149","1,213","1,118","1,120",512,322,548,"1,874",962,838,"1,744","1,038",818,973,"1,069"
2021,12,80,"7,100",741,513,631,330,230,343,"1,032",430,456,833,450,323,365,423
2021,12,90,"1,307",140,114,123,76,58,66,160,72,72,144,82,56,61,83
2021,12,100,37,6,3,5,2,3,4,2,0,4,4,1,2,1,0
