년도,월,나이,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021,6,총,"12,457","4,983",420,567,720,420,941,877,918,"1,375",499,737
2021,6,0,626,340,10,24,29,20,38,35,25,63,27,15
2021,6,10,768,402,11,40,37,23,38,35,37,97,21,27
2021,6,20,815,409,16,25,34,15,60,57,70,74,19,36
2021,6,30,806,428,8,27,34,28,35,52,43,97,33,21
2021,6,40,"1,088",548,25,43,49,25,74,62,50,125,42,45
2021,6,50,"1,926",738,74,92,112,71,154,116,135,236,87,111
2021,6,60,"2,368",800,118,110,144,94,198,179,179,286,108,152
2021,6,70,"2,043",681,82,100,126,70,162,167,201,206,74,174
2021,6,80,"1,709",549,64,87,133,71,143,149,151,156,74,132
2021,6,90,297,83,11,19,22,3,37,25,26,34,13,24
2021,6,100,11,5,1,0,0,0,2,0,1,1,1,0
2021,7,총,"12,415","4,955",418,563,714,419,941,883,917,"1,368",498,739
2021,7,0,615,328,10,24,27,19,39,35,26,64,27,16
2021,7,10,768,406,11,40,37,24,38,34,38,94,20,26
2021,7,20,800,400,16,25,31,14,59,58,68,73,19,37
2021,7,30,796,416,8,26,35,28,38,54,43,96,32,20
2021,7,40,"1,083",550,23,43,48,25,74,62,52,121,41,44
2021,7,50,"1,918",733,74,91,110,71,152,119,132,237,86,113
2021,7,60,"2,376",803,119,111,145,95,198,179,178,282,112,154
2021,7,70,"2,037",680,81,99,126,70,163,165,198,209,72,174
2021,7,80,"1,711",549,64,85,133,69,142,151,155,157,75,131
2021,7,90,299,85,11,19,22,4,36,25,26,34,13,24
2021,7,100,12,5,1,0,0,0,2,1,1,1,1,0
2021,8,총,"12,380","4,951",414,561,710,417,936,878,915,"1,364",493,741
2021,8,0,605,327,10,24,26,18,38,35,25,60,26,16
2021,8,10,768,412,11,40,37,24,38,32,37,94,17,26
2021,8,20,785,392,14,25,30,15,59,55,68,74,18,35
2021,8,30,790,417,7,25,34,26,37,53,42,95,33,21
2021,8,40,"1,072",544,24,42,47,26,71,62,53,121,39,43
2021,8,50,"1,914",734,74,91,109,70,151,119,132,235,85,114
2021,8,60,"2,389",806,119,109,145,96,199,179,180,286,113,157
2021,8,70,"2,040",681,82,101,127,68,165,166,196,208,72,174
2021,8,80,"1,699",545,61,85,132,70,141,150,154,155,76,130
2021,8,90,306,88,11,19,23,4,35,26,27,35,13,25
2021,8,100,12,5,1,0,0,0,2,1,1,1,1,0
2021,9,총,"12,346","4,935",419,562,711,416,930,875,907,"1,360",495,736
2021,9,0,596,326,10,23,26,18,38,37,21,57,25,15
2021,9,10,763,405,11,41,37,22,37,34,38,95,17,26
2021,9,20,778,393,14,25,30,16,56,53,65,73,20,33
2021,9,30,779,406,9,24,34,26,37,53,43,93,35,19
2021,9,40,"1,067",551,23,42,47,24,71,58,52,118,39,42
2021,9,50,"1,910",731,77,89,107,70,151,119,132,235,84,115
2021,9,60,"2,395",809,119,112,148,96,195,180,178,288,112,158
2021,9,70,"2,028",674,83,101,128,68,166,164,196,207,70,171
2021,9,80,"1,713",549,61,86,131,72,142,151,152,158,79,132
2021,9,90,305,86,11,19,23,4,35,25,29,35,13,25
2021,9,100,12,5,1,0,0,0,2,1,1,1,1,0
2021,10,총,"12,319","4,931",418,561,713,417,924,867,901,"1,355",492,740
2021,10,0,589,327,10,22,25,18,37,36,21,56,22,15
2021,10,10,763,405,12,41,37,22,35,34,38,94,19,26
2021,10,20,773,391,13,25,30,15,54,55,63,72,19,36
2021,10,30,777,408,9,25,35,27,39,52,42,87,34,19
2021,10,40,"1,065",547,24,43,47,25,72,57,51,119,39,41
2021,10,50,"1,903",730,75,88,109,70,146,118,132,234,81,120
2021,10,60,"2,401",812,120,112,148,96,197,179,177,291,114,155
2021,10,70,"2,022",671,84,100,128,68,166,163,195,206,69,172
2021,10,80,"1,708",549,59,87,130,70,141,148,152,160,81,131
2021,10,90,306,86,11,18,24,6,35,24,29,35,13,25
2021,10,100,12,5,1,0,0,0,2,1,1,1,1,0
2021,11,총,"12,336","4,948",420,555,711,416,929,867,895,"1,362",493,740
2021,11,0,591,328,10,21,25,18,37,36,22,58,22,14
2021,11,10,760,407,12,40,37,22,33,33,36,95,19,26
2021,11,20,782,397,13,21,32,16,59,55,62,73,19,35
2021,11,30,772,405,9,25,34,26,40,52,41,88,34,18
2021,11,40,"1,065",551,23,42,48,25,71,55,51,119,37,43
2021,11,50,"1,917",735,78,90,109,70,149,119,130,236,83,118
2021,11,60,"2,412",814,120,112,147,95,199,182,177,292,115,159
2021,11,70,"2,010",669,85,97,128,68,163,161,195,203,70,171
2021,11,80,"1,711",550,58,89,128,69,142,149,151,162,81,132
2021,11,90,304,87,11,18,23,7,34,24,29,35,12,24
2021,11,100,12,5,1,0,0,0,2,1,1,1,1,0
2021,12,총,"12,320","4,932",421,553,710,415,933,867,895,"1,366",494,734
2021,12,0,585,326,10,20,25,18,37,36,21,57,21,14
2021,12,10,752,402,11,39,37,22,34,33,37,94,19,24
2021,12,20,778,391,16,21,34,16,58,56,61,71,20,34
2021,12,30,764,405,10,24,30,24,40,52,41,86,34,18
2021,12,40,"1,061",547,23,40,49,28,70,55,50,119,37,43
2021,12,50,"1,931",743,77,91,108,68,152,119,136,238,84,115
2021,12,60,"2,416",810,120,114,147,95,198,181,179,298,115,159
2021,12,70,"1,992",661,86,96,129,67,165,160,187,202,69,170
2021,12,80,"1,726",559,56,89,128,69,143,148,154,165,81,134
2021,12,90,307,87,11,19,23,8,34,26,28,35,13,23
2021,12,100,8,1,1,0,0,0,2,1,1,1,1,0
