년도,월,나이,서구,검암경서동,연희동,청라1동,청라2동,청라3동,가정1동,가정2동,가정3동,석남1동,석남2동,석남3동,신현원창동,가좌1동,가좌2동,가좌3동,가좌4동,검단동,불로대곡동,원당동,당하동,오류왕길동,마전동,아라동
2020,7,30,"81,035","8,573","5,063","6,031","8,506","5,390","5,040",916,"1,206","2,969","1,623","1,597","4,568","1,513","2,640","1,894","1,704","4,755","2,636","3,480","4,680","3,316","2,935",
2020,7,40,"96,126","8,587","6,477","6,500","9,934","5,763","4,540",861,"1,359","3,362","1,934","2,251","5,069","1,893","3,062","2,302","1,636","5,963","4,568","5,632","5,522","4,371","4,540",
2020,7,50,"93,241","6,862","8,764","3,957","6,543","3,737","4,683","1,627","2,309","4,780","2,799","3,177","6,107","2,549","4,043","3,419","2,039","5,792","3,873","3,490","4,461","4,420","3,810",
2020,7,60,"56,204","3,916","5,048","1,810","3,322","1,819","3,193",973,"1,391","3,389","2,236","2,130","4,157","1,730","2,802","2,751","1,610","3,316","2,153","1,756","2,091","2,656","1,955",
2020,7,70,"24,006","1,690","2,250",642,"1,141",542,"1,287",288,509,"1,461","1,023",983,"1,547",842,"1,066","1,262",633,"1,547","1,292",944,932,"1,179",946,
2020,7,80,"10,050",604,"1,102",294,428,225,524,126,245,577,412,416,554,325,466,523,263,625,600,385,421,523,412,
2020,7,90,"1,622",98,194,42,73,46,91,33,26,93,61,54,98,44,89,79,57,98,50,61,60,102,73,
2020,7,100,101,7,10,2,3,1,7,7,2,10,4,1,7,3,2,6,6,10,6,4,2,1,0,
2020,8,총,"543,627","46,150","41,621","31,472","48,969","29,555","28,379","6,666","9,917","22,873","13,531","14,848","32,364","12,115","20,642","16,603","10,977","33,043","22,829","24,577","28,398","24,815","23,283",
2020,8,0,"51,351","4,834","2,496","3,967","7,011","4,710","3,354",357,500,"1,286",749,657,"2,829",605,"1,448",713,785,"2,775","2,000","2,661","3,061","2,354","2,199",
2020,8,10,"56,932","4,473","3,640","4,423","6,226","3,748","2,138",434,792,"1,622",941,"1,292","3,068",893,"1,978","1,315",800,"3,465","2,880","3,480","3,337","2,706","3,281",
2020,8,20,"72,976","6,590","6,608","3,858","5,793","3,138","3,516","1,060","1,594","3,331","1,756","2,311","4,377","1,696","3,040","2,344","1,447","4,734","2,863","2,711","3,852","3,180","3,177",
2020,8,30,"80,705","8,505","5,049","5,976","8,465","5,559","5,009",903,"1,208","2,962","1,609","1,597","4,556","1,521","2,623","1,885","1,700","4,713","2,587","3,422","4,639","3,315","2,902",
2020,8,40,"95,900","8,556","6,440","6,469","9,931","5,924","4,533",861,"1,348","3,337","1,918","2,222","5,044","1,879","3,058","2,301","1,624","5,945","4,528","5,609","5,508","4,351","4,514",
2020,8,50,"93,215","6,865","8,739","3,960","6,563","3,788","4,689","1,615","2,287","4,774","2,796","3,175","6,100","2,543","4,044","3,401","2,022","5,772","3,863","3,533","4,456","4,419","3,811",
2020,8,60,"56,627","3,922","5,076","1,827","3,349","1,861","3,219",974,"1,407","3,417","2,249","2,138","4,180","1,759","2,818","2,769","1,635","3,338","2,159","1,759","2,135","2,681","1,955",
2020,8,70,"24,056","1,701","2,250",650,"1,122",554,"1,292",291,514,"1,470","1,031",983,"1,551",840,"1,071","1,258",632,"1,558","1,283",954,919,"1,183",949,
2020,8,80,"10,117",600,"1,115",295,433,225,528,131,241,571,416,416,553,332,467,527,267,634,609,383,428,522,424,
2020,8,90,"1,648",99,197,45,73,47,94,33,24,93,62,56,99,44,93,84,59,99,51,61,61,103,71,
2020,8,100,100,5,11,2,3,1,7,7,2,10,4,1,7,3,2,6,6,10,6,4,2,1,0,
2020,9,총,"543,365","46,022","41,531","31,478","48,920","29,963","28,291","6,666","9,893","22,844","13,514","14,716","32,291","12,177","20,624","16,602","10,943","32,995","22,820","24,567","28,413","24,791","23,304",
2020,9,0,"50,967","4,783","2,464","3,939","6,942","4,734","3,324",355,495,"1,265",743,646,"2,798",611,"1,440",708,789,"2,758","1,981","2,625","3,044","2,347","2,176",
2020,9,10,"56,865","4,463","3,617","4,432","6,257","3,780","2,122",429,788,"1,610",938,"1,283","3,070",888,"1,965","1,308",794,"3,441","2,866","3,487","3,339","2,696","3,292",
2020,9,20,"72,893","6,557","6,580","3,884","5,755","3,205","3,509","1,056","1,586","3,308","1,756","2,277","4,346","1,720","3,034","2,343","1,434","4,731","2,869","2,720","3,865","3,165","3,193",
2020,9,30,"80,373","8,422","5,028","5,894","8,417","5,637","4,967",905,"1,204","2,980","1,607","1,591","4,523","1,539","2,607","1,877","1,698","4,667","2,576","3,399","4,626","3,317","2,892",
2020,9,40,"95,796","8,543","6,394","6,511","9,957","6,021","4,523",861,"1,348","3,303","1,906","2,196","5,037","1,874","3,055","2,290","1,601","5,923","4,534","5,610","5,497","4,331","4,481",
2020,9,50,"93,342","6,896","8,734","3,973","6,580","3,839","4,677","1,620","2,274","4,763","2,803","3,145","6,085","2,541","4,052","3,408","2,014","5,789","3,868","3,556","4,476","4,415","3,834",
2020,9,60,"57,086","3,947","5,140","1,853","3,380","1,914","3,246",974,"1,416","3,462","2,250","2,134","4,203","1,781","2,836","2,781","1,643","3,377","2,162","1,757","2,144","2,715","1,971",
2020,9,70,"24,113","1,709","2,242",651,"1,116",556,"1,292",292,514,"1,480","1,028",973,"1,568",838,"1,068","1,264",637,"1,568","1,293",960,925,"1,178",961,
2020,9,80,"10,158",598,"1,125",294,432,228,526,133,242,571,414,414,555,337,467,531,268,634,615,389,432,523,430,
2020,9,90,"1,666",99,194,45,80,48,98,34,24,92,65,55,99,45,98,86,59,95,50,60,63,103,74,
2020,9,100,106,5,13,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0,
2020,10,총,"542,982","45,921","41,450","31,412","48,939","30,242","28,314","6,647","9,880","22,839","13,479","14,478","32,283","12,217","20,572","16,599","10,905","33,027","22,829","24,536","28,362","24,782","23,269",
2020,10,0,"50,571","4,716","2,442","3,894","6,920","4,758","3,314",350,488,"1,259",727,635,"2,798",613,"1,426",690,793,"2,730","1,954","2,586","2,999","2,323","2,156",
2020,10,10,"56,780","4,454","3,591","4,418","6,283","3,798","2,118",425,782,"1,601",941,"1,261","3,045",894,"1,961","1,296",789,"3,445","2,864","3,494","3,349","2,688","3,283",
2020,10,20,"72,846","6,541","6,587","3,884","5,743","3,275","3,498","1,042","1,583","3,303","1,751","2,219","4,342","1,731","3,004","2,345","1,413","4,747","2,878","2,731","3,864","3,171","3,194",
2020,10,30,"80,037","8,370","4,976","5,853","8,391","5,650","4,970",893,"1,203","2,977","1,593","1,560","4,520","1,558","2,614","1,866","1,685","4,668","2,565","3,364","4,596","3,290","2,875",
2020,10,40,"95,590","8,517","6,377","6,483","9,970","6,092","4,503",851,"1,346","3,278","1,901","2,164","5,002","1,862","3,046","2,279","1,593","5,908","4,529","5,592","5,494","4,333","4,470",
2020,10,50,"93,460","6,906","8,697","4,008","6,607","3,891","4,699","1,629","2,269","4,770","2,795","3,077","6,080","2,542","4,035","3,402","2,009","5,801","3,881","3,583","4,491","4,437","3,851",
2020,10,60,"57,517","3,987","5,203","1,870","3,397","1,933","3,267",987,"1,424","3,487","2,265","2,126","4,253","1,782","2,851","2,820","1,656","3,411","2,178","1,764","2,157","2,732","1,967",
2020,10,70,"24,196","1,715","2,247",657,"1,113",570,"1,302",296,512,"1,486","1,026",970,"1,582",847,"1,062","1,271",633,"1,573","1,304",962,918,"1,185",965,
2020,10,80,"10,209",610,"1,125",298,430,226,536,134,246,577,407,410,557,341,474,538,271,636,616,396,427,518,436,
2020,10,90,"1,670",100,192,45,81,48,100,33,25,91,69,54,97,44,97,86,57,96,54,60,65,104,72,
2020,10,100,106,5,13,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0,
2020,11,총,"542,611","45,910","41,436","31,397","48,933","30,380","28,293","6,637","9,833","22,755","13,455","14,329","32,205","12,250","20,549","16,583","10,914","33,051","22,827","24,564","28,320","24,738","23,252",
2020,11,0,"50,207","4,679","2,413","3,875","6,904","4,739","3,293",340,475,"1,238",711,621,"2,777",621,"1,427",671,798,"2,711","1,932","2,568","2,973","2,304","2,137",
2020,11,10,"56,677","4,442","3,577","4,415","6,295","3,826","2,130",419,771,"1,569",942,"1,238","3,036",893,"1,953","1,286",789,"3,455","2,850","3,504","3,323","2,674","3,290",
2020,11,20,"72,752","6,541","6,586","3,908","5,745","3,269","3,480","1,041","1,590","3,295","1,747","2,211","4,309","1,731","2,998","2,351","1,403","4,736","2,873","2,727","3,881","3,158","3,172",
2020,11,30,"79,806","8,346","4,972","5,807","8,314","5,674","4,950",886,"1,191","2,981","1,582","1,551","4,526","1,576","2,587","1,857","1,682","4,668","2,568","3,377","4,568","3,276","2,867",
2020,11,40,"95,517","8,531","6,338","6,491","10,014","6,122","4,509",857,"1,337","3,243","1,899","2,115","4,972","1,867","3,060","2,277","1,594","5,910","4,515","5,598","5,478","4,318","4,472",
2020,11,50,"93,427","6,914","8,717","4,015","6,601","3,924","4,687","1,629","2,245","4,759","2,790","3,038","6,056","2,535","4,023","3,383","2,013","5,788","3,908","3,602","4,501","4,452","3,847",
2020,11,60,"57,935","4,014","5,242","1,888","3,430","1,975","3,289",997,"1,445","3,498","2,267","2,130","4,290","1,786","2,861","2,839","1,658","3,463","2,183","1,767","2,183","2,737","1,993",
2020,11,70,"24,287","1,721","2,259",660,"1,118",576,"1,309",292,508,"1,495","1,039",960,"1,579",855,"1,066","1,278",635,"1,573","1,313",963,917,"1,199",972,
2020,11,80,"10,227",617,"1,125",294,429,226,540,136,244,574,405,409,559,340,476,546,278,640,622,393,430,516,428,
2020,11,90,"1,669",100,193,42,79,48,99,33,25,93,69,54,94,43,96,89,58,95,57,61,64,103,74,
2020,11,100,107,5,14,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0,
2020,12,총,"542,040","45,777","41,389","31,412","48,926","30,437","28,304","6,637","9,804","22,742","13,415","14,195","32,203","12,251","20,441","16,555","10,865","33,016","22,826","24,579","28,339","24,733","23,194",
2020,12,0,"49,907","4,598","2,422","3,853","6,852","4,730","3,296",340,467,"1,231",698,611,"2,765",628,"1,408",663,785,"2,695","1,930","2,548","2,956","2,300","2,131",
2020,12,10,"56,627","4,451","3,551","4,434","6,316","3,847","2,117",424,764,"1,562",937,"1,233","3,018",881,"1,944","1,276",797,"3,442","2,838","3,508","3,328","2,675","3,284",
2020,12,20,"72,603","6,520","6,570","3,921","5,747","3,276","3,482","1,024","1,577","3,289","1,731","2,175","4,311","1,745","2,962","2,351","1,380","4,736","2,868","2,750","3,875","3,152","3,161",
2020,12,30,"79,439","8,296","4,943","5,768","8,238","5,659","4,950",908,"1,185","2,962","1,572","1,537","4,501","1,581","2,554","1,837","1,672","4,651","2,571","3,350","4,566","3,285","2,853",
2020,12,40,"95,351","8,522","6,290","6,525","10,066","6,130","4,513",845,"1,329","3,244","1,886","2,079","4,974","1,855","3,046","2,271","1,592","5,882","4,487","5,582","5,481","4,317","4,435",
2020,12,50,"93,412","6,914","8,718","4,015","6,608","3,938","4,681","1,621","2,250","4,747","2,803","3,006","6,065","2,525","4,001","3,385","2,001","5,775","3,929","3,614","4,523","4,427","3,866",
2020,12,60,"58,312","4,035","5,286","1,899","3,458","2,008","3,304","1,008","1,456","3,528","2,279","2,133","4,319","1,792","2,874","2,834","1,663","3,509","2,200","1,797","2,193","2,747","1,990",
2020,12,70,"24,355","1,723","2,269",659,"1,122",576,"1,321",295,504,"1,500","1,034",960,"1,590",857,"1,069","1,279",633,"1,577","1,318",968,919,"1,212",970,
2020,12,80,"10,255",614,"1,133",294,435,225,533,132,243,576,402,408,559,342,484,553,279,644,621,395,433,518,432,
2020,12,90,"1,669",100,192,42,80,47,100,33,26,93,69,51,94,42,96,99,57,93,58,63,63,99,72,
2020,12,100,110,4,15,2,4,1,7,7,3,10,4,2,7,3,3,7,6,12,6,4,2,1,0,
2021,1,총,"541,823","45,828","41,317","31,425","48,908","30,488","28,295","6,615","9,822","22,744","13,341","14,147","32,174","12,240","20,424","16,519","10,868","33,044","22,816","24,582","28,330","24,717","23,179",
2021,1,0,"49,508","4,569","2,392","3,840","6,776","4,707","3,280",342,461,"1,229",680,598,"2,749",627,"1,394",660,787,"2,673","1,902","2,519","2,932","2,276","2,115",
2021,1,10,"56,574","4,462","3,528","4,458","6,348","3,869","2,111",408,763,"1,566",930,"1,229","2,995",880,"1,934","1,257",798,"3,440","2,821","3,516","3,322","2,675","3,264",
2021,1,20,"72,446","6,489","6,568","3,900","5,718","3,279","3,477","1,017","1,568","3,279","1,723","2,172","4,320","1,732","2,945","2,372","1,370","4,725","2,874","2,756","3,851","3,142","3,169",
2021,1,30,"79,070","8,296","4,931","5,711","8,197","5,636","4,896",913,"1,203","2,952","1,559","1,534","4,480","1,578","2,544","1,809","1,644","4,662","2,543","3,317","4,547","3,261","2,857",
2021,1,40,"95,245","8,526","6,244","6,538","10,074","6,160","4,550",827,"1,318","3,220","1,882","2,062","4,951","1,841","3,049","2,267","1,616","5,851","4,485","5,578","5,462","4,332","4,412",
2021,1,50,"93,480","6,934","8,694","4,064","6,665","3,958","4,671","1,617","2,255","4,734","2,771","2,969","6,045","2,522","3,991","3,359","1,987","5,789","3,953","3,648","4,556","4,412","3,886",
2021,1,60,"58,932","4,085","5,349","1,913","3,485","2,030","3,336","1,021","1,476","3,570","2,295","2,159","4,374","1,811","2,906","2,853","1,673","3,544","2,233","1,806","2,241","2,774","1,998",
