년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,11,50,"31,817","1,815","1,937","1,656","2,214","1,866","1,420","2,690","2,218","1,660","1,698","3,122","2,893","3,043","1,637","1,948"
2020,11,60,"19,707","1,215","1,229","1,485","1,435","1,393","1,256","1,966","1,493","1,091",993,"1,738","1,149","1,398",760,"1,106"
2020,11,70,"7,156",579,552,575,572,505,491,790,455,357,382,581,342,475,239,261
2020,11,80,"2,338",202,181,192,163,181,190,288,137,134,135,177,126,116,65,51
2020,11,90,298,22,26,17,18,29,22,30,27,15,22,27,15,17,2,9
2020,11,100,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2020,12,총,"192,570","9,807","10,361","8,970","11,034","10,607","7,945","13,070","12,704","9,119","9,180","18,393","18,008","23,907","12,268","17,197"
2020,12,0,"19,554",727,779,469,495,726,504,644,"1,200",714,772,"1,661","2,476","3,499","1,931","2,957"
2020,12,10,"21,943",995,"1,147",569,900,877,659,908,"1,334","1,022","1,469","2,791","3,237","3,041","1,436","1,558"
2020,12,20,"27,124","1,477","1,621","1,379","1,803","1,822","1,148","1,999","1,869","1,417","1,341","3,148","1,873","2,999","1,389","1,839"
2020,12,30,"28,546","1,206","1,244","1,318","1,541","1,689","1,181","1,749","1,948","1,330",816,"2,068","1,885","4,430","2,201","3,940"
2020,12,40,"33,779","1,562","1,657","1,320","1,909","1,511","1,075","1,986","2,014","1,377","1,550","3,060","3,994","4,844","2,597","3,323"
2020,12,50,"31,829","1,807","1,923","1,635","2,196","1,860","1,415","2,685","2,214","1,652","1,690","3,126","2,905","3,039","1,627","2,055"
2020,12,60,"19,913","1,225","1,232","1,486","1,437","1,399","1,254","1,983","1,501","1,094","1,006","1,749","1,152","1,442",774,"1,179"
2020,12,70,"7,210",583,553,583,570,508,494,794,452,362,378,586,347,472,245,283
2020,12,80,"2,356",203,178,193,164,184,191,288,138,134,136,177,126,124,66,54
2020,12,90,299,22,25,18,19,29,22,30,30,16,22,27,12,16,2,9
2020,12,100,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2021,1,총,"193,006","9,802","10,327","8,960","10,994","10,575","7,927","13,050","12,706","9,106","9,157","18,400","18,021","23,922","12,271","17,788"
