년도,월,나이,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021,7,10,"23,006","1,413","1,038","1,340",921,"2,362","1,849","1,067","1,022","1,735","2,103","1,465","2,387","1,928","2,376"
2021,7,20,"49,433","2,142","2,289","3,431","7,660","7,527","3,108","2,052","1,770","2,828","4,145","1,478","4,218","2,125","4,660"
2021,7,30,"44,456","2,323","2,837","3,320","3,427","5,533","3,343","1,947","1,851","3,020","3,509","2,341","4,479","2,344","4,182"
2021,7,40,"46,017","2,713","2,594","2,991","1,950","4,816","3,634","2,095","1,972","3,350","3,839","3,079","4,888","3,200","4,896"
2021,7,50,"48,625","2,983","2,723","3,284","1,947","5,142","4,054","2,647","2,514","3,908","4,548","2,143","4,422","2,974","5,336"
2021,7,60,"39,291","2,241","1,815","2,740","1,410","4,135","3,347","2,315","2,100","3,386","3,795","1,571","3,449","2,265","4,722"
2021,7,70,"23,519","1,355",971,"1,414",902,"2,645","1,970","1,632","1,213","1,925","2,204",916,"2,163","1,319","2,890"
2021,7,80,"11,457",767,443,708,508,"1,314",977,855,566,989,"1,122",437,992,584,"1,195"
2021,7,90,"1,537",89,63,126,69,197,123,89,80,132,150,55,136,77,151
2021,7,100,115,5,5,10,5,11,3,24,5,7,30,4,2,2,2
2021,8,총,"306,472","17,173","16,130","20,507","19,627","35,256","23,871","15,433","13,794","22,743","26,662","15,535","29,778","18,150","31,813"
2021,8,0,"19,285","1,171","1,414","1,199",680,"1,583","1,479",728,769,"1,465","1,209","2,083","2,618","1,355","1,532"
2021,8,10,"22,868","1,402","1,023","1,317",951,"2,343","1,852","1,045","1,007","1,721","2,108","1,462","2,383","1,926","2,328"
2021,8,20,"49,429","2,135","2,259","3,409","7,732","7,566","3,086","2,059","1,759","2,816","4,131","1,466","4,245","2,123","4,643"
2021,8,30,"44,423","2,314","2,830","3,322","3,450","5,552","3,333","1,943","1,858","3,028","3,526","2,308","4,475","2,320","4,164"
2021,8,40,"45,791","2,707","2,576","2,973","1,956","4,765","3,640","2,075","1,943","3,327","3,820","3,084","4,863","3,199","4,863"
2021,8,50,"48,561","2,972","2,729","3,283","1,964","5,147","4,045","2,651","2,486","3,903","4,526","2,138","4,413","2,975","5,329"
2021,8,60,"39,454","2,245","1,812","2,753","1,414","4,142","3,358","2,334","2,110","3,412","3,823","1,575","3,480","2,274","4,722"
2021,8,70,"23,463","1,364",971,"1,398",901,"2,622","1,967","1,621","1,205","1,928","2,206",919,"2,169","1,308","2,884"
2021,8,80,"11,545",769,448,717,505,"1,330",988,863,574,"1,004","1,131",439,994,589,"1,194"
2021,8,90,"1,537",89,63,124,69,195,120,90,78,133,152,57,136,79,152
2021,8,100,116,5,5,12,5,11,3,24,5,6,30,4,2,2,2
2021,9,총,"306,249","17,159","16,103","20,469","19,762","35,240","23,808","15,418","13,771","22,719","26,666","15,514","29,768","18,143","31,709"
2021,9,0,"19,150","1,156","1,409","1,195",676,"1,579","1,463",722,763,"1,461","1,201","2,073","2,608","1,346","1,498"
2021,9,10,"22,808","1,406","1,022","1,308",960,"2,325","1,854","1,038","1,010","1,706","2,104","1,470","2,358","1,933","2,314"
2021,9,20,"49,440","2,129","2,241","3,402","7,809","7,625","3,062","2,052","1,738","2,800","4,133","1,449","4,268","2,112","4,620"
2021,9,30,"44,304","2,312","2,820","3,308","3,475","5,528","3,321","1,934","1,860","3,019","3,533","2,297","4,461","2,302","4,134"
2021,9,40,"45,693","2,691","2,588","2,960","1,965","4,760","3,614","2,071","1,934","3,306","3,806","3,081","4,869","3,204","4,844"
2021,9,50,"48,569","2,981","2,720","3,289","1,960","5,130","4,040","2,657","2,471","3,917","4,531","2,149","4,423","2,972","5,329"
2021,9,60,"39,561","2,245","1,817","2,756","1,425","4,140","3,387","2,346","2,130","3,424","3,830","1,570","3,488","2,285","4,718"
2021,9,70,"23,429","1,367",967,"1,398",902,"2,611","1,957","1,620","1,196","1,928","2,200",920,"2,160","1,314","2,889"
2021,9,80,"11,632",777,452,718,513,"1,335",989,861,584,"1,018","1,141",443,998,596,"1,207"
2021,9,90,"1,544",90,62,123,72,195,118,93,80,133,157,58,132,77,154
2021,9,100,119,5,5,12,5,12,3,24,5,7,30,4,3,2,2
2021,10,총,"305,840","17,118","16,036","20,452","19,790","35,167","23,773","15,403","13,747","22,655","26,587","15,525","29,793","18,116","31,678"
2021,10,0,"19,059","1,162","1,398","1,193",668,"1,561","1,457",725,758,"1,451","1,183","2,060","2,629","1,333","1,481"
2021,10,10,"22,695","1,387","1,022","1,302",937,"2,328","1,844","1,034",996,"1,697","2,087","1,478","2,333","1,935","2,315"
2021,10,20,"49,234","2,118","2,198","3,377","7,843","7,588","3,053","2,043","1,730","2,771","4,120","1,443","4,272","2,087","4,591"
2021,10,30,"44,311","2,320","2,823","3,325","3,486","5,520","3,315","1,927","1,879","3,004","3,517","2,294","4,466","2,291","4,144"
2021,10,40,"45,500","2,645","2,566","2,966","1,976","4,755","3,571","2,054","1,909","3,294","3,771","3,076","4,882","3,206","4,829"
2021,10,50,"48,622","2,996","2,735","3,284","1,967","5,121","4,047","2,665","2,463","3,922","4,537","2,150","4,427","2,983","5,325"
2021,10,60,"39,656","2,253","1,816","2,753","1,412","4,146","3,421","2,350","2,142","3,422","3,825","1,585","3,490","2,306","4,735"
2021,10,70,"23,383","1,360",959,"1,393",908,"2,595","1,946","1,620","1,197","1,930","2,203",928,"2,161","1,297","2,886"
2021,10,80,"11,709",782,453,721,516,"1,348",998,869,587,"1,022","1,149",448,998,603,"1,215"
2021,10,90,"1,550",91,61,126,72,194,117,90,81,134,165,59,132,73,155
2021,10,100,121,4,5,12,5,11,4,26,5,8,30,4,3,2,2
2021,11,총,"305,443","17,135","16,006","20,412","19,791","35,097","23,719","15,354","13,733","22,686","26,574","15,454","29,797","18,044","31,641"
2021,11,0,"18,992","1,155","1,401","1,188",673,"1,553","1,446",720,761,"1,446","1,189","2,040","2,634","1,315","1,471"
2021,11,10,"22,593","1,382","1,017","1,300",906,"2,314","1,824","1,027","1,001","1,687","2,076","1,474","2,343","1,936","2,306"
2021,11,20,"49,111","2,127","2,187","3,355","7,864","7,567","3,037","2,044","1,725","2,771","4,109","1,427","4,252","2,064","4,582"
2021,11,30,"44,269","2,314","2,821","3,337","3,498","5,520","3,316","1,918","1,868","3,016","3,508","2,278","4,464","2,273","4,138"
2021,11,40,"45,389","2,650","2,565","2,962","1,966","4,734","3,552","2,048","1,906","3,287","3,764","3,053","4,893","3,213","4,796"
2021,11,50,"48,671","3,009","2,732","3,271","1,969","5,141","4,057","2,651","2,455","3,951","4,550","2,149","4,417","2,971","5,348"
2021,11,60,"39,705","2,265","1,810","2,742","1,416","4,142","3,423","2,372","2,150","3,434","3,822","1,590","3,511","2,299","4,729"
2021,11,70,"23,314","1,345",957,"1,401",905,"2,565","1,940","1,612","1,191","1,927","2,203",929,"2,158","1,290","2,891"
2021,11,80,"11,747",789,452,719,517,"1,354","1,006",870,593,"1,025","1,156",451,990,606,"1,219"
2021,11,90,"1,554",94,59,128,72,198,114,89,78,133,167,59,128,76,159
2021,11,100,98,5,5,9,5,9,4,3,5,9,30,4,7,1,2
2021,12,총,"304,819","17,121","15,930","20,355","19,752","34,976","23,676","15,336","13,703","22,697","26,496","15,409","29,780","18,009","31,579"
2021,12,0,"18,881","1,152","1,386","1,177",667,"1,539","1,447",711,751,"1,436","1,190","2,023","2,639","1,305","1,458"
2021,12,10,"22,493","1,373","1,015","1,278",888,"2,294","1,822","1,043",990,"1,678","2,061","1,488","2,341","1,933","2,289"
2021,12,20,"48,896","2,132","2,158","3,338","7,829","7,531","3,021","2,022","1,719","2,776","4,097","1,418","4,238","2,052","4,565"
2021,12,30,"44,235","2,307","2,809","3,352","3,537","5,507","3,309","1,932","1,865","3,008","3,503","2,243","4,453","2,276","4,134"
2021,12,40,"45,250","2,624","2,551","2,957","1,969","4,700","3,551","2,036","1,894","3,278","3,741","3,055","4,909","3,206","4,779"
2021,12,50,"48,640","3,022","2,731","3,268","1,958","5,126","4,040","2,652","2,461","3,979","4,542","2,149","4,407","2,960","5,345"
2021,12,60,"39,700","2,272","1,812","2,729","1,412","4,129","3,425","2,368","2,146","3,451","3,834","1,591","3,506","2,298","4,727"
2021,12,70,"23,288","1,349",953,"1,403",899,"2,566","1,931","1,609","1,197","1,922","2,196",927,"2,150","1,293","2,893"
2021,12,80,"11,802",790,452,720,515,"1,369","1,011",872,596,"1,034","1,157",448,999,611,"1,228"
2021,12,90,"1,561",95,58,125,73,206,115,88,79,127,168,63,131,74,159
2021,12,100,73,5,5,8,5,9,4,3,5,8,7,4,7,1,2
