년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2021,10,10,"14,004",204,194,"2,007",540,550,"1,234","1,530",74,"1,383",104,90,"2,135","2,724","1,235"
2021,10,20,"19,191",526,507,"2,635","1,148","1,303","1,651","1,608",201,"1,432",263,267,"4,161","2,015","1,474"
2021,10,30,"26,602",585,617,"3,592","1,210","1,607","1,714","2,397",225,"2,093",253,286,"6,293","3,271","2,459"
2021,10,40,"29,173",589,492,"3,803","1,114","1,318","2,186","3,174",208,"2,646",304,270,"5,235","5,412","2,422"
2021,10,50,"22,565",814,589,"3,381","1,335","1,624","2,029","1,928",321,"1,878",488,404,"3,057","3,005","1,712"
2021,10,60,"18,605",840,536,"3,388","1,324","1,676","1,667","1,317",296,"1,298",443,414,"1,894","2,310","1,202"
2021,10,70,"8,496",301,234,"1,715",620,749,824,541,116,415,188,152,946,"1,168",527
2021,10,80,"2,291",94,63,496,191,199,253,136,40,89,91,62,206,245,126
2021,10,90,244,14,5,46,15,11,24,23,9,14,4,3,27,33,16
2021,10,100,12,3,0,3,1,2,0,2,0,0,1,0,0,0,0
2021,11,총,"159,264","4,120","3,416","23,151","7,954","9,553","12,622","14,738","1,524","13,325","2,187","2,011","26,592","23,391","14,680"
2021,11,0,"16,721",157,146,"2,061",478,528,"1,049","2,102",47,"1,921",61,68,"2,560","3,159","2,384"
2021,11,10,"14,166",201,194,"2,000",543,543,"1,226","1,545",74,"1,386",105,90,"2,154","2,753","1,352"
2021,11,20,"19,226",524,515,"2,622","1,127","1,301","1,650","1,599",198,"1,437",262,261,"4,167","2,017","1,546"
2021,11,30,"26,894",577,630,"3,607","1,204","1,612","1,719","2,360",226,"2,175",246,288,"6,284","3,227","2,739"
2021,11,40,"29,604",594,495,"3,794","1,121","1,314","2,170","3,180",199,"2,675",303,273,"5,246","5,438","2,802"
2021,11,50,"22,732",810,591,"3,382","1,328","1,620","2,042","1,931",321,"1,886",484,396,"3,082","3,020","1,839"
2021,11,60,"18,783",840,540,"3,415","1,329","1,678","1,660","1,310",296,"1,318",445,417,"1,909","2,319","1,307"
2021,11,70,"8,571",306,235,"1,717",612,753,828,550,115,425,184,152,956,"1,181",557
2021,11,80,"2,312",96,65,501,196,192,255,136,39,86,92,63,208,245,138
2021,11,90,246,14,5,49,15,11,23,23,9,16,4,3,26,32,16
2021,11,100,9,1,0,3,1,1,0,2,0,0,1,0,0,0,0
2021,12,총,"160,163","4,112","3,445","23,127","7,912","9,552","12,621","14,719","1,518","13,410","2,180","1,985","26,631","23,326","15,625"
2021,12,0,"16,819",153,150,"2,031",477,530,"1,036","2,091",42,"1,944",61,65,"2,538","3,108","2,593"
2021,12,10,"14,363",199,192,"2,001",540,543,"1,228","1,544",74,"1,404",103,92,"2,185","2,767","1,491"
2021,12,20,"19,192",533,521,"2,603","1,121","1,286","1,652","1,593",196,"1,433",260,256,"4,157","1,997","1,584"
2021,12,30,"26,941",573,643,"3,601","1,191","1,614","1,709","2,330",227,"2,173",243,280,"6,284","3,199","2,874"
2021,12,40,"29,884",587,501,"3,801","1,113","1,315","2,166","3,193",196,"2,697",299,269,"5,254","5,434","3,059"
2021,12,50,"22,873",807,596,"3,386","1,315","1,612","2,043","1,939",324,"1,905",488,396,"3,105","3,028","1,929"
2021,12,60,"18,878",844,536,"3,420","1,333","1,681","1,677","1,314",298,"1,322",448,414,"1,918","2,329","1,344"
2021,12,70,"8,617",307,234,"1,723",606,760,831,554,112,431,182,149,958,"1,183",587
2021,12,80,"2,349",95,67,508,199,198,256,138,41,87,92,61,207,252,148
2021,12,90,242,14,5,50,16,12,23,23,8,14,4,3,25,29,16
2021,12,100,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0
