년도,월,나이,강릉시,주문진읍,성산면,왕산면,구정면,강동면,옥계면,사천면,연곡면,홍제동,중앙동,옥천동,교1동,교2동,포남1동,포남2동,초당동,송정동,내곡동,강남동,성덕동,경포동
2021,4,70,"19,615","2,280",434,274,492,659,571,530,769,"1,084",674,570,"1,803",807,"1,126","1,123",367,598,"1,049","2,078","1,717",610
2021,4,80,"10,118","1,176",317,146,307,388,324,324,393,515,321,246,942,385,504,505,215,311,528,"1,052",932,287
2021,4,90,"1,679",207,52,25,71,66,50,57,57,96,80,27,127,68,65,98,32,58,81,152,147,63
2021,4,100,77,7,6,1,5,3,1,1,4,7,9,2,5,5,3,1,0,3,2,6,6,0
2021,5,총,"212,681","16,413","3,424","1,578","4,154","4,246","3,528","4,615","6,510","15,467","4,879","3,375","26,197","7,818","10,380","12,955","4,813","10,122","16,576","17,993","28,623","9,015"
2021,5,0,"13,202",641,134,26,214,102,114,194,357,"1,355",153,87,"1,770",358,432,564,294,918,"1,397",918,"2,426",748
2021,5,10,"18,642",956,192,38,270,185,147,242,463,"1,561",284,157,"2,990",606,727,"1,132",395,"1,026","1,535","1,529","3,451",756
2021,5,20,"24,893","1,440",284,90,329,411,275,416,494,"1,720",560,332,"3,607",936,"1,258","1,636",555,"1,135","2,464","2,016","3,461","1,474"
2021,5,30,"21,365","1,183",198,82,331,282,209,399,559,"2,006",431,280,"2,602",776,884,"1,272",546,"1,316","2,112","1,600","3,239","1,058"
2021,5,40,"32,029","2,013",370,103,496,428,325,566,950,"2,644",627,399,"4,551","1,030","1,409","1,829",726,"1,651","2,695","2,519","5,189","1,509"
2021,5,50,"36,420","2,966",670,315,688,758,656,849,"1,096","2,510",773,591,"4,489","1,416","1,971","2,457",926,"1,667","2,525","3,113","4,594","1,390"
2021,5,60,"34,686","3,541",768,484,952,963,863,"1,040","1,368","1,975",985,690,"3,308","1,443","2,004","2,329",754,"1,433","2,183","3,021","3,451","1,131"
2021,5,70,"19,580","2,278",437,271,490,662,561,529,768,"1,080",664,567,"1,809",804,"1,120","1,122",368,609,"1,054","2,062","1,722",603
2021,5,80,"10,125","1,180",312,144,307,388,327,320,392,513,320,244,943,382,504,515,218,307,530,"1,057",934,288
2021,5,90,"1,679",208,55,25,74,64,50,59,60,98,79,27,123,65,68,97,31,58,79,151,150,58
2021,5,100,60,7,4,0,3,3,1,1,3,5,3,1,5,2,3,2,0,2,2,7,6,0
2021,6,총,"212,784","16,443","3,428","1,578","4,159","4,246","3,515","4,636","6,511","15,481","4,866","3,394","26,215","7,831","10,377","12,976","4,821","10,132","16,592","17,982","28,590","9,011"
2021,6,0,"13,131",640,132,28,210,104,106,196,351,"1,359",147,90,"1,765",359,428,559,293,914,"1,385",927,"2,389",749
2021,6,10,"18,606",947,190,37,265,183,148,242,459,"1,545",292,161,"2,981",607,727,"1,133",397,"1,032","1,536","1,517","3,448",759
2021,6,20,"24,931","1,440",280,86,324,407,270,419,506,"1,724",563,335,"3,633",941,"1,250","1,650",556,"1,128","2,468","2,013","3,474","1,464"
2021,6,30,"21,368","1,192",201,84,330,284,213,405,554,"2,004",425,278,"2,626",774,885,"1,281",557,"1,314","2,097","1,591","3,220","1,053"
2021,6,40,"31,971","2,021",377,101,496,428,317,573,939,"2,647",634,398,"4,518","1,036","1,403","1,825",719,"1,648","2,695","2,505","5,177","1,514"
2021,6,50,"36,387","2,966",661,314,685,757,653,847,"1,096","2,507",754,594,"4,484","1,409","1,965","2,439",931,"1,679","2,535","3,112","4,607","1,392"
2021,6,60,"34,914","3,558",779,489,966,959,870,"1,051","1,386","1,999",989,697,"3,335","1,447","2,022","2,353",756,"1,433","2,197","3,032","3,467","1,129"
2021,6,70,"19,573","2,279",437,269,492,665,559,527,766,"1,079",660,567,"1,789",806,"1,122","1,120",365,613,"1,062","2,067","1,724",605
2021,6,80,"10,166","1,187",313,144,309,392,328,317,391,518,323,247,955,384,506,516,217,310,536,"1,057",929,287
2021,6,90,"1,679",206,54,26,79,65,50,58,60,94,76,26,124,66,66,98,30,59,79,154,150,59
2021,6,100,58,7,4,0,3,2,1,1,3,5,3,1,5,2,3,2,0,2,2,7,5,0
2021,7,총,"212,957","16,422","3,455","1,578","4,161","4,246","3,511","4,628","6,493","15,274","4,867","3,392","25,898","7,842","10,368","12,981","4,779","10,136","16,534","17,913","28,411","10,068"
2021,7,0,"13,097",630,134,29,212,101,104,187,342,"1,332",151,92,"1,692",360,421,563,286,908,"1,369",911,"2,356",917
2021,7,10,"18,570",945,190,39,266,186,147,241,458,"1,505",292,158,"2,920",603,713,"1,134",387,"1,027","1,529","1,516","3,411",903
2021,7,20,"24,932","1,445",286,86,328,410,270,419,509,"1,706",554,336,"3,620",949,"1,254","1,649",553,"1,129","2,454","2,001","3,441","1,533"
2021,7,30,"21,373","1,185",209,83,328,285,214,402,551,"1,990",422,265,"2,590",779,894,"1,278",551,"1,305","2,077","1,558","3,171","1,236"
2021,7,40,"31,957","2,005",379,99,490,424,316,576,940,"2,576",629,409,"4,427","1,034","1,401","1,824",701,"1,660","2,692","2,500","5,143","1,732"
2021,7,50,"36,432","2,964",661,313,693,757,650,839,"1,082","2,489",756,595,"4,450","1,406","1,957","2,425",932,"1,675","2,538","3,102","4,597","1,551"
2021,7,60,"35,106","3,571",790,491,963,966,874,"1,057","1,395","1,976",999,704,"3,329","1,457","2,027","2,375",758,"1,440","2,199","3,032","3,480","1,223"
2021,7,70,"19,558","2,274",433,267,494,662,558,530,761,"1,086",654,554,"1,785",803,"1,122","1,117",366,614,"1,065","2,067","1,723",623
2021,7,80,"10,192","1,193",318,145,305,388,326,316,392,515,330,252,954,384,510,517,214,313,530,"1,064",937,289
2021,7,90,"1,684",203,52,26,79,65,51,60,60,94,77,26,126,65,66,97,31,63,79,156,147,61
2021,7,100,56,7,3,0,3,2,1,1,3,5,3,1,5,2,3,2,0,2,2,6,5,0
2021,8,총,"213,025","16,431","3,457","1,576","4,167","4,228","3,496","4,647","6,458","15,232","4,845","3,398","25,782","7,815","10,337","12,897","4,761","10,117","16,481","17,882","28,305","10,713"
2021,8,0,"13,068",621,136,29,210,99,96,194,343,"1,310",151,86,"1,663",353,421,545,288,895,"1,362",911,"2,329","1,026"
2021,8,10,"18,564",956,190,37,274,187,150,243,455,"1,481",295,160,"2,893",602,709,"1,127",383,"1,022","1,520","1,495","3,394",991
2021,8,20,"24,888","1,448",281,88,327,407,267,419,501,"1,730",540,337,"3,610",936,"1,251","1,638",544,"1,135","2,420","2,004","3,414","1,591"
2021,8,30,"21,341","1,186",210,80,325,282,206,406,542,"1,978",416,267,"2,569",779,896,"1,257",550,"1,292","2,055","1,553","3,148","1,344"
2021,8,40,"31,880","1,993",380,97,491,420,310,575,946,"2,559",632,407,"4,395","1,025","1,387","1,806",689,"1,664","2,666","2,478","5,106","1,854"
2021,8,50,"36,524","2,962",657,313,688,749,653,838,"1,072","2,497",756,593,"4,439","1,402","1,955","2,417",927,"1,670","2,569","3,100","4,615","1,652"
2021,8,60,"35,241","3,579",795,495,969,966,878,"1,068","1,386","1,983",991,706,"3,340","1,466","2,024","2,371",764,"1,444","2,218","3,041","3,481","1,276"
2021,8,70,"19,539","2,282",434,265,497,665,551,531,757,"1,082",648,558,"1,781",797,"1,118","1,116",368,614,"1,062","2,063","1,725",625
2021,8,80,"10,242","1,191",319,147,305,388,333,312,393,514,337,258,960,391,506,520,217,318,526,"1,070",942,295
2021,8,90,"1,680",206,53,25,78,63,51,59,60,92,77,24,127,63,67,96,31,61,81,162,146,58
2021,8,100,58,7,2,0,3,2,1,2,3,6,2,2,5,1,3,4,0,2,2,5,5,1
2021,9,총,"213,151","16,579","3,448","1,582","4,178","4,243","3,480","4,643","6,403","15,186","4,822","3,405","25,776","7,780","10,412","12,873","4,751","10,104","16,457","17,837","28,200","10,992"
2021,9,0,"13,011",647,129,28,213,99,94,187,326,"1,289",155,86,"1,657",344,423,542,281,891,"1,351",915,"2,288","1,066"
2021,9,10,"18,578",981,190,35,271,192,148,241,449,"1,480",287,158,"2,903",604,731,"1,112",386,"1,002","1,514","1,483","3,374","1,037"
2021,9,20,"24,791","1,424",281,87,330,408,263,412,498,"1,715",539,342,"3,583",915,"1,260","1,639",544,"1,146","2,410","1,980","3,398","1,617"
2021,9,30,"21,330","1,226",204,78,327,285,200,402,532,"1,964",421,263,"2,578",779,894,"1,249",542,"1,281","2,052","1,549","3,129","1,375"
2021,9,40,"31,842","2,027",375,96,492,421,312,571,936,"2,559",611,400,"4,377","1,027","1,401","1,793",689,"1,656","2,643","2,473","5,062","1,921"
2021,9,50,"36,640","2,987",665,317,690,752,650,842,"1,070","2,507",759,600,"4,449","1,396","1,959","2,403",926,"1,675","2,576","3,095","4,624","1,698"
2021,9,60,"35,413","3,599",794,502,971,972,878,"1,083","1,384","1,981",992,705,"3,356","1,462","2,047","2,389",773,"1,444","2,230","3,051","3,511","1,289"
2021,9,70,"19,499","2,283",435,263,496,659,550,530,756,"1,068",636,563,"1,780",799,"1,122","1,117",365,627,"1,061","2,039","1,717",633
2021,9,80,"10,299","1,196",320,149,306,390,333,313,387,525,344,262,960,389,506,531,216,318,529,"1,082",944,299
2021,9,90,"1,689",202,53,27,78,63,51,58,62,92,76,24,128,64,66,95,29,62,89,165,149,56
2021,9,100,59,7,2,0,4,2,1,4,3,6,2,2,5,1,3,3,0,2,2,5,4,1
2021,10,총,"213,155","16,584","3,446","1,577","4,198","4,220","3,484","4,650","6,392","15,162","4,802","3,396","25,854","7,769","10,428","12,854","4,756","10,116","16,461","17,784","28,115","11,107"
2021,10,0,"12,932",648,127,28,214,99,95,184,324,"1,272",155,89,"1,663",339,416,539,279,886,"1,342",902,"2,252","1,079"
2021,10,10,"18,566",966,196,33,276,189,146,244,439,"1,481",282,156,"2,909",604,736,"1,113",397,998,"1,513","1,474","3,364","1,050"
2021,10,20,"24,771","1,427",275,87,335,406,265,421,495,"1,727",533,340,"3,588",921,"1,269","1,626",536,"1,148","2,396","1,966","3,373","1,637"
2021,10,30,"21,295","1,227",206,79,326,283,202,393,538,"1,948",416,262,"2,595",772,895,"1,240",538,"1,281","2,047","1,535","3,120","1,392"
2021,10,40,"31,784","2,025",374,94,488,419,308,570,922,"2,563",603,403,"4,389","1,022","1,392","1,800",697,"1,647","2,659","2,452","5,022","1,935"
2021,10,50,"36,647","2,987",661,313,700,750,646,848,"1,069","2,489",760,601,"4,457","1,393","1,971","2,385",924,"1,676","2,574","3,095","4,635","1,713"
2021,10,60,"35,581","3,616",794,501,980,961,890,"1,085","1,390","1,992",996,703,"3,372","1,472","2,045","2,395",775,"1,462","2,238","3,073","3,534","1,307"
2021,10,70,"19,499","2,280",440,266,491,654,550,535,762,"1,064",634,553,"1,777",789,"1,125","1,125",364,633,"1,067","2,033","1,717",640
2021,10,80,"10,331","1,200",318,149,304,396,332,308,390,526,344,262,967,391,512,532,217,321,534,"1,083",944,301
2021,10,90,"1,694",204,53,27,80,62,49,59,60,94,78,25,132,64,64,96,29,62,88,165,150,53
2021,10,100,55,4,2,0,4,1,1,3,3,6,1,2,5,2,3,3,0,2,3,6,4,0
2021,11,총,"213,093","16,629","3,466","1,578","4,208","4,219","3,493","4,647","6,341","15,160","4,790","3,392","25,881","7,737","10,422","12,840","4,742","10,113","16,438","17,745","28,099","11,153"
2021,11,0,"12,895",653,133,28,211,100,93,183,313,"1,266",153,88,"1,671",337,416,526,276,886,"1,348",892,"2,242","1,080"
2021,11,10,"18,528",953,197,31,272,185,147,239,441,"1,475",283,153,"2,907",604,735,"1,119",391,995,"1,508","1,463","3,371","1,059"
2021,11,20,"24,676","1,431",275,90,337,404,263,420,482,"1,723",529,329,"3,571",920,"1,264","1,620",530,"1,159","2,372","1,961","3,365","1,631"
2021,11,30,"21,267","1,226",207,79,326,285,208,386,532,"1,945",410,267,"2,597",762,885,"1,244",539,"1,277","2,033","1,535","3,115","1,409"
2021,11,40,"31,726","2,018",375,92,488,425,306,575,913,"2,558",601,395,"4,384","1,004","1,398","1,788",692,"1,644","2,676","2,433","5,022","1,939"
2021,11,50,"36,706","3,011",669,312,708,741,649,851,"1,063","2,492",761,607,"4,479","1,398","1,977","2,383",928,"1,674","2,554","3,103","4,622","1,724"
2021,11,60,"35,679","3,634",790,506,981,970,897,"1,084","1,389","2,005","1,000",713,"3,386","1,460","2,041","2,405",776,"1,466","2,254","3,070","3,542","1,310"
2021,11,70,"19,469","2,283",442,264,495,647,547,538,756,"1,067",629,548,"1,771",790,"1,126","1,117",363,633,"1,069","2,027","1,716",641
2021,11,80,"10,398","1,214",323,150,304,398,334,307,392,531,344,264,974,397,512,539,218,314,533,"1,091",952,307
2021,11,90,"1,694",200,53,26,82,63,48,61,57,93,79,26,136,63,65,97,29,63,87,165,148,53
2021,11,100,55,6,2,0,4,1,1,3,3,5,1,2,5,2,3,2,0,2,4,5,4,0
2021,12,총,"212,965","16,627","3,449","1,574","4,225","4,223","3,495","4,652","6,355","15,169","4,792","3,366","25,882","7,746","10,448","12,792","4,743","10,075","16,364","17,718","28,067","11,203"
2021,12,0,"12,837",644,129,28,212,102,92,185,313,"1,274",149,84,"1,668",335,414,520,272,893,"1,328",886,"2,220","1,089"
2021,12,10,"18,449",944,199,31,270,178,144,237,431,"1,462",283,151,"2,905",597,741,"1,112",388,994,"1,488","1,470","3,356","1,068"
2021,12,20,"24,560","1,428",267,89,338,404,260,419,481,"1,716",527,324,"3,574",934,"1,274","1,606",533,"1,139","2,325","1,945","3,358","1,619"
2021,12,30,"21,221","1,216",202,77,326,286,206,388,538,"1,952",411,264,"2,595",757,881,"1,247",544,"1,256","2,019","1,522","3,118","1,416"
2021,12,40,"31,762","2,025",378,93,493,411,309,577,922,"2,564",601,391,"4,394","1,005","1,407","1,774",693,"1,648","2,687","2,434","5,011","1,945"
2021,12,50,"36,670","3,000",671,315,712,748,645,849,"1,064","2,491",764,613,"4,460","1,397","1,985","2,365",922,"1,663","2,551","3,092","4,629","1,734"
2021,12,60,"35,766","3,655",787,505,982,983,906,"1,082","1,394","2,005",995,701,"3,394","1,466","2,043","2,407",776,"1,463","2,255","3,084","3,555","1,328"
2021,12,70,"19,512","2,289",440,259,500,644,548,540,761,"1,070",633,549,"1,777",786,"1,123","1,120",366,641,"1,085","2,024","1,719",638
2021,12,80,"10,438","1,224",320,153,305,399,335,313,388,534,350,263,973,403,511,543,220,312,537,"1,092",951,312
2021,12,90,"1,698",197,54,24,83,66,49,60,60,96,78,24,137,64,66,96,29,64,85,165,147,54
2021,12,100,52,5,2,0,4,2,1,2,3,5,1,2,5,2,3,2,0,2,4,4,3,0
