년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021,3,70,"6,769","2,208",322,387,373,314,302,202,228,184,202,504,339,565,639
2021,3,80,"4,258","1,105",195,233,240,231,235,147,198,179,147,292,240,354,462
2021,3,90,653,149,29,37,42,38,55,21,36,33,29,41,36,52,55
2021,3,100,14,3,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,4,총,"51,009","24,298","1,751","1,861","2,725","1,588","1,672",858,"1,429","1,116","1,020","3,585","1,734","3,063","4,309"
2021,4,0,"2,459","1,775",42,25,99,23,34,14,39,23,27,143,19,64,132
2021,4,10,"4,166","2,678",81,112,181,66,66,26,56,72,34,308,53,143,290
2021,4,20,"3,817","2,231",83,87,235,74,77,45,100,57,48,253,77,171,279
2021,4,30,"3,694","2,304",86,88,189,61,73,34,70,41,40,222,61,155,270
2021,4,40,"6,241","3,688",165,143,296,134,128,47,120,74,66,394,165,277,544
2021,4,50,"8,985","4,292",287,291,475,273,289,112,253,173,180,635,341,571,813
2021,4,60,"9,927","3,839",457,455,597,371,413,210,325,278,247,792,404,709,830
2021,4,70,"6,769","2,217",323,389,373,319,300,199,233,182,195,506,338,564,631
2021,4,80,"4,286","1,118",198,232,237,227,239,150,198,182,153,293,239,358,462
2021,4,90,651,153,28,39,42,39,53,21,34,33,28,39,36,50,56
2021,4,100,14,3,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,5,총,"50,987","24,276","1,752","1,853","2,724","1,589","1,666",861,"1,427","1,109","1,016","3,592","1,736","3,073","4,313"
2021,5,0,"2,429","1,756",42,25,99,24,32,13,37,22,26,145,16,64,128
2021,5,10,"4,159","2,678",78,109,181,67,60,28,58,71,31,312,54,141,291
2021,5,20,"3,817","2,232",83,83,232,69,78,45,100,57,50,257,76,173,282
2021,5,30,"3,665","2,280",85,87,188,64,72,34,70,40,40,222,60,150,273
2021,5,40,"6,206","3,684",165,138,290,134,124,49,119,74,65,384,166,283,531
2021,5,50,"8,986","4,288",290,290,485,277,293,110,250,168,179,637,336,568,815
2021,5,60,"9,975","3,852",460,455,594,370,417,211,324,279,247,796,410,717,843
2021,5,70,"6,768","2,220",321,392,375,317,299,198,231,181,195,509,336,565,629
2021,5,80,"4,310","1,128",197,235,238,227,238,152,201,181,153,292,245,360,463
2021,5,90,657,154,30,39,41,39,53,21,36,35,28,38,36,51,56
2021,5,100,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,6,총,"50,933","24,207","1,764","1,854","2,719","1,590","1,666",857,"1,432","1,109","1,026","3,587","1,743","3,067","4,312"
2021,6,0,"2,409","1,737",41,25,100,23,32,13,37,22,26,145,16,61,131
2021,6,10,"4,151","2,670",77,108,179,68,64,28,58,71,32,313,55,141,287
2021,6,20,"3,815","2,232",84,86,230,68,77,44,100,57,52,250,79,173,283
2021,6,30,"3,641","2,259",86,89,186,64,71,34,69,40,42,219,63,147,272
2021,6,40,"6,185","3,664",170,137,286,135,124,48,121,74,65,389,165,275,532
2021,6,50,"8,944","4,266",293,288,484,274,297,110,248,167,175,637,331,563,811
2021,6,60,"10,045","3,875",460,456,598,371,413,211,329,281,255,798,416,731,851
2021,6,70,"6,748","2,212",324,391,375,319,297,193,231,181,194,505,337,561,628
2021,6,80,"4,325","1,134",197,236,238,228,239,155,201,181,155,293,243,364,461
2021,6,90,655,154,31,38,42,39,52,21,37,34,28,38,37,50,54
2021,6,100,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,7,총,"50,894","24,200","1,766","1,855","2,718","1,592","1,655",857,"1,436","1,108","1,027","3,579","1,740","3,058","4,303"
2021,7,0,"2,386","1,716",40,25,97,22,32,13,39,22,25,143,20,62,130
2021,7,10,"4,147","2,672",78,108,180,70,62,28,58,71,31,313,55,139,282
2021,7,20,"3,808","2,233",84,86,228,67,75,45,99,55,54,249,75,174,284
2021,7,30,"3,626","2,246",86,90,185,67,70,33,70,41,42,216,63,147,270
2021,7,40,"6,152","3,657",168,139,285,134,119,49,125,72,65,386,163,268,522
2021,7,50,"8,933","4,277",294,290,483,273,297,110,243,165,170,630,330,560,811
2021,7,60,"10,103","3,892",465,454,601,374,416,210,334,285,260,803,420,732,857
2021,7,70,"6,736","2,213",322,390,374,317,293,192,226,180,195,508,334,559,633
2021,7,80,"4,331","1,133",199,237,243,229,240,156,204,181,155,290,243,363,458
2021,7,90,657,157,29,36,41,38,51,21,37,35,28,41,36,53,54
2021,7,100,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021,8,총,"50,803","24,161","1,773","1,844","2,702","1,598","1,645",860,"1,428","1,110","1,022","3,562","1,738","3,057","4,303"
2021,8,0,"2,362","1,702",40,25,94,22,32,12,39,21,25,143,19,59,129
2021,8,10,"4,140","2,669",80,106,180,70,57,28,57,72,31,312,55,142,281
2021,8,20,"3,769","2,223",79,86,225,69,73,44,95,54,51,241,73,174,282
2021,8,30,"3,593","2,229",87,85,178,70,67,33,69,40,43,216,62,149,265
2021,8,40,"6,098","3,632",169,134,284,132,115,49,125,73,63,378,164,262,518
2021,8,50,"8,918","4,277",291,287,480,268,296,109,241,166,168,632,329,559,815
2021,8,60,"10,140","3,898",473,456,599,380,420,212,337,286,258,801,419,736,865
2021,8,70,"6,761","2,237",322,393,377,317,292,195,221,181,197,507,335,553,634
2021,8,80,"4,348","1,129",203,237,245,231,243,157,205,180,156,292,245,368,457
2021,8,90,658,161,28,35,39,38,50,21,38,36,28,40,35,54,55
2021,8,100,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021,9,총,"50,732","24,135","1,773","1,840","2,692","1,591","1,643",855,"1,424","1,103","1,019","3,560","1,735","3,053","4,309"
2021,9,0,"2,350","1,689",42,23,97,20,33,11,42,21,26,139,19,57,131
2021,9,10,"4,129","2,671",80,103,179,69,59,27,56,69,30,313,54,142,277
2021,9,20,"3,737","2,213",79,86,218,67,69,44,91,53,48,240,73,174,282
2021,9,30,"3,541","2,197",88,86,172,70,65,33,70,39,40,213,60,148,260
2021,9,40,"6,059","3,606",170,131,285,128,117,50,120,75,65,372,164,253,523
2021,9,50,"8,940","4,293",289,287,478,268,289,106,243,165,169,636,330,563,824
2021,9,60,"10,156","3,911",471,457,598,383,426,213,339,283,257,803,416,736,863
2021,9,70,"6,777","2,248",321,396,382,317,293,192,219,182,197,510,338,551,631
2021,9,80,"4,362","1,141",205,235,241,230,241,159,201,180,158,293,243,374,461
2021,9,90,665,162,27,36,41,38,51,20,42,35,27,41,36,54,55
2021,9,100,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021,10,총,"50,634","24,085","1,766","1,836","2,678","1,585","1,645",853,"1,431","1,101","1,016","3,545","1,726","3,054","4,313"
2021,10,0,"2,325","1,667",40,23,97,20,33,11,41,23,26,139,18,56,131
2021,10,10,"4,114","2,665",81,100,176,67,60,28,57,69,29,310,50,145,277
2021,10,20,"3,689","2,186",77,91,212,67,66,42,94,54,47,234,71,167,281
2021,10,30,"3,495","2,173",88,83,168,68,63,32,70,38,37,213,59,152,251
2021,10,40,"6,037","3,600",168,128,286,123,119,49,119,77,66,365,162,252,523
2021,10,50,"8,975","4,314",287,288,474,271,290,107,248,161,170,640,334,561,830
2021,10,60,"10,167","3,913",470,457,598,385,430,214,339,282,259,802,414,733,871
2021,10,70,"6,770","2,254",320,392,383,319,289,192,219,180,194,511,335,553,629
2021,10,80,"4,370","1,146",206,237,241,226,242,158,200,183,159,289,244,376,463
2021,10,90,676,163,28,37,42,38,53,20,43,33,27,42,37,58,55
2021,10,100,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021,11,총,"50,558","24,057","1,764","1,833","2,676","1,584","1,639",855,"1,418","1,096","1,019","3,539","1,725","3,041","4,312"
2021,11,0,"2,298","1,646",40,23,97,20,34,11,40,22,24,139,17,53,132
2021,11,10,"4,112","2,664",82,101,175,67,60,29,56,69,31,317,48,140,273
2021,11,20,"3,672","2,178",74,91,211,68,66,42,88,54,48,229,72,167,284
2021,11,30,"3,458","2,152",88,81,166,67,63,31,69,38,40,213,58,140,252
2021,11,40,"6,038","3,604",169,133,288,122,119,51,116,76,66,359,159,254,522
2021,11,50,"8,967","4,326",285,285,466,271,284,106,244,160,168,637,342,564,829
2021,11,60,"10,170","3,915",466,456,605,388,430,214,339,285,262,799,411,728,872
2021,11,70,"6,746","2,254",320,389,380,315,287,191,222,173,194,514,331,553,623
2021,11,80,"4,387","1,144",210,239,245,223,244,158,202,184,155,290,246,382,465
2021,11,90,694,170,29,35,42,42,52,22,41,34,29,42,39,59,58
2021,11,100,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021,12,총,"50,478","23,986","1,769","1,821","2,671","1,590","1,638",861,"1,411","1,094","1,022","3,534","1,723","3,052","4,306"
2021,12,0,"2,277","1,631",40,24,98,20,32,11,37,22,26,137,17,51,131
2021,12,10,"4,058","2,634",79,96,172,64,56,29,57,66,31,311,47,142,274
2021,12,20,"3,688","2,186",76,89,212,72,67,43,84,55,46,233,73,168,284
2021,12,30,"3,408","2,114",89,78,163,69,61,32,67,40,40,213,56,140,246
2021,12,40,"6,031","3,603",170,131,289,120,119,51,113,74,66,358,159,256,522
2021,12,50,"8,946","4,310",286,283,473,270,283,110,245,157,169,633,342,564,821
2021,12,60,"10,190","3,919",464,455,598,390,435,214,344,286,264,802,409,735,875
2021,12,70,"6,763","2,261",325,385,378,320,288,191,219,176,193,512,335,550,630
2021,12,80,"4,398","1,150",210,243,244,223,245,158,203,183,153,293,244,387,462
2021,12,90,704,174,29,37,43,41,52,22,41,34,32,42,39,58,60
2021,12,100,15,4,1,0,1,1,0,0,1,1,2,0,2,1,1
