년도,월,나이,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020,9,90,159,17,2,21,1,12,12,7,10,5,10,13,8,8,14,4,15
2020,9,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,10,총,"34,924","2,823",566,"1,551",425,"1,283","1,511","1,144","1,375",992,"1,691","1,201","2,892","3,421","4,507","1,582","7,960"
2020,10,0,"2,128",100,21,49,6,28,42,24,33,42,40,38,216,228,362,59,840
2020,10,10,"3,031",180,32,95,23,184,69,76,60,43,69,48,230,294,500,87,"1,041"
2020,10,20,"3,452",249,44,96,15,83,116,134,90,62,119,69,319,356,511,127,"1,062"
2020,10,30,"3,054",204,25,87,18,64,91,60,74,54,130,75,320,350,416,137,949
2020,10,40,"4,722",340,65,145,47,108,166,111,145,109,196,119,389,463,700,209,"1,410"
2020,10,50,"6,215",546,132,287,102,205,275,218,290,183,337,240,473,573,748,309,"1,297"
2020,10,60,"6,408",585,132,378,119,288,347,276,319,283,374,318,495,609,699,322,864
2020,10,70,"4,023",425,77,256,65,188,254,147,238,136,290,197,315,409,398,242,386
2020,10,80,"1,712",174,36,136,29,123,139,90,112,74,121,82,127,130,157,85,97
2020,10,90,164,16,2,22,1,12,12,8,12,6,11,13,8,7,15,5,14
2020,10,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,11,총,"34,874","2,826",562,"1,550",423,"1,272","1,510","1,147","1,370",990,"1,681","1,203","2,864","3,427","4,514","1,572","7,963"
2020,11,0,"2,114",98,20,48,5,28,43,24,33,42,40,39,207,232,366,59,830
2020,11,10,"3,019",184,30,96,24,177,67,73,60,41,69,49,225,290,496,87,"1,051"
2020,11,20,"3,459",245,46,96,14,82,117,138,90,60,115,69,318,358,510,125,"1,076"
2020,11,30,"3,028",210,25,87,19,61,89,60,73,54,131,73,314,345,413,137,937
2020,11,40,"4,705",335,64,144,44,107,166,111,144,109,194,118,389,459,703,200,"1,418"
2020,11,50,"6,199",543,130,285,102,206,276,217,286,184,337,245,475,571,750,309,"1,283"
2020,11,60,"6,437",596,131,379,119,288,346,280,326,283,369,315,493,623,704,322,863
2020,11,70,"4,010",421,79,255,65,188,254,147,231,136,288,199,307,406,397,243,394
2020,11,80,"1,726",174,35,138,30,124,140,89,115,75,122,81,129,135,157,85,97
2020,11,90,162,16,2,22,1,11,12,8,10,6,12,13,7,6,17,5,14
2020,11,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,12,총,"35,000","2,830",571,"1,566",432,"1,270","1,517","1,141","1,388","1,000","1,692","1,193","2,844","3,454","4,521","1,580","8,001"
2020,12,0,"2,115",100,22,52,5,24,44,23,33,43,39,36,195,232,372,60,835
2020,12,10,"3,021",182,32,94,23,169,65,78,61,42,71,49,229,294,498,86,"1,048"
2020,12,20,"3,517",247,47,101,18,85,122,135,91,59,119,67,316,368,507,133,"1,102"
2020,12,30,"3,016",205,24,86,20,63,87,59,81,56,126,72,312,348,417,132,928
2020,12,40,"4,725",334,66,144,44,112,167,107,146,108,202,115,383,462,711,202,"1,422"
2020,12,50,"6,212",542,131,291,105,203,276,218,285,188,341,246,470,571,744,304,"1,297"
2020,12,60,"6,467",604,131,380,119,290,349,280,331,288,368,316,494,627,696,328,866
2020,12,70,"4,004",420,79,258,65,190,252,144,232,134,286,195,304,408,399,246,392
2020,12,80,"1,747",176,37,138,32,123,142,90,116,77,125,82,134,136,158,84,97
2020,12,90,162,16,2,22,1,11,13,7,10,5,12,13,7,6,18,5,14
2020,12,100,14,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,0
2021,1,총,"34,770","2,808",569,"1,552",431,"1,255","1,518","1,127","1,384",993,"1,679","1,189","2,847","3,427","4,477","1,569","7,945"
2021,1,0,"2,074",94,22,52,5,26,44,22,34,44,40,36,204,232,354,56,809
2021,1,10,"2,974",179,34,90,23,157,62,75,59,41,72,46,230,285,490,87,"1,044"
2021,1,20,"3,481",240,45,95,19,80,126,133,94,56,117,66,314,366,504,130,"1,096"
2021,1,30,"2,973",204,26,84,18,62,85,57,78,56,127,70,310,347,400,133,916
2021,1,40,"4,653",327,66,144,44,112,165,103,143,110,195,113,383,450,700,198,"1,400"
2021,1,50,"6,172",540,125,284,105,203,272,217,278,177,337,244,468,560,750,303,"1,309"
2021,1,60,"6,500",607,134,376,121,289,356,279,339,292,367,322,492,629,704,327,866
2021,1,70,"3,993",416,78,263,64,189,251,143,228,136,282,196,306,412,396,240,393
2021,1,80,"1,771",181,37,142,32,125,144,91,119,74,127,80,133,138,160,90,98
2021,1,90,164,16,2,22,0,12,13,7,10,7,12,14,7,6,18,5,13
2021,1,100,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021,2,총,"34,809","2,809",568,"1,549",438,"1,255","1,534","1,124","1,377","1,000","1,682","1,194","2,846","3,445","4,484","1,569","7,935"
2021,2,0,"2,058",97,22,51,6,25,46,22,32,43,40,38,205,232,344,56,799
2021,2,10,"2,969",177,32,87,23,149,63,76,56,42,71,48,230,289,494,90,"1,042"
2021,2,20,"3,470",234,46,99,19,80,131,129,93,55,118,68,309,367,500,127,"1,095"
2021,2,30,"2,966",205,27,79,19,63,89,58,77,57,126,73,307,344,398,135,909
2021,2,40,"4,668",330,63,141,44,112,167,101,141,110,193,113,384,462,713,195,"1,399"
2021,2,50,"6,171",539,125,288,109,204,269,218,275,178,341,243,471,563,744,300,"1,304"
2021,2,60,"6,549",611,135,380,121,295,358,277,344,298,368,318,495,629,715,331,874
2021,2,70,"3,981",410,79,260,64,190,251,143,226,133,282,196,305,409,394,239,400
