년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,5,50,"52,623","22,578","2,326",445,474,497,366,268,609,278,640,405,936,"1,010","1,674","2,141","3,433","4,173","2,903","30,045","2,338","2,014","1,882","1,011","1,726","1,919","1,211","3,197","1,676","2,802","4,296","3,058","2,915",,
2020,5,60,"30,301","14,890","1,347",485,497,446,394,266,585,264,573,381,692,724,"1,137","1,265","1,488","2,417","1,929","15,411","1,888","1,212","1,117",796,"1,126","1,193",913,"1,469",901,"1,161","1,259","1,252","1,124",,
2020,5,70,"13,259","6,976",665,258,265,249,230,146,272,171,333,167,389,456,450,577,517,976,855,"6,283","1,114",534,498,434,538,425,330,485,325,404,381,502,313,,
2020,5,80,"5,023","2,706",299,108,119,122,93,94,143,96,116,64,131,191,133,187,181,342,287,"2,317",454,206,230,195,175,121,109,186,125,103,127,191,95,,
2020,5,90,483,257,28,12,16,9,6,5,16,9,11,11,14,12,13,16,23,37,19,226,37,21,19,32,15,12,17,15,11,15,12,13,7,,
2020,5,100,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,6,총,"335,230","131,239","12,357","2,241","2,189","2,245","1,716","1,256","3,249","1,156","2,947","1,951","4,637","4,906","9,095","12,329","22,995","28,014","17,956","203,991","12,887","11,580","10,565","4,654","8,597","13,716","7,012","18,850","9,317","20,514","34,964","21,915","29,420",,
2020,6,0,"32,455","10,877",927,81,63,74,47,31,128,17,94,50,247,157,566,"1,183","2,587","3,185","1,440","21,578",696,988,732,160,419,522,496,"1,800",757,"2,981","5,433","1,864","4,730",,
2020,6,10,"35,867","13,843","1,492",126,120,125,88,52,188,52,163,84,422,391,762,"1,700","3,104","3,587","1,387","22,024","1,269","1,248","1,017",327,534,753,643,"2,700","1,304","2,937","4,716","2,065","2,511",,
2020,6,20,"50,266","18,816","1,522",244,209,233,148,114,513,86,303,261,630,659,"1,455","1,665","3,364","3,796","3,614","31,450","1,616","1,429","1,432",567,"1,345","3,266","1,280","3,126","1,438","2,697","4,380","4,710","4,164",,
2020,6,30,"56,719","17,838","1,334",196,164,199,127,117,355,59,294,247,504,579,"1,337","1,279","3,704","4,399","2,944","38,881","1,266","1,659","1,613",463,"1,331","3,388","1,050","2,635","1,220","3,478","7,530","4,635","8,613",,
2020,6,40,"57,776","22,319","2,390",289,250,288,216,163,437,126,404,286,678,731,"1,512","2,317","4,572","5,091","2,569","35,457","2,183","2,262","2,014",681,"1,372","2,138",969,"3,221","1,550","3,920","6,772","3,525","4,850",,
