년도,월,나이,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021,2,80,"4,804",394,172,178,333,252,183,163,236,324,184,51,308,149,176,278,184,216,184,246,124,171,298
2021,2,90,429,40,22,21,24,25,12,16,20,33,15,8,17,8,22,38,13,17,14,25,9,16,14
2021,2,100,46,1,3,6,7,1,1,3,1,3,1,4,1,0,3,1,0,1,3,0,2,2,2
2021,3,총,"242,817","17,856","7,714","6,438","17,963","16,234","7,449","6,727","15,587","10,841","8,560","3,747","17,491","8,279","9,323","16,657","14,164","8,264","9,177","15,260","6,495","6,486","12,105"
2021,3,0,"16,391","1,166",411,314,"1,266","1,228",564,351,"1,361",635,612,161,"1,423",416,582,"1,205","1,211",411,634,961,557,368,554
2021,3,10,"22,083","1,449",607,457,"1,233","1,157",466,523,"1,974","1,073",891,249,"1,569",702,769,"1,795","2,146",574,852,"1,661",557,539,840
2021,3,20,"35,562","2,860","1,093",866,"2,885","2,565","1,045",936,"2,128","1,543","1,334",508,"2,513","1,362","1,299","2,482","1,912","1,125","1,332","2,408",896,873,"1,597"
2021,3,30,"34,369","3,061","1,171",905,"3,325","3,165","1,207",869,"1,780","1,194","1,035",456,"2,651","1,165","1,381","1,972","1,409","1,078","1,267","1,984",945,731,"1,618"
2021,3,40,"38,473","2,781","1,272",978,"2,834","2,805","1,203",959,"2,662","1,533","1,300",603,"2,720","1,219","1,275","2,705","2,637","1,301","1,487","2,429",958,971,"1,841"
2021,3,50,"43,658","2,939","1,355","1,171","2,955","2,553","1,232","1,310","2,729","1,913","1,540",818,"3,138","1,617","1,614","3,247","2,687","1,463","1,615","2,920","1,026","1,329","2,487"
2021,3,60,"32,857","2,182","1,040","1,055","2,136","1,728","1,059","1,087","1,912","1,706","1,181",642,"2,287","1,169","1,575","2,133","1,443","1,357","1,223","1,901","1,028","1,012","2,001"
2021,3,70,"14,179",988,578,498,974,756,470,519,789,882,461,246,858,473,625,804,520,730,564,725,396,469,854
2021,3,80,"4,797",390,170,173,331,251,191,158,230,325,190,52,312,149,177,279,185,205,187,244,123,178,297
2021,3,90,426,39,17,21,23,25,11,15,21,34,16,8,18,7,23,35,14,20,13,27,9,16,14
2021,3,100,22,1,0,0,1,1,1,0,1,3,0,4,2,0,3,0,0,0,3,0,0,0,2
2021,4,총,"242,605","17,841","7,670","6,443","17,973","16,181","7,456","6,704","15,535","10,843","8,567","3,740","17,544","8,263","9,272","16,674","14,169","8,227","9,220","15,236","6,512","6,453","12,082"
2021,4,0,"16,283","1,156",404,319,"1,260","1,212",564,344,"1,343",626,612,159,"1,417",409,579,"1,201","1,203",416,650,953,549,363,544
2021,4,10,"21,998","1,434",609,452,"1,225","1,142",471,528,"1,982","1,074",883,253,"1,567",697,762,"1,790","2,135",565,852,"1,651",560,529,837
2021,4,20,"35,512","2,862","1,088",858,"2,878","2,558","1,028",931,"2,108","1,557","1,339",508,"2,507","1,369","1,290","2,499","1,921","1,108","1,322","2,415",899,876,"1,591"
2021,4,30,"34,324","3,060","1,168",909,"3,315","3,155","1,214",866,"1,757","1,189","1,041",448,"2,693","1,170","1,368","1,973","1,410","1,076","1,290","1,956",952,715,"1,599"
2021,4,40,"38,411","2,783","1,257",980,"2,835","2,811","1,204",948,"2,654","1,532","1,291",601,"2,722","1,220","1,260","2,698","2,618","1,290","1,484","2,445",957,972,"1,849"
2021,4,50,"43,517","2,926","1,344","1,165","2,967","2,524","1,236","1,303","2,721","1,910","1,542",815,"3,134","1,592","1,602","3,238","2,692","1,456","1,615","2,907","1,025","1,319","2,484"
2021,4,60,"33,104","2,205","1,039","1,063","2,160","1,742","1,064","1,089","1,925","1,715","1,187",645,"2,305","1,178","1,584","2,155","1,474","1,359","1,232","1,918","1,037","1,020","2,008"
2021,4,70,"14,173",980,575,499,969,757,472,520,791,879,462,246,863,472,626,805,514,729,569,723,403,465,854
2021,4,80,"4,831",395,169,176,340,251,193,159,230,325,193,54,315,150,175,278,189,208,190,241,121,180,299
2021,4,90,431,39,17,22,23,28,9,16,23,34,17,7,19,6,23,37,13,20,13,27,9,14,15
2021,4,100,21,1,0,0,1,1,1,0,1,2,0,4,2,0,3,0,0,0,3,0,0,0,2
2021,5,총,"242,647","17,821","7,632","6,443","17,968","16,059","7,493","6,666","15,532","10,835","8,564","3,728","17,583","8,247","9,239","16,662","14,119","8,223","9,236","15,189","6,514","6,876","12,018"
2021,5,0,"16,232","1,135",396,317,"1,257","1,200",563,340,"1,337",620,607,155,"1,422",410,572,"1,192","1,188",415,655,948,540,416,547
2021,5,10,"21,920","1,431",604,447,"1,226","1,123",475,517,"1,985","1,074",885,252,"1,565",690,750,"1,778","2,124",556,850,"1,642",563,556,827
2021,5,20,"35,438","2,874","1,094",866,"2,876","2,520","1,013",922,"2,118","1,552","1,332",502,"2,501","1,355","1,295","2,492","1,913","1,111","1,315","2,390",907,923,"1,567"
2021,5,30,"34,340","3,057","1,155",910,"3,298","3,137","1,227",858,"1,751","1,188","1,037",447,"2,698","1,166","1,359","1,977","1,407","1,074","1,294","1,952",945,817,"1,586"
2021,5,40,"38,363","2,765","1,245",987,"2,838","2,817","1,220",946,"2,644","1,521","1,293",593,"2,727","1,212","1,260","2,683","2,591","1,276","1,493","2,434",950,"1,043","1,825"
2021,5,50,"43,547","2,921","1,343","1,159","2,963","2,493","1,252","1,298","2,717","1,909","1,544",828,"3,141","1,593","1,591","3,223","2,701","1,458","1,621","2,903","1,028","1,376","2,485"
2021,5,60,"33,303","2,220","1,035","1,055","2,172","1,735","1,065","1,082","1,935","1,724","1,192",642,"2,326","1,191","1,580","2,192","1,482","1,374","1,239","1,925","1,050","1,069","2,018"
2021,5,70,"14,190",980,575,507,978,754,471,526,789,872,462,243,867,471,632,804,512,732,563,726,400,480,846
2021,5,80,"4,862",399,167,174,337,251,196,161,233,339,195,55,315,152,171,284,190,207,192,242,122,180,300
2021,5,90,430,38,18,21,22,27,10,16,22,34,17,7,19,7,26,37,11,20,11,27,9,16,15
2021,5,100,22,1,0,0,1,2,1,0,1,2,0,4,2,0,3,0,0,0,3,0,0,0,2
2021,6,총,"242,460","17,833","7,594","6,435","18,032","15,965","7,490","6,646","15,511","10,819","8,526","3,719","17,577","8,270","9,231","16,610","14,112","8,229","9,245","15,089","6,493","7,035","11,999"
2021,6,0,"16,177","1,128",389,318,"1,241","1,202",563,331,"1,335",615,600,155,"1,418",406,577,"1,190","1,182",412,648,948,544,428,547
2021,6,10,"21,853","1,424",606,450,"1,230","1,112",472,516,"1,972","1,063",889,251,"1,561",697,738,"1,762","2,138",558,844,"1,619",561,573,817
2021,6,20,"35,359","2,873","1,078",865,"2,885","2,506","1,008",924,"2,112","1,547","1,320",500,"2,493","1,355","1,295","2,481","1,901","1,116","1,323","2,361",903,943,"1,570"
2021,6,30,"34,320","3,064","1,150",904,"3,333","3,094","1,221",855,"1,742","1,186","1,044",443,"2,694","1,183","1,355","1,960","1,404","1,075","1,294","1,941",938,851,"1,589"
2021,6,40,"38,325","2,766","1,243",989,"2,846","2,819","1,230",936,"2,652","1,520","1,277",592,"2,718","1,203","1,257","2,681","2,581","1,279","1,501","2,415",937,"1,070","1,813"
2021,6,50,"43,371","2,920","1,340","1,152","2,954","2,457","1,249","1,294","2,706","1,901","1,527",818,"3,141","1,601","1,581","3,194","2,705","1,449","1,612","2,872","1,022","1,398","2,478"
2021,6,60,"33,517","2,239","1,027","1,055","2,194","1,745","1,069","1,088","1,949","1,736","1,197",648,"2,342","1,194","1,592","2,217","1,495","1,376","1,254","1,932","1,052","1,091","2,025"
2021,6,70,"14,196",973,577,505,983,747,472,526,787,876,461,243,870,471,635,806,506,737,565,730,403,480,843
2021,6,80,"4,889",407,166,176,342,254,195,160,234,338,194,57,318,153,173,284,187,207,190,246,123,184,301
2021,6,90,431,38,18,21,23,27,10,16,22,35,17,8,20,7,24,35,13,20,11,25,10,17,14
2021,6,100,22,1,0,0,1,2,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021,7,총,"242,133","17,785","7,553","6,414","18,110","15,839","7,446","6,587","15,508","10,810","8,513","3,712","17,588","8,340","9,209","16,564","14,078","8,207","9,256","15,024","6,509","7,093","11,988"
2021,7,0,"16,058","1,113",387,319,"1,242","1,191",557,323,"1,322",602,603,155,"1,417",407,568,"1,185","1,157",407,643,934,540,439,547
2021,7,10,"21,834","1,424",607,443,"1,227","1,101",466,511,"1,985","1,069",884,246,"1,559",703,733,"1,753","2,147",566,844,"1,609",564,578,815
2021,7,20,"35,225","2,829","1,073",862,"2,930","2,491","1,001",913,"2,097","1,544","1,312",494,"2,492","1,365","1,289","2,460","1,892","1,113","1,323","2,350",907,942,"1,546"
2021,7,30,"34,304","3,073","1,138",900,"3,364","3,069","1,215",836,"1,726","1,184","1,042",445,"2,687","1,197","1,353","1,956","1,397","1,062","1,304","1,927",947,869,"1,613"
2021,7,40,"38,216","2,756","1,231",985,"2,851","2,800","1,223",935,"2,646","1,510","1,269",589,"2,727","1,213","1,250","2,678","2,573","1,272","1,503","2,377",945,"1,084","1,799"
2021,7,50,"43,234","2,921","1,328","1,141","2,943","2,424","1,227","1,275","2,701","1,905","1,531",815,"3,136","1,604","1,574","3,171","2,713","1,445","1,606","2,882","1,019","1,398","2,475"
2021,7,60,"33,683","2,245","1,028","1,058","2,206","1,734","1,083","1,095","1,975","1,740","1,202",652,"2,351","1,215","1,604","2,234","1,493","1,384","1,258","1,943","1,051","1,100","2,032"
2021,7,70,"14,229",979,576,506,988,747,467,524,796,880,460,246,876,475,638,806,503,731,568,735,398,483,847
2021,7,80,"4,897",407,167,179,335,252,196,160,239,339,193,57,320,154,172,285,190,208,193,243,127,183,298
2021,7,90,431,37,18,21,23,28,10,15,21,35,17,9,21,7,24,36,13,19,11,24,11,17,14
2021,7,100,22,1,0,0,1,2,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021,8,총,"241,608","17,729","7,519","6,389","18,181","15,718","7,442","6,538","15,467","10,778","8,522","3,700","17,572","8,340","9,188","16,498","14,018","8,193","9,307","14,967","6,477","7,082","11,983"
2021,8,0,"15,923","1,102",380,315,"1,238","1,182",557,322,"1,305",601,601,154,"1,402",410,559,"1,167","1,136",408,650,918,533,437,546
2021,8,10,"21,795","1,416",609,442,"1,235","1,094",471,506,"1,981","1,063",882,243,"1,568",693,732,"1,741","2,143",568,843,"1,609",560,578,818
2021,8,20,"34,992","2,808","1,074",851,"2,942","2,465",997,906,"2,071","1,540","1,298",487,"2,477","1,358","1,278","2,451","1,887","1,104","1,309","2,338",900,930,"1,521"
2021,8,30,"34,218","3,065","1,137",893,"3,408","3,040","1,208",837,"1,717","1,179","1,054",455,"2,666","1,198","1,335","1,931","1,385","1,053","1,335","1,910",928,873,"1,611"
2021,8,40,"38,102","2,742","1,212",978,"2,851","2,791","1,221",915,"2,633","1,495","1,268",579,"2,737","1,221","1,249","2,681","2,540","1,270","1,514","2,366",953,"1,083","1,803"
2021,8,50,"43,127","2,912","1,314","1,140","2,934","2,399","1,233","1,264","2,703","1,894","1,531",816,"3,123","1,605","1,586","3,160","2,718","1,444","1,608","2,873","1,018","1,387","2,465"
2021,8,60,"33,816","2,259","1,036","1,063","2,222","1,719","1,081","1,095","1,996","1,753","1,212",648,"2,369","1,218","1,604","2,245","1,501","1,383","1,267","1,952","1,044","1,105","2,044"
2021,8,70,"14,255",980,575,512,989,746,464,516,797,877,465,247,887,473,644,806,507,730,570,736,397,484,853
2021,8,80,"4,921",407,165,174,338,253,199,162,242,339,192,57,320,156,172,281,188,214,196,240,133,188,305
2021,8,90,438,37,17,21,23,28,10,15,22,35,19,10,21,8,25,35,13,19,12,25,11,17,15
2021,8,100,21,1,0,0,1,1,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021,9,총,"241,313","17,675","7,499","6,371","18,256","15,665","7,413","6,463","15,412","10,769","8,505","3,698","17,544","8,348","9,169","16,442","13,989","8,146","9,570","14,909","6,442","7,081","11,947"
2021,9,0,"15,815","1,083",369,309,"1,233","1,182",553,317,"1,297",596,594,146,"1,406",407,553,"1,153","1,129",406,681,905,523,436,537
2021,9,10,"21,734","1,414",615,442,"1,249","1,078",470,500,"1,970","1,070",880,241,"1,552",686,732,"1,737","2,141",552,863,"1,597",559,577,809
2021,9,20,"34,878","2,788","1,073",844,"2,956","2,453",990,891,"2,058","1,522","1,302",489,"2,463","1,355","1,279","2,435","1,871","1,095","1,332","2,328",902,927,"1,525"
2021,9,30,"34,122","3,055","1,132",890,"3,428","3,034","1,194",828,"1,685","1,173","1,046",449,"2,649","1,201","1,326","1,916","1,379","1,036","1,426","1,903",920,866,"1,586"
2021,9,40,"38,086","2,741","1,203",971,"2,855","2,773","1,214",899,"2,638","1,502","1,276",582,"2,735","1,230","1,247","2,670","2,531","1,271","1,546","2,350",949,"1,095","1,808"
2021,9,50,"43,040","2,897","1,317","1,138","2,931","2,415","1,238","1,252","2,685","1,885","1,500",822,"3,123","1,605","1,579","3,150","2,720","1,439","1,648","2,864","1,005","1,381","2,446"
2021,9,60,"33,925","2,265","1,030","1,067","2,239","1,709","1,079","1,083","2,010","1,760","1,225",650,"2,385","1,219","1,606","2,262","1,503","1,384","1,289","1,958","1,040","1,105","2,057"
2021,9,70,"14,276",976,574,516,999,738,464,516,800,885,469,246,886,478,639,805,511,724,570,739,402,485,854
2021,9,80,"4,959",415,169,174,341,254,199,161,247,339,194,59,320,158,179,277,189,219,198,240,130,191,306
2021,9,90,457,40,17,20,24,28,11,16,22,35,19,10,23,9,25,37,15,20,14,25,12,18,17
2021,9,100,21,1,0,0,1,1,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021,10,총,"240,990","17,644","7,469","6,346","18,278","15,638","7,397","6,361","15,387","10,754","8,500","3,689","17,544","8,371","9,150","16,400","14,003","8,117","9,690","14,843","6,418","7,056","11,935"
2021,10,0,"15,696","1,074",358,309,"1,214","1,162",550,310,"1,286",599,592,144,"1,405",411,544,"1,139","1,115",404,699,898,515,431,537
2021,10,10,"21,670","1,410",616,435,"1,246","1,069",474,486,"1,969","1,066",881,237,"1,536",695,732,"1,727","2,143",545,877,"1,590",557,573,806
2021,10,20,"34,721","2,775","1,059",837,"2,940","2,455",979,868,"2,053","1,513","1,286",488,"2,471","1,352","1,271","2,415","1,876","1,092","1,353","2,306",892,918,"1,522"
2021,10,30,"34,165","3,055","1,130",889,"3,448","3,034","1,192",819,"1,684","1,166","1,054",448,"2,649","1,191","1,331","1,927","1,385","1,032","1,449","1,906",926,867,"1,583"
2021,10,40,"37,915","2,721","1,194",963,"2,865","2,775","1,211",886,"2,611","1,493","1,268",582,"2,717","1,237","1,248","2,660","2,513","1,264","1,567","2,313",941,"1,086","1,800"
2021,10,50,"43,020","2,903","1,314","1,142","2,935","2,397","1,238","1,235","2,685","1,890","1,505",822,"3,137","1,616","1,559","3,137","2,728","1,441","1,660","2,859",995,"1,382","2,440"
2021,10,60,"34,044","2,271","1,033","1,066","2,251","1,723","1,082","1,062","2,020","1,770","1,222",649,"2,401","1,226","1,614","2,271","1,520","1,381","1,307","1,966","1,045","1,101","2,063"
2021,10,70,"14,306",979,575,512,"1,008",740,459,521,805,884,475,245,884,474,643,807,516,721,568,743,404,487,856
2021,10,80,"4,980",411,171,173,346,254,201,160,252,336,199,62,319,160,180,281,192,217,195,237,131,192,311
2021,10,90,454,44,19,20,24,28,10,14,22,35,18,8,23,9,24,35,15,20,13,25,12,19,17
2021,10,100,19,1,0,0,1,1,1,0,0,2,0,4,2,0,4,1,0,0,2,0,0,0,0
2021,11,총,"240,572","17,632","7,444","6,333","18,270","15,659","7,388","6,129","15,359","10,741","8,485","3,698","17,578","8,393","9,127","16,318","13,974","8,098","9,751","14,817","6,398","7,061","11,919"
2021,11,0,"15,577","1,062",355,311,"1,203","1,175",543,298,"1,280",591,581,143,"1,394",404,540,"1,125","1,101",402,707,892,508,425,537
2021,11,10,"21,623","1,407",606,429,"1,241","1,072",480,481,"1,959","1,067",879,238,"1,543",694,727,"1,720","2,133",533,884,"1,583",565,578,804
2021,11,20,"34,537","2,769","1,058",836,"2,913","2,445",970,816,"2,038","1,504","1,283",485,"2,471","1,345","1,265","2,396","1,871","1,100","1,356","2,303",879,916,"1,518"
2021,11,30,"34,148","3,063","1,130",884,"3,493","3,030","1,187",793,"1,671","1,160","1,054",457,"2,656","1,198","1,332","1,901","1,379","1,014","1,451","1,917",921,864,"1,593"
2021,11,40,"37,860","2,728","1,186",965,"2,843","2,780","1,212",854,"2,604","1,500","1,266",581,"2,718","1,242","1,244","2,642","2,520","1,254","1,592","2,297",950,"1,088","1,794"
2021,11,50,"42,957","2,889","1,316","1,140","2,931","2,402","1,247","1,190","2,695","1,882","1,504",827,"3,159","1,628","1,556","3,125","2,714","1,443","1,656","2,850",988,"1,388","2,427"
2021,11,60,"34,110","2,284","1,023","1,064","2,264","1,726","1,082","1,036","2,020","1,778","1,224",651,"2,395","1,231","1,614","2,282","1,535","1,397","1,320","1,972","1,039","1,105","2,068"
2021,11,70,"14,299",974,579,509,"1,008",742,455,493,811,886,476,247,896,481,641,810,514,716,573,742,406,486,854
2021,11,80,"4,996",411,172,177,350,257,202,154,258,336,198,61,320,161,183,282,192,219,196,236,130,193,308
2021,11,90,453,44,19,18,24,29,10,14,23,35,20,8,24,9,23,33,15,20,14,25,12,18,16
2021,11,100,12,1,0,0,0,1,0,0,0,2,0,0,2,0,2,2,0,0,2,0,0,0,0
2021,12,총,"240,348","17,662","7,441","6,353","18,276","15,644","7,375","5,892","15,363","10,713","8,489","3,709","17,630","8,399","9,088","16,284","13,953","8,115","9,814","14,788","6,412","7,072","11,876"
2021,12,0,"15,515","1,067",354,315,"1,196","1,179",541,288,"1,279",588,578,143,"1,392",402,536,"1,111","1,092",402,707,886,506,425,528
2021,12,10,"21,521","1,402",603,425,"1,241","1,061",478,455,"1,945","1,057",878,237,"1,558",688,723,"1,715","2,119",533,883,"1,578",571,578,793
2021,12,20,"34,420","2,759","1,053",841,"2,904","2,443",962,776,"2,040","1,499","1,284",485,"2,462","1,341","1,247","2,392","1,880","1,095","1,364","2,299",872,910,"1,512"
2021,12,30,"34,130","3,057","1,121",894,"3,491","3,026","1,181",772,"1,674","1,150","1,057",462,"2,668","1,203","1,333","1,899","1,370","1,017","1,472","1,906",923,867,"1,587"
2021,12,40,"37,815","2,736","1,192",965,"2,864","2,745","1,213",820,"2,598","1,500","1,259",584,"2,744","1,240","1,238","2,641","2,510","1,256","1,598","2,286",948,"1,087","1,791"
2021,12,50,"42,854","2,893","1,319","1,144","2,924","2,417","1,244","1,144","2,700","1,884","1,501",830,"3,146","1,629","1,541","3,093","2,706","1,444","1,659","2,847",992,"1,387","2,410"
2021,12,60,"34,261","2,305","1,029","1,066","2,268","1,737","1,089",996,"2,031","1,772","1,234",653,"2,408","1,243","1,622","2,300","1,545","1,401","1,339","1,986","1,051","1,119","2,067"
2021,12,70,"14,337",982,582,508,"1,012",743,453,473,812,888,477,247,905,480,642,813,521,724,579,740,406,487,863
2021,12,80,"5,025",413,170,178,353,263,204,154,260,338,201,60,319,164,180,283,196,223,198,235,131,194,308
2021,12,90,458,47,18,17,23,29,10,14,24,34,20,8,26,9,24,35,14,20,14,25,12,18,17
2021,12,100,12,1,0,0,0,1,0,0,0,3,0,0,2,0,2,2,0,0,1,0,0,0,0
