년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021,10,100,27,6,2,2,2,2,1,7,1,3,0,1,0
2021,11,총,"174,330","14,619","6,992","12,350","16,305","27,308","19,621","11,070","16,434","13,927","6,573","13,161","15,970"
2021,11,0,"10,452",603,263,616,877,"1,903",891,458,"1,959",736,423,840,883
2021,11,10,"15,872",978,474,960,"1,603","3,679","1,567",886,"1,502","1,167",596,"1,001","1,459"
2021,11,20,"24,094","2,377",801,"1,403","2,180","4,004","3,003","1,452","1,927","2,161",973,"1,710","2,103"
2021,11,30,"19,621","1,542",776,"1,192","1,585","2,599","2,221","1,107","2,802","1,695","1,000","1,595","1,507"
2021,11,40,"26,080","1,861","1,029","1,679","2,425","4,747","2,979","1,504","2,697","2,093","1,166","1,716","2,184"
2021,11,50,"33,242","2,667","1,327","2,316","3,176","5,638","3,752","2,147","2,601","2,638","1,190","2,567","3,223"
2021,11,60,"26,218","2,678","1,326","2,333","2,614","2,882","3,092","1,927","1,866","1,902",754,"2,096","2,748"
2021,11,70,"12,309","1,346",677,"1,164","1,240","1,152","1,449","1,034",680,996,311,"1,059","1,201"
2021,11,80,"5,673",487,267,612,536,626,602,494,353,475,137,512,572
2021,11,90,743,75,50,73,67,76,64,55,46,61,23,63,90
2021,11,100,26,5,2,2,2,2,1,6,1,3,0,2,0
2021,12,총,"175,046","14,506","6,944","12,271","16,215","27,150","19,567","12,825","16,303","13,725","6,474","13,100","15,966"
2021,12,0,"10,519",586,257,597,857,"1,892",887,673,"1,938",707,404,841,880
2021,12,10,"15,786",967,466,947,"1,578","3,629","1,553",980,"1,476","1,156",578,998,"1,458"
2021,12,20,"24,097","2,345",792,"1,400","2,153","3,976","2,989","1,693","1,895","2,115",965,"1,674","2,100"
2021,12,30,"19,941","1,509",774,"1,182","1,587","2,587","2,205","1,589","2,784","1,665",975,"1,585","1,499"
2021,12,40,"26,157","1,865","1,022","1,655","2,398","4,705","2,973","1,737","2,691","2,072","1,145","1,707","2,187"
2021,12,50,"33,326","2,656","1,317","2,316","3,176","5,616","3,745","2,406","2,580","2,589","1,177","2,555","3,193"
2021,12,60,"26,362","2,661","1,320","2,321","2,612","2,885","3,097","2,092","1,860","1,887",758,"2,097","2,772"
2021,12,70,"12,363","1,348",678,"1,169","1,244","1,148","1,447","1,082",674,994,310,"1,066","1,203"
2021,12,80,"5,721",488,269,609,536,631,607,512,357,475,138,511,588
2021,12,90,748,76,47,73,72,79,63,54,48,62,24,64,86
2021,12,100,26,5,2,2,2,2,1,7,0,3,0,2,0
