년도,월,나이,남구,대연제1동,대연제3동,대연제4동,대연제5동,대연제6동,용호제1동,용호제2동,용호제3동,용호제4동,용당동,감만제1동,감만제2동,우암동,문현제1동,문현제2동,문현제3동,문현제4동
2021,5,70,"24,909","1,662","1,893","1,339","1,569","1,048","3,590","1,530","1,595",895,759,"1,571",934,"1,695","1,417",955,"1,356","1,101"
2021,5,80,"9,760",663,731,542,625,391,"1,427",535,552,321,265,597,375,627,568,490,570,481
2021,5,90,"1,139",62,112,51,61,53,202,77,58,40,40,52,32,88,59,50,54,48
2021,5,100,66,10,5,2,1,1,1,6,3,8,1,15,2,3,0,3,0,5
2021,6,총,"264,098","15,839","32,683","12,494","16,860","15,527","44,573","16,941","12,321","8,578","8,253","13,336","6,825","12,987","13,819","8,653","15,802","8,607"
2021,6,0,"17,262",501,"2,688","1,029","1,059","1,758","3,318","1,364",477,499,504,626,267,611,730,360,"1,139",332
2021,6,10,"22,707",925,"3,161",883,"1,391","1,555","5,054","1,771",876,646,771,946,479,888,"1,192",379,"1,271",519
2021,6,20,"34,614","3,610","6,344","1,219","2,707","1,721","4,897","1,616","1,382",885,"1,037","1,454",639,"1,244","1,670","1,265","1,913","1,011"
2021,6,30,"29,009","1,822","4,053","1,707","1,946","2,117","4,017","1,789","1,101","1,005",775,"1,334",615,"1,214","1,275","1,322","2,090",827
2021,6,40,"41,131","2,029","5,670","1,879","2,575","2,782","7,620","2,805","1,630","1,318","1,272","1,915",999,"1,807","2,117","1,176","2,422","1,115"
2021,6,50,"42,254","2,216","4,577","1,823","2,483","2,248","7,950","2,652","2,100","1,329","1,468","2,260","1,123","2,105","2,477","1,278","2,632","1,533"
2021,6,60,"41,195","2,337","3,456","2,016","2,445","1,848","6,493","2,782","2,543","1,634","1,363","2,573","1,357","2,694","2,304","1,377","2,339","1,634"
2021,6,70,"24,916","1,664","1,884","1,345","1,564","1,048","3,588","1,541","1,596",898,759,"1,557",932,"1,705","1,427",950,"1,369","1,089"
2021,6,80,"9,807",664,731,540,629,396,"1,428",537,556,318,265,604,381,629,569,493,573,494
2021,6,90,"1,137",61,114,51,60,53,207,78,57,38,38,52,31,87,58,50,54,48
2021,6,100,66,10,5,2,1,1,1,6,3,8,1,15,2,3,0,3,0,5
2021,7,총,"263,764","15,823","32,632","12,471","16,902","15,510","44,502","16,924","12,347","8,596","8,258","13,249","6,801","12,989","13,787","8,618","15,786","8,569"
2021,7,0,"17,182",492,"2,691","1,022","1,056","1,743","3,297","1,355",484,501,507,621,266,605,726,356,"1,140",320
2021,7,10,"22,701",926,"3,157",878,"1,402","1,557","5,053","1,777",879,648,771,935,477,879,"1,196",375,"1,272",519
2021,7,20,"34,475","3,597","6,305","1,210","2,725","1,709","4,866","1,608","1,385",888,"1,036","1,430",636,"1,250","1,657","1,266","1,892","1,015"
2021,7,30,"28,881","1,820","4,047","1,688","1,942","2,103","3,997","1,764","1,098","1,008",786,"1,326",610,"1,206","1,277","1,317","2,082",810
2021,7,40,"41,006","2,031","5,656","1,876","2,579","2,787","7,599","2,798","1,630","1,315","1,253","1,887",994,"1,808","2,107","1,165","2,413","1,108"
2021,7,50,"42,225","2,217","4,584","1,832","2,494","2,247","7,939","2,656","2,099","1,334","1,479","2,236","1,116","2,099","2,469","1,272","2,630","1,522"
2021,7,60,"41,278","2,331","3,472","2,013","2,448","1,859","6,502","2,792","2,550","1,635","1,363","2,586","1,354","2,699","2,308","1,379","2,346","1,641"
2021,7,70,"24,954","1,673","1,882","1,353","1,566","1,054","3,597","1,553","1,592",899,756,"1,559",933,"1,712","1,415",947,"1,382","1,081"
2021,7,80,"9,861",669,728,544,628,397,"1,441",538,567,322,268,601,381,641,574,485,576,501
2021,7,90,"1,136",57,106,53,61,53,210,77,60,38,38,53,32,87,58,53,53,47
2021,7,100,65,10,4,2,1,1,1,6,3,8,1,15,2,3,0,3,0,5
2021,8,총,"263,333","15,833","32,617","12,414","16,944","15,467","44,413","16,883","12,309","8,582","8,272","13,180","6,810","12,954","13,740","8,597","15,773","8,545"
2021,8,0,"17,043",489,"2,654","1,016","1,050","1,723","3,288","1,344",475,501,509,615,261,596,720,353,"1,132",317
2021,8,10,"22,623",923,"3,166",877,"1,400","1,573","5,019","1,772",870,639,765,929,473,875,"1,172",374,"1,277",519
2021,8,20,"34,447","3,620","6,353","1,191","2,744","1,684","4,845","1,593","1,383",892,"1,031","1,405",646,"1,239","1,657","1,261","1,891","1,012"
2021,8,30,"28,694","1,805","4,023","1,677","1,950","2,075","3,971","1,748","1,096","1,000",794,"1,315",610,"1,202","1,256","1,319","2,054",799
2021,8,40,"40,883","2,038","5,639","1,872","2,579","2,784","7,564","2,793","1,608","1,318","1,244","1,873","1,000","1,789","2,103","1,158","2,421","1,100"
2021,8,50,"42,190","2,206","4,573","1,825","2,501","2,251","7,939","2,663","2,098","1,335","1,492","2,218","1,118","2,092","2,460","1,266","2,626","1,527"
2021,8,60,"41,335","2,336","3,493","2,014","2,437","1,870","6,514","2,790","2,558","1,621","1,365","2,598","1,350","2,704","2,318","1,389","2,347","1,631"
2021,8,70,"24,997","1,672","1,867","1,348","1,583","1,057","3,604","1,559","1,589",907,759,"1,549",938,"1,721","1,425",940,"1,393","1,086"
2021,8,80,"9,910",672,741,540,638,396,"1,458",541,567,322,273,612,378,644,569,479,578,502
2021,8,90,"1,145",62,104,52,61,53,210,74,62,39,38,51,34,89,60,55,54,47
2021,8,100,66,10,4,2,1,1,1,6,3,8,2,15,2,3,0,3,0,5
2021,9,총,"263,262","15,878","32,788","12,389","16,941","15,458","44,419","16,873","12,267","8,577","8,290","13,143","6,786","12,899","13,725","8,599","15,731","8,499"
2021,9,0,"16,929",486,"2,651","1,019","1,034","1,718","3,262","1,335",471,495,502,614,264,583,716,346,"1,118",315
2021,9,10,"22,606",922,"3,175",880,"1,390","1,576","5,028","1,775",864,638,768,916,469,875,"1,169",377,"1,284",500
2021,9,20,"34,568","3,660","6,506","1,179","2,765","1,667","4,825","1,598","1,361",895,"1,036","1,409",634,"1,232","1,653","1,261","1,875","1,012"
2021,9,30,"28,586","1,806","4,016","1,651","1,953","2,078","3,951","1,730","1,080","1,006",809,"1,304",611,"1,190","1,254","1,315","2,049",783
2021,9,40,"40,735","2,029","5,615","1,880","2,574","2,781","7,551","2,780","1,612","1,302","1,239","1,866",999,"1,781","2,086","1,154","2,395","1,091"
2021,9,50,"42,248","2,216","4,597","1,826","2,503","2,243","7,973","2,675","2,098","1,335","1,500","2,207","1,108","2,083","2,466","1,275","2,622","1,521"
2021,9,60,"41,385","2,338","3,503","2,014","2,443","1,886","6,521","2,795","2,552","1,629","1,359","2,595","1,346","2,696","2,325","1,392","2,359","1,632"
2021,9,70,"25,019","1,670","1,864","1,349","1,577","1,056","3,631","1,568","1,593",910,759,"1,553",936,"1,715","1,424",933,"1,390","1,091"
2021,9,80,"9,960",678,751,538,639,399,"1,465",535,569,319,279,614,382,649,573,487,581,502
2021,9,90,"1,159",63,106,51,62,53,211,76,64,40,36,50,35,92,59,56,58,47
2021,9,100,67,10,4,2,1,1,1,6,3,8,3,15,2,3,0,3,0,5
2021,10,총,"263,236","15,912","32,835","12,397","16,972","15,443","44,366","16,902","12,270","8,555","8,292","13,107","6,788","12,887","13,712","8,639","15,728","8,431"
2021,10,0,"16,839",482,"2,633","1,021","1,030","1,713","3,226","1,354",471,485,494,596,263,571,712,356,"1,124",308
2021,10,10,"22,605",921,"3,172",880,"1,388","1,580","5,060","1,768",862,630,765,914,471,873,"1,162",380,"1,281",498
2021,10,20,"34,514","3,649","6,525","1,183","2,757","1,651","4,793","1,603","1,358",899,"1,043","1,415",637,"1,240","1,650","1,259","1,866",986
2021,10,30,"28,560","1,826","4,022","1,651","1,964","2,054","3,954","1,725","1,074",998,801,"1,290",601,"1,185","1,260","1,333","2,038",784
2021,10,40,"40,673","2,038","5,612","1,870","2,574","2,789","7,520","2,779","1,621","1,293","1,238","1,852","1,005","1,773","2,071","1,153","2,406","1,079"
2021,10,50,"42,231","2,216","4,625","1,823","2,504","2,244","7,950","2,685","2,093","1,329","1,502","2,198","1,111","2,081","2,471","1,283","2,612","1,504"
2021,10,60,"41,486","2,349","3,512","2,018","2,459","1,894","6,550","2,802","2,556","1,635","1,362","2,600","1,333","2,705","2,327","1,391","2,365","1,628"
2021,10,70,"25,088","1,678","1,862","1,354","1,592","1,066","3,619","1,570","1,588",915,764,"1,558",947,"1,711","1,428",936,"1,404","1,096"
2021,10,80,"10,006",679,758,544,638,398,"1,485",533,580,321,286,615,383,651,573,492,574,496
2021,10,90,"1,168",64,110,51,65,53,208,77,65,42,34,54,35,94,58,53,58,47
2021,10,100,66,10,4,2,1,1,1,6,2,8,3,15,2,3,0,3,0,5
2021,11,총,"262,856","15,894","32,835","12,375","16,987","15,442","44,369","16,889","12,250","8,547","8,271","13,019","6,773","12,862","13,658","8,600","15,708","8,377"
2021,11,0,"16,741",477,"2,611","1,017","1,034","1,708","3,220","1,343",471,478,488,587,262,562,705,350,"1,125",303
2021,11,10,"22,579",920,"3,179",873,"1,380","1,585","5,061","1,776",854,634,764,913,470,872,"1,152",380,"1,276",490
2021,11,20,"34,407","3,621","6,521","1,175","2,757","1,650","4,808","1,609","1,347",893,"1,039","1,400",635,"1,237","1,648","1,232","1,860",975
2021,11,30,"28,449","1,843","4,019","1,636","1,967","2,034","3,914","1,701","1,074",991,803,"1,284",598,"1,176","1,259","1,343","2,023",784
2021,11,40,"40,580","2,012","5,615","1,870","2,566","2,798","7,500","2,779","1,620","1,302","1,232","1,842","1,005","1,762","2,049","1,154","2,412","1,062"
2021,11,50,"42,229","2,223","4,645","1,826","2,520","2,250","7,963","2,670","2,090","1,335","1,497","2,175","1,106","2,086","2,455","1,274","2,613","1,501"
2021,11,60,"41,529","2,360","3,515","2,025","2,464","1,890","6,578","2,809","2,551","1,627","1,360","2,611","1,329","2,704","2,331","1,393","2,356","1,626"
2021,11,70,"25,078","1,687","1,851","1,347","1,588","1,071","3,627","1,584","1,590",914,768,"1,542",947,"1,710","1,424",929,"1,409","1,090"
2021,11,80,"10,049",685,763,552,643,402,"1,491",534,585,323,284,609,386,657,577,491,570,497
2021,11,90,"1,175",63,111,52,67,53,204,78,66,42,34,56,34,94,58,52,64,47
2021,11,100,40,3,5,2,1,1,3,6,2,8,2,0,1,2,0,2,0,2
2021,12,총,"262,069","15,794","32,729","12,382","17,004","15,382","44,281","16,850","12,228","8,542","8,249","12,970","6,768","12,818","13,577","8,564","15,632","8,299"
2021,12,0,"16,611",467,"2,562","1,025","1,032","1,693","3,210","1,342",470,480,480,587,266,559,694,342,"1,108",294
2021,12,10,"22,527",920,"3,187",872,"1,367","1,593","5,039","1,765",848,634,761,912,469,870,"1,150",378,"1,273",489
2021,12,20,"34,143","3,550","6,503","1,176","2,792","1,630","4,783","1,599","1,338",890,"1,027","1,381",628,"1,226","1,619","1,223","1,826",952
2021,12,30,"28,193","1,825","3,987","1,615","1,949","2,013","3,888","1,675","1,066",982,801,"1,278",600,"1,171","1,236","1,334","1,995",778
2021,12,40,"40,440","2,006","5,583","1,890","2,556","2,796","7,466","2,787","1,620","1,304","1,219","1,833",993,"1,752","2,031","1,148","2,404","1,052"
2021,12,50,"42,202","2,230","4,656","1,823","2,523","2,260","7,947","2,688","2,081","1,338","1,506","2,171","1,103","2,050","2,454","1,269","2,613","1,490"
2021,12,60,"41,484","2,345","3,519","2,021","2,467","1,870","6,596","2,785","2,549","1,626","1,369","2,596","1,327","2,708","2,334","1,401","2,360","1,611"
2021,12,70,"25,136","1,689","1,851","1,348","1,597","1,072","3,632","1,592","1,603",917,761,"1,543",956,"1,728","1,424",926,"1,413","1,084"
2021,12,80,"10,112",694,765,557,648,401,"1,507",537,585,324,289,611,393,657,578,489,577,500
2021,12,90,"1,191",65,112,53,72,52,210,80,66,42,35,58,32,95,57,52,63,47
2021,12,100,30,3,4,2,1,2,3,0,2,5,1,0,1,2,0,2,0,2
