년도,월,나이,남동구,구월1동,구월2동,구월3동,구월4동,간석1동,간석2동,간석3동,간석4동,만수1동,만수2동,만수3동,만수4동,만수5동,만수6동,장수서창동,서창2동,남촌도림동,논현1동,논현2동,논현고잔동
2021,4,총,"262,995","16,269","18,093","14,955","7,386","11,299","11,054","14,009","14,526","8,907","12,475","8,826","10,942","7,720","12,620","10,125","20,003","10,297","16,037","16,348","21,104"
2021,4,0,"19,586","1,493","1,658",775,296,548,754,792,875,409,826,618,722,291,663,787,"2,813",599,"1,391","1,157","2,119"
2021,4,10,"24,083","1,577","2,110",859,467,763,998,"1,040","1,176",533,"1,241",794,895,493,"1,151","1,045","1,801",877,"1,720","1,596","2,947"
2021,4,20,"34,040","2,133","2,064","3,589","1,045","1,523","1,390","1,942","1,995","1,105","1,551","1,196","1,314",994,"1,594","1,064","1,891","1,276","1,922","2,133","2,319"
2021,4,30,"34,472","2,357","2,374","2,631",702,"1,440","1,350","1,716","1,935",994,"1,416","1,010","1,370",781,"1,342","1,165","3,826","1,058","2,144","2,046","2,815"
2021,4,40,"43,246","2,696","3,416","2,170","1,012","1,612","1,867","2,008","2,203","1,182","2,046","1,400","1,668",953,"1,952","1,687","3,629","1,572","2,873","2,781","4,519"
2021,4,50,"45,352","2,641","2,885","2,249","1,472","2,051","1,876","2,609","2,621","1,656","2,261","1,612","1,988","1,533","2,498","1,788","2,624","2,101","2,753","2,843","3,291"
2021,4,60,"35,145","2,000","2,181","1,547","1,244","1,741","1,544","2,179","2,113","1,491","1,872","1,266","1,713","1,460","1,840","1,548","2,139","1,558","1,871","2,021","1,817"
2021,4,70,"16,906",847,922,758,719,"1,016",829,"1,100",975,887,834,608,739,812,891,674,839,779,847,"1,060",770
2021,4,80,"8,479",415,394,329,355,504,370,532,524,562,352,267,455,328,563,304,363,389,429,605,439
2021,4,90,"1,617",106,83,47,69,98,74,85,100,87,74,52,74,73,122,62,75,85,87,99,65
2021,4,100,69,4,6,1,5,3,2,6,9,1,2,3,4,2,4,1,3,3,0,7,3
2021,5,총,"262,684","16,256","18,099","15,002","7,360","11,208","11,053","13,959","14,498","8,868","12,473","8,805","10,925","7,725","12,592","10,127","19,985","10,283","15,997","16,361","21,108"
2021,5,0,"19,425","1,487","1,639",770,292,537,750,781,864,401,820,611,714,289,650,783,"2,805",595,"1,374","1,151","2,112"
2021,5,10,"24,087","1,575","2,117",865,468,761,997,"1,029","1,177",530,"1,239",798,896,495,"1,146","1,053","1,805",872,"1,707","1,597","2,960"
2021,5,20,"33,931","2,125","2,066","3,590","1,045","1,503","1,393","1,931","1,987","1,107","1,548","1,175","1,307",998,"1,583","1,062","1,878","1,261","1,925","2,128","2,319"
2021,5,30,"34,293","2,349","2,352","2,650",698,"1,422","1,346","1,708","1,918",982,"1,401","1,016","1,369",785,"1,324","1,162","3,792","1,053","2,118","2,055","2,793"
2021,5,40,"43,064","2,697","3,419","2,183","1,000","1,590","1,854","1,986","2,199","1,164","2,046","1,381","1,656",937,"1,929","1,678","3,637","1,561","2,871","2,770","4,506"
2021,5,50,"45,308","2,634","2,891","2,239","1,465","2,031","1,884","2,594","2,611","1,646","2,263","1,618","1,985","1,530","2,505","1,775","2,630","2,115","2,743","2,843","3,306"
2021,5,60,"35,418","2,020","2,210","1,564","1,245","1,742","1,552","2,197","2,129","1,504","1,884","1,275","1,725","1,474","1,858","1,566","2,154","1,567","1,887","2,035","1,830"
2021,5,70,"16,923",850,913,758,722,"1,018",827,"1,106",978,885,834,610,743,810,903,677,842,771,851,"1,056",769
2021,5,80,"8,538",410,400,334,353,503,375,536,527,564,359,266,450,332,567,309,364,395,432,616,446
2021,5,90,"1,627",105,86,48,67,97,73,86,100,84,77,52,75,73,123,61,75,90,89,102,64
2021,5,100,70,4,6,1,5,4,2,5,8,1,2,3,5,2,4,1,3,3,0,8,3
2021,6,총,"262,464","16,274","18,127","15,079","7,319","11,168","11,058","13,904","14,505","8,853","12,459","8,800","10,906","7,714","12,584","10,112","19,941","10,274","15,961","16,356","21,070"
2021,6,0,"19,301","1,485","1,635",780,286,526,748,769,863,398,806,612,706,283,646,780,"2,788",595,"1,367","1,136","2,092"
2021,6,10,"24,042","1,587","2,114",872,457,756,988,"1,021","1,173",529,"1,239",794,892,489,"1,137","1,050","1,805",869,"1,699","1,602","2,969"
2021,6,20,"33,840","2,096","2,074","3,607","1,045","1,499","1,391","1,938","1,989","1,094","1,549","1,175","1,298","1,006","1,576","1,060","1,857","1,254","1,911","2,122","2,299"
2021,6,30,"34,166","2,356","2,337","2,656",686,"1,430","1,333","1,697","1,923",983,"1,397","1,026","1,369",785,"1,318","1,148","3,747","1,053","2,097","2,042","2,783"
2021,6,40,"43,022","2,697","3,428","2,204","1,002","1,581","1,854","1,967","2,191","1,157","2,041","1,362","1,653",935,"1,921","1,663","3,665","1,549","2,875","2,766","4,511"
2021,6,50,"45,173","2,638","2,891","2,221","1,447","2,015","1,894","2,583","2,601","1,633","2,259","1,613","1,977","1,513","2,501","1,774","2,617","2,109","2,738","2,850","3,299"
2021,6,60,"35,699","2,032","2,230","1,594","1,254","1,740","1,561","2,203","2,147","1,525","1,891","1,288","1,728","1,481","1,884","1,581","2,171","1,585","1,910","2,056","1,838"
2021,6,70,"16,931",859,920,761,717,"1,018",835,"1,094",986,879,835,611,745,811,904,680,848,770,843,"1,046",769
2021,6,80,"8,592",416,405,336,352,499,380,542,523,570,365,263,460,334,569,313,367,397,429,629,443
2021,6,90,"1,627",104,86,47,68,99,72,85,101,84,75,53,72,75,124,62,73,90,92,101,64
2021,6,100,71,4,7,1,5,5,2,5,8,1,2,3,6,2,4,1,3,3,0,6,3
2021,7,총,"262,101","16,215","18,102","15,105","7,290","11,126","11,067","13,895","14,523","8,823","12,472","8,783","10,853","7,715","12,572","10,089","19,902","10,267","15,931","16,340","21,031"
2021,7,0,"19,126","1,456","1,638",776,278,524,740,752,862,396,799,616,688,284,634,773,"2,774",589,"1,360","1,113","2,074"
2021,7,10,"23,981","1,587","2,102",877,442,755,992,"1,022","1,166",527,"1,248",785,878,490,"1,126","1,042","1,813",865,"1,686","1,609","2,969"
2021,7,20,"33,737","2,082","2,065","3,615","1,042","1,505","1,388","1,935","1,994","1,077","1,541","1,170","1,291",997,"1,585","1,055","1,834","1,260","1,907","2,116","2,278"
2021,7,30,"33,947","2,346","2,315","2,655",696,"1,415","1,327","1,698","1,911",982,"1,390","1,025","1,355",774,"1,311","1,145","3,686","1,053","2,074","2,021","2,768"
2021,7,40,"42,954","2,673","3,423","2,210",988,"1,572","1,846","1,957","2,206","1,146","2,048","1,352","1,652",935,"1,909","1,658","3,687","1,545","2,867","2,762","4,518"
2021,7,50,"45,134","2,640","2,884","2,239","1,440","2,001","1,898","2,557","2,611","1,630","2,258","1,617","1,950","1,508","2,498","1,770","2,619","2,102","2,742","2,866","3,304"
2021,7,60,"35,907","2,041","2,239","1,592","1,265","1,729","1,577","2,234","2,155","1,526","1,909","1,290","1,761","1,491","1,898","1,590","2,195","1,590","1,921","2,065","1,839"
2021,7,70,"16,966",852,932,756,714,"1,025",838,"1,102",984,885,836,607,747,823,907,674,848,768,846,"1,051",771
2021,7,80,"8,629",424,405,334,353,498,386,547,521,568,364,265,454,338,576,320,367,401,435,629,444
2021,7,90,"1,650",110,92,50,68,98,73,86,105,85,77,53,71,73,124,61,75,91,93,102,63
2021,7,100,70,4,7,1,4,4,2,5,8,1,2,3,6,2,4,1,4,3,0,6,3
2021,8,총,"261,587","16,206","18,060","15,085","7,268","11,021","11,086","13,875","14,451","8,793","12,426","8,761","10,807","7,725","12,563","10,054","19,863","10,281","15,938","16,334","20,990"
2021,8,0,"18,998","1,443","1,622",773,277,510,739,746,858,392,796,613,677,285,635,756,"2,762",582,"1,359","1,120","2,053"
2021,8,10,"23,912","1,589","2,098",875,437,744,"1,001","1,011","1,133",529,"1,245",778,873,484,"1,123","1,046","1,819",873,"1,684","1,600","2,970"
2021,8,20,"33,533","2,077","2,044","3,610","1,041","1,491","1,378","1,936","1,994","1,053","1,514","1,169","1,279","1,012","1,569","1,050","1,813","1,253","1,887","2,105","2,258"
2021,8,30,"33,778","2,329","2,302","2,650",689,"1,389","1,319","1,705","1,898",983,"1,365","1,024","1,337",773,"1,312","1,127","3,663","1,059","2,072","2,024","2,758"
2021,8,40,"42,830","2,686","3,417","2,192",983,"1,560","1,863","1,956","2,183","1,141","2,049","1,333","1,646",926,"1,893","1,653","3,683","1,544","2,871","2,747","4,504"
2021,8,50,"45,089","2,638","2,875","2,243","1,432","1,984","1,894","2,553","2,607","1,621","2,252","1,618","1,949","1,510","2,501","1,768","2,623","2,096","2,746","2,867","3,312"
2021,8,60,"36,069","2,048","2,265","1,597","1,275","1,715","1,590","2,228","2,161","1,521","1,922","1,295","1,765","1,496","1,909","1,594","2,210","1,605","1,941","2,076","1,856"
2021,8,70,"16,979",851,933,758,709,"1,029",841,"1,099",974,894,834,613,751,830,904,675,848,766,847,"1,052",771
2021,8,80,"8,674",433,405,333,353,500,388,555,526,572,369,264,453,334,582,323,369,409,434,635,437
2021,8,90,"1,651",108,92,53,69,95,70,81,109,85,78,51,72,73,129,61,68,91,97,101,68
2021,8,100,74,4,7,1,3,4,3,5,8,2,2,3,5,2,6,1,5,3,0,7,3
2021,9,총,"261,185","16,184","18,051","15,073","7,260","10,966","11,048","13,845","14,419","8,788","12,407","8,759","10,778","7,684","12,540","10,033","19,876","10,295","15,900","16,307","20,972"
2021,9,0,"18,826","1,432","1,614",767,277,509,729,735,842,395,793,609,670,280,631,751,"2,730",574,"1,341","1,107","2,040"
2021,9,10,"23,873","1,586","2,109",870,428,735,990,"1,000","1,130",520,"1,247",785,866,483,"1,112","1,040","1,845",876,"1,690","1,598","2,963"
2021,9,20,"33,400","2,055","2,026","3,591","1,041","1,475","1,384","1,924","1,999","1,054","1,508","1,171","1,274","1,002","1,571","1,043","1,812","1,243","1,876","2,104","2,247"
2021,9,30,"33,651","2,329","2,298","2,649",684,"1,391","1,311","1,711","1,881",983,"1,357","1,018","1,335",759,"1,302","1,126","3,642","1,065","2,056","2,010","2,744"
2021,9,40,"42,711","2,683","3,413","2,202",976,"1,554","1,847","1,942","2,173","1,131","2,043","1,333","1,634",914,"1,872","1,642","3,696","1,540","2,870","2,739","4,507"
2021,9,50,"45,056","2,636","2,879","2,245","1,430","1,961","1,892","2,558","2,607","1,617","2,246","1,611","1,961","1,503","2,498","1,765","2,628","2,100","2,733","2,858","3,328"
2021,9,60,"36,182","2,058","2,271","1,598","1,283","1,721","1,595","2,226","2,163","1,533","1,917","1,301","1,753","1,496","1,921","1,603","2,216","1,624","1,950","2,092","1,861"
2021,9,70,"17,042",854,934,762,711,"1,030",842,"1,104",979,897,839,612,756,832,908,674,861,768,850,"1,056",773
2021,9,80,"8,709",440,408,336,356,490,385,558,530,571,376,266,450,338,589,328,370,410,438,633,437
2021,9,90,"1,660",107,92,52,71,96,70,82,107,85,79,50,74,75,130,59,71,92,96,103,69
2021,9,100,75,4,7,1,3,4,3,5,8,2,2,3,5,2,6,2,5,3,0,7,3
2021,10,총,"261,046","16,164","18,054","15,090","7,219","10,913","10,999","13,837","14,492","8,798","12,440","8,728","10,779","7,695","12,526","10,005","19,905","10,266","15,886","16,305","20,945"
2021,10,0,"18,709","1,413","1,599",771,268,503,726,722,842,399,798,606,670,281,628,744,"2,719",566,"1,327","1,106","2,021"
2021,10,10,"23,774","1,586","2,124",857,419,727,982,992,"1,123",519,"1,244",786,863,488,"1,092","1,037","1,852",862,"1,683","1,585","2,953"
2021,10,20,"33,394","2,052","2,034","3,586","1,032","1,468","1,367","1,929","2,041","1,044","1,512","1,165","1,266","1,010","1,575","1,040","1,804","1,245","1,878","2,101","2,245"
2021,10,30,"33,555","2,315","2,291","2,653",685,"1,378","1,316","1,706","1,879",991,"1,367","1,015","1,331",750,"1,303","1,108","3,639","1,048","2,052","2,015","2,713"
2021,10,40,"42,576","2,683","3,400","2,205",953,"1,553","1,828","1,925","2,180","1,128","2,045","1,331","1,628",912,"1,855","1,641","3,707","1,527","2,849","2,729","4,497"
2021,10,50,"45,111","2,625","2,886","2,245","1,438","1,941","1,887","2,577","2,620","1,614","2,246","1,592","1,984","1,504","2,501","1,765","2,623","2,104","2,747","2,859","3,353"
2021,10,60,"36,355","2,079","2,279","1,619","1,286","1,724","1,589","2,227","2,184","1,548","1,924","1,306","1,751","1,498","1,928","1,599","2,237","1,640","1,959","2,106","1,872"
2021,10,70,"17,082",852,934,765,709,"1,024",847,"1,114",981,899,843,610,755,833,915,680,863,769,853,"1,061",775
2021,10,80,"8,743",448,409,338,356,488,386,561,524,568,379,264,452,342,596,329,380,412,440,631,440
2021,10,90,"1,675",107,93,50,70,103,68,80,111,86,80,50,74,75,126,60,76,90,98,105,73
2021,10,100,72,4,5,1,3,4,3,4,7,2,2,3,5,2,7,2,5,3,0,7,3
2021,11,총,"260,849","16,142","18,053","15,079","7,212","10,840","10,996","13,839","14,542","8,772","12,411","8,739","10,760","7,668","12,506","10,007","19,918","10,288","15,869","16,294","20,914"
2021,11,0,"18,536","1,400","1,593",757,263,488,722,713,839,394,794,598,664,270,629,728,"2,697",571,"1,310","1,104","2,002"
2021,11,10,"23,769","1,590","2,128",861,414,728,978,981,"1,133",518,"1,241",789,860,482,"1,086","1,044","1,868",858,"1,688","1,586","2,936"
2021,11,20,"33,281","2,057","2,008","3,572","1,033","1,444","1,352","1,935","2,040","1,050","1,506","1,170","1,269","1,008","1,571","1,032","1,796","1,247","1,866","2,082","2,243"
2021,11,30,"33,468","2,281","2,284","2,651",685,"1,372","1,320","1,716","1,892",980,"1,357","1,016","1,321",742,"1,297","1,107","3,628","1,042","2,037","2,030","2,710"
2021,11,40,"42,570","2,689","3,419","2,205",956,"1,537","1,829","1,919","2,198","1,119","2,039","1,343","1,616",906,"1,847","1,649","3,736","1,531","2,850","2,720","4,462"
2021,11,50,"45,127","2,627","2,898","2,253","1,423","1,917","1,895","2,588","2,618","1,615","2,246","1,594","1,983","1,502","2,493","1,772","2,617","2,108","2,754","2,853","3,371"
2021,11,60,"36,460","2,083","2,282","1,625","1,294","1,735","1,591","2,229","2,190","1,544","1,927","1,296","1,755","1,500","1,940","1,594","2,250","1,649","1,964","2,117","1,895"
2021,11,70,"17,098",856,937,767,713,"1,022",848,"1,110",985,890,839,619,755,833,919,689,859,768,853,"1,063",773
2021,11,80,"8,789",452,404,335,358,484,392,562,529,574,383,263,456,350,592,329,383,419,449,627,448
2021,11,90,"1,686",102,94,52,70,110,67,82,111,86,77,50,77,74,126,61,79,92,98,107,71
2021,11,100,65,5,6,1,3,3,2,4,7,2,2,1,4,1,6,2,5,3,0,5,3
2021,12,총,"260,804","16,150","18,035","15,109","7,239","10,742","11,002","13,838","14,564","8,769","12,386","8,750","10,773","7,683","12,533","9,998","19,891","10,275","15,863","16,304","20,900"
2021,12,0,"18,417","1,396","1,575",756,261,483,718,709,839,395,787,599,664,270,632,728,"2,680",562,"1,293","1,087","1,983"
2021,12,10,"23,731","1,595","2,123",869,416,711,983,979,"1,138",517,"1,223",787,860,481,"1,085","1,038","1,872",853,"1,683","1,584","2,934"
2021,12,20,"33,197","2,025","2,023","3,593","1,040","1,411","1,347","1,925","2,049","1,052","1,508","1,154","1,265","1,012","1,568","1,032","1,769","1,254","1,858","2,074","2,238"
2021,12,30,"33,439","2,300","2,263","2,646",691,"1,383","1,313","1,720","1,892",985,"1,345","1,025","1,329",751,"1,300","1,094","3,604","1,041","2,009","2,044","2,704"
2021,12,40,"42,515","2,696","3,410","2,205",958,"1,524","1,840","1,898","2,197","1,109","2,028","1,350","1,607",914,"1,841","1,641","3,755","1,525","2,856","2,720","4,441"
2021,12,50,"45,192","2,627","2,901","2,256","1,431","1,901","1,897","2,589","2,624","1,617","2,254","1,592","1,989","1,482","2,509","1,787","2,618","2,101","2,771","2,858","3,388"
2021,12,60,"36,594","2,102","2,291","1,628","1,297","1,726","1,594","2,243","2,186","1,546","1,940","1,303","1,761","1,505","1,944","1,591","2,265","1,653","1,974","2,135","1,910"
2021,12,70,"17,129",853,931,765,705,"1,015",851,"1,123",988,888,843,622,758,834,925,695,864,775,863,"1,057",774
2021,12,80,"8,826",448,419,335,365,474,388,564,534,573,381,267,458,359,599,328,382,419,457,625,451
2021,12,90,"1,701",103,94,55,73,112,68,86,110,86,75,50,78,74,123,62,76,89,98,115,74
2021,12,100,63,5,5,1,2,2,3,2,7,1,2,1,4,1,7,2,6,3,1,5,3
