년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,9,40,"1,167,445","102,611","22,678","31,952","14,156","33,825","78,112","19,957","17,555","40,600","37,427","43,383","18,121","25,262","65,607","26,147","49,076","7,412","55,502","29,434","26,068","88,517","39,384","24,401","24,732","4,557","16,471","65,174","22,868","47,985","22,124","12,212","26,507","99,189","22,923","41,299","34,967","41,153","17,984","16,075","44,842","86,404","35,045","20,287","11,162","8,277","2,749","4,250","8,336"
2020,9,50,"1,129,448","98,204","24,726","30,735","15,605","27,138","77,927","21,023","19,388","37,516","39,276","47,760","21,580","26,180","72,271","25,337","45,190","8,626","65,394","34,974","30,420","95,747","41,089","27,292","27,366","5,300","17,664","59,342","17,174","45,744","23,662","14,261","20,475","83,334","22,270","33,334","27,730","37,651","18,365","16,591","33,723","61,058","32,188","19,836","16,120","10,572","3,847","6,083","10,726"
2020,9,60,"744,767","58,275","14,900","19,349","10,734","13,292","54,847","15,978","15,026","23,843","26,978","34,418","16,728","17,690","53,623","17,994","26,596","6,336","36,411","19,078","17,333","59,376","27,562","16,224","15,590","3,504","11,999","39,604","9,621","24,065","16,136","10,608","16,597","49,645","15,316","18,917","15,412","23,923","12,903","12,427","23,373","34,479","23,561","14,224","12,936","9,262","3,838","6,170","11,038"
2020,9,70,"344,875","25,041","6,940","7,908","5,265","4,928","26,206","7,737","6,927","11,542","13,638","14,438","7,632","6,806","21,283","8,162","12,399","3,694","13,180","7,324","5,856","26,290","13,012","6,607","6,671","1,606","5,211","20,234","4,272","8,603","6,719","4,211","7,861","29,906","7,378","11,847","10,681","12,580","5,989","6,196","11,878","14,750","10,545","7,507","5,760","4,816","2,293","3,236","6,371"
2020,9,80,"123,931","8,589","2,665","2,547","1,740","1,637","9,083","2,259","1,959","4,865","5,071","4,774","2,448","2,326","6,537","2,491","4,853","1,570","4,692","2,702","1,990","11,728","5,354","3,098","3,276",661,"1,787","6,765","1,429","2,822","2,633","1,429","1,973","11,256","2,675","4,531","4,050","5,073","2,448","2,635","3,861","5,057","3,061","2,628","2,314","1,945","1,014","1,387","2,365"
2020,9,90,"12,271",889,294,261,170,164,"1,022",223,181,618,438,505,216,289,698,253,509,170,450,270,180,"1,188",503,342,343,86,173,593,104,266,308,159,222,"1,097",260,451,386,517,233,208,341,421,278,245,227,182,115,144,230
2020,9,100,"1,138",81,21,27,24,9,135,63,50,22,46,52,27,25,59,36,74,18,29,14,15,91,57,20,14,9,25,63,13,26,24,14,32,36,12,17,7,60,18,12,19,35,26,11,29,16,15,19,15
2020,10,총,"6,741,849","597,863","138,265","186,435","87,991","185,172","466,057","122,555","109,376","234,126","226,232","273,030","120,356","152,674","407,401","149,478","274,461","46,846","334,914","177,584","157,330","527,169","234,680","145,358","147,131","30,459","98,145","354,477","118,665","258,939","136,329","81,603","145,167","533,921","132,715","217,772","183,434","234,915","113,667","96,241","234,117","440,954","194,783","116,719","78,066","56,710","22,820","32,168","59,533"
2020,10,0,"590,278","50,698","9,595","16,959","4,888","19,256","35,565","8,108","6,894","20,563","17,801","20,306","8,012","12,294","29,782","12,175","24,834","3,287","22,810","11,894","10,916","42,017","19,645","10,693","11,679","2,601","7,974","33,683","12,244","24,483","10,743","6,891","15,307","51,907","10,892","22,219","18,796","22,739","9,834","7,297","27,811","53,816","18,213","10,222","4,511","3,852","1,413","1,680","3,782"
2020,10,10,"687,009","61,629","15,130","17,503","7,142","21,854","45,226","9,053","8,647","27,526","21,941","27,356","9,915","17,441","36,577","15,970","27,416","4,352","33,226","17,518","15,708","54,110","21,271","15,425","17,414","3,255","9,424","39,893","12,727","25,688","13,787","7,594","12,584","63,514","14,094","26,245","23,175","25,112","12,380","9,543","24,094","49,144","17,294","12,301","6,479","4,963","1,701","2,492","5,237"
