년도,월,나이,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 압량면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021,9,총,"133,386","13,782","17,047","9,690","2,668","2,687","1,564","1,785",,"1,417","5,009","3,223","10,130","18,762","18,701","7,399","19,522"
2021,9,0,"9,807",924,"1,058","1,058",65,60,34,61,,33,236,88,942,"1,351","1,959",451,"1,487"
2021,9,10,"11,041","1,343","1,639",550,115,121,51,77,,44,281,173,903,"1,968","1,458",363,"1,955"
2021,9,20,"16,696","1,870","2,289","1,388",175,182,73,86,,87,744,423,937,"2,098","2,130","1,737","2,477"
2021,9,30,"15,288","1,312","1,635","1,703",191,157,71,87,,71,541,284,"1,220","1,945","2,715","1,083","2,273"
2021,9,40,"20,283","2,237","2,855","1,277",213,216,95,150,,107,617,368,"1,768","3,147","2,936",891,"3,406"
2021,9,50,"22,828","2,227","3,249","1,361",491,479,241,298,,246,995,616,"1,556","3,231","3,302","1,142","3,394"
2021,9,60,"18,946","1,789","2,087","1,202",651,649,386,414,,360,911,605,"1,454","2,646","2,350",962,"2,480"
2021,9,70,"11,118","1,272","1,336",655,411,455,317,297,,263,430,390,873,"1,502","1,211",468,"1,238"
2021,9,80,"6,408",711,799,429,309,316,254,262,,172,224,250,410,751,566,258,697
2021,9,90,943,93,97,64,47,49,42,50,,33,30,25,66,119,72,44,112
2021,9,100,28,4,3,3,0,3,0,3,,1,0,1,1,4,2,0,3
2021,10,총,"133,430","13,859","17,042","9,713","2,664","2,670","1,560","1,789",,"1,408","4,999","3,207","10,133","18,721","18,757","7,414","19,494"
2021,10,0,"9,776",932,"1,045","1,061",63,58,35,61,,34,240,87,939,"1,331","1,961",449,"1,480"
2021,10,10,"11,009","1,344","1,637",552,112,119,51,75,,45,277,169,907,"1,954","1,461",361,"1,945"
2021,10,20,"16,675","1,881","2,279","1,385",179,181,73,90,,87,746,420,934,"2,094","2,130","1,741","2,455"
2021,10,30,"15,281","1,329","1,634","1,712",190,153,67,85,,70,538,287,"1,215","1,928","2,728","1,084","2,261"
2021,10,40,"20,251","2,243","2,828","1,276",213,213,96,154,,103,617,364,"1,766","3,149","2,930",894,"3,405"
2021,10,50,"22,891","2,248","3,280","1,359",484,480,236,301,,245,995,608,"1,557","3,239","3,320","1,138","3,401"
2021,10,60,"19,017","1,798","2,098","1,209",661,645,389,416,,358,904,600,"1,467","2,646","2,362",966,"2,498"
2021,10,70,"11,140","1,270","1,339",665,407,451,317,295,,263,431,396,871,"1,504","1,219",476,"1,236"
2021,10,80,"6,414",718,797,428,309,317,253,263,,169,222,249,412,746,571,261,699
2021,10,90,951,92,102,64,46,50,43,48,,33,29,26,64,126,73,44,111
2021,10,100,25,4,3,2,0,3,0,1,,1,0,1,1,4,2,0,3
2021,11,총,"133,438","13,936","17,029","9,708","2,658","2,668","1,554","1,784",,"1,413","4,974","3,207","10,140","18,709","18,791","7,398","19,469"
2021,11,0,"9,729",944,"1,036","1,058",65,58,33,58,,34,238,86,942,"1,312","1,951",443,"1,471"
2021,11,10,"10,976","1,348","1,630",550,114,114,53,76,,45,275,170,907,"1,952","1,469",350,"1,923"
2021,11,20,"16,630","1,871","2,282","1,375",175,180,71,90,,88,738,419,929,"2,085","2,130","1,738","2,459"
2021,11,30,"15,238","1,348","1,626","1,709",190,155,64,85,,68,528,289,"1,210","1,926","2,717","1,081","2,242"
2021,11,40,"20,255","2,266","2,797","1,287",212,207,97,156,,103,620,365,"1,764","3,143","2,932",899,"3,407"
2021,11,50,"22,899","2,259","3,295","1,364",481,475,236,292,,248,984,604,"1,561","3,232","3,338","1,128","3,402"
2021,11,60,"19,094","1,812","2,117","1,205",659,647,385,418,,358,907,608,"1,465","2,670","2,362",975,"2,506"
2021,11,70,"11,195","1,271","1,340",667,412,455,319,295,,262,430,395,880,"1,514","1,233",475,"1,247"
2021,11,80,"6,440",721,804,426,305,322,252,264,,173,224,248,414,748,582,261,696
2021,11,90,958,92,98,65,45,52,44,49,,33,30,22,67,124,76,48,113
2021,11,100,24,4,4,2,0,3,0,1,,1,0,1,1,3,1,0,3
2021,12,총,"133,429","13,935","17,003","9,734","2,652","2,667","1,555","1,781",,"1,417","4,981","3,199","10,132","18,672","18,821","7,402","19,478"
2021,12,0,"9,692",952,"1,019","1,060",61,59,34,57,,36,234,88,937,"1,306","1,951",445,"1,453"
2021,12,10,"10,973","1,345","1,624",551,110,112,52,75,,47,281,173,908,"1,943","1,476",347,"1,929"
2021,12,20,"16,542","1,847","2,264","1,372",176,182,69,91,,90,740,412,929,"2,067","2,104","1,739","2,460"
2021,12,30,"15,200","1,349","1,628","1,716",192,151,65,86,,69,528,288,"1,181","1,917","2,718","1,079","2,233"
2021,12,40,"20,308","2,272","2,781","1,300",216,209,98,156,,105,622,366,"1,780","3,146","2,948",900,"3,409"
2021,12,50,"22,870","2,266","3,305","1,357",481,478,239,289,,247,971,601,"1,550","3,218","3,345","1,129","3,394"
2021,12,60,"19,144","1,812","2,122","1,211",654,642,382,420,,356,915,602,"1,472","2,669","2,380",979,"2,528"
2021,12,70,"11,232","1,273","1,348",672,410,458,320,296,,263,431,398,887,"1,514","1,233",474,"1,255"
2021,12,80,"6,463",723,808,423,303,316,255,260,,169,229,249,417,761,588,261,701
2021,12,90,980,92,101,70,49,57,41,50,,34,30,21,70,128,76,48,113
2021,12,100,25,4,3,2,0,3,0,1,,1,0,1,1,3,2,1,3
