년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,7,10,"6,691",481,150,170,90,87,88,33,154,232,140,93,"2,990",933,277,565,208
2020,7,20,"10,201",972,330,232,181,106,176,65,269,975,269,208,"3,552","1,244",498,702,422
2020,7,30,"9,453",794,299,224,179,97,166,49,237,469,254,193,"3,748","1,033",396,845,470
2020,7,40,"12,856","1,300",373,345,283,169,254,61,405,511,417,261,"4,865","1,461",567,"1,068",516
2020,7,50,"18,292","2,277",804,662,578,404,593,261,702,895,799,562,"5,242","1,677",903,"1,130",803
2020,7,60,"18,145","2,237",998,938,756,539,800,281,961,"1,108","1,072",819,"3,670","1,261",958,994,753
2020,7,70,"12,423","1,589",711,705,629,388,573,217,848,924,850,500,"1,783",808,678,706,514
2020,7,80,"6,842",795,382,421,390,292,344,159,465,524,506,296,931,386,349,323,279
2020,7,90,765,76,54,46,43,34,41,21,61,54,63,36,90,41,37,22,46
2020,7,100,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020,8,총,"101,523","10,915","4,213","3,854","3,195","2,192","3,112","1,168","4,224","5,947","4,452","3,059","29,574","9,584","4,821","6,957","4,256"
2020,8,0,"5,811",402,112,108,69,64,69,19,125,268,82,85,"2,702",693,181,576,256
2020,8,10,"6,655",480,152,166,89,82,83,33,153,229,139,90,"2,982",933,273,567,204
2020,8,20,"10,155",975,325,233,178,110,180,66,267,944,264,211,"3,542","1,248",487,705,420
2020,8,30,"9,426",791,298,224,179,97,167,48,230,473,250,192,"3,744","1,038",394,841,460
2020,8,40,"12,843","1,289",381,349,288,173,250,63,403,504,413,262,"4,856","1,466",553,"1,069",524
2020,8,50,"18,282","2,269",791,656,571,406,593,263,705,898,796,561,"5,252","1,689",901,"1,133",798
2020,8,60,"18,224","2,245","1,004",940,757,544,807,279,959,"1,127","1,083",819,"3,680","1,261",962,"1,004",753
2020,8,70,"12,445","1,585",713,708,627,388,573,215,848,925,850,506,"1,786",821,679,705,516
2020,8,80,"6,860",798,382,420,393,291,344,160,470,521,509,296,930,386,352,327,281
2020,8,90,780,78,52,49,44,36,40,21,63,55,63,36,95,44,38,23,43
2020,8,100,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020,9,총,"101,693","10,972","4,194","3,866","3,199","2,197","3,132","1,182","4,224","5,925","4,448","3,087","29,548","9,645","4,839","6,970","4,265"
2020,9,0,"5,809",407,111,109,64,66,69,18,122,272,80,86,"2,684",710,179,576,256
2020,9,10,"6,678",493,149,165,91,81,85,36,152,227,136,91,"2,982",934,277,569,210
2020,9,20,"10,157",986,318,239,180,109,182,69,268,924,267,214,"3,537","1,253",489,707,415
2020,9,30,"9,434",791,297,222,173,98,169,48,230,472,251,202,"3,721","1,059",395,847,459
2020,9,40,"12,788","1,285",382,346,291,171,248,65,397,502,406,259,"4,828","1,468",555,"1,064",521
2020,9,50,"18,322","2,278",783,663,571,408,596,267,710,892,797,572,"5,262","1,685",905,"1,132",801
2020,9,60,"18,308","2,249",998,941,761,548,814,283,964,"1,130","1,085",822,"3,710","1,272",962,"1,014",755
2020,9,70,"12,488","1,594",719,710,625,384,578,216,853,927,853,504,"1,786",827,692,701,519
2020,9,80,"6,874",805,383,420,396,294,343,158,467,519,505,299,938,387,348,328,284
2020,9,90,794,81,51,50,47,37,42,21,61,57,65,37,95,45,36,25,44
2020,9,100,41,3,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020,10,총,"101,840","11,021","4,188","3,873","3,221","2,217","3,130","1,193","4,224","5,940","4,476","3,087","29,520","9,708","4,838","6,963","4,241"
2020,10,0,"5,776",412,110,106,64,66,68,15,116,277,80,83,"2,661",713,183,569,253
2020,10,10,"6,684",487,143,163,91,83,89,37,156,230,132,89,"2,983",956,271,568,206
2020,10,20,"10,157","1,000",316,245,183,111,177,71,266,906,272,209,"3,541","1,252",488,709,411
2020,10,30,"9,464",791,299,216,182,98,169,45,231,490,257,206,"3,702","1,084",395,846,453
2020,10,40,"12,727","1,281",372,342,289,175,243,66,387,501,409,260,"4,802","1,473",552,"1,063",512
2020,10,50,"18,311","2,290",779,669,569,409,597,270,709,889,798,566,"5,242","1,687",906,"1,132",799
2020,10,60,"18,444","2,261","1,007",950,770,556,819,287,974,"1,134","1,094",835,"3,747","1,274",965,"1,011",760
2020,10,70,"12,532","1,596",723,712,629,387,580,221,849,927,851,502,"1,808",833,693,704,517
2020,10,80,"6,908",817,384,421,396,293,343,159,475,524,514,300,937,385,349,327,284
2020,10,90,795,82,52,48,48,38,39,21,61,59,66,36,92,46,35,27,45
2020,10,100,42,4,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020,11,총,"101,904","11,070","4,189","3,875","3,257","2,215","3,147","1,201","4,230","5,902","4,440","3,091","29,490","9,780","4,832","6,953","4,232"
2020,11,0,"5,739",406,110,105,61,67,69,15,118,271,77,83,"2,630",737,176,564,250
2020,11,10,"6,685",489,142,169,93,82,92,37,156,228,127,93,"2,976",961,274,562,204
2020,11,20,"10,125",992,311,248,197,115,173,71,262,892,266,202,"3,543","1,241",490,715,407
2020,11,30,"9,450",792,297,215,183,97,172,46,231,482,247,200,"3,692","1,108",394,842,452
2020,11,40,"12,695","1,287",371,340,284,174,250,66,385,499,405,259,"4,778","1,482",547,"1,061",507
2020,11,50,"18,300","2,306",773,663,580,405,597,272,710,880,786,560,"5,246","1,693",902,"1,125",802
2020,11,60,"18,593","2,290","1,017",952,776,557,821,293,977,"1,139","1,100",851,"3,778","1,287",974,"1,021",760
2020,11,70,"12,548","1,593",726,714,639,384,589,221,853,926,846,505,"1,810",835,693,702,512
2020,11,80,"6,926",825,388,419,396,295,339,158,476,526,517,300,939,384,344,328,292
2020,11,90,801,86,51,49,48,38,39,21,62,56,66,37,93,47,37,26,45
2020,11,100,42,4,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020,12,총,"102,015","11,088","4,161","3,919","3,296","2,213","3,138","1,230","4,242","5,874","4,448","3,096","29,438","9,844","4,831","6,963","4,234"
2020,12,0,"5,699",409,109,105,64,65,66,19,115,257,73,86,"2,596",745,168,569,253
2020,12,10,"6,692",487,137,186,92,82,93,37,155,224,129,91,"2,978",960,274,565,202
2020,12,20,"10,151",990,307,251,198,110,181,76,263,893,269,204,"3,535","1,264",494,711,405
2020,12,30,"9,440",793,292,219,183,99,163,47,232,476,244,202,"3,684","1,122",399,840,445
2020,12,40,"12,658","1,283",366,342,283,172,245,69,382,498,409,260,"4,759","1,486",539,"1,056",509
2020,12,50,"18,310","2,308",764,680,596,403,598,275,711,868,782,563,"5,230","1,703",908,"1,123",798
2020,12,60,"18,724","2,307","1,026",952,791,566,822,301,985,"1,141","1,105",849,"3,795","1,301",981,"1,035",767
2020,12,70,"12,538","1,597",716,711,640,382,590,225,853,920,846,507,"1,814",828,689,704,516
2020,12,80,"6,966",827,389,424,401,296,336,159,484,538,525,298,946,383,341,326,293
2020,12,90,794,83,52,47,48,37,38,21,62,56,63,35,96,47,37,27,45
2020,12,100,43,4,3,2,0,1,6,1,0,3,3,1,5,5,1,7,1
2021,1,총,"101,799","11,037","4,153","3,890","3,270","2,194","3,153","1,226","4,239","5,830","4,445","3,097","29,364","9,879","4,817","6,970","4,235"
2021,1,0,"5,645",403,111,103,62,62,69,19,117,249,75,87,"2,552",750,164,567,255
2021,1,10,"6,683",492,136,183,93,79,95,37,152,218,131,86,"2,969",963,275,567,207
2021,1,20,"10,038",966,302,237,196,107,180,73,261,867,269,208,"3,506","1,257",491,711,407
2021,1,30,"9,387",789,288,220,184,94,160,45,229,464,241,202,"3,648","1,125",402,850,446
2021,1,40,"12,607","1,265",369,336,274,170,247,72,382,509,407,257,"4,742","1,489",535,"1,049",504
2021,1,50,"18,213","2,287",754,670,583,396,592,273,715,856,775,555,"5,225","1,714",900,"1,120",798
2021,1,60,"18,798","2,324","1,032",957,786,570,828,298,983,"1,146","1,105",857,"3,822","1,312",981,"1,038",759
2021,1,70,"12,584","1,596",718,707,640,382,602,226,853,917,847,508,"1,836",834,689,706,523
2021,1,80,"6,983",824,386,428,402,295,333,160,486,544,528,300,958,382,340,328,289
2021,1,90,817,87,53,47,50,38,41,22,61,57,64,36,101,48,39,27,46
2021,1,100,44,4,4,2,0,1,6,1,0,3,3,1,5,5,1,7,1
2021,2,총,"102,024","11,027","4,159","3,861","3,254","2,197","3,197","1,215","4,234","5,982","4,461","3,093","29,328","9,937","4,800","7,031","4,248"
2021,2,0,"5,637",402,114,103,63,63,68,13,120,253,76,84,"2,522",759,162,576,259
2021,2,10,"6,713",492,134,175,92,76,139,38,149,221,128,86,"2,968",963,271,581,200
2021,2,20,"10,141",955,297,234,193,110,172,73,260,999,275,209,"3,487","1,278",481,712,406
2021,2,30,"9,351",771,291,214,182,92,164,44,229,464,236,199,"3,624","1,133",395,857,456
2021,2,40,"12,575","1,267",360,337,270,170,237,69,369,509,411,248,"4,734","1,497",535,"1,062",500
2021,2,50,"18,207","2,272",756,660,577,392,598,269,718,865,776,568,"5,217","1,710",894,"1,129",806
2021,2,60,"18,889","2,344","1,044",949,786,576,830,303,991,"1,148","1,106",855,"3,850","1,326",984,"1,044",753
2021,2,70,"12,625","1,597",718,710,637,380,604,224,855,920,853,502,"1,861",834,693,709,528
2021,2,80,"7,015",836,389,425,407,299,337,159,483,541,531,302,958,385,343,328,292
2021,2,90,826,87,52,52,47,38,42,22,60,58,66,39,102,47,41,26,47
2021,2,100,45,4,4,2,0,1,6,1,0,4,3,1,5,5,1,7,1
