년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,6,80,"2,610",214,53,,150,125,56,119,164,71,80,79,67,23,72,111,50,12,99,55,32,94,99,30,159,127,130,142,82,115
2020,6,90,240,17,5,,8,13,4,11,16,10,6,8,8,0,10,14,4,0,12,2,3,8,15,5,13,7,11,11,6,13
2020,6,100,10,2,0,,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,7,총,"48,077","3,214",691,,"1,883","1,498",486,"1,325","1,993",841,"1,008","1,304",882,357,"1,015","1,347",630,178,"1,321",539,197,"1,018",996,407,"6,089","4,636","3,732","4,039","1,845","4,606"
2020,7,0,"2,754",162,26,,51,59,14,57,37,31,24,47,29,12,34,68,18,4,44,7,2,14,36,14,490,387,292,289,107,399
2020,7,10,"4,116",233,30,,103,74,21,76,156,45,48,82,40,19,54,71,37,5,81,29,13,46,43,21,769,466,387,421,201,545
2020,7,20,"4,809",242,47,,133,103,34,100,127,48,68,109,63,19,66,100,37,10,72,24,10,76,62,19,753,562,428,467,200,830
2020,7,30,"4,140",260,44,,130,86,17,89,121,46,65,65,51,19,69,96,48,6,88,21,6,65,42,16,702,585,397,392,155,459
2020,7,40,"6,248",420,69,,218,159,45,142,205,88,83,149,105,42,109,143,60,17,169,58,14,111,110,45,876,705,574,570,290,672
2020,7,50,"8,922",601,145,,365,303,121,224,346,185,225,273,184,73,222,272,148,41,274,92,45,166,181,92,"1,020",807,675,828,320,694
2020,7,60,"8,749",649,143,,441,324,106,313,480,183,255,319,222,102,221,295,140,55,284,143,38,246,220,100,832,683,533,566,270,586
2020,7,70,"5,472",413,129,,282,250,68,197,341,135,151,172,113,46,158,176,85,27,198,108,35,192,186,65,475,306,303,353,215,293
2020,7,80,"2,615",214,53,,152,125,56,115,163,70,83,80,66,25,72,112,53,13,98,55,31,94,100,30,159,128,132,141,81,114
2020,7,90,242,18,5,,8,13,4,12,16,10,6,7,8,0,10,14,4,0,12,2,3,8,16,5,13,7,11,11,6,13
2020,7,100,10,2,0,,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020,8,총,"48,001","3,196",688,,"1,873","1,493",485,"1,328","1,991",837,"1,010","1,299",880,358,"1,008","1,337",634,177,"1,315",537,196,"1,024",999,406,"6,070","4,612","3,725","4,089","1,850","4,584"
2020,8,0,"2,744",153,26,,53,57,14,55,36,29,22,47,29,12,34,72,18,4,44,8,2,15,39,13,490,380,290,300,108,394
2020,8,10,"4,078",234,26,,102,75,18,75,155,46,50,81,39,19,54,66,37,5,78,29,13,44,43,20,765,457,389,428,201,529
2020,8,20,"4,791",239,45,,132,103,35,101,129,47,68,106,64,17,61,96,36,10,73,22,9,76,62,20,754,560,425,472,197,832
2020,8,30,"4,115",260,45,,126,83,19,89,120,45,65,65,49,20,67,96,53,6,86,19,5,69,44,15,684,580,385,403,153,464
2020,8,40,"6,221",410,71,,215,155,45,144,204,88,81,150,105,41,109,139,58,16,167,57,16,111,113,45,873,707,571,571,292,667
2020,8,50,"8,908",604,144,,362,300,118,225,342,183,224,270,185,73,219,273,150,40,270,95,45,163,180,92,"1,021",804,675,837,325,689
2020,8,60,"8,804",647,144,,443,333,108,316,484,185,260,319,221,105,225,299,140,57,287,143,37,251,218,100,834,681,543,570,270,584
2020,8,70,"5,465",414,128,,279,247,68,197,337,134,152,173,115,46,158,173,83,26,201,108,35,194,184,64,475,306,302,355,216,295
