년도,월,나이,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021,11,10,"34,560","13,065","3,031",110,792,455,580,"4,052","1,709","1,010","3,290","1,778","3,137","1,551"
2021,11,20,"39,452","13,683","3,264",150,"1,212",754,"1,381","4,472","3,014","1,002","3,147","2,198","3,164","2,011"
2021,11,30,"47,395","20,298","6,269",181,"1,053",554,"1,287","3,158","2,948","1,020","3,144","2,168","2,918","2,397"
2021,11,40,"61,350","22,721","6,765",270,"1,516",866,"1,425","5,854","3,372","1,623","5,318","3,382","5,332","2,906"
2021,11,50,"59,405","17,137","4,968",589,"2,668","1,801","2,397","6,296","4,506","1,522","5,083","3,903","5,266","3,269"
2021,11,60,"46,348","11,760","4,437",983,"2,793","1,962","2,431","3,695","3,250","1,233","3,797","3,155","4,304","2,548"
2021,11,70,"21,922","4,674","1,944",630,"1,389",943,"1,043","2,095","1,193",554,"1,775","1,614","2,815","1,253"
2021,11,80,"9,482","1,846",685,325,649,473,444,905,542,241,695,797,"1,305",575
2021,11,90,"1,186",246,97,45,103,87,54,88,79,35,81,76,126,69
2021,11,100,28,4,1,1,3,3,0,1,2,0,6,2,3,2
2021,12,총,"354,726","120,539","37,480","3,362","12,647","8,018","11,414","32,841","21,856","8,927","28,406","20,375","30,670","18,191"
2021,12,0,"32,841","15,267","4,834",77,466,158,432,"2,305","1,287",665,"2,134","1,310","2,254","1,652"
2021,12,10,"34,631","13,088","3,131",107,786,436,575,"4,033","1,710","1,013","3,282","1,783","3,146","1,541"
2021,12,20,"39,334","13,562","3,452",148,"1,218",737,"1,357","4,434","2,986","1,002","3,109","2,192","3,160","1,977"
2021,12,30,"47,338","20,176","6,457",179,"1,045",559,"1,275","3,144","2,927","1,017","3,116","2,149","2,912","2,382"
2021,12,40,"61,525","22,757","7,000",268,"1,511",867,"1,422","5,806","3,361","1,623","5,327","3,371","5,324","2,888"
2021,12,50,"59,617","17,135","5,204",585,"2,665","1,796","2,387","6,296","4,496","1,536","5,070","3,901","5,269","3,277"
2021,12,60,"46,636","11,764","4,634",989,"2,807","1,953","2,420","3,712","3,258","1,235","3,808","3,157","4,334","2,565"
2021,12,70,"22,013","4,668","1,972",630,"1,390",944,"1,046","2,108","1,206",555,"1,770","1,630","2,834","1,260"
2021,12,80,"9,554","1,871",696,329,654,478,442,914,548,244,703,804,"1,296",575
2021,12,90,"1,210",247,99,49,103,88,58,88,74,37,81,76,138,72
2021,12,100,27,4,1,1,2,2,0,1,3,0,6,2,3,2
