년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,8,40,"85,983","7,986","1,668","9,421","3,723",556,440,682,824,517,"1,000",888,340,"1,069","2,026","4,327","2,613","2,656","3,100","1,396","2,193","5,220","4,260","4,369","6,839","4,043","3,043","8,399","2,385"
2020,8,50,"60,662","6,381","2,006","5,891","3,438",860,739,877,"1,273",942,"1,522","1,341",600,"1,483","1,256","3,055","2,022","1,668","2,197","1,161","2,180","3,427","2,468","2,157","2,835","2,005","1,701","4,007","1,170"
2020,8,60,"34,056","3,775","1,381","3,090","2,292",667,651,679,"1,062",895,"1,069","1,127",507,"1,066",568,"1,672","1,119",725,"1,202",656,"1,466","1,152",917,876,959,"1,084",763,"1,938",698
2020,8,70,"14,711","1,687",777,"1,309",998,326,315,379,592,422,428,515,218,501,115,674,502,388,369,317,611,442,436,496,330,460,278,615,211
2020,8,80,"4,988",482,286,471,339,125,157,126,290,215,178,251,95,199,30,228,161,142,89,81,189,130,137,156,78,106,70,117,60
2020,8,90,418,44,29,32,26,13,16,11,34,16,21,17,9,14,2,22,9,5,14,5,9,9,6,19,4,8,7,13,4
2020,8,100,35,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,2,0
2020,9,총,"439,243","40,680","9,480","45,535","22,303","3,828","3,299","4,123","5,877","3,943","5,999","5,881","2,447","6,567","10,719","23,464","14,425","11,933","16,514","7,034","12,277","26,317","17,730","21,664","26,782","20,287","16,071","41,070","12,994"
2020,9,0,"54,004","4,175",502,"5,619","2,138",158,128,155,239,90,164,227,60,233,"1,954","2,343","1,414","1,315","2,256",728,975,"3,302","2,297","3,075","4,936","3,245","2,346","7,608","2,322"
2020,9,10,"48,944","4,908",745,"5,074","1,793",260,179,227,441,162,249,339,91,432,"1,039","2,019","1,610","2,010","2,069",935,"1,206","3,559","3,320","2,790","4,387","2,061","1,517","4,420","1,102"
2020,9,20,"55,376","5,285","1,102","5,616","3,275",476,360,464,572,357,663,599,267,813,"1,229","3,992","2,574","1,470","2,217",926,"1,788","4,133","1,861","3,311","2,120","2,247","2,200","4,058","1,401"
2020,9,30,"78,715","5,702",975,"8,894","4,159",378,315,511,524,320,697,568,256,767,"2,415","5,098","2,385","1,539","2,966",831,"1,657","4,897","2,016","4,388","4,239","4,961","4,096","9,577","3,584"
2020,9,40,"86,404","8,073","1,656","9,474","3,769",547,442,687,829,516,998,880,345,"1,057","2,073","4,323","2,617","2,632","3,114","1,375","2,189","5,227","4,260","4,383","6,846","4,073","3,062","8,547","2,410"
2020,9,50,"61,058","6,460","2,009","5,924","3,466",868,727,877,"1,281",933,"1,514","1,350",601,"1,474","1,283","3,083","2,020","1,700","2,199","1,170","2,180","3,450","2,470","2,159","2,864","2,027","1,709","4,074","1,186"
2020,9,60,"34,479","3,834","1,398","3,114","2,337",673,657,686,"1,080",912,"1,087","1,128",504,"1,076",573,"1,674","1,126",731,"1,214",663,"1,471","1,165",925,886,973,"1,093",784,"2,006",709
2020,9,70,"14,750","1,699",771,"1,311",998,324,315,374,585,416,425,516,216,501,119,682,505,387,372,319,613,443,432,495,331,464,277,646,214
2020,9,80,"5,057",494,291,472,342,129,157,131,291,218,180,251,98,199,32,227,165,144,92,82,187,132,142,159,81,108,72,118,63
2020,9,90,421,46,28,32,26,13,17,11,35,16,22,17,9,13,2,22,9,5,14,5,9,9,6,18,5,8,7,14,3
2020,9,100,35,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,2,0
2020,10,총,"440,954","41,189","9,484","45,684","22,507","3,796","3,296","4,105","5,881","3,943","5,978","5,889","2,453","6,548","10,779","23,472","14,435","11,938","16,490","7,028","12,255","26,367","17,731","21,734","26,736","20,402","16,058","41,382","13,394"
2020,10,0,"53,816","4,179",498,"5,561","2,147",158,123,153,237,87,166,225,58,225,"1,962","2,316","1,400","1,305","2,245",718,965,"3,275","2,267","3,061","4,872","3,220","2,344","7,617","2,432"
2020,10,10,"49,144","4,940",749,"5,103","1,806",256,182,222,440,169,251,336,88,425,"1,037","2,027","1,599","2,011","2,059",932,"1,195","3,560","3,335","2,796","4,414","2,086","1,525","4,485","1,116"
