년도,월,나이,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021,2,80,"5,466",247,326,231,302,304,461,176,480,361,382,526,383,363,471,453
2021,2,90,930,45,57,45,62,46,85,26,105,56,70,78,62,45,69,79
2021,2,100,164,18,9,6,6,12,21,6,7,10,11,8,12,13,19,6
2021,3,총,"177,645","11,938","10,027","7,991","11,467","8,300","14,778","6,184","18,164","11,691","12,991","14,843","8,776","11,415","13,814","15,266"
2021,3,0,"9,259",195,411,354,560,340,668,265,"1,533",495,778,"1,149",356,392,843,920
2021,3,10,"12,576",418,488,358,674,454,885,260,"2,700",717,859,"1,334",437,578,"1,162","1,252"
2021,3,20,"33,237","5,580","2,395","1,555","2,166","1,360","2,189","1,354","2,048","2,293","1,932","1,971","1,376","2,620","1,887","2,511"
2021,3,30,"27,969","2,078","1,747","1,456","2,005","1,277","2,166","1,462","2,134","1,863","1,957","2,271","1,162","2,132","1,890","2,369"
2021,3,40,"26,235",975,"1,247","1,034","1,502","1,121","2,009",796,"4,122","1,672","2,021","2,401","1,143","1,575","2,196","2,421"
2021,3,50,"27,646",954,"1,422","1,246","1,879","1,470","2,761",756,"2,700","1,847","2,229","2,447","1,442","1,611","2,363","2,519"
2021,3,60,"22,501",911,"1,230","1,103","1,549","1,240","2,348",692,"1,548","1,526","1,897","1,792","1,560","1,324","1,925","1,856"
2021,3,70,"11,893",543,711,617,775,687,"1,197",403,790,865,881,876,870,775,"1,014",889
2021,3,80,"5,424",240,320,227,297,302,471,171,488,360,371,525,377,351,468,456
2021,3,90,853,40,52,41,60,44,76,23,99,52,63,73,52,44,63,71
2021,3,100,52,4,4,0,0,5,8,2,2,1,3,4,1,13,3,2
2021,4,총,"177,451","11,962","10,041","8,001","11,451","8,259","14,740","6,186","18,134","11,662","12,968","14,835","8,774","11,420","13,771","15,247"
2021,4,0,"9,195",195,404,353,562,329,661,267,"1,521",488,778,"1,142",343,394,838,920
2021,4,10,"12,527",406,486,356,671,445,886,260,"2,688",707,854,"1,341",440,578,"1,156","1,253"
2021,4,20,"33,241","5,613","2,399","1,565","2,178","1,365","2,190","1,356","2,054","2,299","1,926","1,956","1,387","2,598","1,868","2,487"
2021,4,30,"27,916","2,081","1,764","1,450","1,987","1,280","2,143","1,454","2,111","1,857","1,950","2,262","1,174","2,140","1,890","2,373"
2021,4,40,"26,181",971,"1,237","1,036","1,500","1,114","2,007",791,"4,110","1,669","2,017","2,392","1,145","1,586","2,186","2,420"
2021,4,50,"27,553",948,"1,425","1,236","1,871","1,454","2,748",758,"2,723","1,844","2,201","2,450","1,426","1,611","2,343","2,515"
2021,4,60,"22,548",924,"1,233","1,113","1,556","1,233","2,350",693,"1,546","1,510","1,923","1,800","1,555","1,326","1,932","1,854"
2021,4,70,"11,925",540,712,621,770,688,"1,203",410,786,874,878,887,869,775,"1,022",890
2021,4,80,"5,453",242,326,227,298,300,467,171,495,362,376,526,380,355,469,459
2021,4,90,858,38,51,44,58,46,77,24,97,51,62,75,54,44,64,73
2021,4,100,54,4,4,0,0,5,8,2,3,1,3,4,1,13,3,3
2021,5,총,"177,351","11,989","10,049","7,997","11,444","8,252","14,757","6,195","18,109","11,670","12,967","14,796","8,767","11,411","13,754","15,194"
2021,5,0,"9,136",194,406,348,561,332,660,264,"1,501",489,777,"1,130",342,389,833,910
2021,5,10,"12,503",406,479,358,670,442,887,259,"2,692",699,856,"1,345",436,574,"1,151","1,249"
2021,5,20,"33,198","5,636","2,382","1,567","2,167","1,358","2,185","1,358","2,052","2,295","1,922","1,943","1,402","2,598","1,853","2,480"
2021,5,30,"27,870","2,098","1,791","1,446","1,996","1,272","2,138","1,443","2,099","1,853","1,938","2,249","1,166","2,144","1,885","2,352"
2021,5,40,"26,097",966,"1,231","1,014","1,504","1,106","2,000",802,"4,088","1,673","2,020","2,385","1,142","1,574","2,180","2,412"
2021,5,50,"27,536",944,"1,423","1,244","1,862","1,458","2,752",765,"2,742","1,838","2,202","2,432","1,423","1,607","2,350","2,494"
2021,5,60,"22,654",922,"1,241","1,132","1,556","1,231","2,371",687,"1,548","1,520","1,929","1,815","1,560","1,336","1,940","1,866"
2021,5,70,"11,949",542,715,619,771,693,"1,209",414,790,889,879,885,860,773,"1,014",896
2021,5,80,"5,491",241,328,226,298,309,473,177,493,360,378,531,383,357,478,459
2021,5,90,864,36,50,43,59,46,74,24,101,53,63,77,52,46,67,73
2021,5,100,53,4,3,0,0,5,8,2,3,1,3,4,1,13,3,3
2021,6,총,"177,248","12,002","10,033","8,004","11,443","8,245","14,741","6,197","18,090","11,635","12,948","14,768","8,782","11,410","13,773","15,177"
2021,6,0,"9,089",191,406,352,552,336,652,259,"1,489",479,771,"1,124",338,386,840,914
2021,6,10,"12,503",407,478,359,674,446,886,256,"2,686",702,857,"1,345",443,566,"1,152","1,246"
2021,6,20,"33,156","5,639","2,381","1,571","2,170","1,344","2,187","1,369","2,055","2,289","1,921","1,927","1,397","2,599","1,847","2,460"
2021,6,30,"27,813","2,109","1,784","1,448","1,990","1,268","2,114","1,437","2,080","1,847","1,934","2,234","1,180","2,155","1,887","2,346"
2021,6,40,"26,020",961,"1,224","1,013","1,508","1,096","1,996",797,"4,089","1,661","2,004","2,374","1,136","1,582","2,185","2,394"
2021,6,50,"27,476",948,"1,409","1,236","1,850","1,469","2,733",772,"2,737","1,821","2,183","2,433","1,427","1,597","2,351","2,510"
2021,6,60,"22,802",926,"1,253","1,141","1,574","1,228","2,395",693,"1,570","1,532","1,951","1,821","1,556","1,341","1,948","1,873"
2021,6,70,"11,954",542,716,611,774,697,"1,218",414,783,886,883,882,866,770,"1,017",895
2021,6,80,"5,518",240,329,230,295,310,478,176,495,364,376,546,386,354,471,468
2021,6,90,864,36,50,43,56,46,74,22,103,53,65,78,52,46,72,68
2021,6,100,53,3,3,0,0,5,8,2,3,1,3,4,1,14,3,3
2021,7,총,"177,072","12,019","9,987","8,039","11,409","8,241","14,723","6,185","18,060","11,635","12,898","14,730","8,753","11,413","13,808","15,172"
2021,7,0,"9,008",190,405,353,549,331,647,259,"1,462",470,765,"1,112",321,386,843,915
2021,7,10,"12,457",391,465,353,666,447,873,261,"2,695",718,849,"1,337",446,564,"1,152","1,240"
2021,7,20,"33,134","5,673","2,369","1,592","2,154","1,349","2,182","1,351","2,045","2,272","1,911","1,932","1,397","2,594","1,852","2,461"
2021,7,30,"27,724","2,117","1,777","1,460","1,986","1,264","2,095","1,432","2,051","1,842","1,915","2,213","1,176","2,152","1,892","2,352"
2021,7,40,"25,983",953,"1,214","1,018","1,507","1,085","1,991",796,"4,101","1,672","2,009","2,367","1,122","1,582","2,190","2,376"
2021,7,50,"27,461",949,"1,398","1,228","1,846","1,473","2,755",773,"2,743","1,820","2,176","2,425","1,424","1,595","2,345","2,511"
2021,7,60,"22,891",918,"1,259","1,149","1,582","1,234","2,400",698,"1,578","1,540","1,950","1,834","1,560","1,353","1,959","1,877"
2021,7,70,"11,948",544,716,612,772,695,"1,217",418,780,878,874,883,867,770,"1,023",899
2021,7,80,"5,535",244,330,231,289,312,480,175,500,369,382,539,387,355,475,467
2021,7,90,877,37,51,43,58,46,75,20,102,53,64,84,52,48,73,71
2021,7,100,54,3,3,0,0,5,8,2,3,1,3,4,1,14,4,3
2021,8,총,"176,757","12,039","9,981","8,038","11,413","8,222","14,699","6,163","18,031","11,595","12,838","14,706","8,718","11,367","13,795","15,152"
2021,8,0,"8,908",186,397,348,543,329,636,259,"1,446",467,751,"1,100",318,384,836,908
2021,8,10,"12,404",394,469,350,665,443,868,264,"2,692",705,843,"1,328",449,552,"1,146","1,236"
2021,8,20,"33,098","5,696","2,369","1,600","2,156","1,343","2,175","1,354","2,043","2,260","1,898","1,934","1,385","2,589","1,857","2,439"
2021,8,30,"27,640","2,119","1,779","1,460","1,987","1,255","2,087","1,404","2,052","1,839","1,897","2,198","1,163","2,147","1,890","2,363"
2021,8,40,"25,857",945,"1,211","1,016","1,510","1,085","1,981",792,"4,063","1,659","2,001","2,354","1,114","1,562","2,193","2,371"
2021,8,50,"27,445",957,"1,393","1,224","1,844","1,470","2,761",777,"2,766","1,808","2,161","2,424","1,414","1,594","2,338","2,514"
2021,8,60,"22,961",911,"1,264","1,160","1,582","1,239","2,408",702,"1,583","1,550","1,953","1,848","1,566","1,354","1,966","1,875"
2021,8,70,"11,927",546,715,601,769,692,"1,213",415,776,884,881,890,863,761,"1,018",903
2021,8,80,"5,581",245,332,238,298,315,487,174,505,370,385,539,390,360,472,471
2021,8,90,880,37,49,41,59,46,74,20,102,52,64,87,55,50,75,69
2021,8,100,56,3,3,0,0,5,9,2,3,1,4,4,1,14,4,3
2021,9,총,"176,559","12,059","9,973","8,039","11,380","8,199","14,684","6,134","17,994","11,538","12,810","14,688","8,838","11,339","13,774","15,110"
2021,9,0,"8,823",185,394,348,530,322,637,255,"1,430",451,749,"1,090",327,378,825,902
2021,9,10,"12,376",397,468,347,668,432,865,260,"2,693",701,839,"1,339",445,551,"1,131","1,240"
2021,9,20,"33,037","5,706","2,376","1,603","2,142","1,343","2,167","1,344","2,025","2,238","1,896","1,922","1,415","2,568","1,868","2,424"
2021,9,30,"27,619","2,128","1,769","1,453","1,989","1,251","2,087","1,402","2,036","1,831","1,892","2,188","1,206","2,153","1,889","2,345"
