년도,월,나이,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020,12,10,"34,342","1,920","3,476","1,836","5,648","4,845","3,088","2,198","4,610","3,424","3,297"
2020,12,20,"56,831","4,992","6,147","3,027","10,016","5,964","5,497","3,786","5,543","5,935","5,924"
2020,12,30,"56,417","4,282","5,752","2,690","10,976","6,592","5,280","3,882","7,476","4,516","4,971"
2020,12,40,"64,121","4,400","6,635","3,248","10,803","8,104","6,117","3,989","8,450","6,279","6,096"
2020,12,50,"75,916","5,819","8,395","4,031","12,266","7,861","7,733","5,473","7,506","8,441","8,391"
2020,12,60,"56,019","5,040","6,771","2,940","8,143","4,125","6,531","4,635","6,041","5,955","5,838"
2020,12,70,"25,137","2,409","3,188","1,254","3,093","1,530","3,130","2,013","2,774","3,062","2,684"
2020,12,80,"13,161","1,115","1,581",688,"1,789",870,"1,465",993,"1,508","1,699","1,453"
2020,12,90,"2,385",209,233,140,379,180,281,170,286,276,231
2020,12,100,188,27,24,10,16,3,23,18,27,20,20
2021,1,총,"411,985","31,595","44,904","21,190","67,881","43,940","41,390","28,978","48,966","41,859","41,282"
2021,1,0,"27,540","1,407","2,705","1,332","4,779","3,897","2,261","1,818","4,711","2,227","2,403"
2021,1,10,"34,182","1,913","3,448","1,838","5,599","4,826","3,078","2,179","4,628","3,401","3,272"
2021,1,20,"56,648","4,975","6,141","3,007","9,975","5,945","5,469","3,771","5,520","5,948","5,897"
2021,1,30,"56,182","4,259","5,750","2,688","10,937","6,523","5,271","3,889","7,407","4,498","4,960"
2021,1,40,"63,962","4,374","6,612","3,239","10,764","8,092","6,096","3,974","8,482","6,238","6,091"
2021,1,50,"75,856","5,811","8,394","4,029","12,256","7,883","7,702","5,467","7,500","8,439","8,375"
2021,1,60,"56,533","5,069","6,811","2,964","8,256","4,181","6,581","4,665","6,095","6,030","5,881"
2021,1,70,"25,229","2,430","3,200","1,242","3,119","1,532","3,133","2,021","2,790","3,068","2,694"
2021,1,80,"13,239","1,121","1,586",700,"1,792",873,"1,484","1,007","1,512","1,708","1,456"
2021,1,90,"2,422",209,233,141,387,185,292,169,293,281,232
2021,1,100,192,27,24,10,17,3,23,18,28,21,21
2021,2,총,"411,324","31,622","44,882","21,146","67,733","43,854","41,285","28,908","48,898","41,771","41,225"
2021,2,0,"27,245","1,400","2,678","1,322","4,714","3,867","2,214","1,808","4,670","2,193","2,379"
2021,2,10,"33,984","1,909","3,424","1,843","5,569","4,802","3,067","2,146","4,625","3,350","3,249"
2021,2,20,"56,445","4,960","6,142","2,996","9,937","5,903","5,470","3,757","5,487","5,927","5,866"
2021,2,30,"55,827","4,289","5,722","2,653","10,857","6,489","5,202","3,871","7,318","4,495","4,931"
2021,2,40,"63,798","4,340","6,603","3,240","10,756","8,080","6,078","3,950","8,503","6,167","6,081"
2021,2,50,"75,768","5,799","8,401","4,009","12,240","7,885","7,680","5,442","7,512","8,448","8,352"
2021,2,60,"57,015","5,101","6,853","2,992","8,332","4,228","6,632","4,710","6,129","6,102","5,936"
2021,2,70,"25,262","2,451","3,191","1,240","3,129","1,534","3,116","2,020","2,812","3,069","2,700"
2021,2,80,"13,350","1,135","1,611",700,"1,795",875,"1,509","1,016","1,516","1,719","1,474"
2021,2,90,"2,436",210,233,141,388,188,293,170,297,280,236
2021,2,100,194,28,24,10,16,3,24,18,29,21,21
2021,3,총,"409,804","31,403","44,713","21,034","67,603","43,809","41,101","28,739","48,779","41,561","41,062"
2021,3,0,"27,062","1,403","2,649","1,307","4,683","3,829","2,204","1,807","4,645","2,166","2,369"
2021,3,10,"33,831","1,887","3,416","1,825","5,549","4,794","3,042","2,139","4,642","3,313","3,224"
2021,3,20,"56,322","4,941","6,116","2,976","9,905","5,910","5,470","3,742","5,472","5,931","5,859"
2021,3,30,"55,461","4,255","5,698","2,635","10,818","6,480","5,157","3,831","7,235","4,471","4,881"
2021,3,40,"63,407","4,280","6,583","3,211","10,716","8,043","6,042","3,924","8,512","6,072","6,024"
2021,3,50,"75,337","5,768","8,334","3,976","12,190","7,855","7,637","5,366","7,469","8,427","8,315"
2021,3,60,"57,388","5,083","6,914","3,020","8,416","4,297","6,655","4,720","6,175","6,129","5,979"
2021,3,70,"25,140","2,442","3,159","1,230","3,130","1,528","3,094","2,009","2,817","3,045","2,686"
2021,3,80,"13,364","1,127","1,610",708,"1,797",883,"1,504","1,015","1,510","1,729","1,481"
2021,3,90,"2,386",208,220,139,384,187,284,174,289,269,232
2021,3,100,106,9,14,7,15,3,12,12,13,9,12
2021,4,총,"409,307","31,311","44,756","21,004","67,489","43,761","41,044","28,712","48,751","41,478","41,001"
2021,4,0,"26,937","1,392","2,647","1,309","4,653","3,823","2,190","1,802","4,613","2,150","2,358"
2021,4,10,"33,702","1,873","3,403","1,831","5,523","4,777","3,025","2,123","4,662","3,275","3,210"
2021,4,20,"56,089","4,911","6,131","2,960","9,846","5,880","5,451","3,720","5,458","5,898","5,834"
2021,4,30,"55,356","4,207","5,700","2,637","10,790","6,469","5,165","3,819","7,182","4,489","4,898"
2021,4,40,"63,209","4,279","6,591","3,198","10,700","8,010","6,014","3,912","8,506","6,038","5,961"
2021,4,50,"75,151","5,747","8,310","3,950","12,139","7,843","7,607","5,356","7,463","8,418","8,318"
2021,4,60,"57,816","5,114","6,960","3,041","8,497","4,360","6,696","4,754","6,221","6,166","6,007"
2021,4,70,"25,136","2,433","3,168","1,223","3,132","1,522","3,089","2,026","2,821","3,039","2,683"
2021,4,80,"13,392","1,135","1,607",706,"1,805",886,"1,509","1,017","1,517","1,729","1,481"
2021,4,90,"2,410",209,225,142,389,188,286,171,293,267,240
2021,4,100,109,11,14,7,15,3,12,12,15,9,11
2021,5,총,"408,888","31,231","44,721","20,947","67,401","43,787","41,004","28,659","48,731","41,423","40,984"
2021,5,0,"26,775","1,373","2,624","1,296","4,641","3,808","2,178","1,795","4,574","2,131","2,355"
2021,5,10,"33,601","1,861","3,383","1,832","5,499","4,762","3,020","2,126","4,663","3,261","3,194"
2021,5,20,"55,923","4,878","6,135","2,936","9,833","5,883","5,434","3,678","5,435","5,882","5,829"
2021,5,30,"55,181","4,188","5,691","2,637","10,754","6,464","5,155","3,799","7,147","4,461","4,885"
2021,5,40,"63,015","4,258","6,558","3,173","10,676","7,998","5,980","3,905","8,505","6,006","5,956"
2021,5,50,"75,042","5,759","8,318","3,931","12,092","7,861","7,589","5,325","7,478","8,406","8,283"
2021,5,60,"58,243","5,140","6,964","3,057","8,567","4,409","6,739","4,795","6,274","6,227","6,071"
2021,5,70,"25,167","2,429","3,189","1,225","3,128","1,520","3,107","2,032","2,818","3,045","2,674"
2021,5,80,"13,403","1,129","1,616",710,"1,806",885,"1,502","1,019","1,522","1,724","1,490"
2021,5,90,"2,426",205,227,142,390,194,288,173,300,271,236
2021,5,100,112,11,16,8,15,3,12,12,15,9,11
2021,6,총,"408,742","31,237","44,630","20,893","67,387","43,765","40,992","28,637","48,719","41,481","41,001"
2021,6,0,"26,673","1,367","2,603","1,283","4,629","3,795","2,172","1,789","4,549","2,140","2,346"
2021,6,10,"33,540","1,858","3,381","1,834","5,489","4,746","3,001","2,128","4,675","3,236","3,192"
2021,6,20,"55,790","4,862","6,095","2,916","9,822","5,872","5,423","3,647","5,429","5,898","5,826"
2021,6,30,"55,090","4,167","5,676","2,639","10,725","6,472","5,131","3,809","7,105","4,480","4,886"
2021,6,40,"62,924","4,261","6,556","3,161","10,678","7,979","5,966","3,894","8,519","5,978","5,932"
2021,6,50,"74,779","5,742","8,266","3,906","12,050","7,837","7,569","5,308","7,455","8,398","8,248"
2021,6,60,"58,721","5,176","7,002","3,070","8,631","4,460","6,807","4,819","6,323","6,284","6,149"
2021,6,70,"25,243","2,447","3,195","1,231","3,148","1,516","3,111","2,036","2,820","3,056","2,683"
2021,6,80,"13,432","1,143","1,610",701,"1,806",892,"1,508","1,020","1,534","1,727","1,491"
2021,6,90,"2,438",203,230,144,394,193,292,175,295,275,237
2021,6,100,112,11,16,8,15,3,12,12,15,9,11
2021,7,총,"408,424","31,254","44,605","20,827","67,314","43,721","40,929","28,586","48,690","41,531","40,967"
2021,7,0,"26,500","1,358","2,586","1,271","4,600","3,773","2,150","1,786","4,518","2,123","2,335"
2021,7,10,"33,497","1,875","3,360","1,825","5,474","4,743","3,000","2,116","4,682","3,235","3,187"
2021,7,20,"55,568","4,849","6,097","2,894","9,749","5,844","5,402","3,622","5,410","5,876","5,825"
2021,7,30,"54,953","4,168","5,671","2,604","10,725","6,438","5,104","3,798","7,069","4,502","4,874"
2021,7,40,"62,807","4,255","6,530","3,162","10,671","7,963","5,945","3,886","8,539","5,956","5,900"
2021,7,50,"74,654","5,719","8,260","3,887","12,019","7,854","7,546","5,284","7,444","8,414","8,227"
2021,7,60,"59,140","5,222","7,040","3,096","8,705","4,486","6,845","4,827","6,363","6,353","6,203"
2021,7,70,"25,274","2,440","3,192","1,231","3,154","1,527","3,113","2,057","2,830","3,053","2,677"
2021,7,80,"13,490","1,147","1,623",711,"1,816",897,"1,519","1,024","1,528","1,739","1,486"
2021,7,90,"2,425",210,229,138,385,193,292,174,291,271,242
2021,7,100,116,11,17,8,16,3,13,12,16,9,11
2021,8,총,"408,206","31,226","44,621","20,831","67,190","43,751","40,887","28,567","48,694","41,453","40,986"
2021,8,0,"26,344","1,358","2,570","1,264","4,573","3,744","2,142","1,777","4,483","2,098","2,335"
2021,8,10,"33,426","1,869","3,357","1,840","5,456","4,745","2,982","2,100","4,690","3,221","3,166"
2021,8,20,"55,361","4,830","6,093","2,877","9,659","5,861","5,371","3,618","5,395","5,832","5,825"
2021,8,30,"54,809","4,153","5,665","2,588","10,686","6,413","5,096","3,813","7,035","4,495","4,865"
2021,8,40,"62,646","4,260","6,504","3,160","10,644","7,941","5,915","3,861","8,555","5,929","5,877"
2021,8,50,"74,658","5,699","8,267","3,876","12,008","7,889","7,563","5,270","7,453","8,395","8,238"
2021,8,60,"59,523","5,242","7,088","3,134","8,774","4,519","6,868","4,843","6,411","6,395","6,249"
2021,8,70,"25,316","2,445","3,192","1,227","3,167","1,540","3,119","2,069","2,828","3,050","2,679"
2021,8,80,"13,563","1,150","1,633",713,"1,819",907,"1,526","1,030","1,532","1,760","1,493"
2021,8,90,"2,443",209,234,143,387,189,292,176,296,269,248
2021,8,100,117,11,18,9,17,3,13,10,16,9,11
2021,9,총,"408,032","31,229","44,611","20,787","67,055","43,636","41,208","28,530","48,655","41,399","40,922"
2021,9,0,"26,185","1,349","2,536","1,250","4,533","3,700","2,186","1,773","4,463","2,070","2,325"
2021,9,10,"33,349","1,856","3,371","1,835","5,415","4,741","3,006","2,096","4,677","3,200","3,152"
2021,9,20,"55,169","4,838","6,054","2,871","9,639","5,808","5,391","3,590","5,370","5,809","5,799"
2021,9,30,"54,726","4,166","5,676","2,581","10,626","6,392","5,177","3,802","6,972","4,485","4,849"
2021,9,40,"62,544","4,240","6,486","3,139","10,609","7,916","5,931","3,867","8,575","5,900","5,881"
2021,9,50,"74,764","5,696","8,285","3,881","12,001","7,904","7,624","5,265","7,486","8,406","8,216"
