년도,월,나이,북구,고성동,칠성동,침산1동,침산2동,침산3동,산격1동,산격2동,산격3동,산격4동,대현동,복현1동,복현2동,검단동,무태조야동,관문동,태전1동,태전2동,구암동,관음동,읍내동,동천동,노원동,국우동
2021,1,80,"12,307",196,798,170,450,648,602,376,339,376,823,192,680,303,698,680,712,629,747,577,816,607,369,519
2021,1,90,"1,427",30,121,29,50,63,45,43,39,41,109,23,106,24,93,84,83,83,92,52,78,36,41,62
2021,1,100,97,5,12,1,5,6,6,1,3,0,17,1,5,1,2,5,2,2,2,3,6,2,8,2
2021,2,총,"439,218","4,962","23,475","4,237","19,319","20,287","9,525","11,061","9,149","8,635","18,462","7,670","28,886","6,716","36,779","37,290","22,305","25,033","36,367","17,062","26,867","29,007","12,062","24,062"
2021,2,0,"33,476",350,"2,339",173,"2,180","1,726",253,600,282,299,"1,171",182,"2,261",312,"3,514","4,512","1,331","1,621","2,662",929,"1,665","2,308",622,"2,184"
2021,2,10,"42,942",356,"2,060",207,"2,270","2,260",458,902,450,480,"1,176",351,"3,026",419,"3,935","3,156","1,741","2,476","4,994","1,598","2,454","4,417",626,"3,130"
2021,2,20,"61,951",569,"2,847",484,"2,153","2,386","1,011","1,635","2,570","1,301","2,902","2,376","4,149",739,"4,255","3,924","3,809","3,700","5,396","2,425","4,313","4,156","1,362","3,489"
2021,2,30,"53,519",671,"3,671",464,"2,747","2,342",747,"1,160","1,155","1,037","2,147","1,019","3,610",817,"4,843","6,360","2,630","2,751","3,470","1,622","3,051","2,842","1,563","2,800"
2021,2,40,"72,048",710,"4,070",487,"3,699","3,481","1,126","1,471","1,040","1,016","2,652",813,"4,668",899,"7,005","6,464","3,144","3,980","6,756","2,523","3,765","5,994","1,623","4,662"
2021,2,50,"78,209",794,"3,263",894,"2,831","3,476","1,912","2,250","1,271","1,574","2,958","1,200","5,110","1,217","6,275","5,917","4,200","4,753","7,231","3,534","5,477","5,481","2,367","4,224"
2021,2,60,"54,707",778,"2,670",902,"1,906","2,401","2,022","1,730","1,235","1,582","2,735","1,019","3,697","1,283","4,169","4,278","3,122","3,358","3,381","2,654","3,646","2,021","2,223","1,895"
2021,2,70,"28,383",501,"1,618",425,"1,029","1,482","1,335",889,759,927,"1,762",486,"1,574",699,"1,980","1,905","1,524","1,666","1,631","1,134","1,586","1,134","1,249","1,088"
2021,2,80,"12,429",197,807,171,451,660,606,379,343,377,832,200,679,304,704,682,717,643,753,588,823,612,376,525
2021,2,90,"1,457",32,118,29,48,67,48,44,41,42,111,23,107,26,97,87,85,83,91,52,81,39,43,63
2021,2,100,97,4,12,1,5,6,7,1,3,0,16,1,5,1,2,5,2,2,2,3,6,3,8,2
2021,3,총,"438,365","4,957","23,433","4,222","19,300","20,240","9,450","11,040","9,125","8,618","18,422","7,680","28,979","6,653","36,726","37,212","22,360","24,978","36,242","17,031","26,782","28,880","12,036","23,999"
2021,3,0,"33,229",354,"2,334",171,"2,183","1,718",252,594,276,294,"1,169",179,"2,252",302,"3,491","4,492","1,316","1,614","2,630",906,"1,645","2,284",618,"2,155"
2021,3,10,"42,656",354,"2,037",205,"2,268","2,250",440,897,452,476,"1,164",354,"3,013",408,"3,917","3,144","1,742","2,454","4,948","1,584","2,445","4,382",620,"3,102"
2021,3,20,"61,942",561,"2,865",484,"2,141","2,363","1,003","1,631","2,575","1,282","2,887","2,392","4,221",720,"4,239","3,899","3,887","3,703","5,365","2,426","4,286","4,135","1,375","3,502"
2021,3,30,"53,279",676,"3,642",467,"2,753","2,316",741,"1,150","1,139","1,036","2,138","1,024","3,630",809,"4,824","6,320","2,628","2,740","3,443","1,609","3,044","2,829","1,546","2,775"
2021,3,40,"71,680",703,"4,052",481,"3,694","3,480","1,106","1,461","1,029","1,032","2,639",819,"4,651",883,"6,984","6,458","3,116","3,952","6,699","2,508","3,755","5,923","1,614","4,641"
2021,3,50,"77,916",792,"3,266",881,"2,809","3,463","1,881","2,250","1,267","1,553","2,945","1,189","5,085","1,195","6,270","5,916","4,179","4,730","7,244","3,521","5,433","5,501","2,338","4,208"
2021,3,60,"55,146",784,"2,671",904,"1,917","2,425","2,033","1,738","1,246","1,596","2,747","1,010","3,743","1,303","4,179","4,300","3,159","3,392","3,427","2,695","3,671","2,034","2,238","1,934"
2021,3,70,"28,455",502,"1,617",429,"1,022","1,485","1,336",895,755,930,"1,753",486,"1,589",699,"2,012","1,909","1,523","1,659","1,638","1,141","1,592","1,139","1,253","1,091"
2021,3,80,"12,508",196,817,171,459,668,606,379,343,379,851,204,686,303,711,678,725,647,755,588,821,613,380,528
2021,3,90,"1,462",31,119,28,49,66,49,44,40,40,113,22,103,30,98,91,83,85,91,50,83,39,46,62
2021,3,100,92,4,13,1,5,6,3,1,3,0,16,1,6,1,1,5,2,2,2,3,7,1,8,1
2021,4,총,"438,248","4,951","23,421","4,224","19,268","20,204","9,430","11,002","9,078","8,579","18,317","7,684","29,586","6,613","36,692","37,171","22,382","24,922","36,149","16,974","26,779","28,824","12,012","23,986"
2021,4,0,"33,119",358,"2,318",169,"2,158","1,718",248,585,270,295,"1,149",174,"2,319",293,"3,482","4,483","1,322","1,599","2,616",898,"1,653","2,262",612,"2,138"
2021,4,10,"42,601",349,"2,029",206,"2,292","2,245",436,887,444,473,"1,159",356,"3,096",400,"3,910","3,150","1,733","2,447","4,918","1,563","2,433","4,368",621,"3,086"
2021,4,20,"61,826",554,"2,887",488,"2,117","2,349",987,"1,627","2,571","1,264","2,878","2,391","4,291",723,"4,237","3,882","3,898","3,679","5,329","2,410","4,276","4,123","1,362","3,503"
2021,4,30,"53,180",690,"3,626",464,"2,728","2,303",740,"1,140","1,136","1,040","2,115","1,026","3,752",796,"4,788","6,257","2,635","2,723","3,437","1,604","3,063","2,821","1,533","2,763"
2021,4,40,"71,588",694,"4,067",482,"3,696","3,468","1,116","1,457","1,027","1,021","2,625",825,"4,759",870,"6,961","6,466","3,099","3,956","6,653","2,485","3,737","5,875","1,614","4,635"
2021,4,50,"77,882",790,"3,262",878,"2,807","3,463","1,869","2,239","1,251","1,540","2,907","1,190","5,153","1,192","6,304","5,933","4,176","4,708","7,239","3,523","5,411","5,509","2,323","4,215"
2021,4,60,"55,431",780,"2,673",910,"1,928","2,436","2,035","1,743","1,249","1,598","2,759","1,013","3,808","1,301","4,164","4,315","3,170","3,409","3,469","2,702","3,689","2,073","2,253","1,954"
2021,4,70,"28,460",506,"1,605",424,"1,020","1,483","1,344",900,749,930,"1,740",482,"1,593",695,"2,033","1,906","1,526","1,664","1,635","1,141","1,604","1,132","1,255","1,093"
2021,4,80,"12,597",194,817,174,467,665,605,377,340,377,858,204,704,309,716,683,736,653,763,594,823,619,383,536
2021,4,90,"1,474",32,124,28,50,68,48,46,38,41,110,22,105,33,96,91,85,82,89,51,84,41,48,62
2021,4,100,90,4,13,1,5,6,2,1,3,0,17,1,6,1,1,5,2,2,1,3,6,1,8,1
2021,5,총,"437,892","4,912","23,358","4,209","19,212","20,163","9,408","10,987","9,087","8,570","18,250","7,687","29,897","6,623","36,722","37,091","22,385","24,892","36,162","16,878","26,698","28,788","11,980","23,933"
2021,5,0,"32,963",356,"2,308",171,"2,137","1,711",248,574,274,293,"1,138",173,"2,351",296,"3,475","4,460","1,323","1,585","2,612",886,"1,638","2,238",604,"2,112"
2021,5,10,"42,462",347,"2,023",199,"2,287","2,239",431,881,451,470,"1,144",358,"3,120",398,"3,896","3,149","1,722","2,442","4,895","1,557","2,414","4,343",612,"3,084"
2021,5,20,"61,812",555,"2,894",482,"2,116","2,358",982,"1,636","2,577","1,253","2,873","2,383","4,324",720,"4,242","3,859","3,912","3,685","5,348","2,389","4,263","4,127","1,346","3,488"
2021,5,30,"53,071",684,"3,646",470,"2,697","2,277",735,"1,138","1,144","1,039","2,090","1,040","3,829",802,"4,767","6,218","2,625","2,710","3,427","1,598","3,036","2,822","1,538","2,739"
2021,5,40,"71,258",687,"4,041",477,"3,697","3,456","1,114","1,435","1,025","1,017","2,609",825,"4,796",872,"6,933","6,440","3,097","3,936","6,625","2,453","3,704","5,803","1,604","4,612"
2021,5,50,"77,887",774,"3,269",865,"2,793","3,458","1,859","2,229","1,233","1,538","2,912","1,194","5,206","1,180","6,354","5,921","4,164","4,696","7,252","3,499","5,411","5,540","2,310","4,230"
2021,5,60,"55,773",777,"2,657",920,"1,937","2,453","2,035","1,752","1,257","1,609","2,749","1,012","3,858","1,314","4,180","4,349","3,199","3,443","3,509","2,706","3,710","2,110","2,267","1,970"
2021,5,70,"28,478",506,"1,589",424,"1,021","1,479","1,343",915,748,928,"1,738",477,"1,607",695,"2,053","1,914","1,519","1,654","1,637","1,142","1,608","1,136","1,252","1,093"
2021,5,80,"12,661",193,814,171,473,658,608,379,338,379,868,205,702,313,726,684,741,658,769,598,826,627,391,540
2021,5,90,"1,460",32,115,28,49,70,51,47,39,44,112,19,101,32,95,91,82,81,87,48,84,41,48,64
2021,5,100,67,1,2,2,5,4,2,1,1,0,17,1,3,1,1,6,1,2,1,2,4,1,8,1
2021,6,총,"437,333","4,908","23,371","4,167","19,160","20,168","9,340","10,963","9,095","8,541","18,107","7,671","30,052","6,593","36,707","36,994","22,357","24,887","36,124","16,883","26,698","28,764","11,862","23,921"
2021,6,0,"32,819",353,"2,312",171,"2,115","1,713",249,575,270,292,"1,119",171,"2,359",291,"3,451","4,443","1,315","1,575","2,596",878,"1,636","2,233",599,"2,103"
2021,6,10,"42,403",348,"2,016",197,"2,291","2,233",431,880,463,470,"1,142",343,"3,122",401,"3,899","3,173","1,719","2,430","4,881","1,550","2,411","4,318",607,"3,078"
2021,6,20,"61,716",556,"2,873",484,"2,114","2,356",980,"1,641","2,575","1,265","2,853","2,383","4,334",717,"4,236","3,830","3,888","3,669","5,353","2,394","4,243","4,141","1,332","3,499"
2021,6,30,"52,937",681,"3,630",462,"2,686","2,271",722,"1,140","1,137","1,038","2,075","1,050","3,881",783,"4,754","6,158","2,630","2,711","3,424","1,594","3,052","2,806","1,537","2,715"
2021,6,40,"71,111",685,"4,054",472,"3,694","3,454","1,090","1,422","1,036","1,003","2,600",823,"4,803",870,"6,931","6,460","3,083","3,939","6,582","2,445","3,686","5,790","1,581","4,608"
2021,6,50,"77,639",778,"3,277",853,"2,786","3,449","1,832","2,203","1,220","1,523","2,891","1,186","5,224","1,169","6,347","5,889","4,163","4,674","7,250","3,498","5,378","5,529","2,274","4,246"
2021,6,60,"56,071",785,"2,681",917,"1,940","2,470","2,037","1,759","1,266","1,606","2,746","1,012","3,901","1,318","4,206","4,351","3,214","3,472","3,536","2,724","3,761","2,142","2,247","1,980"
2021,6,70,"28,479",498,"1,596",418,"1,020","1,488","1,335",917,747,921,"1,716",477,"1,627",696,"2,061","1,907","1,524","1,664","1,632","1,151","1,607","1,141","1,249","1,087"
2021,6,80,"12,653",191,812,168,468,659,611,379,341,379,844,205,698,315,726,687,738,667,782,598,837,621,388,539
2021,6,90,"1,455",32,118,24,44,72,51,45,39,44,107,20,101,32,95,93,82,83,87,49,83,43,46,65
2021,6,100,50,1,2,1,2,3,2,2,1,0,14,1,2,1,1,3,1,3,1,2,4,0,2,1
2021,7,총,"437,083","4,911","23,329","4,159","19,148","20,132","9,341","10,975","9,072","8,514","18,083","7,653","30,104","6,566","36,736","37,042","22,400","24,817","36,054","16,846","26,714","28,768","11,822","23,897"
2021,7,0,"32,656",353,"2,303",166,"2,114","1,706",246,576,270,292,"1,107",162,"2,354",293,"3,453","4,428","1,318","1,547","2,569",873,"1,624","2,224",598,"2,080"
2021,7,10,"42,252",344,"2,013",196,"2,294","2,215",430,871,452,466,"1,136",343,"3,121",392,"3,898","3,199","1,713","2,425","4,851","1,536","2,393","4,302",594,"3,068"
2021,7,20,"61,610",564,"2,857",475,"2,093","2,361",978,"1,645","2,554","1,266","2,862","2,374","4,343",707,"4,235","3,823","3,893","3,635","5,364","2,364","4,245","4,141","1,315","3,516"
2021,7,30,"52,822",680,"3,604",466,"2,681","2,264",729,"1,140","1,138","1,039","2,048","1,049","3,898",777,"4,738","6,140","2,635","2,706","3,394","1,607","3,058","2,808","1,531","2,692"
2021,7,40,"70,923",680,"4,060",465,"3,703","3,430","1,087","1,422","1,038",990,"2,596",817,"4,812",871,"6,915","6,473","3,090","3,924","6,550","2,428","3,658","5,770","1,574","4,570"
2021,7,50,"77,620",776,"3,260",851,"2,786","3,436","1,820","2,194","1,218","1,509","2,896","1,191","5,214","1,156","6,376","5,884","4,166","4,649","7,254","3,501","5,396","5,545","2,267","4,275"
2021,7,60,"56,412",783,"2,695",923,"1,950","2,492","2,047","1,785","1,263","1,616","2,753","1,010","3,936","1,327","4,206","4,395","3,228","3,501","3,558","2,731","3,807","2,152","2,255","1,999"
2021,7,70,"28,541",502,"1,592",422,"1,010","1,493","1,334",916,755,916,"1,722",478,"1,622",695,"2,085","1,909","1,533","1,667","1,643","1,150","1,605","1,153","1,251","1,088"
2021,7,80,"12,731",195,827,169,470,659,615,379,343,373,846,207,703,313,734,695,738,676,783,604,842,629,389,542
2021,7,90,"1,463",33,116,24,45,73,53,45,40,46,103,21,99,34,95,93,85,84,87,49,82,44,46,66
2021,7,100,53,1,2,2,2,3,2,2,1,1,14,1,2,1,1,3,1,3,1,3,4,0,2,1
2021,8,총,"436,827","4,903","23,338","4,158","19,122","20,141","9,320","10,957","9,039","8,491","18,063","7,656","30,108","6,548","36,719","37,058","22,368","24,834","36,010","16,824","26,740","28,768","11,803","23,859"
2021,8,0,"32,463",354,"2,291",164,"2,104","1,709",247,574,267,288,"1,102",164,"2,341",287,"3,430","4,417","1,311","1,530","2,544",859,"1,623","2,209",594,"2,054"
2021,8,10,"42,109",342,"2,013",201,"2,287","2,211",420,866,445,461,"1,134",337,"3,108",392,"3,898","3,211","1,686","2,414","4,847","1,521","2,390","4,281",588,"3,056"
2021,8,20,"61,516",569,"2,862",472,"2,087","2,364",977,"1,631","2,536","1,267","2,868","2,367","4,348",700,"4,215","3,795","3,916","3,635","5,347","2,363","4,228","4,138","1,311","3,520"
2021,8,30,"52,673",677,"3,599",467,"2,658","2,252",730,"1,146","1,133","1,023","2,031","1,054","3,894",777,"4,718","6,111","2,618","2,702","3,382","1,598","3,083","2,823","1,516","2,681"
2021,8,40,"70,718",676,"4,054",467,"3,694","3,433","1,073","1,414","1,034",999,"2,611",818,"4,807",863,"6,896","6,504","3,072","3,908","6,520","2,402","3,640","5,717","1,571","4,545"
2021,8,50,"77,667",770,"3,261",843,"2,793","3,438","1,820","2,179","1,206","1,493","2,872","1,196","5,233","1,142","6,405","5,903","4,157","4,656","7,266","3,514","5,389","5,578","2,257","4,296"
2021,8,60,"56,701",780,"2,703",925,"1,964","2,498","2,042","1,804","1,266","1,627","2,749","1,011","3,954","1,329","4,222","4,412","3,243","3,531","3,582","2,752","3,843","2,183","2,268","2,013"
2021,8,70,"28,667",501,"1,608",425,"1,018","1,500","1,338",917,762,909,"1,725",476,"1,620",700,"2,099","1,912","1,549","1,686","1,651","1,151","1,612","1,161","1,257","1,090"
2021,8,80,"12,784",200,826,168,469,661,619,379,348,376,849,211,701,323,739,696,731,685,783,613,844,633,391,539
2021,8,90,"1,477",33,119,24,46,72,52,46,41,47,108,21,100,34,96,94,84,84,87,48,84,45,48,64
2021,8,100,52,1,2,2,2,3,2,1,1,1,14,1,2,1,1,3,1,3,1,3,4,0,2,1
2021,9,총,"437,146","4,920","23,357","4,152","19,118","20,102","9,280","10,959","9,126","8,528","18,074","7,715","30,130","6,532","36,726","37,037","22,385","24,820","35,949","16,805","27,094","28,690","11,774","23,873"
2021,9,0,"32,320",357,"2,280",165,"2,099","1,690",241,575,264,290,"1,092",166,"2,333",279,"3,430","4,384","1,290","1,523","2,512",847,"1,669","2,188",597,"2,049"
2021,9,10,"42,097",346,"2,020",202,"2,294","2,203",418,859,459,462,"1,133",347,"3,101",393,"3,876","3,239","1,697","2,394","4,835","1,507","2,419","4,256",585,"3,052"
2021,9,20,"61,585",564,"2,853",462,"2,068","2,367",963,"1,632","2,585","1,280","2,893","2,411","4,367",701,"4,201","3,785","3,932","3,654","5,311","2,354","4,266","4,123","1,303","3,510"
2021,9,30,"52,667",686,"3,600",461,"2,645","2,228",727,"1,157","1,140","1,034","2,030","1,062","3,887",766,"4,708","6,079","2,610","2,703","3,362","1,601","3,173","2,802","1,513","2,693"
2021,9,40,"70,526",682,"4,067",467,"3,700","3,408","1,059","1,401","1,037",989,"2,607",813,"4,785",862,"6,878","6,516","3,059","3,872","6,492","2,380","3,686","5,690","1,548","4,528"
2021,9,50,"77,879",773,"3,271",844,"2,803","3,455","1,807","2,183","1,215","1,502","2,868","1,203","5,245","1,140","6,439","5,898","4,164","4,669","7,303","3,520","5,444","5,580","2,248","4,305"
2021,9,60,"56,936",776,"2,711",922,"1,967","2,510","2,058","1,811","1,269","1,631","2,748","1,005","3,973","1,322","4,259","4,422","3,249","3,532","3,608","2,763","3,875","2,213","2,282","2,030"
2021,9,70,"28,719",498,"1,603",430,"1,022","1,498","1,338",917,764,907,"1,730",477,"1,618",704,"2,096","1,920","1,559","1,695","1,662","1,157","1,623","1,155","1,248","1,098"
2021,9,80,"12,867",202,833,173,472,668,617,378,350,384,851,210,715,332,743,697,734,690,778,620,845,637,401,537
2021,9,90,"1,500",35,118,24,46,72,50,45,42,48,109,20,104,32,95,94,90,86,85,53,89,46,47,70
2021,9,100,50,1,1,2,2,3,2,1,1,1,13,1,2,1,1,3,1,2,1,3,5,0,2,1
2021,10,총,"436,499","4,914","23,260","4,142","19,044","20,071","9,262","10,962","9,117","8,487","17,976","7,691","30,125","6,525","36,704","36,973","22,374","24,823","35,888","16,797","27,145","28,646","11,732","23,841"
2021,10,0,"32,096",356,"2,255",162,"2,075","1,687",242,574,260,287,"1,077",167,"2,319",272,"3,413","4,369","1,274","1,520","2,484",842,"1,682","2,162",589,"2,028"
2021,10,10,"41,927",344,"2,014",201,"2,291","2,206",408,861,462,459,"1,116",339,"3,098",394,"3,862","3,234","1,685","2,373","4,817","1,494","2,424","4,222",585,"3,038"
2021,10,20,"61,352",559,"2,819",457,"2,055","2,349",958,"1,620","2,578","1,276","2,866","2,400","4,353",703,"4,191","3,755","3,941","3,663","5,284","2,346","4,248","4,139","1,287","3,505"
2021,10,30,"52,477",686,"3,565",460,"2,602","2,209",725,"1,164","1,135","1,018","2,027","1,060","3,897",762,"4,694","6,032","2,608","2,713","3,344","1,599","3,207","2,784","1,508","2,678"
2021,10,40,"70,263",677,"4,071",469,"3,679","3,399","1,060","1,392","1,043","1,000","2,579",811,"4,797",851,"6,859","6,508","3,042","3,843","6,450","2,370","3,677","5,649","1,528","4,509"
2021,10,50,"77,981",784,"3,255",837,"2,819","3,456","1,798","2,184","1,208","1,483","2,870","1,199","5,241","1,146","6,474","5,902","4,182","4,664","7,335","3,518","5,437","5,621","2,241","4,327"
2021,10,60,"57,106",772,"2,715",924,"1,971","2,508","2,053","1,813","1,269","1,623","2,739","1,004","3,980","1,325","4,276","4,450","3,247","3,574","3,631","2,784","3,896","2,218","2,291","2,043"
2021,10,70,"28,799",498,"1,606",431,"1,027","1,504","1,349",926,766,904,"1,729",477,"1,620",700,"2,105","1,920","1,559","1,687","1,676","1,164","1,628","1,172","1,255","1,096"
2021,10,80,"12,946",203,840,174,477,679,619,381,353,387,855,212,719,338,737,706,742,700,779,622,850,632,399,542
2021,10,90,"1,501",34,119,25,46,71,48,46,42,49,105,21,99,33,92,94,93,84,86,55,91,47,47,74
2021,10,100,51,1,1,2,2,3,2,1,1,1,13,1,2,1,1,3,1,2,2,3,5,0,2,1
2021,11,총,"436,567","4,901","23,335","4,121","18,969","20,016","9,239","10,933","9,086","8,420","17,871","7,654","30,222","6,499","36,522","36,741","22,266","24,668","35,548","16,649","26,963","28,356","11,677","25,911"
2021,11,0,"31,964",359,"2,259",162,"2,055","1,665",239,561,256,277,"1,058",167,"2,328",268,"3,372","4,320","1,255","1,510","2,427",795,"1,641","2,106",583,"2,301"
2021,11,10,"41,815",342,"2,023",196,"2,296","2,198",407,864,452,454,"1,122",330,"3,094",389,"3,824","3,207","1,663","2,342","4,756","1,466","2,402","4,181",573,"3,234"
2021,11,20,"61,263",552,"2,831",462,"2,033","2,334",952,"1,608","2,558","1,270","2,831","2,380","4,356",700,"4,176","3,717","3,916","3,648","5,247","2,328","4,210","4,094","1,278","3,782"
2021,11,30,"52,486",694,"3,560",457,"2,567","2,189",724,"1,164","1,147",999,"2,010","1,066","3,915",752,"4,626","5,949","2,587","2,688","3,283","1,590","3,175","2,738","1,502","3,104"
2021,11,40,"70,201",673,"4,090",466,"3,687","3,386","1,052","1,385","1,039",992,"2,564",805,"4,820",845,"6,828","6,472","3,030","3,790","6,364","2,324","3,651","5,557","1,511","4,870"
2021,11,50,"78,084",778,"3,276",829,"2,812","3,460","1,805","2,180","1,201","1,468","2,849","1,193","5,266","1,140","6,465","5,882","4,162","4,636","7,306","3,495","5,387","5,600","2,218","4,676"
2021,11,60,"57,332",770,"2,722",917,"1,960","2,515","2,038","1,810","1,277","1,619","2,737","1,012","3,994","1,325","4,285","4,461","3,258","3,574","3,622","2,803","3,908","2,237","2,306","2,182"
2021,11,70,"28,834",496,"1,603",430,"1,032","1,508","1,354",935,761,908,"1,722",468,"1,618",704,"2,113","1,922","1,557","1,680","1,678","1,164","1,643","1,166","1,253","1,119"
2021,11,80,"13,034",203,852,174,477,687,618,378,351,384,855,211,729,342,742,714,741,716,775,630,858,628,403,566
2021,11,90,"1,506",33,118,26,48,71,48,47,43,48,110,21,100,34,90,94,96,82,89,51,84,49,48,76
2021,11,100,48,1,1,2,2,3,2,1,1,1,13,1,2,0,1,3,1,2,1,3,4,0,2,1
2021,12,총,"437,008","4,882","23,463","4,103","18,811","19,909","9,205","10,848","8,998","8,408","17,759","7,552","30,640","6,472","36,441","36,550","22,089","24,451","35,072","16,469","26,862","27,904","11,583","28,537"
2021,12,0,"31,921",355,"2,261",161,"2,028","1,648",240,550,245,271,"1,060",168,"2,369",260,"3,344","4,279","1,224","1,473","2,354",769,"1,596","2,050",567,"2,649"
2021,12,10,"41,761",338,"2,031",196,"2,289","2,179",404,860,445,461,"1,119",323,"3,114",382,"3,806","3,188","1,630","2,310","4,646","1,435","2,371","4,070",565,"3,599"
2021,12,20,"61,011",552,"2,818",452,"2,012","2,314",946,"1,581","2,514","1,251","2,783","2,329","4,409",693,"4,142","3,681","3,886","3,622","5,190","2,290","4,214","4,028","1,262","4,042"
2021,12,30,"52,587",690,"3,567",458,"2,530","2,169",721,"1,146","1,139",996,"2,011","1,054","3,991",743,"4,599","5,878","2,558","2,668","3,257","1,568","3,177","2,684","1,466","3,517"
2021,12,40,"70,291",672,"4,120",459,"3,664","3,367","1,051","1,376","1,018","1,008","2,555",796,"4,889",840,"6,819","6,438","2,993","3,719","6,211","2,274","3,599","5,410","1,518","5,495"
2021,12,50,"78,215",767,"3,305",831,"2,783","3,457","1,789","2,156","1,209","1,462","2,845","1,181","5,329","1,135","6,472","5,877","4,142","4,618","7,221","3,467","5,363","5,563","2,190","5,053"
2021,12,60,"57,534",768,"2,754",906,"1,945","2,513","2,039","1,814","1,277","1,610","2,699",999,"4,045","1,329","4,286","4,462","3,263","3,555","3,628","2,812","3,921","2,252","2,302","2,355"
2021,12,70,"28,982",500,"1,624",431,"1,027","1,501","1,350",934,757,911,"1,718",469,"1,662",712,"2,123","1,924","1,548","1,681","1,681","1,173","1,669","1,165","1,264","1,158"
2021,12,80,"13,157",207,862,182,481,691,618,383,350,389,860,210,732,344,754,722,745,723,794,629,858,633,399,591
2021,12,90,"1,518",31,121,25,50,67,45,47,44,48,109,23,98,34,95,99,99,80,89,49,91,49,49,76
2021,12,100,31,2,0,2,2,3,2,1,0,1,0,0,2,0,1,2,1,2,1,3,3,0,1,2
