년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021,5,20,"2,459",698,172,220,90,240,500,235,71,63,102,68
2021,5,30,"1,892",562,125,208,76,93,426,146,62,41,78,75
2021,5,40,"3,060","1,034",247,270,113,230,466,284,96,52,158,110
2021,5,50,"4,273","1,192",383,397,209,329,492,446,169,136,275,245
2021,5,60,"3,936","1,005",319,414,222,329,355,407,161,158,290,276
2021,5,70,"2,591",719,205,221,114,215,211,237,117,119,240,193
2021,5,80,"1,226",286,93,103,80,124,100,91,53,74,145,77
2021,5,90,121,24,9,15,11,8,10,12,6,6,10,10
2021,5,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,6,총,"22,524","6,659","1,877","2,012",966,"1,726","3,173","2,045",808,689,"1,438","1,131"
2021,6,0,"1,334",513,170,76,20,79,300,69,30,8,40,29
2021,6,10,"1,690",635,159,90,33,99,315,124,50,32,103,50
2021,6,20,"2,420",689,171,223,92,224,492,231,68,62,101,67
2021,6,30,"1,886",553,120,208,81,91,424,148,61,44,79,77
2021,6,40,"3,033","1,030",245,267,108,230,466,280,94,50,154,109
2021,6,50,"4,263","1,197",379,395,209,326,495,442,170,134,272,244
2021,6,60,"3,960","1,015",321,412,222,328,359,411,159,160,294,279
2021,6,70,"2,579",711,209,223,111,216,208,236,116,117,240,192
2021,6,80,"1,239",292,93,105,79,124,104,92,54,76,145,75
2021,6,90,119,24,9,13,11,9,10,12,6,6,10,9
2021,6,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,7,총,"22,457","6,662","1,851","2,015",954,"1,714","3,169","2,043",799,689,"1,435","1,126"
2021,7,0,"1,313",513,163,76,21,77,294,68,25,8,39,29
2021,7,10,"1,671",631,156,85,33,98,307,127,51,31,102,50
2021,7,20,"2,418",694,166,226,87,220,505,227,65,59,103,66
2021,7,30,"1,872",552,112,206,79,92,419,150,63,45,78,76
2021,7,40,"3,023","1,026",247,268,110,228,466,275,92,48,152,111
2021,7,50,"4,246","1,203",370,391,205,321,495,445,169,135,270,242
2021,7,60,"3,982","1,017",322,419,220,330,364,410,159,164,296,281
2021,7,70,"2,570",709,212,224,109,213,207,236,115,115,241,189
2021,7,80,"1,244",293,93,106,80,127,101,93,54,78,144,75
2021,7,90,117,24,9,14,10,8,11,12,6,6,10,7
2021,7,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,8,총,"22,394","6,646","1,853","2,014",955,"1,695","3,128","2,044",800,693,"1,431","1,135"
2021,8,0,"1,296",511,154,74,21,77,286,68,27,10,39,29
2021,8,10,"1,675",627,161,87,33,100,307,129,53,30,98,50
2021,8,20,"2,369",692,165,223,85,208,478,228,64,59,103,64
2021,8,30,"1,869",553,116,200,82,91,413,151,62,45,77,79
2021,8,40,"2,990","1,014",240,273,110,224,456,270,91,48,150,114
2021,8,50,"4,251","1,204",376,388,204,320,501,441,169,135,271,242
2021,8,60,"4,019","1,020",326,428,221,329,371,415,159,166,297,287
2021,8,70,"2,555",711,210,220,109,209,203,237,113,114,240,189
2021,8,80,"1,253",291,93,107,81,129,103,94,55,80,146,74
2021,8,90,116,23,11,14,9,8,10,11,7,6,10,7
2021,8,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,9,총,"22,326","6,635","1,849","2,015",951,"1,688","3,098","2,042",792,692,"1,434","1,130"
2021,9,0,"1,280",507,149,73,20,77,278,70,26,12,39,29
2021,9,10,"1,670",625,161,86,31,98,309,129,54,29,97,51
2021,9,20,"2,321",688,163,219,82,199,463,223,61,58,103,62
2021,9,30,"1,858",547,116,197,81,93,409,152,61,44,80,78
2021,9,40,"2,962","1,006",237,269,112,220,450,268,90,48,147,115
2021,9,50,"4,270","1,214",378,400,206,320,501,440,168,135,273,235
2021,9,60,"4,038","1,022",328,429,218,333,372,417,161,165,301,292
2021,9,70,"2,550",709,210,222,111,210,203,235,110,116,237,187
2021,9,80,"1,260",293,95,107,81,129,103,97,54,79,147,75
2021,9,90,116,24,11,13,9,9,10,11,7,6,10,6
