년도,월,나이,양산시,물금읍,동면,원동면,상북면,하북면,중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동
2021,11,60,"22,720","5,713","2,115",511,"1,445","1,061","1,228","1,728","1,718",621,"1,904","1,537","1,904","1,235"
2021,11,70,"9,929","2,185",959,318,602,456,482,880,542,266,827,700,"1,166",546
2021,11,80,"3,326",604,245,111,222,150,164,358,161,75,259,268,498,211
2021,11,90,254,44,18,11,27,19,17,16,17,3,15,21,31,15
2021,11,100,4,0,0,0,0,0,0,1,0,0,2,0,1,0
2021,12,총,"177,759","59,540","19,026","1,728","6,460","4,178","6,049","15,852","11,485","4,481","14,834","10,190","14,949","8,987"
2021,12,0,"16,819","7,787","2,508",41,241,86,222,"1,166",663,321,"1,093",681,"1,167",843
2021,12,10,"17,667","6,640","1,599",52,391,225,315,"2,111",881,475,"1,693",903,"1,591",791
2021,12,20,"21,154","6,753","1,853",91,726,452,807,"2,356","1,784",534,"1,765","1,227","1,725","1,081"
2021,12,30,"24,314","9,950","3,260",110,611,326,757,"1,542","1,696",559,"1,693","1,127","1,458","1,225"
2021,12,40,"31,359","11,472","3,755",158,792,464,795,"2,622","1,809",835,"2,820","1,713","2,707","1,417"
2021,12,50,"29,985","8,373","2,598",320,"1,394",938,"1,262","3,056","2,198",792,"2,759","1,999","2,674","1,622"
2021,12,60,"22,871","5,726","2,208",512,"1,451","1,053","1,225","1,733","1,724",623,"1,913","1,541","1,924","1,238"
2021,12,70,"9,971","2,185",979,321,606,460,486,888,549,264,820,704,"1,166",543
2021,12,80,"3,362",611,250,110,221,156,164,362,164,74,262,274,502,212
2021,12,90,253,43,16,13,27,18,16,15,17,4,14,21,34,15
2021,12,100,4,0,0,0,0,0,0,1,0,0,2,0,1,0
