년도,월,나이,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020,6,50,"43,369","6,704",544,559,"1,124","1,630","1,240","1,305","1,079",720,459,"2,478","5,650","3,743","2,504","3,088","3,325","3,471","2,241","1,505",,,
2020,6,60,"28,419","5,168",473,684,980,"1,772","1,045","1,349",962,869,404,"1,114","2,885","1,871","1,131","1,828","2,215","1,705","1,202",762,,,
2020,6,70,"13,859","3,081",262,415,637,"1,150",575,916,689,521,275,482,874,834,446,788,770,518,419,207,,,
2020,6,80,"6,908","1,465",169,306,387,660,382,554,475,329,196,193,317,380,163,310,206,179,140,97,,,
2020,6,90,"1,145",233,23,59,45,100,53,73,79,50,24,33,63,77,42,48,44,49,29,21,,,
2020,6,100,56,14,2,4,2,6,2,4,6,7,1,2,1,0,0,0,2,1,1,1,,,
2020,7,총,"346,217","42,880","2,611","3,175","6,188","8,762","6,425","7,400","5,703","3,657","2,477","19,494","55,068","32,377","23,879","30,003","34,544","31,159","19,573","10,842",,,
2020,7,0,"47,066","3,357",86,100,348,305,205,345,206,84,109,"2,762","9,171","4,336","3,820","4,955","6,268","5,648","3,299","1,662",,,
2020,7,10,"41,228","4,213",107,130,376,424,305,441,404,135,191,"3,395","6,859","4,534","4,272","4,157","4,643","3,156","2,466","1,020",,,
2020,7,20,"36,176","6,312",331,302,727,858,919,797,560,303,280,"1,709","6,002","3,747","1,755","2,623","2,639","3,067","1,942","1,303",,,
2020,7,30,"60,806","5,362",302,279,687,866,772,697,523,269,188,"2,707","12,083","5,879","3,686","5,803","6,921","7,526","3,893","2,363",,,
2020,7,40,"66,688","6,927",323,340,874,992,905,927,724,370,351,"4,584","11,099","6,914","6,015","6,353","7,441","5,801","3,916","1,832",,,
2020,7,50,"43,570","6,703",530,549,"1,123","1,636","1,243","1,302","1,076",720,459,"2,494","5,684","3,771","2,533","3,112","3,361","3,470","2,254","1,550",,,
2020,7,60,"28,607","5,200",479,685,982,"1,753","1,058","1,345",963,869,402,"1,135","2,903","1,896","1,144","1,840","2,229","1,734","1,217",773,,,
2020,7,70,"13,961","3,089",264,419,635,"1,159",584,922,688,520,278,480,884,841,451,802,782,533,414,216,,,
2020,7,80,"6,915","1,474",164,310,389,660,379,546,475,328,196,193,319,379,161,309,213,176,144,100,,,
2020,7,90,"1,145",229,23,57,45,103,53,75,78,52,22,33,63,80,42,49,45,46,28,22,,,
2020,7,100,55,14,2,4,2,6,2,3,6,7,1,2,1,0,0,0,2,2,0,1,,,
2020,8,총,"347,232","42,952","2,645","3,184","6,204","8,792","6,551","7,445","5,699","3,643","2,467","19,511","29,356","32,544","23,914","29,922","34,611","31,208","19,583","10,920","26,081",,
2020,8,0,"46,987","3,355",84,99,346,308,214,337,207,85,106,"2,761","4,376","4,325","3,795","4,899","6,260","5,632","3,286","1,670","4,842",,
2020,8,10,"41,416","4,211",106,128,374,424,306,437,397,128,185,"3,405","3,766","4,543","4,295","4,166","4,665","3,186","2,489","1,018","3,187",,
2020,8,20,"36,241","6,295",343,307,731,863,954,816,567,292,280,"1,696","3,659","3,821","1,756","2,604","2,634","3,060","1,917","1,329","2,317",,
2020,8,30,"60,795","5,411",314,284,692,865,789,704,512,270,187,"2,715","6,122","5,890","3,653","5,751","6,906","7,531","3,878","2,342","5,979",,
2020,8,40,"66,950","6,932",320,338,868,999,923,926,720,366,347,"4,587","5,967","6,955","6,040","6,351","7,459","5,816","3,936","1,846","5,254",,
2020,8,50,"43,814","6,697",535,551,"1,129","1,635","1,272","1,304","1,078",723,458,"2,490","3,150","3,805","2,572","3,137","3,385","3,469","2,260","1,579","2,585",,
2020,8,60,"28,836","5,237",489,687,992,"1,758","1,071","1,368",967,868,408,"1,140","1,564","1,895","1,152","1,863","2,244","1,742","1,225",783,"1,383",,
2020,8,70,"14,020","3,086",267,421,632,"1,165",587,926,682,522,279,488,520,845,452,789,793,548,417,227,374,,
2020,8,80,"6,963","1,484",162,305,394,663,379,550,485,331,195,193,190,384,160,310,218,176,146,102,136,,
2020,8,90,"1,154",229,23,60,44,106,54,74,78,51,21,34,42,81,39,52,45,46,29,23,23,,
2020,8,100,56,15,2,4,2,6,2,3,6,7,1,2,0,0,0,0,2,2,0,1,1,,
2020,9,총,"348,014","43,019","2,674","3,164","6,203","8,795","6,640","7,482","5,691","3,639","2,447","19,485","29,480","32,874","23,946","29,864","34,614","31,249","19,598","10,967","26,183",,
2020,9,0,"46,796","3,328",87,97,347,304,219,336,200,84,104,"2,733","4,369","4,347","3,784","4,855","6,219","5,607","3,275","1,657","4,844",,
2020,9,10,"41,550","4,213",105,127,374,409,311,431,398,129,186,"3,390","3,791","4,577","4,295","4,163","4,688","3,211","2,502","1,035","3,215",,
2020,9,20,"36,347","6,302",354,302,729,862,963,839,562,290,272,"1,708","3,675","3,882","1,759","2,610","2,639","3,054","1,913","1,340","2,292",,
2020,9,30,"60,703","5,426",328,280,695,873,828,711,511,269,185,"2,689","6,130","5,945","3,627","5,693","6,865","7,482","3,852","2,330","5,984",,
2020,9,40,"67,138","6,929",317,333,849,997,934,929,716,362,345,"4,565","6,000","7,018","6,064","6,367","7,458","5,868","3,937","1,847","5,303",,
2020,9,50,"44,105","6,718",533,552,"1,138","1,639","1,281","1,291","1,079",715,455,"2,520","3,173","3,862","2,603","3,146","3,424","3,490","2,275","1,615","2,596",,
2020,9,60,"29,074","5,266",502,683,998,"1,769","1,087","1,387",977,877,405,"1,157","1,581","1,911","1,159","1,867","2,254","1,758","1,243",787,"1,406",,
2020,9,70,"14,087","3,101",263,420,628,"1,160",584,931,679,526,275,490,524,859,455,798,802,558,426,227,381,,
2020,9,80,"6,987","1,489",160,305,400,670,378,548,484,329,197,193,193,387,162,316,220,173,142,105,136,,
2020,9,90,"1,172",232,23,61,43,108,53,76,79,51,22,37,44,86,38,49,45,44,33,23,25,,
2020,9,100,55,15,2,4,2,4,2,3,6,7,1,3,0,0,0,0,0,4,0,1,1,,
2020,10,총,"351,007","43,086","2,672","3,151","6,191","8,779","6,639","7,485","5,687","3,624","2,454","19,385","29,498","36,571","23,742","29,725","34,476","31,253","19,513","10,940","26,136",,
2020,10,0,"47,042","3,295",82,93,346,309,213,328,199,84,103,"2,679","4,328","5,105","3,697","4,779","6,152","5,545","3,244","1,660","4,801",,
2020,10,10,"41,968","4,208",101,126,372,409,300,432,403,128,187,"3,375","3,837","4,953","4,276","4,164","4,698","3,225","2,498","1,031","3,245",,
2020,10,20,"36,742","6,349",359,302,724,862,975,859,556,289,273,"1,716","3,658","4,208","1,767","2,628","2,626","3,078","1,902","1,323","2,288",,
2020,10,30,"60,994","5,419",330,275,703,848,836,719,518,261,186,"2,668","6,066","6,782","3,559","5,590","6,799","7,414","3,804","2,307","5,910",,
2020,10,40,"67,761","6,916",314,327,840,"1,010",929,922,709,363,352,"4,530","6,012","7,754","6,014","6,324","7,443","5,924","3,928","1,840","5,310",,
2020,10,50,"44,596","6,743",535,557,"1,118","1,636","1,271","1,287","1,070",719,454,"2,526","3,208","4,229","2,626","3,183","3,413","3,500","2,284","1,625","2,612",,
2020,10,60,"29,409","5,283",506,681,"1,023","1,757","1,091","1,387",981,872,405,"1,169","1,615","2,085","1,157","1,891","2,274","1,769","1,252",795,"1,416",,
2020,10,70,"14,219","3,122",260,420,624,"1,164",594,929,679,521,272,490,530,948,451,801,802,568,423,229,392,,
2020,10,80,"7,045","1,505",160,305,395,668,376,544,487,328,197,195,199,420,156,319,223,182,145,106,135,,
2020,10,90,"1,177",231,23,61,44,112,52,75,79,52,24,35,45,87,39,46,46,44,33,23,26,,
2020,10,100,54,15,2,4,2,4,2,3,6,7,1,2,0,0,0,0,0,4,0,1,1,,
2020,11,총,"353,430","43,032","2,707","3,157","6,206","8,849","6,692","7,456","5,672","3,602","2,449","19,264","29,420","38,931","23,578","29,611","34,380","31,734","19,444","10,963","26,283",,
2020,11,0,"47,222","3,247",86,89,334,317,217,320,195,81,101,"2,648","4,289","5,593","3,607","4,710","6,075","5,634","3,221","1,654","4,804",,
2020,11,10,"42,306","4,193",110,130,373,402,295,431,396,126,185,"3,355","3,852","5,156","4,296","4,166","4,739","3,284","2,498","1,055","3,264",,
2020,11,20,"36,994","6,373",360,301,727,885,993,857,555,286,278,"1,735","3,618","4,385","1,776","2,621","2,623","3,101","1,893","1,303","2,324",,
2020,11,30,"61,240","5,398",339,277,719,863,849,717,519,260,186,"2,599","6,021","7,360","3,473","5,508","6,703","7,513","3,756","2,298","5,882",,
2020,11,40,"68,318","6,900",325,333,834,"1,020",923,915,700,353,354,"4,498","6,028","8,235","5,981","6,313","7,453","6,013","3,916","1,874","5,350",,
2020,11,50,"44,970","6,734",537,554,"1,117","1,634","1,269","1,272","1,061",720,447,"2,539","3,217","4,479","2,645","3,192","3,417","3,570","2,297","1,622","2,647",,
2020,11,60,"29,785","5,330",503,685,"1,035","1,775","1,115","1,389",991,868,409,"1,171","1,614","2,205","1,159","1,935","2,295","1,809","1,256",798,"1,443",,
2020,11,70,"14,286","3,105",263,415,620,"1,166",596,937,680,525,267,487,535,992,449,801,805,573,434,228,408,,
2020,11,80,"7,080","1,512",157,311,397,670,382,542,489,324,195,196,196,440,155,319,225,187,140,106,137,,
2020,11,90,"1,177",226,25,58,48,112,51,73,80,52,26,34,50,86,37,46,45,46,33,25,24,,
2020,11,100,52,14,2,4,2,5,2,3,6,7,1,2,0,0,0,0,0,4,0,0,0,,
2020,12,총,"355,831","43,100","2,729","3,160","6,245","8,865","6,703","7,481","5,686","3,578","2,442","19,233","29,430","39,495","23,562","29,568","34,431","32,423","19,397","10,973","27,330",,
2020,12,0,"47,283","3,228",81,91,335,322,213,313,195,77,98,"2,630","4,290","5,659","3,569","4,689","6,042","5,761","3,196","1,639","4,855",,
2020,12,10,"42,677","4,179",107,128,378,405,297,430,394,122,186,"3,338","3,875","5,266","4,306","4,206","4,787","3,393","2,505","1,065","3,310",,
2020,12,20,"37,453","6,438",376,303,741,888,"1,002",881,563,284,275,"1,740","3,607","4,421","1,780","2,618","2,616","3,131","1,891","1,304","2,594",,
2020,12,30,"61,492","5,442",340,280,732,886,852,725,526,258,187,"2,577","6,017","7,416","3,447","5,453","6,652","7,645","3,726","2,277","6,054",,
2020,12,40,"68,831","6,892",330,330,830,"1,022",915,914,696,351,346,"4,488","6,058","8,408","5,968","6,320","7,495","6,184","3,906","1,888","5,490",,
2020,12,50,"45,205","6,698",542,550,"1,111","1,629","1,271","1,269","1,053",712,447,"2,543","3,191","4,532","2,666","3,197","3,441","3,652","2,277","1,634","2,790",,
2020,12,60,"30,139","5,360",510,683,"1,046","1,767","1,128","1,390","1,002",868,413,"1,187","1,621","2,265","1,179","1,909","2,314","1,832","1,281",807,"1,577",,
2020,12,70,"14,392","3,113",261,416,624,"1,160",591,931,680,528,266,497,531,997,451,805,808,585,437,228,483,,
2020,12,80,"7,109","1,506",156,313,396,666,381,553,490,321,197,195,190,445,158,327,229,187,146,105,148,,
2020,12,90,"1,200",230,24,62,50,115,51,72,82,51,26,36,50,86,38,44,47,49,32,26,29,,
