년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020,9,50,"10,421",770,"1,159",374,426,281,390,383,677,247,565,322,433,201,"2,735","1,458"
2020,9,60,"9,932",788,"1,189",476,508,325,430,431,785,320,612,466,416,275,"1,880","1,031"
2020,9,70,"5,753",495,707,303,319,240,257,261,454,209,407,286,248,148,892,527
2020,9,80,"2,782",234,337,213,156,113,126,120,222,89,239,139,129,84,352,229
2020,9,90,305,30,38,20,9,14,18,10,23,16,27,22,12,15,39,12
2020,9,100,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020,10,총,"58,493","4,095","6,882","2,107","2,171","1,535","1,805","1,844","3,201","1,268","3,219","1,772","2,094","1,094","17,417","7,989"
2020,10,0,"3,741",184,460,60,54,67,35,50,109,28,216,37,50,29,"1,713",649
2020,10,10,"5,129",344,573,97,117,77,93,75,181,72,240,74,92,64,"2,064",966
2020,10,20,"6,396",417,754,170,173,113,118,161,236,64,255,141,266,85,"2,449",994
2020,10,30,"5,757",297,725,159,152,132,117,128,185,75,299,101,161,74,"2,354",798
2020,10,40,"8,217",525,939,236,255,176,216,223,326,151,362,180,285,118,"2,916","1,309"
2020,10,50,"10,412",766,"1,152",371,425,280,395,381,683,239,563,322,427,204,"2,745","1,459"
2020,10,60,"9,982",797,"1,197",479,512,325,427,432,787,323,614,468,421,275,"1,885","1,040"
2020,10,70,"5,765",494,708,304,320,239,261,265,449,209,407,287,248,149,896,529
2020,10,80,"2,771",235,337,211,153,111,124,119,221,88,237,139,131,81,353,231
2020,10,90,302,29,36,20,9,14,19,10,23,18,25,22,12,15,38,12
2020,10,100,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020,11,총,"58,426","4,078","6,873","2,103","2,167","1,532","1,813","1,830","3,195","1,261","3,210","1,762","2,087","1,096","17,448","7,971"
2020,11,0,"3,739",184,460,63,53,65,38,44,107,28,211,36,51,32,"1,714",653
2020,11,10,"5,105",340,571,97,118,77,94,74,185,71,241,72,89,64,"2,060",952
2020,11,20,"6,394",410,760,164,171,114,122,156,235,65,258,140,265,84,"2,454",996
2020,11,30,"5,728",293,717,161,151,132,117,126,186,74,291,99,160,76,"2,353",792
2020,11,40,"8,182",524,936,237,250,174,216,219,325,148,358,180,285,117,"2,913","1,300"
2020,11,50,"10,405",763,"1,147",368,428,282,392,381,680,239,570,321,421,202,"2,753","1,458"
2020,11,60,"10,001",798,"1,200",481,514,324,433,433,788,321,607,465,425,276,"1,895","1,041"
2020,11,70,"5,780",495,709,305,321,238,258,263,449,208,407,288,246,148,912,533
2020,11,80,"2,769",235,335,207,152,111,124,124,218,88,240,138,133,81,352,231
2020,11,90,303,29,37,20,9,14,19,10,21,18,26,22,11,16,38,13
2020,11,100,20,7,1,0,0,1,0,0,1,1,1,1,1,0,4,2
2020,12,총,"58,316","4,079","6,853","2,102","2,158","1,523","1,810","1,824","3,189","1,249","3,169","1,741","2,089","1,094","17,466","7,970"
2020,12,0,"3,709",182,453,62,52,60,40,45,106,27,205,33,53,34,"1,715",642
