년도,월,나이,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020,12,총,"216,820","2,430","3,380","2,336","1,529","4,002","5,650","19,399","10,104","6,178","6,851","12,034","5,480","3,027","9,687","8,426","8,491","3,974","8,289","7,241","6,950","15,604","7,185","5,606","6,498","1,275","11,197","18,976","15,021"
2020,12,0,"16,414",120,134,119,38,260,223,"1,307",877,318,459,"1,088",195,277,733,581,562,134,465,238,467,"1,166",583,334,277,37,"1,294","1,904","2,224"
2020,12,10,"20,323",92,241,142,69,271,341,"1,785","1,111",459,659,"1,095",313,268,682,948,724,314,658,415,750,"2,166",789,501,348,54,"1,232","2,045","1,851"
2020,12,20,"29,568",543,659,434,266,462,"1,091","3,432","1,236",838,903,"1,475",647,339,"1,092","1,127","1,278",515,"1,111",805,"1,018","2,217",899,864,934,107,"1,306","2,484","1,486"
2020,12,30,"26,702",438,325,301,156,550,709,"2,222","1,213",594,758,"1,779",450,404,"1,264",817,954,358,830,585,828,"1,572",848,589,662,89,"1,766","2,862","2,779"
2020,12,40,"33,614",245,420,300,155,540,659,"2,852","1,681",793,"1,015","1,916",593,442,"1,283","1,336","1,244",501,"1,083",768,"1,270","3,265","1,246",816,764,102,"2,007","3,251","3,067"
2020,12,50,"36,737",301,468,315,238,604,881,"3,526","1,656","1,067","1,305","2,064",916,434,"1,663","1,628","1,456",703,"1,526","1,358","1,285","2,838","1,345","1,081","1,329",242,"1,627","2,977","1,904"
2020,12,60,"27,939",322,512,332,271,655,837,"2,361","1,404","1,128","1,001","1,534","1,128",419,"1,499","1,100","1,158",721,"1,422","1,438",737,"1,188",775,758,"1,091",266,972,"1,881","1,029"
2020,12,70,"16,245",247,414,270,208,465,593,"1,289",635,653,464,711,787,280,914,567,728,482,796,972,386,707,419,433,628,209,561,990,437
2020,12,80,"7,794",102,181,105,94,155,260,535,237,285,238,315,371,136,468,274,335,204,330,568,172,419,235,188,398,137,358,491,203
2020,12,90,"1,376",16,24,12,30,35,48,86,50,40,47,56,70,26,80,47,51,39,64,87,37,65,43,36,65,28,68,87,39
2020,12,100,108,4,2,6,4,5,8,4,4,3,2,1,10,2,9,1,1,3,4,7,0,1,3,6,2,4,6,4,2
2021,1,총,"216,771","2,424","3,371","2,335","1,527","3,974","5,657","19,292","10,108","6,135","6,809","12,033","5,466","3,005","10,302","8,347","8,405","3,958","8,219","7,224","6,934","15,571","7,160","5,574","6,518","1,263","11,176","19,010","14,974"
2021,1,0,"16,333",120,130,123,38,256,221,"1,303",875,310,449,"1,079",194,276,784,575,554,129,448,234,461,"1,161",578,327,272,38,"1,299","1,906","2,193"
2021,1,10,"20,261",89,241,137,64,267,333,"1,759","1,117",457,660,"1,089",308,262,745,916,716,306,654,416,759,"2,153",785,493,362,50,"1,232","2,039","1,852"
2021,1,20,"29,460",534,656,439,266,447,"1,097","3,402","1,228",829,884,"1,458",649,337,"1,177","1,131","1,268",519,"1,085",798,"1,012","2,208",894,863,924,104,"1,280","2,485","1,486"
2021,1,30,"26,704",444,327,299,158,549,721,"2,207","1,203",590,749,"1,791",449,398,"1,365",795,934,351,821,591,814,"1,561",853,590,672,88,"1,767","2,869","2,748"
2021,1,40,"33,604",243,417,303,152,538,653,"2,819","1,689",776,"1,012","1,911",597,437,"1,385","1,319","1,222",497,"1,078",766,"1,260","3,260","1,240",809,775,100,"2,006","3,256","3,084"
