년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020,11,총,"76,808","6,649","5,279","1,370","5,255","9,831","4,595","5,621","2,314","2,903","2,418","4,028","8,735","2,365","4,039","3,521","3,116","4,769"
2020,11,0,"3,749",397,291,55,276,575,385,425,101,87,60,117,367,65,102,175,138,133
2020,11,10,"5,538",547,384,80,428,812,551,458,154,98,120,224,665,114,251,276,196,180
2020,11,20,"11,871",807,668,151,654,"1,197",509,657,265,422,523,908,"2,267",273,535,445,388,"1,202"
2020,11,30,"10,074",911,829,183,647,"1,204",516,930,301,412,302,638,983,229,376,492,406,715
2020,11,40,"11,418","1,180",818,192,870,"1,555",806,976,401,363,241,482,"1,201",318,534,494,444,543
2020,11,50,"12,699","1,058",862,212,944,"1,795",682,836,373,397,424,570,"1,193",490,861,660,580,762
2020,11,60,"10,032",773,643,223,695,"1,313",545,648,313,505,318,495,846,426,682,501,474,632
2020,11,70,"6,975",604,446,151,449,775,382,444,263,345,279,352,749,270,474,296,316,380
2020,11,80,"3,556",307,265,101,228,469,180,198,106,194,120,204,382,145,182,153,141,181
2020,11,90,718,48,58,17,56,121,34,39,31,51,26,27,68,27,31,27,27,30
2020,11,100,178,17,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,11
2020,12,총,"76,749","6,652","5,262","1,368","5,250","9,841","4,567","5,629","2,325","2,904","2,404","4,021","8,710","2,354","4,035","3,527","3,118","4,782"
2020,12,0,"3,724",396,288,58,278,563,380,421,101,90,60,115,360,64,105,174,138,133
2020,12,10,"5,518",550,381,80,423,826,548,456,154,98,117,226,653,113,247,274,198,174
2020,12,20,"11,911",803,670,150,648,"1,204",505,670,264,419,527,899,"2,275",276,537,445,390,"1,229"
