년도,월,나이,신안군,지도읍,지도읍선도출장소,압해읍,압해읍매화출장소,압해읍고이도출장소,증도면,증도면병풍출장소,임자면,자은면,비금면,도초면,도초면우이도출장소,흑산면,흑산면가거도출장소,흑산면태도출장소,흑산면홍도출장소,흑산면대둔도출장소,하의면,신의면,장산면,안좌면,안좌면자라출장소,팔금면,암태면
2021,7,50,"4,240",446,32,629,19,22,198,43,358,247,398,221,39,275,70,25,67,49,198,163,158,273,23,77,210
2021,7,60,"4,325",500,34,715,36,25,137,34,326,259,384,257,24,215,39,28,36,35,178,164,174,319,36,123,247
2021,7,70,"2,879",311,13,393,19,24,115,29,226,186,288,189,17,141,14,10,19,23,140,101,133,212,25,94,157
2021,7,80,"1,243",143,12,182,6,11,58,13,67,107,109,81,3,61,6,2,5,3,52,30,60,109,5,38,80
2021,7,90,99,12,0,12,1,1,3,0,2,6,7,7,0,3,0,1,1,1,4,4,4,14,2,3,11
2021,7,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,8,총,"20,602","2,199",125,"3,114",116,127,790,183,"1,703","1,212","1,854","1,274",126,"1,243",276,117,260,188,917,840,819,"1,425",152,490,"1,052"
2021,8,0,754,79,3,112,5,11,15,4,70,43,76,53,7,31,8,5,10,3,30,28,40,56,8,9,48
2021,8,10,"1,023",118,2,133,0,3,25,8,127,48,97,93,3,61,11,11,15,10,53,54,30,55,6,16,44
2021,8,20,"1,613",163,9,278,5,5,57,10,141,83,110,99,4,125,31,7,20,19,70,78,47,128,13,37,74
2021,8,30,"1,615",152,8,258,11,11,56,15,118,91,141,107,6,124,36,11,35,14,63,73,59,103,16,35,72
2021,8,40,"2,774",276,12,405,15,14,123,26,269,139,239,160,22,198,60,18,54,31,127,141,109,148,18,56,114
2021,8,50,"4,254",444,32,626,19,23,195,44,355,250,403,226,40,276,71,24,65,48,198,169,161,276,23,79,207
2021,8,60,"4,331",500,35,719,36,22,142,33,326,257,383,257,24,220,39,27,37,36,179,161,176,319,36,122,245
2021,8,70,"2,887",310,13,393,20,26,114,28,227,189,291,189,17,143,13,11,18,23,141,100,132,213,25,94,157
2021,8,80,"1,249",145,11,178,5,11,60,15,68,106,107,83,3,61,7,2,5,3,52,31,60,112,5,39,80
2021,8,90,98,12,0,12,0,1,3,0,2,6,7,7,0,3,0,1,1,1,4,4,4,14,2,3,11
2021,8,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,9,총,"20,545","2,201",122,"3,112",115,127,791,178,"1,705","1,207","1,843","1,270",125,"1,242",269,117,257,185,911,843,814,"1,416",152,492,"1,051"
2021,9,0,748,80,3,104,5,11,15,4,72,43,74,52,7,36,8,5,10,3,29,28,38,55,8,9,49
2021,9,10,"1,021",116,2,135,0,3,25,8,126,47,97,92,3,62,11,11,14,10,55,53,30,56,6,16,43
2021,9,20,"1,568",161,9,275,4,5,57,10,141,79,105,96,2,120,29,7,20,17,65,79,43,125,13,36,70
2021,9,30,"1,594",148,7,255,12,11,55,15,117,90,140,105,6,122,35,11,34,15,60,73,60,99,16,37,71
2021,9,40,"2,752",276,11,408,15,14,120,23,271,139,233,160,21,196,56,17,55,30,129,141,106,145,17,55,114
2021,9,50,"4,258",450,32,626,19,22,197,42,353,248,405,228,41,277,70,25,63,46,199,170,159,277,24,80,205
2021,9,60,"4,350",503,33,723,34,23,143,34,326,257,385,256,24,221,40,27,37,37,175,164,179,320,36,122,251
2021,9,70,"2,901",310,14,394,21,26,115,28,229,190,290,190,18,146,13,11,18,23,143,98,133,215,25,95,156
2021,9,80,"1,246",145,11,179,5,10,61,13,68,107,107,83,3,58,7,2,5,3,52,32,61,109,5,39,81
2021,9,90,103,12,0,13,0,2,3,1,2,7,7,8,0,3,0,1,1,1,4,4,4,14,2,3,11
2021,9,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,10,총,"20,515","2,195",123,"3,110",115,126,790,179,"1,697","1,207","1,844","1,269",125,"1,235",270,113,253,183,910,839,814,"1,426",152,491,"1,049"
2021,10,0,741,81,3,105,5,11,15,4,72,43,72,52,7,34,8,5,10,3,29,28,36,54,8,9,47
2021,10,10,"1,016",112,2,133,0,3,23,8,126,48,98,93,3,62,12,10,12,10,54,53,31,57,6,16,44
2021,10,20,"1,564",169,10,269,4,4,58,9,134,80,108,96,2,119,27,6,21,16,66,79,43,125,13,36,70
2021,10,30,"1,565",140,7,256,11,11,52,15,117,92,139,106,5,114,35,11,32,14,58,71,61,99,16,34,69
2021,10,40,"2,739",272,11,404,16,13,121,22,269,140,235,161,22,200,55,16,55,30,126,138,101,147,16,55,114
2021,10,50,"4,266",450,31,631,19,23,197,44,353,245,404,227,40,276,72,25,62,46,198,171,160,281,25,80,206
2021,10,60,"4,367",502,34,726,34,23,145,35,325,257,385,254,25,223,41,25,38,37,179,161,182,325,36,123,252
2021,10,70,"2,897",314,14,393,21,26,115,28,229,188,292,188,18,145,13,12,16,23,141,101,132,212,25,95,156
2021,10,80,"1,255",144,11,181,5,10,61,13,70,107,104,84,3,58,7,2,6,3,55,32,63,111,5,40,80
2021,10,90,101,11,0,12,0,2,3,1,2,7,7,8,0,3,0,1,1,1,4,4,4,14,2,3,11
2021,10,100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,11,총,"20,471","2,196",122,"3,107",113,125,791,180,"1,690","1,216","1,835","1,264",127,"1,231",271,114,252,181,910,827,811,"1,428",152,485,"1,043"
2021,11,0,728,79,3,102,5,10,13,4,72,43,70,53,7,34,8,5,9,3,28,28,36,54,8,9,45
2021,11,10,"1,006",109,2,138,0,3,24,8,124,47,97,90,3,61,12,10,12,9,55,53,29,55,6,16,43
2021,11,20,"1,549",173,10,261,4,4,59,9,133,83,106,96,2,115,29,6,20,16,64,77,40,127,13,34,68
2021,11,30,"1,561",138,7,265,11,11,52,16,117,90,138,104,5,112,35,12,31,14,59,70,61,98,16,33,66
2021,11,40,"2,722",274,10,399,15,12,123,21,266,142,238,162,22,201,53,17,56,30,124,132,101,143,16,53,112
2021,11,50,"4,250",446,31,626,18,23,195,45,355,245,400,226,40,276,72,25,63,45,198,169,159,280,24,81,208
2021,11,60,"4,398",506,34,729,34,24,148,35,324,262,383,255,27,225,42,24,38,37,182,161,184,331,36,123,254
2021,11,70,"2,885",314,14,391,21,25,115,28,228,189,290,186,18,144,13,11,16,23,140,101,133,213,25,93,154
2021,11,80,"1,264",144,11,184,5,11,59,13,69,108,106,83,3,60,7,3,6,3,56,31,63,111,6,40,82
2021,11,90,103,12,0,12,0,2,3,1,2,7,7,9,0,2,0,1,1,1,4,4,4,15,2,3,11
2021,11,100,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021,12,총,"20,455","2,206",120,"3,092",114,124,802,178,"1,687","1,214","1,837","1,264",127,"1,221",269,114,251,178,912,830,807,"1,433",154,485,"1,036"
2021,12,0,725,82,3,100,5,10,14,5,72,40,70,53,7,32,8,5,8,2,28,29,35,55,8,9,45
2021,12,10,"1,000",106,2,138,1,3,24,8,124,45,96,89,3,60,12,10,12,9,55,52,29,58,5,16,43
2021,12,20,"1,554",180,10,260,4,4,58,9,131,83,109,98,2,115,29,6,19,17,62,79,36,126,12,35,70
2021,12,30,"1,549",138,7,264,11,11,56,16,117,90,135,103,5,106,35,12,32,12,59,69,61,97,16,33,64
2021,12,40,"2,719",273,10,396,15,12,122,21,267,141,237,165,21,198,53,16,56,30,124,133,103,147,16,54,109
2021,12,50,"4,250",451,30,623,18,22,198,44,354,248,403,224,41,276,71,26,63,44,197,171,158,280,27,80,201
2021,12,60,"4,410",506,33,725,34,24,154,35,325,265,383,255,28,228,42,24,37,37,187,157,184,329,37,122,259
2021,12,70,"2,877",316,14,392,21,25,112,26,226,188,287,186,18,145,12,11,17,23,140,104,133,212,25,93,151
2021,12,80,"1,264",141,11,183,5,11,61,13,69,107,110,82,2,58,7,3,6,3,57,31,62,113,6,40,83
2021,12,90,102,12,0,11,0,2,3,1,2,7,7,9,0,2,0,1,1,1,3,4,5,15,2,3,11
2021,12,100,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
