년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021,6,총,"22,015","4,871","1,548","1,725",944,923,"1,107","1,754","2,936",848,842,771,"2,160","1,586"
2021,6,0,892,277,41,64,33,24,37,47,151,13,28,29,81,67
2021,6,10,"1,497",450,111,104,51,33,57,74,240,32,47,85,124,89
2021,6,20,"1,945",534,130,121,70,66,92,168,280,54,45,40,151,194
2021,6,30,"1,463",433,64,85,54,58,61,115,203,43,58,42,128,119
2021,6,40,"2,655",683,181,182,103,93,124,184,429,80,84,73,218,221
2021,6,50,"4,483",951,398,370,177,175,214,371,550,154,165,143,467,348
2021,6,60,"4,777",841,337,409,238,242,267,397,577,209,215,212,529,304
2021,6,70,"2,776",481,187,240,132,139,160,255,325,166,128,113,290,160
2021,6,80,"1,365",200,86,142,73,80,84,129,161,88,63,31,153,75
2021,6,90,158,21,12,8,13,11,11,14,20,9,9,3,18,9
2021,6,100,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021,7,총,"21,976","4,870","1,552","1,722",944,914,"1,103","1,746","2,930",844,838,769,"2,155","1,589"
2021,7,0,890,278,43,61,33,23,35,47,149,12,29,30,82,68
2021,7,10,"1,496",450,111,104,53,34,56,77,236,31,47,84,123,90
2021,7,20,"1,929",533,127,121,68,62,91,161,281,54,46,40,151,194
2021,7,30,"1,447",424,65,82,55,57,62,116,202,43,56,43,124,118
2021,7,40,"2,629",682,183,182,101,93,124,178,421,78,80,72,215,220
2021,7,50,"4,464",948,396,367,177,170,208,370,551,153,164,143,469,348
2021,7,60,"4,811",853,340,413,239,244,270,399,581,211,215,210,530,306
2021,7,70,"2,777",480,187,242,129,139,162,257,328,165,127,111,290,160
2021,7,80,"1,368",202,87,142,75,80,84,127,158,88,65,32,152,76
2021,7,90,161,20,12,8,14,10,11,14,23,9,9,4,18,9
2021,7,100,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021,8,총,"21,927","4,867","1,551","1,732",948,908,"1,096","1,733","2,927",839,835,765,"2,144","1,582"
2021,8,0,886,275,43,65,35,23,34,46,149,12,27,29,81,67
2021,8,10,"1,488",450,109,104,53,33,57,76,237,28,47,81,124,89
2021,8,20,"1,898",532,127,124,68,59,86,152,272,52,47,38,145,196
2021,8,30,"1,434",420,63,85,55,55,62,115,202,44,55,42,120,116
2021,8,40,"2,616",681,182,183,102,91,123,178,422,75,80,71,209,219
2021,8,50,"4,455",950,397,364,179,170,206,367,549,156,164,143,468,342
2021,8,60,"4,824",855,341,415,237,243,272,398,584,211,212,214,531,311
2021,8,70,"2,783",479,189,242,131,139,159,258,330,164,130,110,293,159
2021,8,80,"1,378",205,87,142,74,83,86,129,158,88,65,33,154,74
2021,8,90,160,20,12,8,14,9,11,14,24,9,8,4,18,9
2021,8,100,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021,9,총,"21,785","4,828","1,541","1,723",948,899,"1,092","1,725","2,919",830,832,749,"2,128","1,571"
2021,9,0,869,267,43,64,34,24,31,44,145,13,27,27,82,68
2021,9,10,"1,486",451,109,102,54,34,56,75,242,26,46,76,126,89
2021,9,20,"1,834",523,118,121,66,55,86,147,263,48,45,39,138,185
2021,9,30,"1,406",409,62,83,52,52,61,115,204,38,53,41,117,119
2021,9,40,"2,575",666,179,181,102,90,121,174,414,77,81,69,204,217
2021,9,50,"4,453",953,396,366,181,169,210,371,548,156,165,141,465,332
2021,9,60,"4,816",853,344,411,237,236,272,397,585,210,212,211,532,316
2021,9,70,"2,799",484,190,244,135,145,158,259,335,163,130,108,288,160
2021,9,80,"1,383",204,86,143,74,82,86,128,158,90,65,33,158,76
