년도,월,나이,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020,10,90,"1,439",64,91,11,20,14,64,36,9,69,33,15,30,35,46,51,72,58,99,23,74,25,135,179,88,98
2020,10,100,69,2,3,1,0,1,4,1,0,2,1,1,1,1,4,7,4,5,0,2,2,1,3,7,8,8
2020,11,총,"143,116","3,847","9,907",671,"1,241",500,"1,879","1,299",429,"8,650","1,654","1,753","1,478","1,157","4,395","4,998","5,977","7,825","11,122","2,283","5,609","2,243","18,097","25,637","9,676","10,789"
2020,11,0,"10,568",171,"1,076",16,46,8,59,32,6,691,31,35,33,44,450,392,259,647,875,172,216,75,"1,292","2,154",727,"1,061"
2020,11,10,"12,958",223,"1,168",21,77,16,81,61,14,831,75,77,66,53,306,342,423,700,"1,006",172,299,116,"2,149","2,893",769,"1,020"
2020,11,20,"17,430",367,877,54,100,12,113,77,15,"1,041",111,411,191,110,497,584,882,"1,054","1,295",242,"1,100",517,"2,452","2,956","1,186","1,186"
2020,11,30,"16,773",295,"1,308",33,85,27,111,50,13,"1,139",106,178,144,96,683,623,595,"1,059","1,422",235,529,261,"1,825","3,244","1,274","1,438"
2020,11,40,"21,496",417,"1,799",45,112,31,145,112,29,"1,402",153,173,157,121,575,663,763,"1,168","1,635",336,629,214,"3,140","4,542","1,431","1,704"
2020,11,50,"23,496",689,"1,499",114,226,86,316,254,82,"1,398",290,243,246,196,561,873,997,"1,287","1,811",385,797,325,"3,143","4,341","1,714","1,623"
2020,11,60,"19,582",705,"1,211",166,293,130,428,315,114,"1,107",445,284,273,208,570,712,994,912,"1,535",344,875,350,"1,991","2,867","1,406","1,347"
2020,11,70,"11,832",511,540,113,136,101,287,221,96,589,247,198,195,180,459,481,626,577,877,248,678,229,"1,238","1,517",683,805
2020,11,80,"7,467",402,333,97,143,73,272,141,51,382,164,138,140,114,246,268,363,355,566,124,409,131,730,936,388,501
2020,11,90,"1,446",65,93,11,23,15,63,35,9,68,31,15,32,34,44,53,72,61,100,23,75,24,134,180,90,96
2020,11,100,68,2,3,1,0,1,4,1,0,2,1,1,1,1,4,7,3,5,0,2,2,1,3,7,8,8
2020,12,총,"143,189","3,846","9,934",675,"1,247",500,"1,889","1,291",429,"8,669","1,655","1,742","1,466","1,149","4,380","4,989","5,956","7,809","11,134","2,271","5,617","2,230","18,072","25,648","9,720","10,871"
2020,12,0,"10,553",176,"1,073",17,48,8,63,30,6,684,31,36,32,41,440,388,256,647,881,172,221,74,"1,265","2,163",739,"1,062"
2020,12,10,"12,950",224,"1,182",21,76,16,79,59,13,831,76,79,63,53,304,347,420,695,988,171,301,117,"2,156","2,885",769,"1,025"
2020,12,20,"17,415",355,880,55,102,13,113,77,16,"1,046",115,401,191,108,496,580,881,"1,062","1,292",242,"1,097",500,"2,442","2,976","1,178","1,197"
2020,12,30,"16,767",302,"1,297",35,85,26,115,50,13,"1,144",99,176,143,96,680,621,596,"1,061","1,424",229,531,264,"1,807","3,224","1,281","1,468"
2020,12,40,"21,484",415,"1,811",40,112,31,145,111,29,"1,401",156,169,153,120,576,670,758,"1,156","1,642",332,626,208,"3,142","4,528","1,446","1,707"
2020,12,50,"23,428",683,"1,503",114,226,84,316,252,83,"1,390",288,237,238,195,558,867,984,"1,280","1,804",382,797,330,"3,134","4,337","1,719","1,627"
2020,12,60,"19,743",707,"1,212",167,295,127,430,318,113,"1,129",447,290,278,207,577,707,997,909,"1,558",344,883,349,"2,019","2,894","1,413","1,373"
2020,12,70,"11,807",509,541,114,136,103,286,214,93,591,246,198,196,182,452,477,621,575,880,249,674,232,"1,229","1,519",686,804
2020,12,80,"7,524",407,337,99,143,76,272,145,54,385,164,139,139,113,249,272,363,359,569,126,405,131,743,937,391,506
2020,12,90,"1,448",66,94,12,24,15,65,34,9,65,32,16,32,33,43,53,77,59,96,22,81,24,132,178,92,94
2020,12,100,70,2,4,1,0,1,5,1,0,3,1,1,1,1,5,7,3,6,0,2,1,1,3,7,6,8
2021,1,총,"143,159","3,828","9,924",673,"1,238",495,"1,868","1,288",434,"8,674","1,653","1,733","1,466","1,151","4,359","4,980","5,962","7,789","11,151","2,274","5,613","2,221","18,012","25,655","9,736","10,982"
