년도,월,나이,김포시,통진읍,고촌읍,양촌읍,대곶면,월곶면,하성면,김포본동,장기본동,사우동,풍무동,장기동,구래동,마산동,운양동
2021,8,0,"54,771","1,748","6,470","2,290",312,132,257,"5,906","4,706","1,510","6,555","5,471","6,507","5,503","7,404"
2021,8,10,"49,304","2,343","4,627","2,505",528,235,440,"6,315","5,568","2,072","7,005","5,148","3,972","3,142","5,404"
2021,8,20,"52,906","3,508","4,347","2,930",923,514,799,"7,698","3,962","3,131","7,749","3,963","5,792","3,043","4,547"
2021,8,30,"76,098","3,176","8,618","3,848",858,403,666,"8,203","5,392","2,827","9,012","6,507","10,139","7,665","8,784"
2021,8,40,"91,484","4,219","9,327","4,831","1,231",587,875,"10,646","8,374","3,744","11,634","9,204","8,687","7,040","11,085"
2021,8,50,"68,555","5,445","6,068","4,964","2,134","1,132","1,639","10,293","5,172","4,193","9,040","4,976","4,202","3,517","5,780"
2021,8,60,"52,837","4,688","5,288","4,437","2,159","1,312","1,823","6,965","3,301","2,981","6,157","3,414","3,144","3,129","4,039"
2021,8,70,"26,407","2,204","2,237","2,141","1,043",701,"1,031","3,405","1,773","1,527","3,305","1,867","1,472","1,727","1,974"
2021,8,80,"11,162","1,099",848,958,543,372,561,"1,585",684,689,"1,375",703,487,555,703
2021,8,90,"1,641",176,139,156,92,79,80,209,92,90,173,93,71,84,107
2021,8,100,56,8,7,6,2,4,4,5,2,5,7,3,2,1,0
2021,9,총,"485,647","28,824","48,013","29,054","9,840","5,470","8,218","61,138","38,992","22,726","61,887","41,303","44,809","35,569","49,804"
2021,9,0,"54,483","1,754","6,437","2,276",307,131,257,"5,882","4,658","1,512","6,481","5,411","6,493","5,513","7,371"
2021,9,10,"49,471","2,352","4,653","2,506",529,232,440,"6,316","5,578","2,051","7,008","5,162","4,043","3,171","5,430"
2021,9,20,"52,841","3,538","4,348","2,921",931,509,805,"7,650","3,961","3,124","7,685","3,955","5,841","3,049","4,524"
2021,9,30,"75,848","3,195","8,574","3,846",850,409,686,"8,171","5,339","2,816","8,967","6,435","10,185","7,652","8,723"
2021,9,40,"91,647","4,242","9,355","4,832","1,218",587,873,"10,606","8,390","3,730","11,605","9,221","8,777","7,100","11,111"
2021,9,50,"68,786","5,473","6,084","4,960","2,155","1,120","1,641","10,320","5,188","4,177","9,064","5,009","4,250","3,544","5,801"
2021,9,60,"53,156","4,753","5,321","4,451","2,162","1,326","1,835","6,985","3,313","3,005","6,189","3,435","3,173","3,147","4,061"
2021,9,70,"26,467","2,217","2,245","2,135","1,046",702,"1,033","3,406","1,781","1,526","3,318","1,867","1,482","1,737","1,972"
2021,9,80,"11,226","1,114",850,967,548,370,561,"1,585",689,691,"1,382",706,491,567,705
2021,9,90,"1,668",178,141,153,92,80,82,213,93,89,182,99,72,88,106
2021,9,100,54,8,5,7,2,4,5,4,2,5,6,3,2,1,0
2021,10,총,"485,859","28,926","47,996","29,127","9,849","5,462","8,211","61,093","38,984","22,718","61,787","41,280","44,930","35,731","49,765"
2021,10,0,"54,173","1,757","6,415","2,268",305,129,249,"5,857","4,638","1,494","6,377","5,381","6,456","5,532","7,315"
2021,10,10,"49,625","2,362","4,661","2,511",516,230,435,"6,318","5,585","2,051","7,020","5,191","4,083","3,188","5,474"
2021,10,20,"52,673","3,541","4,323","2,930",928,504,801,"7,599","3,946","3,108","7,661","3,940","5,849","3,054","4,489"
2021,10,30,"75,624","3,200","8,548","3,853",861,406,693,"8,157","5,319","2,815","8,917","6,388","10,188","7,638","8,641"
2021,10,40,"91,826","4,243","9,397","4,858","1,217",589,864,"10,597","8,369","3,719","11,596","9,222","8,819","7,177","11,159"
2021,10,50,"68,954","5,486","6,074","4,955","2,161","1,111","1,633","10,320","5,216","4,191","9,097","5,033","4,295","3,561","5,821"
2021,10,60,"53,437","4,813","5,335","4,479","2,170","1,336","1,853","7,034","3,329","3,009","6,218","3,441","3,188","3,158","4,074"
2021,10,70,"26,498","2,221","2,241","2,135","1,046",704,"1,030","3,390","1,794","1,537","3,319","1,870","1,479","1,759","1,973"
2021,10,80,"11,314","1,121",852,975,549,370,564,"1,605",694,698,"1,395",711,497,575,708
2021,10,90,"1,682",175,145,157,93,79,84,212,92,91,181,100,74,88,111
2021,10,100,53,7,5,6,3,4,5,4,2,5,6,3,2,1,0
2021,11,총,"486,123","28,987","48,020","29,137","9,844","5,452","8,228","61,044","38,930","22,659","61,748","41,329","45,064","35,839","49,842"
2021,11,0,"53,873","1,760","6,392","2,245",297,127,249,"5,831","4,572","1,482","6,335","5,366","6,439","5,513","7,265"
2021,11,10,"49,842","2,372","4,686","2,530",521,227,435,"6,344","5,608","2,034","7,017","5,218","4,093","3,227","5,530"
2021,11,20,"52,537","3,529","4,319","2,898",917,499,793,"7,590","3,932","3,099","7,640","3,941","5,860","3,043","4,477"
2021,11,30,"75,375","3,214","8,479","3,862",859,406,694,"8,110","5,290","2,795","8,917","6,333","10,201","7,613","8,602"
2021,11,40,"92,066","4,246","9,468","4,854","1,213",583,864,"10,604","8,378","3,700","11,604","9,265","8,847","7,235","11,205"
2021,11,50,"69,137","5,501","6,073","4,965","2,161","1,117","1,637","10,325","5,237","4,202","9,112","5,049","4,322","3,584","5,852"
2021,11,60,"53,616","4,823","5,349","4,497","2,180","1,337","1,869","7,031","3,324","3,009","6,225","3,474","3,213","3,183","4,102"
2021,11,70,"26,549","2,230","2,258","2,135","1,042",700,"1,026","3,377","1,795","1,537","3,311","1,871","1,504","1,775","1,988"
2021,11,80,"11,379","1,128",843,991,555,374,568,"1,610",696,705,"1,395",710,510,579,715
2021,11,90,"1,695",176,148,153,96,78,88,217,97,92,186,100,72,86,106
2021,11,100,54,8,5,7,3,4,5,5,1,4,6,2,3,1,0
2021,12,총,"486,508","29,059","48,142","29,141","9,880","5,440","8,200","60,981","38,875","22,651","61,768","41,316","45,249","35,971","49,835"
2021,12,0,"53,677","1,749","6,401","2,232",299,125,246,"5,797","4,521","1,474","6,315","5,334","6,441","5,510","7,233"
2021,12,10,"49,972","2,379","4,712","2,524",531,228,437,"6,318","5,616","2,033","7,025","5,230","4,122","3,270","5,547"
2021,12,20,"52,405","3,521","4,322","2,893",907,491,779,"7,566","3,930","3,078","7,627","3,936","5,856","3,032","4,467"
2021,12,30,"75,094","3,200","8,473","3,844",873,413,691,"8,065","5,232","2,800","8,868","6,275","10,211","7,598","8,551"
2021,12,40,"92,370","4,257","9,524","4,854","1,216",584,862,"10,601","8,364","3,703","11,636","9,296","8,912","7,313","11,248"
2021,12,50,"69,269","5,505","6,084","4,967","2,173","1,105","1,631","10,326","5,261","4,206","9,125","5,075","4,362","3,592","5,857"
2021,12,60,"53,848","4,855","5,366","4,527","2,184","1,349","1,866","7,075","3,341","3,013","6,253","3,479","3,242","3,182","4,116"
2021,12,70,"26,645","2,244","2,263","2,140","1,040",700,"1,029","3,375","1,811","1,538","3,319","1,878","1,515","1,804","1,989"
2021,12,80,"11,467","1,157",848,"1,001",559,368,564,"1,632",701,707,"1,400",716,513,582,719
2021,12,90,"1,711",185,145,153,95,74,90,221,97,95,194,96,72,87,107
2021,12,100,50,7,4,6,3,3,5,5,1,4,6,1,3,1,1
