년도,월,나이,양평군,양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면
2021,3,20,"10,577","3,554",839,348,"1,216",733,609,243,224,281,472,"1,653",405
2021,3,30,"10,759","3,191","1,190",358,"1,198",769,827,283,193,290,403,"1,688",369
2021,3,40,"16,287","4,810","1,693",515,"1,813","1,069","1,488",420,355,380,681,"2,463",600
2021,3,50,"20,728","5,384","1,646",879,"2,426","1,381","1,704",664,668,909,"1,262","2,921",884
2021,3,60,"23,399","4,543","1,805","1,268","2,745","1,685","2,105",978,"1,007","1,166","1,711","3,153","1,233"
2021,3,70,"13,129","2,427",959,706,"1,639",873,"1,045",561,611,702,991,"1,898",717
2021,3,80,"6,413","1,200",413,237,699,390,413,316,388,441,589,978,349
2021,3,90,"1,003",154,59,46,114,56,79,44,43,81,107,173,47
2021,3,100,41,8,3,1,11,1,3,0,2,4,3,4,1
2021,4,총,"119,505","30,737","10,506","4,772","13,674","8,033","9,776","3,879","3,755","4,597","6,838","17,752","5,186"
2021,4,0,"7,218","2,177",926,175,730,475,621,125,108,136,226,"1,287",232
2021,4,10,"9,677","3,252",951,241,"1,043",557,855,230,154,189,374,"1,496",335
2021,4,20,"10,590","3,553",848,345,"1,222",740,609,244,223,281,472,"1,652",401
2021,4,30,"10,785","3,191","1,188",366,"1,206",779,823,280,195,289,404,"1,691",373
2021,4,40,"16,284","4,814","1,689",507,"1,817","1,063","1,493",419,352,378,687,"2,460",605
2021,4,50,"20,728","5,363","1,646",871,"2,420","1,397","1,715",672,662,916,"1,256","2,924",886
2021,4,60,"23,578","4,580","1,818","1,277","2,768","1,690","2,116",988,"1,022","1,180","1,721","3,181","1,237"
2021,4,70,"13,155","2,442",962,704,"1,636",880,"1,044",561,605,701,"1,000","1,904",716
2021,4,80,"6,444","1,199",418,240,707,393,417,318,391,443,584,981,353
2021,4,90,"1,004",158,57,45,114,58,80,42,41,80,111,172,46
2021,4,100,42,8,3,1,11,1,3,0,2,4,3,4,2
2021,5,총,"119,826","30,772","10,504","4,778","13,767","8,069","9,802","3,895","3,770","4,619","6,858","17,813","5,179"
2021,5,0,"7,184","2,172",921,172,731,474,620,125,104,137,229,"1,273",226
2021,5,10,"9,757","3,258",954,244,"1,083",570,858,226,154,190,366,"1,533",321
2021,5,20,"10,603","3,546",842,350,"1,231",749,610,247,222,276,481,"1,654",395
2021,5,30,"10,782","3,188","1,177",364,"1,208",773,824,280,192,290,409,"1,697",380
2021,5,40,"16,262","4,802","1,691",499,"1,815","1,069","1,494",418,355,379,689,"2,455",596
2021,5,50,"20,764","5,366","1,648",867,"2,422","1,409","1,723",680,662,923,"1,244","2,933",887
