년도,월,나이,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021,12,총,"88,952","4,580","16,914","2,716","5,689","1,204","1,842","1,806","2,540","2,661","7,852","6,772","13,240","11,880","9,256"
2021,12,0,"7,407",151,"1,913",74,200,36,39,40,71,90,661,495,"1,196","1,515",926
2021,12,10,"8,302",296,"1,443",140,242,47,83,98,161,177,926,531,"1,339","1,401","1,418"
2021,12,20,"9,252",362,"1,326",204,613,78,166,129,190,240,772,625,"1,990","1,314","1,243"
2021,12,30,"12,455",396,"2,861",160,719,73,127,124,154,186,749,"1,201","2,591","1,904","1,210"
2021,12,40,"15,165",641,"3,383",286,908,117,167,203,281,345,"1,343","1,293","2,362","2,129","1,707"
2021,12,50,"15,068",863,"2,798",531,"1,252",183,326,348,507,479,"1,410","1,183","1,882","1,761","1,545"
2021,12,60,"11,715",914,"1,941",644,"1,036",312,458,435,565,575,"1,079",825,"1,140","1,096",695
2021,12,70,"6,322",609,845,421,471,231,299,297,385,366,607,385,524,528,354
2021,12,80,"2,959",310,365,231,229,114,166,115,201,182,282,210,193,222,139
2021,12,90,305,38,39,25,19,13,11,17,25,21,22,24,23,10,18
2021,12,100,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
