년도,월,나이,통영시,산양읍,용남면,도산면,광도면,욕지면,한산면,사량면,도천동,명정동,중앙동,정량동,북신동,미수동,봉평동,무전동
2021,10,총,"125,744","4,591","12,412","2,843","31,027","1,968","1,958","1,449","8,719","2,843","3,869","8,763","10,408","11,065","10,118","13,711"
2021,10,0,"8,729",103,"1,100",62,"3,564",43,29,21,368,92,102,414,663,748,428,992
2021,10,10,"12,665",206,"1,449",109,"4,089",90,54,27,790,160,204,622,952,"1,395",939,"1,579"
2021,10,20,"10,601",285,"1,010",159,"2,674",108,72,57,840,196,258,651,904,969,888,"1,530"
2021,10,30,"12,542",290,"1,312",144,"4,333",95,71,64,646,153,250,771,"1,011","1,007",890,"1,505"
2021,10,40,"20,835",511,"2,214",260,"6,629",249,164,107,"1,225",330,484,"1,262","1,546","1,884","1,447","2,523"
2021,10,50,"21,962",910,"2,108",492,"4,601",413,315,290,"1,601",532,766,"1,764","1,730","2,028","1,957","2,455"
2021,10,60,"21,382","1,082","1,734",752,"3,208",479,490,402,"1,726",677,948,"1,856","2,101","1,928","1,980","2,019"
2021,10,70,"11,317",703,936,519,"1,323",296,432,257,"1,053",469,569,"1,005","1,068",774,"1,083",830
2021,10,80,"5,028",440,478,307,529,180,298,191,417,203,268,373,369,293,441,241
2021,10,90,666,58,70,39,77,15,32,33,53,29,20,42,60,38,65,35
2021,10,100,17,3,1,0,0,0,1,0,0,2,0,3,4,1,0,2
2021,11,총,"125,595","4,568","12,405","2,837","30,997","1,972","1,955","1,446","8,703","2,845","3,858","8,761","10,382","11,035","10,136","13,695"
2021,11,0,"8,639",100,"1,096",62,"3,531",43,29,21,362,88,103,414,657,732,419,982
2021,11,10,"12,668",206,"1,453",107,"4,094",89,55,27,788,157,198,617,957,"1,394",942,"1,584"
2021,11,20,"10,557",277,"1,011",161,"2,661",108,71,56,835,197,255,657,901,956,893,"1,518"
2021,11,30,"12,431",285,"1,307",142,"4,287",95,72,64,645,154,251,763,995,994,881,"1,496"
2021,11,40,"20,826",512,"2,210",262,"6,633",250,160,107,"1,224",329,481,"1,256","1,541","1,886","1,450","2,525"
2021,11,50,"21,990",901,"2,114",487,"4,618",416,315,287,"1,601",535,755,"1,765","1,734","2,033","1,961","2,468"
2021,11,60,"21,427","1,089","1,732",752,"3,230",479,490,403,"1,726",677,948,"1,858","2,102","1,936","1,990","2,015"
2021,11,70,"11,323",701,929,516,"1,329",298,433,258,"1,055",471,574,"1,005","1,065",772,"1,091",826
2021,11,80,"5,053",438,482,309,535,179,298,189,415,205,273,379,369,294,443,245
2021,11,90,668,58,70,39,79,15,31,34,52,30,20,44,60,37,65,34
2021,11,100,13,1,1,0,0,0,1,0,0,2,0,3,1,1,1,2
2021,12,총,"125,383","4,558","12,382","2,839","30,965","1,974","1,951","1,443","8,670","2,840","3,854","8,743","10,364","11,048","10,093","13,659"
2021,12,0,"8,547",101,"1,088",64,"3,495",40,28,21,350,88,106,407,649,730,410,970
2021,12,10,"12,671",205,"1,467",106,"4,107",89,55,26,790,160,198,619,953,"1,401",929,"1,566"
2021,12,20,"10,479",268,983,160,"2,641",110,71,56,823,195,253,653,902,957,891,"1,516"
2021,12,30,"12,323",283,"1,301",144,"4,235",93,74,63,635,151,250,754,983,985,868,"1,504"
2021,12,40,"20,816",516,"2,210",258,"6,652",248,159,103,"1,224",326,482,"1,255","1,549","1,891","1,442","2,501"
2021,12,50,"21,988",896,"2,121",487,"4,646",424,313,290,"1,592",528,750,"1,765","1,724","2,031","1,955","2,466"
2021,12,60,"21,449","1,089","1,719",756,"3,242",477,490,402,"1,734",683,944,"1,856","2,098","1,941","1,993","2,025"
2021,12,70,"11,343",703,936,514,"1,328",298,433,259,"1,055",470,577,"1,004","1,070",779,"1,094",823
2021,12,80,"5,082",436,484,310,539,179,297,189,417,206,275,385,375,295,446,249
2021,12,90,673,60,72,40,79,16,30,33,50,31,19,45,60,37,64,37
2021,12,100,12,1,1,0,1,0,1,1,0,2,0,0,1,1,1,2
