년도,월,나이,목포시,용당1동,용당2동,연동,산정동,연산동,원산동,대성동,목원동,동명동,삼학동,만호동,유달동,죽교동,북항동,용해동,이로동,상동,하당동,신흥동,삼향동,옥암동,부흥동,부주동
2021,3,30,"24,876",981,445,372,867,"1,637","1,325",687,592,441,609,197,278,245,952,"2,063","1,155","2,489","1,581","1,925",543,"1,427","1,069","2,996"
2021,3,40,"36,915","1,373",689,646,"1,315","1,715","2,204",813,994,705,946,385,495,415,"1,515","3,320","1,895","3,557","2,049","2,698",796,"2,140","1,427","4,823"
2021,3,50,"36,053","1,773",845,830,"1,439","1,216","2,334",797,"1,329",869,943,516,685,508,"1,624","2,502","1,612","3,456","1,966","3,092",772,"1,841","1,607","3,497"
2021,3,60,"29,125","2,086","1,062",864,"1,256",816,"1,622",683,"1,527","1,074",993,667,840,569,"1,367","1,814","1,417","2,835","1,268","1,951",663,"1,080",968,"1,703"
2021,3,70,"17,589","1,492",788,766,779,418,902,420,"1,294",930,657,489,722,495,753,"1,050",768,"1,503",585,790,386,494,471,637
2021,3,80,"7,252",569,230,340,331,163,371,205,522,343,237,205,347,213,310,485,345,624,250,364,163,225,205,205
2021,3,90,959,74,39,43,46,25,38,16,96,35,22,26,36,21,31,60,44,93,40,46,27,31,25,45
2021,3,100,36,2,1,4,1,1,0,2,5,2,0,0,2,0,0,2,4,3,3,2,0,1,1,0
2021,4,총,"221,156","10,494","5,107","4,728","9,122","9,631","12,852","5,052","7,643","5,408","6,063","2,856","4,186","3,132","9,255","17,260","10,851","21,292","11,868","16,525","4,794","11,365","8,501","23,171"
2021,4,0,"17,460",441,213,159,640,"1,337",919,456,207,182,395,56,123,133,663,"1,756",979,"1,827",802,"1,262",393,"1,122",674,"2,721"
2021,4,10,"24,092",700,303,316,996,"1,132","1,462",462,405,326,602,130,208,222,994,"2,466","1,455","2,395","1,139","1,816",500,"1,563",858,"3,642"
2021,4,20,"26,896","1,070",518,410,"1,107","1,220","1,734",530,710,509,686,201,463,310,"1,085","1,773","1,175","2,499","2,195","2,570",549,"1,478","1,217","2,887"
2021,4,30,"24,741",963,437,369,958,"1,620","1,307",677,582,434,602,192,276,247,943,"2,039","1,157","2,483","1,572","1,922",539,"1,398","1,052","2,972"
2021,4,40,"36,878","1,368",677,634,"1,441","1,700","2,172",807,980,706,938,380,491,413,"1,493","3,300","1,907","3,566","2,045","2,695",796,"2,135","1,415","4,819"
2021,4,50,"35,939","1,734",838,816,"1,525","1,211","2,311",789,"1,322",869,931,504,677,507,"1,612","2,499","1,596","3,441","1,948","3,090",765,"1,843","1,597","3,514"
2021,4,60,"29,269","2,078","1,057",872,"1,291",809,"1,626",686,"1,522","1,063",995,663,846,573,"1,366","1,828","1,420","2,850","1,299","1,966",674,"1,075",985,"1,725"
2021,4,70,"17,592","1,483",793,766,776,418,911,423,"1,291",935,653,493,716,494,757,"1,051",770,"1,509",578,793,380,498,464,640
2021,4,80,"7,281",579,229,339,338,159,372,205,527,346,238,209,348,211,313,486,343,624,249,357,171,221,211,206
2021,4,90,971,76,41,43,48,25,38,15,91,36,23,27,36,22,29,60,45,95,38,52,27,32,27,45
2021,4,100,37,2,1,4,2,0,0,2,6,2,0,1,2,0,0,2,4,3,3,2,0,0,1,0
2021,5,총,"221,020","10,474","5,099","4,708","9,375","10,026","12,763","5,010","7,612","5,367","6,053","2,833","4,148","3,128","9,213","16,993","10,809","21,306","11,826","16,476","4,769","11,377","8,440","23,215"
2021,5,0,"17,355",434,209,158,658,"1,430",905,452,205,177,394,51,124,130,663,"1,686",966,"1,825",779,"1,242",379,"1,121",660,"2,707"
2021,5,10,"24,042",699,309,311,"1,029","1,190","1,450",455,404,325,601,124,205,219,972,"2,431","1,452","2,382","1,125","1,813",497,"1,557",851,"3,641"
2021,5,20,"26,868","1,056",513,404,"1,146","1,228","1,708",522,707,506,684,196,453,311,"1,080","1,750","1,169","2,519","2,211","2,576",553,"1,472","1,210","2,894"
2021,5,30,"24,675",958,437,364,989,"1,715","1,312",656,580,414,601,195,271,243,940,"1,980","1,144","2,489","1,552","1,911",526,"1,409","1,036","2,953"
2021,5,40,"36,675","1,365",677,629,"1,480","1,805","2,133",808,967,694,931,373,478,411,"1,482","3,223","1,890","3,526","2,015","2,674",791,"2,113","1,386","4,824"
2021,5,50,"36,005","1,735",826,813,"1,580","1,227","2,299",783,"1,320",868,931,503,676,511,"1,595","2,487","1,600","3,451","1,974","3,060",767,"1,861","1,599","3,539"
2021,5,60,"29,426","2,092","1,064",874,"1,320",827,"1,633",685,"1,522","1,057",990,656,834,574,"1,370","1,831","1,426","2,865","1,302","1,995",674,"1,086",998,"1,751"
2021,5,70,"17,646","1,479",791,766,784,417,904,427,"1,291",938,657,499,718,491,760,"1,059",768,"1,522",577,795,380,507,462,654
2021,5,80,"7,318",578,231,341,341,162,381,204,521,348,241,208,351,215,322,485,345,627,250,358,175,218,210,206
2021,5,90,972,76,41,44,46,25,38,16,89,38,23,27,36,23,29,59,44,97,38,50,27,33,28,45
2021,5,100,38,2,1,4,2,0,0,2,6,2,0,1,2,0,0,2,5,3,3,2,0,0,0,1
2021,6,총,"220,794","10,441","5,085","4,684","9,414","10,275","12,703","5,009","7,560","5,347","5,993","2,813","4,139","3,106","9,192","16,895","10,771","21,295","11,813","16,453","4,765","11,390","8,380","23,271"
2021,6,0,"17,227",423,206,152,658,"1,473",890,452,196,175,388,49,127,128,656,"1,649",967,"1,821",769,"1,231",370,"1,112",645,"2,690"
2021,6,10,"24,013",703,311,306,"1,033","1,215","1,435",453,400,318,594,120,204,215,977,"2,417","1,437","2,381","1,121","1,810",502,"1,562",841,"3,658"
2021,6,20,"26,806","1,052",508,397,"1,147","1,245","1,712",523,695,510,663,188,449,303,"1,073","1,758","1,171","2,512","2,195","2,582",549,"1,462","1,206","2,906"
2021,6,30,"24,543",935,427,368,987,"1,780","1,300",657,569,403,590,193,267,243,936,"1,943","1,135","2,470","1,552","1,909",518,"1,418","1,014","2,929"
2021,6,40,"36,652","1,365",671,616,"1,474","1,858","2,109",808,953,692,925,372,482,413,"1,478","3,200","1,893","3,543","2,016","2,653",803,"2,116","1,373","4,839"
2021,6,50,"35,959","1,726",833,810,"1,594","1,253","2,294",784,"1,321",862,920,499,670,502,"1,580","2,476","1,583","3,444","1,986","3,043",765,"1,857","1,595","3,562"
2021,6,60,"29,554","2,096","1,063",870,"1,346",840,"1,634",685,"1,518","1,061",988,657,833,570,"1,379","1,840","1,426","2,872","1,301","2,024",673,"1,096","1,009","1,773"
2021,6,70,"17,653","1,484",784,771,783,425,903,421,"1,288",934,661,500,718,496,759,"1,070",757,"1,518",582,784,381,516,457,661
2021,6,80,"7,377",579,239,345,343,162,388,209,524,352,242,209,352,212,326,480,351,633,251,366,176,219,212,207
2021,6,90,971,76,42,45,47,24,38,15,91,38,22,25,35,24,28,59,46,98,37,49,28,32,28,44
2021,6,100,39,2,1,4,2,0,0,2,5,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021,7,총,"220,379","10,396","5,086","4,683","9,391","10,343","12,681","4,999","7,536","5,334","5,975","2,805","4,103","3,113","9,187","16,814","10,751","21,279","11,796","16,412","4,754","11,408","8,354","23,179"
2021,7,0,"17,045",422,205,145,652,"1,461",884,464,192,176,384,51,126,129,643,"1,614",955,"1,806",763,"1,211",366,"1,100",639,"2,657"
2021,7,10,"23,963",700,312,309,"1,021","1,242","1,430",451,398,315,588,120,201,216,974,"2,401","1,432","2,368","1,118","1,812",504,"1,569",837,"3,645"
2021,7,20,"26,721","1,036",502,401,"1,147","1,242","1,702",517,698,507,673,189,434,299,"1,080","1,755","1,170","2,510","2,199","2,563",541,"1,462","1,207","2,887"
2021,7,30,"24,337",923,420,361,992,"1,794","1,299",651,567,404,572,184,263,244,925,"1,906","1,116","2,467","1,539","1,892",517,"1,405","1,007","2,889"
2021,7,40,"36,529","1,353",665,617,"1,458","1,867","2,102",806,948,685,926,375,477,410,"1,470","3,189","1,897","3,533","2,020","2,644",801,"2,106","1,364","4,816"
2021,7,50,"36,002","1,724",830,801,"1,599","1,273","2,284",785,"1,316",860,916,498,660,506,"1,593","2,484","1,585","3,452","1,988","3,042",763,"1,867","1,594","3,582"
2021,7,60,"29,649","2,082","1,070",881,"1,348",852,"1,643",684,"1,507","1,061",992,656,835,572,"1,384","1,849","1,426","2,887","1,297","2,038",675,"1,118","1,007","1,785"
2021,7,70,"17,683","1,493",790,769,780,423,909,418,"1,287",937,657,500,714,498,766,"1,067",765,"1,517",584,785,383,525,458,658
2021,7,80,"7,436",584,246,350,342,165,391,208,528,346,245,207,355,215,324,488,355,639,248,375,175,224,212,214
2021,7,90,974,77,45,45,50,24,37,13,89,41,22,24,36,24,28,58,45,97,37,48,29,32,29,44
2021,7,100,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021,8,총,"219,944","10,362","5,094","4,659","9,422","10,410","12,684","4,997","7,496","5,302","5,964","2,802","4,071","3,092","9,145","16,741","10,709","21,329","11,815","16,373","4,749","11,357","8,290","23,081"
2021,8,0,"16,892",415,205,149,647,"1,475",874,460,187,174,386,53,125,126,625,"1,590",945,"1,802",763,"1,192",361,"1,081",634,"2,623"
2021,8,10,"23,873",694,314,307,"1,032","1,248","1,432",454,398,306,581,119,201,215,970,"2,393","1,426","2,367","1,106","1,802",495,"1,556",833,"3,624"
2021,8,20,"26,624","1,027",502,391,"1,146","1,233","1,697",517,689,500,674,188,424,293,"1,075","1,751","1,164","2,521","2,197","2,566",538,"1,454","1,195","2,882"
2021,8,30,"24,161",923,423,357,993,"1,812","1,293",646,561,410,572,182,263,240,911,"1,865","1,090","2,462","1,536","1,868",517,"1,389",991,"2,857"
2021,8,40,"36,385","1,338",653,609,"1,467","1,878","2,109",799,939,680,920,373,463,408,"1,459","3,179","1,887","3,530","2,020","2,632",804,"2,099","1,343","4,796"
2021,8,50,"36,020","1,722",831,792,"1,599","1,275","2,289",788,"1,303",849,913,496,662,501,"1,594","2,491","1,581","3,472","1,998","3,052",763,"1,874","1,581","3,594"
2021,8,60,"29,768","2,085","1,078",888,"1,355",868,"1,646",687,"1,509","1,051",992,654,831,566,"1,390","1,850","1,443","2,901","1,317","2,049",682,"1,125","1,017","1,784"
2021,8,70,"17,726","1,492",794,765,787,431,910,420,"1,281",942,661,503,709,502,769,"1,065",763,"1,534",590,783,384,522,453,666
2021,8,80,"7,476",588,244,353,345,166,396,211,532,346,243,209,355,216,325,495,358,641,247,380,176,225,214,211
2021,8,90,979,76,49,44,49,24,38,13,91,42,22,24,36,25,27,59,47,96,38,47,29,32,29,42
2021,8,100,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021,9,총,"219,552","10,313","5,080","4,631","9,443","10,451","12,658","4,966","7,482","5,288","5,950","2,767","4,026","3,092","9,164","16,697","10,677","21,328","11,825","16,350","4,727","11,335","8,250","23,052"
2021,9,0,"16,750",403,200,146,649,"1,487",873,456,189,176,378,49,124,126,620,"1,557",933,"1,778",758,"1,178",354,"1,075",619,"2,622"
2021,9,10,"23,844",691,301,298,"1,034","1,260","1,430",448,398,303,589,116,195,214,966,"2,398","1,426","2,382","1,099","1,807",490,"1,561",830,"3,608"
2021,9,20,"26,532","1,016",506,386,"1,135","1,230","1,689",513,683,493,664,183,404,296,"1,076","1,752","1,151","2,513","2,224","2,559",541,"1,434","1,191","2,893"
2021,9,30,"24,000",902,420,352,"1,001","1,820","1,268",647,558,403,562,180,256,235,913,"1,850","1,075","2,463","1,538","1,852",512,"1,385",974,"2,834"
2021,9,40,"36,291","1,342",655,605,"1,466","1,880","2,118",787,925,679,923,364,462,404,"1,461","3,169","1,881","3,521","2,002","2,652",798,"2,105","1,324","4,768"
2021,9,50,"35,989","1,714",831,788,"1,607","1,279","2,279",784,"1,306",845,914,488,653,507,"1,593","2,486","1,590","3,469","1,998","3,031",765,"1,869","1,581","3,612"
2021,9,60,"29,844","2,082","1,069",888,"1,364",871,"1,647",683,"1,509","1,055",988,656,829,565,"1,405","1,858","1,444","2,934","1,326","2,050",682,"1,130","1,020","1,789"
2021,9,70,"17,761","1,497",801,764,787,430,916,424,"1,283",937,668,500,710,505,773,"1,064",768,"1,527",584,783,385,523,462,670
2021,9,80,"7,519",587,248,355,348,169,398,208,537,354,243,206,358,217,329,502,359,639,255,388,170,220,218,211
2021,9,90,982,77,48,45,50,25,40,14,88,41,21,24,33,23,28,58,45,99,38,48,30,33,31,43
2021,9,100,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021,10,총,"219,150","10,306","5,065","4,608","9,430","10,490","12,648","4,940","7,465","5,262","5,926","2,759","3,998","3,067","9,111","16,667","10,665","21,303","11,833","16,320","4,705","11,309","8,218","23,055"
2021,10,0,"16,629",405,203,142,635,"1,498",863,459,195,179,375,49,120,128,597,"1,537",936,"1,768",752,"1,169",343,"1,057",612,"2,607"
2021,10,10,"23,813",682,297,295,"1,042","1,267","1,433",443,391,303,590,115,193,212,966,"2,395","1,420","2,368","1,100","1,816",491,"1,574",821,"3,599"
2021,10,20,"26,367","1,021",490,376,"1,145","1,230","1,673",505,680,488,667,181,388,282,"1,064","1,743","1,159","2,510","2,214","2,516",539,"1,420","1,185","2,891"
2021,10,30,"23,880",895,424,345,977,"1,820","1,268",648,557,404,548,179,254,230,894,"1,843","1,066","2,463","1,536","1,850",504,"1,367",967,"2,841"
2021,10,40,"36,169","1,333",654,604,"1,465","1,891","2,103",780,912,673,920,364,458,407,"1,456","3,160","1,872","3,512","2,000","2,638",793,"2,108","1,321","4,745"
2021,10,50,"35,952","1,714",820,791,"1,610","1,281","2,281",773,"1,312",831,903,485,655,499,"1,591","2,494","1,581","3,469","2,004","3,031",768,"1,860","1,573","3,626"
2021,10,60,"29,904","2,064","1,066",885,"1,367",879,"1,664",684,"1,502","1,057",988,655,819,563,"1,402","1,858","1,448","2,947","1,338","2,062",683,"1,137","1,026","1,810"
2021,10,70,"17,875","1,522",812,771,790,429,923,425,"1,284",932,672,498,716,504,772,"1,073",777,"1,527",591,799,386,531,462,679
2021,10,80,"7,545",591,252,350,346,169,398,207,540,352,242,208,360,217,341,500,357,641,261,388,169,222,221,213
2021,10,90,974,76,46,44,51,26,42,14,86,41,21,24,33,25,28,61,44,95,34,49,29,33,30,42
2021,10,100,42,3,1,5,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021,11,총,"218,785","10,266","5,050","4,597","9,415","10,483","12,627","4,948","7,434","5,240","5,950","2,752","3,962","3,047","9,103","16,660","10,667","21,259","11,787","16,332","4,682","11,289","8,188","23,047"
2021,11,0,"16,496",403,199,135,633,"1,487",853,452,195,175,375,47,119,125,603,"1,523",935,"1,755",742,"1,166",334,"1,041",615,"2,584"
2021,11,10,"23,809",672,296,303,"1,041","1,282","1,434",448,385,296,593,114,193,210,965,"2,390","1,425","2,357","1,098","1,821",488,"1,579",816,"3,603"
2021,11,20,"26,264","1,012",490,377,"1,133","1,225","1,665",501,675,486,664,178,385,281,"1,055","1,767","1,161","2,504","2,178","2,516",532,"1,405","1,170","2,904"
2021,11,30,"23,716",896,405,338,975,"1,796","1,244",643,545,397,558,177,246,231,899,"1,836","1,073","2,444","1,527","1,844",506,"1,355",963,"2,818"
2021,11,40,"36,089","1,311",665,605,"1,456","1,892","2,106",791,912,679,919,361,453,404,"1,449","3,146","1,867","3,508","2,007","2,620",787,"2,109","1,315","4,727"
2021,11,50,"35,977","1,716",820,792,"1,621","1,285","2,283",775,"1,308",821,908,485,655,500,"1,584","2,493","1,580","3,479","2,014","3,040",760,"1,858","1,571","3,629"
2021,11,60,"29,925","2,059","1,060",878,"1,363",887,"1,677",685,"1,499","1,049",995,654,804,558,"1,404","1,863","1,446","2,935","1,334","2,084",688,"1,144","1,028","1,831"
2021,11,70,"17,914","1,525",812,769,792,429,926,420,"1,284",941,680,500,719,501,775,"1,079",774,"1,529",589,799,386,533,460,692
2021,11,80,"7,592",592,256,353,347,176,397,217,545,352,235,211,354,213,340,500,359,651,262,392,172,230,221,217
2021,11,90,973,78,46,45,52,24,42,14,83,42,23,24,32,24,29,62,44,95,33,48,29,35,29,40
2021,11,100,30,2,1,2,2,0,0,2,3,2,0,1,2,0,0,1,3,2,3,2,0,0,0,2
2021,12,총,"218,589","10,218","5,015","4,578","9,402","10,472","12,592","4,938","7,399","5,208","5,945","2,740","3,970","3,023","9,067","16,799","10,683","21,265","11,744","16,363","4,676","11,313","8,152","23,027"
2021,12,0,"16,347",390,195,138,636,"1,477",843,449,193,171,369,49,117,126,589,"1,500",935,"1,750",732,"1,153",331,"1,036",614,"2,554"
2021,12,10,"23,802",668,295,297,"1,041","1,279","1,433",452,388,289,595,110,197,208,966,"2,404","1,420","2,350","1,098","1,813",487,"1,589",807,"3,616"
2021,12,20,"26,198","1,001",475,368,"1,113","1,232","1,652",499,654,484,661,174,384,268,"1,048","1,844","1,160","2,498","2,175","2,506",529,"1,403","1,151","2,919"
2021,12,30,"23,618",888,407,342,970,"1,768","1,244",622,549,396,553,177,241,232,891,"1,849","1,077","2,452","1,510","1,871",513,"1,341",956,"2,769"
2021,12,40,"36,047","1,300",653,598,"1,456","1,907","2,086",795,907,675,917,358,456,399,"1,439","3,165","1,871","3,506","1,997","2,629",782,"2,108","1,317","4,726"
2021,12,50,"35,988","1,729",827,791,"1,623","1,282","2,282",780,"1,300",811,903,479,669,500,"1,586","2,490","1,583","3,484","2,008","3,037",754,"1,868","1,558","3,644"
2021,12,60,"29,966","2,039","1,056",865,"1,356",890,"1,686",687,"1,492","1,047","1,004",650,810,550,"1,396","1,889","1,440","2,932","1,343","2,100",692,"1,161","1,031","1,850"
2021,12,70,"17,972","1,527",806,771,803,432,928,421,"1,281",935,681,507,711,503,777,"1,086",789,"1,539",588,807,390,541,461,688
2021,12,80,"7,648",595,256,358,351,181,395,216,546,358,238,212,353,213,346,509,363,656,260,394,168,233,229,218
2021,12,90,979,79,44,48,51,24,43,15,86,42,24,23,31,24,29,62,42,96,31,52,30,33,28,42
2021,12,100,24,2,1,2,2,0,0,2,3,0,0,1,1,0,0,1,3,2,2,1,0,0,0,1
