년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021,5,총,"84,222","5,711","3,578","2,616","1,637","3,742","7,364","4,517","2,487","3,511","2,970","9,249","8,930","4,334","7,870","15,706"
2021,5,0,"7,389",332,235,62,25,293,"1,400",234,57,117,171,776,770,257,677,"1,983"
2021,5,10,"8,067",470,325,93,54,362,609,347,119,194,218,955,941,418,"1,012","1,950"
2021,5,20,"7,681",562,239,102,63,235,703,331,114,255,179,"1,105",841,464,861,"1,627"
2021,5,30,"9,738",474,282,97,57,335,"1,776",369,115,198,220,"1,204",983,379,829,"2,420"
2021,5,40,"12,939",760,528,175,109,504,"1,074",583,203,338,344,"1,580","1,671",682,"1,399","2,989"
2021,5,50,"13,145","1,213",579,390,247,624,792,782,366,601,365,"1,513","1,575",736,"1,208","2,154"
2021,5,60,"11,450",903,562,662,440,595,483,785,588,718,575,"1,085","1,094",710,931,"1,319"
2021,5,70,"7,392",512,411,524,341,415,273,540,473,593,445,581,609,426,544,705
2021,5,80,"5,381",414,358,433,256,311,213,463,384,417,390,367,361,216,346,452
2021,5,90,"1,003",69,54,77,43,67,40,81,65,79,57,80,81,44,62,104
2021,5,100,37,2,5,1,2,1,1,2,3,1,6,3,4,2,1,3
2021,6,총,"84,235","5,675","3,574","2,613","1,633","3,752","7,343","4,503","2,483","3,513","2,986","9,195","8,920","4,327","7,861","15,857"
2021,6,0,"7,377",327,234,63,24,287,"1,395",229,57,116,174,760,770,258,680,"2,003"
2021,6,10,"8,034",468,327,92,53,366,608,346,119,193,219,943,930,413,"1,006","1,951"
2021,6,20,"7,675",553,242,103,59,238,698,327,114,253,178,"1,098",829,467,854,"1,662"
2021,6,30,"9,728",467,276,93,57,337,"1,765",364,113,199,226,"1,202",982,380,824,"2,443"
2021,6,40,"12,938",757,526,177,107,504,"1,082",576,205,339,344,"1,565","1,669",677,"1,398","3,012"
2021,6,50,"13,129","1,201",577,387,249,624,783,779,366,596,369,"1,507","1,569",737,"1,210","2,175"
2021,6,60,"11,537",905,564,663,441,606,485,794,590,729,575,"1,084","1,113",709,936,"1,343"
2021,6,70,"7,395",514,411,522,341,417,274,539,472,593,446,585,610,424,542,705
2021,6,80,"5,377",408,357,432,256,307,212,467,380,413,390,369,364,215,350,457
2021,6,90,"1,010",73,54,80,44,66,40,80,66,81,59,79,80,45,60,103
2021,6,100,35,2,6,1,2,0,1,2,1,1,6,3,4,2,1,3
2021,7,총,"84,322","5,663","3,560","2,615","1,634","3,766","7,359","4,509","2,484","3,511","2,975","9,115","8,906","4,318","7,830","16,077"
2021,7,0,"7,370",326,234,63,23,294,"1,398",226,56,117,173,738,766,254,681,"2,021"
2021,7,10,"8,036",466,321,95,54,359,610,349,119,195,216,939,933,405,998,"1,977"
2021,7,20,"7,658",548,237,99,58,240,699,325,114,245,177,"1,088",817,471,864,"1,676"
2021,7,30,"9,694",473,275,94,61,338,"1,765",357,110,194,223,"1,162",978,373,811,"2,480"
2021,7,40,"12,942",749,519,175,106,510,"1,082",581,204,337,345,"1,561","1,668",671,"1,387","3,047"
2021,7,50,"13,146","1,195",580,385,251,622,782,775,364,599,364,"1,497","1,567",734,"1,202","2,229"
2021,7,60,"11,625",907,564,670,443,612,495,803,594,734,574,"1,097","1,107",718,936,"1,371"
2021,7,70,"7,393",517,411,517,340,415,273,545,473,591,443,577,612,427,542,710
2021,7,80,"5,414",408,358,436,255,308,214,467,382,417,397,374,371,217,349,461
2021,7,90,"1,009",72,54,80,42,68,40,79,67,81,57,79,83,46,58,103
2021,7,100,35,2,7,1,1,0,1,2,1,1,6,3,4,2,2,2
2021,8,총,"84,355","5,649","3,557","2,618","1,647","3,751","7,371","4,513","2,480","3,513","2,957","9,104","8,918","4,300","7,801","16,176"
2021,8,0,"7,364",324,228,65,22,290,"1,406",223,57,116,173,733,764,250,684,"2,029"
2021,8,10,"8,031",465,315,94,55,364,609,350,119,197,212,936,926,401,989,"1,999"
2021,8,20,"7,645",534,236,99,58,240,691,323,113,248,176,"1,097",829,470,854,"1,677"
2021,8,30,"9,681",470,274,95,61,335,"1,781",353,111,192,224,"1,150",972,367,806,"2,490"
2021,8,40,"12,920",745,513,173,108,505,"1,076",582,203,334,339,"1,565","1,662",671,"1,372","3,072"
2021,8,50,"13,185","1,189",584,382,256,618,782,787,359,597,362,"1,491","1,586",736,"1,211","2,245"
2021,8,60,"11,653",912,572,670,445,611,497,801,598,735,566,"1,098","1,110",713,936,"1,389"
2021,8,70,"7,405",524,415,526,340,413,277,550,467,587,443,574,609,432,539,709
2021,8,80,"5,420",410,356,434,259,307,210,463,386,424,400,373,375,213,347,463
2021,8,90,"1,015",74,57,79,42,67,41,79,66,82,56,84,81,45,61,101
2021,8,100,36,2,7,1,1,1,1,2,1,1,6,3,4,2,2,2
2021,9,총,"84,469","5,660","3,560","2,613","1,649","3,764","7,375","4,496","2,483","3,515","2,939","9,106","8,901","4,323","7,794","16,291"
2021,9,0,"7,334",321,227,65,23,289,"1,407",220,56,114,176,727,748,257,671,"2,033"
2021,9,10,"8,038",467,314,93,55,373,607,341,120,201,206,938,921,395,986,"2,021"
2021,9,20,"7,656",533,231,98,56,247,682,320,116,247,176,"1,108",821,477,855,"1,689"
