년도,월,나이,구로구,신도림동,구로제1동,구로제2동,구로제3동,구로제4동,구로제5동,가리봉동,고척제1동,고척제2동,개봉제1동,개봉제2동,개봉제3동,오류제1동,오류제2동,수궁동,항동
2021,7,20,"26,727","2,016","1,294","1,650","2,093","1,325","2,216",829,"1,653","1,793","2,338","1,903","1,294","1,800","2,201","1,571",751
2021,7,30,"31,462","2,902","1,867","1,576","2,687","1,500","2,764",731,"1,457","1,589","2,662","2,157","1,377","2,294","2,478","1,644","1,777"
2021,7,40,"31,685","3,178","1,816","1,778","2,189","1,436","2,103",608,"1,731","2,090","2,509","2,434","1,587","1,651","3,233","1,835","1,507"
2021,7,50,"30,823","2,486","1,405","2,407","1,609","1,732","2,271","1,043","1,889","2,313","2,850","2,324","1,603","1,517","2,702","1,851",821
2021,7,60,"26,989","1,970","1,262","1,969","1,216","1,375","1,886",874,"1,705","2,027","2,543","2,328","1,623","1,446","2,297","1,779",689
2021,7,70,"15,072","1,011",496,"1,160",721,959,961,395,943,"1,090","1,383","1,448",866,889,"1,490",921,339
2021,7,80,"4,799",294,147,431,230,354,332,130,257,373,444,395,278,294,493,266,81
2021,7,90,370,20,17,24,22,26,25,11,21,29,36,35,19,17,39,18,11
2021,7,100,13,2,1,0,0,0,0,1,1,0,1,3,1,0,1,2,0
2021,8,총,"196,249","17,396","10,244","12,122","12,080","9,639","14,246","4,894","11,222","13,263","16,949","15,162","9,880","11,081","18,398","11,671","8,002"
2021,8,0,"13,503","1,761",906,429,651,408,904,121,626,850,"1,070","1,035",516,578,"1,499",736,"1,413"
2021,8,10,"15,081","1,786","1,024",725,668,532,785,151,952,"1,115","1,170","1,132",727,609,"2,015","1,063",627
2021,8,20,"26,657","2,010","1,309","1,631","2,082","1,321","2,227",844,"1,646","1,784","2,336","1,877","1,297","1,789","2,199","1,558",747
2021,8,30,"31,279","2,869","1,855","1,577","2,675","1,499","2,754",729,"1,466","1,583","2,635","2,153","1,352","2,284","2,457","1,644","1,747"
2021,8,40,"31,591","3,171","1,819","1,762","2,195","1,430","2,108",605,"1,706","2,079","2,505","2,433","1,595","1,647","3,198","1,819","1,519"
2021,8,50,"30,793","2,495","1,412","2,414","1,604","1,725","2,248","1,046","1,887","2,318","2,830","2,311","1,600","1,516","2,701","1,867",819
2021,8,60,"27,062","1,986","1,258","1,969","1,228","1,385","1,896",866,"1,715","2,040","2,536","2,337","1,624","1,452","2,302","1,771",697
2021,8,70,"15,080","1,009",493,"1,157",721,959,967,393,939,"1,092","1,380","1,445",869,890,"1,495",928,343
2021,8,80,"4,824",289,148,434,235,355,333,128,264,372,450,401,280,299,492,264,80
2021,8,90,366,19,19,24,21,25,24,10,20,29,36,35,19,17,39,19,10
2021,8,100,13,1,1,0,0,0,0,1,1,1,1,3,1,0,1,2,0
2021,9,총,"196,027","17,427","10,226","12,084","12,096","9,613","14,202","4,880","11,190","13,243","16,903","15,127","9,877","11,038","18,429","11,672","8,020"
2021,9,0,"13,442","1,752",913,425,640,404,895,116,620,846,"1,072","1,026",516,576,"1,490",729,"1,422"
2021,9,10,"15,055","1,794","1,018",718,669,525,774,149,954,"1,113","1,153","1,126",723,601,"2,034","1,068",636
2021,9,20,"26,478","2,006","1,300","1,623","2,077","1,311","2,201",854,"1,627","1,772","2,320","1,864","1,283","1,760","2,204","1,544",732
2021,9,30,"31,197","2,874","1,840","1,579","2,676","1,503","2,768",734,"1,469","1,571","2,622","2,135","1,348","2,281","2,429","1,639","1,729"
2021,9,40,"31,566","3,177","1,813","1,746","2,212","1,417","2,097",603,"1,694","2,075","2,488","2,427","1,606","1,640","3,206","1,825","1,540"
2021,9,50,"30,847","2,505","1,414","2,413","1,611","1,728","2,238","1,036","1,888","2,329","2,836","2,320","1,595","1,527","2,712","1,871",824
2021,9,60,"27,100","1,996","1,263","1,957","1,231","1,388","1,893",864,"1,718","2,040","2,536","2,341","1,630","1,459","2,311","1,775",698
2021,9,70,"15,079","1,013",491,"1,160",722,957,978,389,935,"1,085","1,382","1,443",868,877,"1,498",935,346
2021,9,80,"4,878",290,154,438,237,355,335,124,264,381,456,407,287,300,503,265,82
2021,9,90,371,18,19,25,21,25,23,10,20,30,37,35,20,17,41,19,11
2021,9,100,14,2,1,0,0,0,0,1,1,1,1,3,1,0,1,2,0
2021,10,총,"195,909","17,485","10,221","12,067","12,065","9,594","14,213","4,888","11,177","13,215","16,882","15,124","9,859","11,015","18,441","11,630","8,033"
2021,10,0,"13,403","1,757",910,430,632,403,896,120,627,828,"1,066","1,026",509,569,"1,486",724,"1,420"
2021,10,10,"15,001","1,799","1,017",703,672,525,763,151,939,"1,104","1,155","1,116",717,604,"2,030","1,061",645
2021,10,20,"26,435","2,023","1,292","1,628","2,064","1,291","2,206",866,"1,626","1,776","2,298","1,856","1,291","1,736","2,214","1,538",730
2021,10,30,"31,134","2,892","1,840","1,577","2,672","1,516","2,767",734,"1,459","1,572","2,619","2,136","1,345","2,280","2,396","1,626","1,703"
2021,10,40,"31,496","3,187","1,812","1,742","2,198","1,398","2,099",600,"1,693","2,058","2,482","2,411","1,588","1,637","3,219","1,813","1,559"
2021,10,50,"30,903","2,513","1,410","2,402","1,617","1,734","2,240","1,030","1,881","2,333","2,842","2,332","1,609","1,528","2,725","1,881",826
2021,10,60,"27,135","1,986","1,274","1,958","1,227","1,387","1,896",867,"1,723","2,046","2,538","2,350","1,628","1,460","2,317","1,768",710
2021,10,70,"15,082","1,008",492,"1,155",722,957,985,384,941,"1,080","1,386","1,444",860,882,"1,511",930,345
2021,10,80,"4,933",298,153,447,240,361,337,125,267,387,455,414,291,304,501,269,84
2021,10,90,373,20,20,25,21,22,24,10,20,30,40,36,20,15,41,18,11
2021,10,100,14,2,1,0,0,0,0,1,1,1,1,3,1,0,1,2,0
2021,11,총,"195,741","17,518","10,219","12,047","12,074","9,563","14,185","4,894","11,144","13,204","16,852","15,096","9,862","10,992","18,475","11,602","8,014"
2021,11,0,"13,319","1,751",899,425,629,395,890,122,623,824,"1,062","1,018",510,565,"1,475",716,"1,415"
2021,11,10,"15,010","1,820","1,023",705,677,518,756,150,941,"1,094","1,147","1,125",709,601,"2,035","1,062",647
2021,11,20,"26,367","2,018","1,292","1,622","2,064","1,296","2,203",875,"1,607","1,773","2,283","1,830","1,301","1,724","2,220","1,535",724
2021,11,30,"31,095","2,899","1,837","1,574","2,678","1,513","2,781",746,"1,443","1,578","2,616","2,134","1,344","2,276","2,388","1,609","1,679"
2021,11,40,"31,439","3,202","1,803","1,731","2,196","1,389","2,080",588,"1,691","2,050","2,473","2,408","1,595","1,637","3,217","1,811","1,568"
2021,11,50,"30,888","2,519","1,417","2,404","1,614","1,737","2,234","1,022","1,883","2,334","2,828","2,316","1,598","1,530","2,748","1,872",832
2021,11,60,"27,146","1,976","1,275","1,952","1,231","1,381","1,892",871,"1,722","2,047","2,553","2,361","1,628","1,458","2,322","1,771",706
2021,11,70,"15,119","1,011",498,"1,157",719,951,981,383,945,"1,082","1,391","1,451",862,884,"1,519",936,349
2021,11,80,"4,965",300,154,451,247,361,343,128,265,391,455,415,293,302,509,268,83
2021,11,90,381,20,20,26,19,22,25,9,23,30,43,35,21,15,42,20,11
2021,11,100,12,2,1,0,0,0,0,0,1,1,1,3,1,0,0,2,0
2021,12,총,"195,537","17,517","10,196","12,016","12,087","9,534","14,185","4,900","11,119","13,205","16,854","15,051","9,831","10,945","18,495","11,591","8,011"
2021,12,0,"13,255","1,742",897,415,615,390,886,120,616,829,"1,068","1,020",513,563,"1,457",714,"1,410"
2021,12,10,"14,989","1,811","1,018",708,682,512,749,152,937,"1,092","1,150","1,119",700,600,"2,049","1,062",648
2021,12,20,"26,291","2,011","1,282","1,615","2,088","1,296","2,193",892,"1,598","1,764","2,277","1,814","1,297","1,704","2,210","1,528",722
2021,12,30,"31,131","2,913","1,833","1,579","2,686","1,510","2,799",764,"1,447","1,580","2,611","2,128","1,343","2,266","2,395","1,610","1,667"
2021,12,40,"31,333","3,196","1,793","1,709","2,176","1,382","2,085",582,"1,679","2,054","2,463","2,407","1,574","1,631","3,220","1,812","1,570"
2021,12,50,"30,859","2,524","1,418","2,395","1,635","1,719","2,230","1,005","1,885","2,328","2,826","2,309","1,589","1,537","2,761","1,864",834
2021,12,60,"27,124","1,977","1,282","1,954","1,215","1,389","1,893",866,"1,716","2,055","2,558","2,345","1,626","1,449","2,321","1,765",713
2021,12,70,"15,156","1,014",497,"1,161",721,950,985,380,949,"1,077","1,399","1,452",871,875,"1,527",943,355
2021,12,80,"5,002",307,154,454,249,364,339,130,269,394,460,415,295,306,513,271,82
2021,12,90,385,20,21,26,20,22,26,9,22,31,41,39,22,14,42,20,10
2021,12,100,12,2,1,0,0,0,0,0,1,1,1,3,1,0,0,2,0
