년도,월,나이,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동,충청남도 보령시 원산도출장소
2021,11,100,6,0,0,0,0,,0,0,0,2,1,0,0,0,0,0,1,2,0,0
2021,12,총,"49,933","3,044",855,"1,138",859,,"1,773","1,300","1,940","2,566","1,194",873,"1,073","2,727","7,076","3,394","8,128","8,129","3,262",602
2021,12,0,"2,852",65,13,14,24,,49,35,57,77,21,16,40,77,492,210,769,771,110,12
2021,12,10,"4,150",142,41,57,55,,91,60,101,124,49,38,60,165,699,317,976,959,183,33
2021,12,20,"5,348",228,129,77,79,,125,81,149,203,61,52,83,294,946,390,"1,065","1,045",296,45
2021,12,30,"4,823",193,38,75,55,,127,84,112,158,53,31,74,212,835,398,"1,035",994,310,39
2021,12,40,"7,290",327,91,148,128,,195,126,209,252,111,93,158,388,"1,076",561,"1,545","1,359",456,67
2021,12,50,"8,916",572,160,236,179,,312,237,352,510,201,140,208,509,"1,236",595,"1,276","1,401",662,130
2021,12,60,"8,844",790,218,261,196,,423,302,487,632,301,245,241,562,"1,009",473,899,963,703,139
2021,12,70,"5,133",473,122,174,96,,296,234,305,397,221,156,152,343,545,288,407,468,367,89
2021,12,80,"2,348",225,39,88,43,,144,126,159,190,152,91,54,162,220,153,146,152,160,44
2021,12,90,225,29,4,8,4,,11,15,9,22,23,11,3,15,18,9,10,15,15,4
2021,12,100,4,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,2,0,0
