년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,11,0,"10,803",309,337,726,683,598,290,624,532,"1,006",578,583,386,377,448,536,636,299,964,239,652
2020,11,10,"12,772",303,233,931,875,788,286,603,604,954,"1,000","1,028",352,461,641,723,487,426,"1,267",247,563
2020,11,20,"25,876","1,504",940,"1,120","1,243","1,468","1,197","2,018","1,589","1,317","1,131","1,591",635,688,"1,754","1,136","1,451",859,"1,934","1,077","1,224"
2020,11,30,"24,470","1,310",957,"1,202","1,276","1,231","1,092","2,034","1,500","1,510",896,"1,228",839,678,"1,235",959,"1,404",652,"1,704","1,131","1,632"
2020,11,40,"26,067",976,784,"1,592","1,591","1,485",889,"1,437","1,452","1,920","1,406","1,696",762,916,"1,450","1,202","1,265",778,"2,138",801,"1,527"
2020,11,50,"28,423","1,383",741,"1,512","1,760","1,713",842,"1,323","1,469","1,825","1,687","2,108",702,"1,099","1,689","1,389","1,268",953,"2,528",876,"1,556"
2020,11,60,"26,262","1,220",649,"1,528","1,867","1,426",753,"1,126","1,504","1,542","1,288","1,917",727,920,"1,580","1,357",969,910,"2,433",806,"1,740"
2020,11,70,"14,001",606,262,892,"1,194",724,438,639,918,891,671,905,416,469,871,798,568,504,974,390,871
2020,11,80,"4,626",192,79,306,393,275,158,239,351,235,194,313,144,144,259,250,170,164,337,142,281
2020,11,90,361,17,13,33,23,20,12,25,16,25,15,28,10,7,15,25,9,10,18,15,25
2020,11,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020,12,총,"173,920","7,818","4,970","9,887","10,887","9,720","5,960","10,482","9,929","11,284","8,836","11,361","4,984","5,723","9,869","8,360","8,228","5,528","14,250","5,713","10,131"
2020,12,0,"10,780",310,337,726,683,587,293,683,510,"1,003",583,574,383,367,437,524,643,297,952,237,651
2020,12,10,"12,741",299,226,939,867,783,286,628,605,954,992,"1,016",355,460,633,718,486,424,"1,259",245,566
