년도,월,나이,동구,중앙동,효동,신인동,판암1동,판암2동,용운동,대동,자양동,가양1동,가양2동,용전동,성남동,홍도동,삼성동,대청동,산내동
2021,9,70,"10,519",401,889,655,696,764,781,613,483,726,780,730,648,487,820,172,874
2021,9,80,"5,598",200,399,332,399,482,397,356,230,364,411,347,330,248,422,175,506
2021,9,90,867,29,81,45,54,82,66,55,37,42,65,48,60,43,54,26,80
2021,9,100,32,1,2,1,1,0,3,3,3,3,4,2,3,0,0,0,6
2021,10,총,"110,760","2,014","12,571","6,172","6,333","4,362","10,910","7,488","5,030","6,683","9,134","10,031","6,083","5,485","6,957","1,167","10,340"
2021,10,0,"6,923",60,"1,166",420,335,121,785,643,179,393,431,497,394,239,381,32,847
2021,10,10,"9,488",71,"1,596",395,462,168,929,676,382,528,827,710,461,386,569,70,"1,258"
2021,10,20,"14,306",133,"1,192",657,682,334,"1,581",831,"1,290",880,"1,426","1,954",614,"1,042",659,83,948
2021,10,30,"11,702",155,"1,392",722,680,283,"1,393",919,411,630,842,"1,295",680,570,623,54,"1,053"
2021,10,40,"16,060",166,"2,434",816,868,413,"1,565","1,184",517,913,"1,268","1,456",809,689,982,104,"1,876"
2021,10,50,"17,568",300,"1,804","1,020","1,090",690,"1,823","1,154",712,"1,067","1,620","1,574","1,012",890,"1,175",193,"1,444"
2021,10,60,"17,651",498,"1,612","1,107","1,056","1,025","1,588","1,044",786,"1,139","1,454","1,414","1,065",886,"1,268",259,"1,450"
2021,10,70,"10,529",396,890,660,700,764,779,620,482,723,783,736,652,482,820,170,872
2021,10,80,"5,628",204,402,329,405,482,398,359,231,365,413,343,331,257,425,174,510
2021,10,90,874,30,81,45,54,82,66,55,37,42,66,50,62,44,55,28,77
2021,10,100,31,1,2,1,1,0,3,3,3,3,4,2,3,0,0,0,5
2021,11,총,"110,630","2,009","12,577","6,149","6,328","4,363","10,914","7,495","5,014","6,676","9,139","10,025","6,052","5,513","6,928","1,165","10,283"
2021,11,0,"6,872",60,"1,155",415,332,121,789,649,173,384,423,490,391,236,388,32,834
2021,11,10,"9,442",71,"1,601",396,450,168,922,675,377,524,817,707,459,385,572,69,"1,249"
2021,11,20,"14,288",131,"1,186",653,690,332,"1,579",832,"1,281",877,"1,445","1,947",611,"1,050",645,83,946
2021,11,30,"11,679",153,"1,391",721,681,289,"1,389",919,406,628,842,"1,300",668,579,626,52,"1,035"
2021,11,40,"16,017",165,"2,439",807,860,411,"1,569","1,171",517,912,"1,269","1,453",814,689,970,103,"1,868"
2021,11,50,"17,560",296,"1,803","1,009","1,094",692,"1,821","1,166",725,"1,069","1,622","1,573","1,002",896,"1,164",193,"1,435"
2021,11,60,"17,694",497,"1,624","1,113","1,065","1,025","1,595","1,048",778,"1,150","1,456","1,411","1,064",887,"1,267",256,"1,458"
2021,11,70,"10,526",399,889,661,697,761,784,621,484,720,781,743,647,487,811,174,867
2021,11,80,"5,648",204,408,328,407,482,400,356,231,366,414,350,333,258,426,174,511
2021,11,90,873,32,79,45,51,82,63,55,39,43,66,49,60,46,59,29,75
2021,11,100,31,1,2,1,1,0,3,3,3,3,4,2,3,0,0,0,5
2021,12,총,"110,269","1,999","12,573","6,142","6,319","4,366","10,889","7,450","5,026","6,649","9,092","9,974","6,013","5,467","6,918","1,163","10,229"
2021,12,0,"6,808",61,"1,145",409,336,122,796,629,180,379,409,497,372,231,388,34,820
2021,12,10,"9,387",71,"1,606",396,443,169,913,673,369,518,816,708,462,373,568,68,"1,234"
2021,12,20,"14,228",128,"1,181",650,686,328,"1,573",826,"1,285",878,"1,447","1,930",603,"1,046",642,81,944
2021,12,30,"11,597",153,"1,376",714,685,294,"1,374",903,416,623,830,"1,287",664,576,621,53,"1,028"
2021,12,40,"15,935",166,"2,447",807,852,410,"1,565","1,169",516,903,"1,267","1,432",800,679,965,103,"1,854"
2021,12,50,"17,518",288,"1,803","1,013","1,090",689,"1,814","1,167",725,"1,066","1,609","1,573","1,004",891,"1,166",190,"1,430"
2021,12,60,"17,703",496,"1,638","1,111","1,064","1,023","1,596","1,057",779,"1,149","1,448","1,409","1,069",884,"1,267",257,"1,456"
2021,12,70,"10,514",397,883,666,692,757,791,618,489,718,776,740,648,483,810,174,872
2021,12,80,"5,665",204,408,329,417,489,399,352,225,367,420,350,329,258,430,175,513
2021,12,90,886,33,84,46,53,85,66,54,39,45,66,46,60,46,61,28,74
2021,12,100,28,2,2,1,1,0,2,2,3,3,4,2,2,0,0,0,4
