년도,월,나이,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021,11,80,"4,566",551,185,141,154,171,256,179,146,195,253,258,262,213,244,198,369,253,253,285
2021,11,90,856,119,32,28,50,45,55,26,35,39,52,65,30,25,36,23,62,42,37,55
2021,11,100,49,10,0,2,1,5,3,4,2,0,1,4,4,5,2,1,2,1,0,2
2021,12,총,"51,351","5,271","1,108",697,943,"1,060","1,476","1,325",992,928,"1,501","3,724","3,141","1,988","2,554","3,284","4,976","3,828","7,601","4,954"
2021,12,0,"2,746",205,31,8,20,22,35,35,12,11,19,197,161,53,87,219,239,183,849,360
2021,12,10,"4,115",329,41,26,39,49,57,60,30,22,52,402,283,137,151,386,317,300,947,487
2021,12,20,"3,963",341,60,22,57,59,65,56,41,28,52,277,244,125,155,286,486,341,767,501
2021,12,30,"3,752",325,53,18,38,40,53,51,31,32,50,242,205,116,160,230,324,264,"1,022",498
2021,12,40,"6,521",536,72,29,61,64,91,99,55,49,63,592,413,209,265,565,570,489,"1,479",820
2021,12,50,"8,371",861,184,117,143,159,223,221,169,151,228,634,530,280,409,592,896,763,"1,023",788
2021,12,60,"9,946","1,206",278,164,209,250,369,367,286,216,439,619,586,483,610,476,"1,047",781,815,745
2021,12,70,"6,454",791,172,143,170,195,267,225,185,184,291,433,420,344,432,308,659,414,410,411
2021,12,80,"4,584",548,185,142,151,171,257,180,146,196,255,262,267,214,246,198,372,251,254,289
2021,12,90,857,119,32,27,54,46,56,28,35,39,51,62,30,25,37,23,64,41,34,54
2021,12,100,42,10,0,1,1,5,3,3,2,0,1,4,2,2,2,1,2,1,1,1
