년도,월,나이,용산구,후암동,용산2가동,남영동,청파동,원효로제1동,원효로제2동,효창동,용문동,한강로동,이촌제1동,이촌제2동,이태원제1동,이태원제2동,한남동,서빙고동,보광동
2021,5,10,"15,206","1,208",510,260,"1,129",876,"1,215",731,780,986,"2,880",516,261,467,"1,175","1,453",759
2021,5,20,"33,675","2,521","1,523",948,"4,226","2,472","1,884","1,575","1,812","3,736","2,920",899,"1,088","1,414","2,702","1,784","2,171"
2021,5,30,"38,237","2,773","1,702","1,054","3,153","3,655","2,100","1,870","2,001","4,700","3,547","1,417","1,110","1,667","3,878","1,501","2,109"
2021,5,40,"35,010","2,707","1,328","1,074","2,658","2,620","2,250","1,540","1,779","2,916","4,845","1,235",851,"1,420","3,356","2,407","2,024"
2021,5,50,"36,615","2,763","1,419","1,614","3,054","2,198","2,321","1,606","1,963","3,477","4,592","1,368","1,048","1,270","3,214","2,257","2,451"
2021,5,60,"28,945","2,234","1,413","1,385","2,387","1,647","1,751","1,081","1,538","2,642","3,047","1,360","1,000","1,201","2,796","1,463","2,000"
2021,5,70,"16,582","1,285",903,668,"1,464",804,"1,012",652,973,"1,407","1,770",732,546,818,"1,565",785,"1,198"
2021,5,80,"8,539",596,443,298,678,354,551,343,396,701,"1,197",365,316,428,716,600,557
2021,5,90,"1,404",107,76,55,88,56,64,54,62,109,222,56,68,73,141,95,78
2021,5,100,103,10,2,19,3,6,5,3,4,8,6,3,7,2,17,3,5
2021,6,총,"226,378","17,128","9,576","7,383","19,521","15,954","13,883","10,150","12,010","21,694","27,615","8,454","6,506","9,058","20,624","13,082","13,740"
2021,6,0,"13,157",917,331,176,661,"1,287",893,756,728,"1,210","2,673",536,224,412,"1,153",767,433
2021,6,10,"15,144","1,205",502,257,"1,118",878,"1,214",724,777,995,"2,869",507,258,464,"1,171","1,452",753
2021,6,20,"33,605","2,515","1,512",942,"4,225","2,465","1,880","1,563","1,802","3,792","2,911",891,"1,092","1,405","2,682","1,769","2,159"
2021,6,30,"38,161","2,787","1,689","1,044","3,161","3,653","2,104","1,871","1,996","4,717","3,501","1,405","1,112","1,650","3,870","1,495","2,106"
2021,6,40,"34,772","2,697","1,299","1,056","2,662","2,614","2,227","1,537","1,764","2,878","4,824","1,231",845,"1,403","3,340","2,395","2,000"
2021,6,50,"36,432","2,761","1,404","1,580","3,070","2,198","2,278","1,583","1,967","3,426","4,590","1,357","1,046","1,259","3,210","2,246","2,457"
2021,6,60,"28,855","2,246","1,415","1,362","2,395","1,642","1,730","1,081","1,548","2,582","3,057","1,367",994,"1,173","2,777","1,479","2,007"
2021,6,70,"16,330","1,286",905,639,"1,459",808,974,648,961,"1,317","1,751",735,542,797,"1,548",774,"1,186"
2021,6,80,"8,457",597,442,275,677,350,521,334,401,667,"1,210",363,316,427,716,605,556
