년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2020,11,100,12,3,3,1,1,1,1,0,2,0,0,0,,
2020,12,총,"177,240","17,830","17,982","20,855","11,017","12,244","18,591","13,551","13,939","14,286","14,847","22,098",,
2020,12,0,"17,980","1,653",795,"1,753","1,182","1,268","2,564","1,540","1,402","1,326","1,677","2,820",,
2020,12,10,"19,752","1,812",763,"1,667","1,574","1,780","2,348","1,528","1,636","1,592","2,367","2,685",,
2020,12,20,"28,314","2,430","4,258","4,918","1,468","1,637","1,998","2,269","2,412","2,370","1,973","2,581",,
2020,12,30,"29,156","2,314","3,882","3,509","1,579","1,545","3,058","2,820","2,416","2,238","2,066","3,729",,
2020,12,40,"29,737","3,079","2,332","2,801","2,083","2,248","3,608","2,118","2,082","2,413","2,849","4,124",,
2020,12,50,"26,996","3,142","2,776","2,833","1,678","2,040","2,554","1,819","2,195","2,414","2,413","3,132",,
2020,12,60,"16,723","2,174","2,059","2,261",875,"1,033","1,616","1,004","1,293","1,251","1,093","2,064",,
2020,12,70,"6,215",899,782,809,401,479,638,332,342,471,321,741,,
2020,12,80,"2,109",300,286,268,159,195,187,108,129,191,77,209,,
2020,12,90,246,24,46,35,17,18,19,13,30,20,11,13,,
2020,12,100,12,3,3,1,1,1,1,0,2,0,0,0,,
2021,1,총,"177,175","17,818","18,045","20,836","11,003","12,201","18,558","13,660","13,898","14,272","14,843","22,041",,
2021,1,0,"17,856","1,640",800,"1,753","1,173","1,250","2,533","1,563","1,377","1,311","1,669","2,787",,
2021,1,10,"19,724","1,825",757,"1,652","1,557","1,786","2,364","1,517","1,630","1,586","2,370","2,680",,
2021,1,20,"28,290","2,421","4,276","4,910","1,473","1,621","1,987","2,282","2,400","2,379","1,971","2,570",,
2021,1,30,"29,145","2,293","3,901","3,501","1,585","1,524","3,025","2,908","2,422","2,214","2,072","3,700",,
2021,1,40,"29,733","3,091","2,341","2,800","2,089","2,243","3,613","2,109","2,074","2,403","2,833","4,137",,
2021,1,50,"26,890","3,114","2,746","2,821","1,672","2,036","2,538","1,813","2,191","2,432","2,418","3,109",,
2021,1,60,"16,902","2,199","2,096","2,277",882,"1,043","1,644","1,015","1,296","1,264","1,103","2,083",,
2021,1,70,"6,253",902,797,815,396,485,643,330,348,468,322,747,,
2021,1,80,"2,120",305,283,271,159,193,191,109,127,194,74,214,,
