년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021,1,90,915,52,47,48,28,39,38,26,39,33,45,45,36,28,19,30,51,20,100,39,32,45,25,50
2021,1,100,94,8,5,1,1,2,2,1,1,3,1,5,2,3,1,0,14,2,12,14,6,2,4,4
2021,2,총,"54,654","2,824","2,128","1,430","1,017","1,400",909,894,"1,070","1,295","1,749","1,386",838,"1,131",606,"1,048","8,633","1,520","10,696","1,759","5,259","3,042","2,123","1,897"
2021,2,0,"3,041",125,93,30,24,36,19,19,19,36,30,24,25,48,17,30,691,80,800,72,442,225,94,62
2021,2,10,"4,506",143,124,65,32,66,33,44,37,57,77,28,32,52,23,46,938,141,"1,356",133,572,255,147,105
2021,2,20,"4,723",168,169,72,42,44,48,58,44,66,105,57,38,63,28,54,971,155,"1,180",151,548,291,184,187
2021,2,30,"4,126",158,142,59,44,69,30,28,41,63,60,64,35,38,16,37,904,113,976,124,551,311,137,126
2021,2,40,"6,995",280,204,97,69,83,55,73,68,86,132,70,48,97,33,74,"1,540",227,"1,815",175,921,430,237,181
2021,2,50,"8,472",413,373,224,139,191,107,151,134,181,238,172,120,156,104,133,"1,413",249,"1,695",268,853,477,382,299
2021,2,60,"8,635",513,386,276,202,295,195,179,208,258,369,343,160,206,123,212,"1,024",199,"1,335",339,649,455,385,324
2021,2,70,"7,602",561,317,291,228,316,207,159,245,273,362,307,185,237,144,234,692,201,896,305,448,376,301,317
2021,2,80,"5,534",403,268,267,208,258,175,153,235,239,328,270,157,202,100,197,394,132,532,138,238,175,226,239
2021,2,90,925,52,46,47,28,40,38,28,38,33,47,47,36,29,18,31,52,21,99,40,31,45,26,53
2021,2,100,95,8,6,2,1,2,2,2,1,3,1,4,2,3,0,0,14,2,12,14,6,2,4,4
2021,3,총,"54,220","2,776","2,112","1,419","1,011","1,388",902,884,"1,053","1,295","1,727","1,393",829,"1,127",607,"1,040","8,550","1,501","10,634","1,708","5,228","3,001","2,134","1,901"
2021,3,0,"3,033",124,95,29,24,37,19,18,19,34,30,24,26,47,17,30,688,78,793,73,450,226,94,58
2021,3,10,"4,493",145,125,64,32,62,35,43,36,60,71,27,31,52,24,48,931,143,"1,358",131,573,248,150,104
2021,3,20,"4,655",163,167,71,43,44,49,57,41,63,101,58,36,60,29,55,954,150,"1,165",145,545,281,187,191
2021,3,30,"4,065",153,141,59,45,66,30,28,41,64,59,64,34,36,15,37,892,111,959,121,549,300,140,121
2021,3,40,"6,926",265,198,98,65,82,53,70,62,86,129,69,47,99,32,69,"1,528",223,"1,819",169,917,427,238,181
2021,3,50,"8,401",406,368,222,133,185,107,147,131,182,233,176,115,156,102,129,"1,413",245,"1,677",271,856,466,379,302
2021,3,60,"8,652",510,385,275,204,299,191,182,208,258,368,343,162,206,126,212,"1,012",200,"1,350",339,644,458,389,331
2021,3,70,"7,503",548,312,289,222,312,206,157,241,273,359,311,184,236,143,230,689,195,886,289,432,376,300,313
2021,3,80,"5,522",404,271,264,214,258,172,154,238,238,329,271,157,202,101,197,383,134,527,133,233,173,225,244
2021,3,90,916,54,45,46,28,42,38,26,35,34,47,46,35,30,17,33,52,21,97,36,28,45,28,53
2021,3,100,54,4,5,2,1,1,2,2,1,3,1,4,2,3,1,0,8,1,3,1,1,1,4,3
2021,4,총,"54,116","2,766","2,098","1,420","1,007","1,387",895,885,"1,050","1,299","1,714","1,391",830,"1,124",606,"1,034","8,515","1,507","10,606","1,717","5,230","3,005","2,132","1,898"
2021,4,0,"3,009",120,94,27,24,37,19,19,20,33,30,25,26,47,17,29,682,77,786,76,445,224,95,57
2021,4,10,"4,459",143,126,65,33,62,35,42,33,61,67,26,30,50,24,49,920,143,"1,349",128,574,250,145,104
2021,4,20,"4,640",164,157,72,41,46,48,55,41,62,98,58,38,59,28,54,947,152,"1,161",146,551,277,195,190
2021,4,30,"4,053",151,139,59,44,68,30,30,42,64,59,62,34,35,15,37,894,115,943,125,542,302,139,124
2021,4,40,"6,912",264,201,99,63,84,53,70,63,89,125,68,47,99,32,70,"1,520",224,"1,813",166,917,428,234,183
2021,4,50,"8,360",402,361,214,131,182,106,147,129,181,235,174,110,155,103,124,"1,417",240,"1,676",275,858,461,379,300
2021,4,60,"8,696",515,389,286,203,300,186,182,210,262,364,346,166,205,126,210,"1,010",202,"1,363",341,645,462,390,333
2021,4,70,"7,484",544,310,288,226,306,207,156,239,273,358,312,184,235,139,228,685,197,883,285,435,382,300,312
2021,4,80,"5,534",405,272,262,213,257,172,154,239,237,330,270,155,204,104,198,381,135,532,138,235,173,223,245
2021,4,90,914,54,44,46,28,44,37,28,33,34,46,46,38,32,17,35,51,21,97,36,27,45,28,47
2021,4,100,55,4,5,2,1,1,2,2,1,3,2,4,2,3,1,0,8,1,3,1,1,1,4,3
