년도,월,나이,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021,6,40,"10,125",476,189,186,126,147,228,172,182,120,113,121,60,67,84,47,485,469,216,"1,970","1,430",932,"2,305"
2021,6,50,"12,326",749,330,336,250,325,399,314,375,200,225,298,150,124,197,127,589,664,359,"2,139","1,771",994,"1,411"
2021,6,60,"11,319",785,343,389,325,465,489,420,438,226,294,374,212,188,260,157,694,704,397,"1,422","1,458",712,567
2021,6,70,"5,849",383,183,212,170,244,291,229,200,135,165,229,115,88,173,62,449,428,288,591,714,329,171
2021,6,80,"2,740",182,122,109,73,143,137,87,109,81,82,114,73,55,98,45,173,221,141,251,305,98,41
2021,6,90,268,19,14,10,11,17,11,16,7,6,8,19,12,7,9,4,13,10,14,25,21,10,5
2021,6,100,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,7,총,"70,335","3,556","1,596","1,598","1,225","1,645","2,041","1,601","1,739","1,009","1,117","1,389",770,621,"1,158",498,"3,376","3,694","1,910","12,592","10,141","5,630","11,429"
2021,7,0,"5,242",176,59,40,31,43,87,44,45,41,26,32,21,15,33,5,105,107,73,"1,034",676,435,"2,114"
2021,7,10,"6,697",213,72,75,49,52,104,83,97,45,46,51,34,20,171,18,167,232,126,"1,662","1,423",603,"1,354"
2021,7,20,"8,053",292,150,143,108,114,185,131,175,78,76,85,48,31,71,28,372,458,163,"2,059","1,345",786,"1,155"
2021,7,30,"7,687",275,126,108,85,91,110,113,109,77,74,70,45,29,63,9,337,408,134,"1,427",984,738,"2,275"
2021,7,40,"10,128",472,195,182,126,147,229,169,184,118,115,122,57,65,82,46,476,471,211,"1,974","1,434",933,"2,320"
2021,7,50,"12,262",750,327,326,247,320,399,308,370,198,224,292,154,125,194,125,587,652,360,"2,129","1,767",988,"1,420"
2021,7,60,"11,393",788,345,392,327,473,493,422,441,231,299,372,211,187,265,156,698,706,402,"1,437","1,469",710,569
2021,7,70,"5,861",387,187,212,168,241,288,230,202,134,166,234,114,87,172,63,443,429,286,595,715,331,177
2021,7,80,"2,741",183,122,110,73,146,135,86,109,81,82,112,73,55,98,45,178,220,141,250,305,97,40
2021,7,90,268,19,13,10,11,18,11,15,7,6,9,18,12,7,9,3,13,11,14,25,23,9,5
2021,7,100,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,8,총,"70,304","3,629","1,601","1,588","1,217","1,638","2,038","1,593","1,737","1,004","1,113","1,379",767,621,"1,152",501,"3,364","3,693","1,882","12,580","10,131","5,604","11,472"
2021,8,0,"5,207",185,56,39,29,42,88,43,44,42,26,31,18,15,32,5,104,106,70,"1,022",670,430,"2,110"
2021,8,10,"6,694",219,73,73,50,52,103,83,98,45,45,51,34,20,167,18,167,235,120,"1,646","1,420",601,"1,374"
2021,8,20,"8,012",309,151,135,109,113,183,128,171,77,75,78,48,31,72,28,374,453,156,"2,053","1,324",788,"1,156"
2021,8,30,"7,688",287,126,109,82,90,109,114,113,75,73,72,45,29,60,8,333,401,128,"1,428",991,733,"2,282"
2021,8,40,"10,115",476,199,177,125,145,228,167,183,119,116,121,55,63,82,48,474,478,209,"1,969","1,430",921,"2,330"
2021,8,50,"12,256",766,326,329,242,317,395,307,368,197,217,289,156,123,191,126,583,650,361,"2,143","1,768",979,"1,423"
2021,8,60,"11,440",801,346,394,325,476,494,422,443,229,304,373,212,192,267,157,696,706,400,"1,445","1,471",717,570
2021,8,70,"5,879",385,190,211,170,238,292,227,203,132,166,234,114,86,173,63,443,428,285,598,728,331,182
2021,8,80,"2,741",181,121,112,74,147,133,88,108,82,81,111,73,55,99,45,176,224,139,252,305,95,40
2021,8,90,269,19,13,9,11,18,13,14,6,6,10,18,11,7,9,3,14,12,14,24,24,9,5
2021,8,100,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,9,총,"70,263","3,682","1,601","1,590","1,223","1,629","2,034","1,592","1,735",996,"1,106","1,371",763,619,"1,147",499,"3,342","3,681","1,877","12,559","10,139","5,611","11,467"
2021,9,0,"5,198",188,55,39,32,43,85,44,45,39,27,28,16,15,32,5,101,104,66,"1,022",674,436,"2,102"
2021,9,10,"6,674",223,76,73,49,52,103,83,95,45,43,49,34,19,164,18,168,234,121,"1,629","1,416",597,"1,383"
2021,9,20,"7,959",324,151,135,112,111,179,123,166,77,77,77,49,31,71,29,362,454,152,"2,031","1,318",784,"1,146"
2021,9,30,"7,658",290,125,110,80,84,113,114,116,70,72,69,44,29,58,8,331,397,131,"1,422",988,738,"2,269"
2021,9,40,"10,115",477,197,174,126,146,227,170,180,118,111,123,53,63,83,49,471,473,211,"1,974","1,434",918,"2,337"
2021,9,50,"12,261",786,329,332,246,314,394,308,368,197,213,287,157,120,190,125,577,648,353,"2,145","1,768",977,"1,427"
2021,9,60,"11,477",806,344,393,322,475,493,421,443,229,305,374,212,194,266,155,695,705,404,"1,462","1,482",723,574
2021,9,70,"5,892",388,190,211,170,235,295,226,208,134,167,230,114,86,171,64,446,424,285,597,731,335,185
2021,9,80,"2,752",178,121,114,75,151,131,87,107,80,82,115,73,54,103,43,177,230,140,254,303,95,39
2021,9,90,274,21,13,9,11,18,14,16,7,7,9,18,10,8,9,3,14,12,14,23,25,8,5
2021,9,100,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,10,총,"70,298","3,734","1,599","1,589","1,225","1,622","2,034","1,592","1,734",996,"1,099","1,371",767,621,"1,141",502,"3,325","3,672","1,881","12,577","10,118","5,623","11,476"
2021,10,0,"5,184",190,54,39,31,42,83,43,46,39,26,28,17,15,31,5,100,104,66,"1,027",667,435,"2,096"
2021,10,10,"6,664",231,75,72,49,51,105,82,94,45,43,50,35,18,161,18,166,231,122,"1,620","1,403",596,"1,397"
2021,10,20,"7,937",321,152,134,109,110,177,124,168,79,72,76,50,29,71,28,371,455,147,"2,019","1,319",791,"1,135"
2021,10,30,"7,665",302,126,112,82,81,115,114,113,67,70,69,42,29,58,8,326,396,138,"1,438",986,736,"2,257"
2021,10,40,"10,112",487,196,170,127,144,227,171,177,117,111,119,57,63,81,49,465,477,211,"1,973","1,426",921,"2,343"
2021,10,50,"12,263",795,326,332,246,313,388,306,365,196,214,289,156,119,189,126,572,648,352,"2,149","1,770",972,"1,440"
2021,10,60,"11,520",820,346,395,320,472,497,419,446,232,305,374,213,198,270,157,686,704,404,"1,473","1,485",729,575
2021,10,70,"5,911",388,190,212,175,239,298,230,209,132,166,233,110,86,168,65,447,422,284,598,733,338,188
2021,10,80,"2,767",178,120,114,74,153,130,88,109,82,83,116,76,56,103,43,177,223,143,257,305,97,40
2021,10,90,272,21,14,9,12,17,14,15,7,7,9,16,10,8,9,3,15,12,14,23,24,8,5
2021,10,100,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,11,총,"70,260","3,772","1,607","1,589","1,226","1,609","2,042","1,584","1,732",995,"1,102","1,367",764,620,"1,138",499,"3,330","3,666","1,868","12,569","10,098","5,593","11,490"
2021,11,0,"5,163",190,54,39,31,41,83,42,48,39,26,27,17,14,30,5,100,102,63,"1,013",667,433,"2,099"
2021,11,10,"6,642",236,78,71,48,49,105,79,91,44,44,49,35,18,162,18,165,230,119,"1,605","1,400",588,"1,408"
2021,11,20,"7,932",318,152,127,109,108,178,125,166,76,72,77,49,27,72,27,373,457,148,"2,051","1,289",787,"1,144"
2021,11,30,"7,608",309,124,112,83,81,113,113,110,69,67,65,41,30,58,9,324,387,134,"1,437",992,721,"2,229"
2021,11,40,"10,109",495,204,168,126,144,228,169,176,117,110,115,57,62,81,48,468,475,206,"1,959","1,420",921,"2,360"
2021,11,50,"12,277",802,330,337,244,312,392,302,359,199,219,291,155,119,188,124,574,655,349,"2,147","1,770",969,"1,440"
2021,11,60,"11,556",828,341,396,320,468,503,421,457,233,304,377,213,200,269,158,684,706,407,"1,482","1,489",725,575
2021,11,70,"5,918",392,191,214,178,237,298,231,208,131,166,233,111,85,165,64,449,418,284,592,738,343,190
2021,11,80,"2,774",180,118,115,75,151,129,87,109,79,84,116,75,57,104,43,178,223,144,261,308,98,40
2021,11,90,277,21,15,10,12,18,13,15,8,8,10,16,9,8,9,3,15,13,14,22,25,8,5
2021,11,100,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2021,12,총,"70,305","3,899","1,616","1,588","1,229","1,611","2,052","1,579","1,725",997,"1,091","1,371",767,620,"1,140",494,"3,320","3,636","1,860","12,582","10,089","5,572","11,467"
2021,12,0,"5,145",197,52,38,31,40,83,41,46,41,25,27,17,15,29,5,94,99,65,"1,012",662,432,"2,094"
2021,12,10,"6,630",240,77,70,48,49,109,79,87,44,43,48,35,18,163,16,171,223,118,"1,599","1,397",591,"1,405"
2021,12,20,"7,900",343,156,122,111,108,177,121,165,78,67,78,49,27,70,26,367,452,149,"2,053","1,286",766,"1,129"
2021,12,30,"7,608",335,123,113,83,83,118,113,107,66,67,65,41,30,58,7,323,378,130,"1,446",998,719,"2,205"
2021,12,40,"10,107",511,207,167,125,143,225,167,170,118,108,116,57,59,81,46,461,473,208,"1,960","1,409",925,"2,371"
2021,12,50,"12,303",837,335,335,246,312,391,301,361,196,219,286,157,120,187,124,575,645,347,"2,149","1,770",958,"1,452"
2021,12,60,"11,576",829,343,396,313,469,508,418,459,234,305,380,214,200,271,159,684,707,406,"1,487","1,492",725,577
2021,12,70,"5,969",406,188,220,184,239,297,237,213,135,164,237,112,86,169,66,448,420,280,589,744,348,187
2021,12,80,"2,782",179,118,116,76,148,131,87,109,78,83,117,75,57,102,42,182,226,143,265,306,100,42
2021,12,90,283,22,17,11,12,20,13,15,8,7,10,16,9,8,10,3,15,13,14,22,25,8,5
2021,12,100,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
