년도,월,나이,양천구,목1동,목2동,목3동,목4동,목5동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정4동,신정6동,신정7동
2021,5,60,"28,360","1,439","1,859","1,426","1,332","2,137","1,854","1,513","1,368","1,306","1,064",814,"1,636","1,086","1,158","2,903","2,221","1,324","1,920"
2021,5,70,"13,618",648,814,643,673,939,891,839,621,662,505,370,793,511,483,"1,513","1,261",543,909
2021,5,80,"3,919",170,223,200,176,280,217,206,178,171,139,79,275,176,158,445,384,148,294
2021,5,90,394,23,22,20,18,43,15,15,9,20,8,5,19,22,18,42,29,31,35
2021,5,100,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021,6,총,"221,140","14,881","14,626","10,532","12,500","20,621","10,575","10,249","8,089","8,879","7,351","6,764","9,869","10,006","9,615","24,151","16,155","12,082","14,195"
2021,6,0,"15,754","1,441",854,662,633,"1,730",497,708,445,689,474,763,532,932,631,"1,889",843,"1,054",977
2021,6,10,"26,079","2,514","1,290",832,"1,749","4,067",654,880,567,848,674,591,669,"1,499","1,533","2,888","1,183","1,880","1,761"
2021,6,20,"29,849","1,610","2,411","1,656","2,194","2,274","1,369","1,330","1,066","1,123","1,075",791,"1,342","1,225","1,252","3,212","2,486","1,605","1,828"
2021,6,30,"28,000","1,353","2,667","1,951","1,359","1,680","1,496","1,488","1,056","1,164","1,077","1,277","1,391",873,853,"2,995","2,625","1,203","1,492"
2021,6,40,"37,181","3,070","2,210","1,502","1,973","3,948","1,608","1,658","1,208","1,533","1,131","1,101","1,493","1,889","1,711","4,078","2,536","2,125","2,407"
2021,6,50,"37,805","2,604","2,275","1,627","2,374","3,500","1,966","1,606","1,570","1,362","1,207",969,"1,706","1,786","1,811","4,164","2,567","2,162","2,549"
2021,6,60,"28,486","1,443","1,860","1,429","1,342","2,162","1,863","1,518","1,371","1,304","1,064",817,"1,647","1,087","1,159","2,921","2,233","1,331","1,935"
2021,6,70,"13,605",646,810,648,675,938,882,840,618,661,500,370,784,513,490,"1,511","1,262",543,914
2021,6,80,"3,970",173,226,203,180,279,225,206,179,175,141,80,283,179,158,449,390,147,297
2021,6,90,397,25,23,21,18,43,14,14,8,20,8,5,19,23,17,44,29,32,34
2021,6,100,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021,7,총,"220,815","14,869","14,610","10,519","12,486","20,582","10,556","10,227","8,083","8,858","7,340","6,760","9,841","10,002","9,607","24,150","16,107","12,049","14,169"
2021,7,0,"15,660","1,426",846,667,632,"1,719",497,701,444,680,473,762,525,930,632,"1,878",826,"1,047",975
2021,7,10,"25,983","2,513","1,284",827,"1,747","4,060",651,871,563,849,662,584,659,"1,500","1,535","2,878","1,172","1,885","1,743"
2021,7,20,"29,760","1,611","2,400","1,652","2,172","2,263","1,367","1,329","1,065","1,119","1,089",788,"1,344","1,213","1,239","3,204","2,492","1,586","1,827"
2021,7,30,"27,894","1,347","2,665","1,930","1,358","1,675","1,491","1,479","1,057","1,150","1,077","1,273","1,382",879,843,"2,995","2,611","1,192","1,490"
2021,7,40,"37,065","3,049","2,201","1,512","1,970","3,940","1,596","1,656","1,205","1,536","1,115","1,106","1,486","1,881","1,711","4,055","2,535","2,107","2,404"
2021,7,50,"37,821","2,618","2,272","1,621","2,376","3,502","1,952","1,606","1,558","1,368","1,205",978,"1,700","1,789","1,808","4,182","2,566","2,181","2,539"
2021,7,60,"28,577","1,451","1,870","1,434","1,349","2,157","1,875","1,529","1,382","1,297","1,069",813,"1,646","1,098","1,170","2,943","2,225","1,329","1,940"
2021,7,70,"13,633",651,820,651,676,946,882,834,616,659,498,369,791,509,492,"1,520","1,262",544,913
2021,7,80,"4,007",176,228,203,185,274,229,206,183,181,144,82,284,181,159,452,391,146,303
2021,7,90,400,25,24,21,18,46,15,15,9,19,8,5,21,21,18,43,26,32,34
2021,7,100,15,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,0,1
2021,8,총,"220,421","14,839","14,591","10,487","12,501","20,524","10,546","10,195","8,077","8,834","7,335","6,758","9,809","9,975","9,587","24,142","16,051","12,020","14,150"
2021,8,0,"15,568","1,421",844,659,632,"1,712",494,697,446,676,473,757,513,922,635,"1,874",813,"1,042",958
2021,8,10,"25,890","2,500","1,276",815,"1,745","4,035",650,866,560,856,657,595,648,"1,495","1,536","2,857","1,170","1,878","1,751"
2021,8,20,"29,672","1,609","2,409","1,640","2,179","2,244","1,359","1,332","1,070","1,114","1,086",777,"1,342","1,209","1,222","3,208","2,483","1,577","1,812"
2021,8,30,"27,732","1,328","2,639","1,936","1,359","1,662","1,488","1,458","1,059","1,129","1,069","1,263","1,377",872,841,"2,986","2,587","1,190","1,489"
2021,8,40,"36,952","3,038","2,198","1,505","1,964","3,924","1,592","1,653","1,196","1,540","1,116","1,108","1,477","1,879","1,702","4,052","2,525","2,091","2,392"
2021,8,50,"37,815","2,630","2,281","1,623","2,385","3,503","1,956","1,605","1,545","1,366","1,209",970,"1,694","1,776","1,802","4,185","2,560","2,175","2,550"
2021,8,60,"28,692","1,458","1,874","1,439","1,354","2,169","1,874","1,529","1,385","1,300","1,072",824,"1,657","1,107","1,177","2,955","2,236","1,342","1,940"
2021,8,70,"13,632",650,814,647,672,954,887,832,620,651,500,373,793,509,496,"1,523","1,253",549,909
2021,8,80,"4,051",178,234,201,190,274,230,206,186,183,145,86,284,185,158,457,397,143,314
2021,8,90,401,25,22,21,18,47,15,16,9,19,8,5,21,20,18,45,26,32,34
2021,8,100,16,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,1,1
2021,9,총,"220,075","14,814","14,580","10,463","12,476","20,511","10,546","10,166","8,055","8,826","7,302","6,754","9,765","9,962","9,574","24,141","16,046","11,977","14,117"
2021,9,0,"15,454","1,416",837,659,617,"1,700",488,692,446,671,465,763,511,916,626,"1,855",813,"1,030",949
2021,9,10,"25,828","2,511","1,263",810,"1,740","4,030",648,853,559,850,650,591,641,"1,489","1,538","2,870","1,160","1,862","1,763"
2021,9,20,"29,528","1,586","2,386","1,629","2,178","2,244","1,354","1,330","1,062","1,116","1,080",768,"1,325","1,206","1,220","3,201","2,479","1,570","1,794"
2021,9,30,"27,682","1,312","2,652","1,930","1,350","1,660","1,484","1,446","1,059","1,126","1,075","1,271","1,368",874,825,"2,986","2,602","1,189","1,473"
2021,9,40,"36,845","3,027","2,197","1,494","1,963","3,915","1,580","1,645","1,189","1,538","1,100","1,099","1,475","1,876","1,698","4,043","2,537","2,081","2,388"
2021,9,50,"37,850","2,648","2,286","1,632","2,388","3,517","1,964","1,606","1,543","1,368","1,203",971,"1,684","1,772","1,809","4,180","2,548","2,175","2,556"
2021,9,60,"28,716","1,452","1,884","1,433","1,360","2,170","1,886","1,537","1,376","1,296","1,078",826,"1,657","1,109","1,179","2,975","2,220","1,337","1,941"
2021,9,70,"13,675",655,817,654,671,955,890,833,621,659,497,374,799,510,500,"1,525","1,257",553,905
2021,9,80,"4,078",180,236,199,189,276,236,207,190,183,146,86,281,187,160,461,403,147,311
2021,9,90,402,25,22,22,17,44,15,16,9,19,8,5,21,22,19,45,26,32,35
2021,9,100,17,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,1,2
2021,10,총,"219,862","14,805","14,574","10,432","12,423","20,506","10,535","10,130","8,050","8,813","7,304","6,763","9,754","9,970","9,576","24,163","15,996","11,994","14,074"
2021,10,0,"15,346","1,398",830,654,607,"1,688",484,684,441,663,468,773,507,913,623,"1,847",801,"1,038",927
2021,10,10,"25,867","2,528","1,272",805,"1,743","4,025",642,847,566,858,642,591,639,"1,496","1,548","2,883","1,146","1,870","1,766"
2021,10,20,"29,349","1,575","2,355","1,611","2,143","2,250","1,335","1,327","1,060","1,107","1,086",761,"1,313","1,206","1,204","3,198","2,473","1,559","1,786"
2021,10,30,"27,645","1,292","2,667","1,915","1,354","1,655","1,494","1,434","1,052","1,136","1,066","1,266","1,380",866,823,"3,002","2,596","1,189","1,458"
2021,10,40,"36,699","3,021","2,196","1,495","1,952","3,903","1,585","1,646","1,183","1,517","1,113","1,113","1,462","1,864","1,704","4,007","2,507","2,073","2,358"
2021,10,50,"37,941","2,667","2,281","1,633","2,398","3,548","1,955","1,602","1,530","1,378","1,200",961,"1,685","1,779","1,805","4,189","2,567","2,186","2,577"
2021,10,60,"28,766","1,453","1,886","1,439","1,353","2,167","1,891","1,523","1,396","1,286","1,076",824,"1,660","1,117","1,186","3,004","2,219","1,337","1,949"
2021,10,70,"13,709",661,825,653,663,951,892,842,617,663,499,381,801,517,499,"1,529","1,251",558,907
2021,10,80,"4,118",182,239,205,190,275,242,208,195,186,145,87,285,188,165,458,410,151,307
2021,10,90,407,26,23,21,17,44,15,16,9,19,9,6,20,23,19,46,25,32,37
2021,10,100,15,2,0,1,3,0,0,1,1,0,0,0,2,1,0,0,1,1,2
2021,11,총,"219,606","14,780","14,555","10,434","12,430","20,510","10,509","10,128","8,020","8,775","7,285","6,776","9,715","9,962","9,570","24,174","15,972","11,977","14,034"
2021,11,0,"15,241","1,394",829,647,609,"1,680",469,680,437,650,459,773,503,912,612,"1,843",790,"1,031",923
2021,11,10,"25,891","2,523","1,269",811,"1,743","4,041",654,856,561,859,647,594,632,"1,500","1,552","2,878","1,134","1,871","1,766"
2021,11,20,"29,269","1,571","2,339","1,619","2,149","2,243","1,325","1,318","1,059","1,099","1,080",767,"1,301","1,197","1,206","3,204","2,470","1,552","1,770"
2021,11,30,"27,555","1,277","2,664","1,904","1,346","1,639","1,493","1,426","1,054","1,133","1,065","1,257","1,374",850,814,"3,018","2,598","1,189","1,454"
2021,11,40,"36,599","3,020","2,200","1,501","1,941","3,900","1,582","1,651","1,174","1,513","1,101","1,113","1,452","1,873","1,705","3,988","2,487","2,051","2,347"
2021,11,50,"37,948","2,673","2,279","1,633","2,402","3,563","1,942","1,602","1,517","1,366","1,200",964,"1,684","1,780","1,801","4,198","2,580","2,197","2,567"
2021,11,60,"28,822","1,448","1,898","1,441","1,360","2,164","1,897","1,524","1,397","1,289","1,075",832,"1,660","1,118","1,189","3,006","2,225","1,339","1,960"
2021,11,70,"13,701",659,814,653,666,955,885,842,613,660,502,384,801,523,502,"1,533","1,246",565,898
2021,11,80,"4,157",188,240,204,193,279,246,212,198,186,147,86,286,186,170,461,416,149,310
2021,11,90,407,25,23,20,18,46,16,16,9,19,9,6,20,22,19,45,25,32,37
2021,11,100,16,2,0,1,3,0,0,1,1,1,0,0,2,1,0,0,1,1,2
2021,12,총,"219,214","14,773","14,562","10,408","12,396","20,455","10,490","10,096","8,009","8,759","7,262","6,792","9,677","9,925","9,567","24,148","15,936","11,939","14,020"
2021,12,0,"15,181","1,394",831,647,608,"1,678",468,680,430,644,457,770,499,907,611,"1,830",780,"1,028",919
2021,12,10,"25,828","2,525","1,264",808,"1,731","4,029",646,847,564,852,647,593,628,"1,498","1,558","2,880","1,133","1,864","1,761"
2021,12,20,"29,126","1,564","2,336","1,594","2,144","2,227","1,330","1,299","1,054","1,084","1,065",773,"1,299","1,195","1,203","3,181","2,470","1,547","1,761"
2021,12,30,"27,476","1,280","2,687","1,894","1,347","1,628","1,485","1,426","1,059","1,142","1,060","1,244","1,363",842,808,"3,016","2,580","1,178","1,437"
2021,12,40,"36,550","3,005","2,188","1,504","1,940","3,905","1,570","1,657","1,153","1,510","1,112","1,129","1,444","1,863","1,711","3,979","2,489","2,037","2,354"
2021,12,50,"37,924","2,680","2,273","1,631","2,406","3,537","1,941","1,598","1,532","1,368","1,197",966,"1,689","1,775","1,790","4,201","2,574","2,188","2,578"
2021,12,60,"28,809","1,441","1,908","1,443","1,351","2,156","1,904","1,524","1,402","1,293","1,060",839,"1,646","1,113","1,196","3,005","2,215","1,353","1,960"
2021,12,70,"13,737",668,818,657,653,971,882,836,609,656,508,386,796,523,504,"1,548","1,253",569,900
2021,12,80,"4,164",190,233,207,199,277,248,212,197,190,146,86,293,186,166,464,415,144,311
2021,12,90,408,25,24,22,17,47,16,16,9,18,10,6,18,22,20,44,27,30,37
2021,12,100,11,1,0,1,0,0,0,1,0,2,0,0,2,1,0,0,0,1,2
