년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021,11,0,"2,713",71,6,140,66,25,32,44,37,204,38,49,15,29,659,958,194,146
2021,11,10,"3,918",117,26,209,119,39,61,87,86,248,64,137,25,78,721,"1,347",291,263
2021,11,20,"5,067",191,71,287,229,86,110,126,123,403,91,162,56,139,"1,074","1,151",395,373
2021,11,30,"4,452",176,37,253,192,85,74,90,137,317,97,133,36,91,"1,121",972,355,286
2021,11,40,"6,679",296,68,428,272,120,159,204,180,553,181,194,78,157,"1,260","1,601",501,427
2021,11,50,"9,257",487,121,699,523,259,282,384,418,749,302,450,119,246,"1,423","1,569",683,543
2021,11,60,"10,776",716,156,814,704,468,388,567,674,938,459,671,277,282,"1,183","1,246",718,515
2021,11,70,"5,691",418,104,488,347,280,231,333,345,499,302,389,164,176,466,572,351,226
2021,11,80,"2,174",149,41,188,162,89,82,105,119,199,128,189,78,69,142,214,158,62
2021,11,90,178,11,4,12,16,13,4,8,7,20,4,14,7,3,23,16,13,3
2021,11,100,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021,12,총,"50,849","2,615",630,"3,528","2,633","1,459","1,429","1,940","2,121","4,123","1,661","2,390",850,"1,263","8,097","9,658","3,634","2,818"
2021,12,0,"2,690",71,6,139,64,25,34,44,37,207,37,50,15,29,652,949,191,140
2021,12,10,"3,892",118,25,207,120,40,61,86,86,249,62,125,23,78,720,"1,343",285,264
2021,12,20,"5,043",181,68,289,232,85,108,126,113,400,92,168,55,135,"1,079","1,162",391,359
2021,12,30,"4,428",175,38,256,187,85,76,84,138,318,96,134,33,93,"1,121",966,341,287
2021,12,40,"6,672",294,68,429,268,122,157,205,181,547,180,194,78,158,"1,261","1,615",498,417
2021,12,50,"9,259",487,117,705,526,258,284,383,416,745,301,449,119,244,"1,430","1,566",681,548
2021,12,60,"10,809",710,155,815,708,468,391,569,678,936,456,679,279,279,"1,197","1,247",727,515
2021,12,70,"5,695",419,108,486,353,274,230,329,345,503,305,388,163,175,470,576,347,224
2021,12,80,"2,177",149,41,191,159,89,82,105,119,198,128,186,79,70,144,217,159,61
2021,12,90,180,10,4,11,16,13,5,9,7,20,4,16,6,2,23,17,14,3
2021,12,100,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
