년도,월,나이,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020,7,100,164,35,10,4,6,4,1,3,2,3,10,8,4,4,7,6,14,8,11,3,6,11,0,4,,
2020,8,총,"255,174","13,497","21,378","9,732","12,341","5,138","1,655","9,816","3,177","2,547","21,494","12,685","9,434","5,791","11,112","3,735","2,853","11,118","5,189","1,985","38,531","26,891","11,893","13,182",,
2020,8,0,"23,805",745,"2,115","1,004","1,961",255,61,"1,228",150,76,"1,464",686,"1,155",369,846,296,78,527,295,62,"4,847","2,818","1,668","1,099",,
2020,8,10,"25,583",829,"2,916",937,"1,485",374,91,861,245,143,"2,453","1,156",937,491,"1,103",236,137,854,325,91,"4,211","2,914","1,470","1,324",,
2020,8,20,"32,511","1,244","2,633","1,084",980,607,141,"1,222",309,192,"3,135","1,667","1,203","1,011","1,365",463,321,"1,785",699,271,"5,123","3,593","1,524","1,939",,
2020,8,30,"36,099","1,315","2,678","1,329","2,379",489,138,"1,780",248,152,"2,429","1,356","1,599",903,"1,312",570,250,"1,287",646,166,"7,190","3,999","2,203","1,681",,
2020,8,40,"43,274","1,746","4,262","1,643","2,226",720,173,"1,469",363,241,"3,844","1,992","1,611",896,"1,811",568,312,"1,650",769,246,"7,304","4,903","2,393","2,132",,
2020,8,50,"40,677","2,364","3,117","1,452","1,272",955,296,"1,488",561,436,"3,925","2,419","1,520",887,"2,044",546,488,"2,112",895,381,"5,229","4,336","1,466","2,488",,
2020,8,60,"26,780","2,452","1,787","1,131","1,036",843,323,882,561,550,"2,211","1,700",753,607,"1,332",506,534,"1,491",754,385,"2,605","2,338",690,"1,309",,
2020,8,70,"15,926","1,654","1,114",661,551,532,236,497,395,402,"1,236","1,083",388,414,813,351,447,895,485,242,"1,244","1,241",289,756,,
2020,8,80,"8,922",961,641,410,365,313,174,321,296,295,694,544,228,174,409,159,232,452,267,120,666,642,166,393,,
2020,8,90,"1,434",152,105,77,80,46,21,65,47,57,93,74,37,35,70,34,40,57,43,18,106,96,24,57,,
2020,8,100,163,35,10,4,6,4,1,3,2,3,10,8,3,4,7,6,14,8,11,3,6,11,0,4,,
2020,9,총,"256,063","13,494","21,339","9,720","12,400","5,136","1,649","9,979","3,157","2,531","21,480","12,613","9,441","5,822","11,113","3,764","2,858","11,098","5,180","1,956","39,323","26,930","11,926","13,154",,
2020,9,0,"23,854",750,"2,098","1,004","1,964",248,62,"1,241",154,75,"1,447",671,"1,152",374,837,299,76,530,288,59,"4,953","2,818","1,657","1,097",,
2020,9,10,"25,628",830,"2,901",934,"1,503",376,89,881,244,138,"2,442","1,137",927,491,"1,102",238,140,849,325,91,"4,283","2,910","1,481","1,316",,
2020,9,20,"32,575","1,230","2,641","1,084",989,594,137,"1,261",302,192,"3,131","1,664","1,203","1,013","1,358",471,320,"1,773",700,264,"5,208","3,579","1,539","1,922",,
2020,9,30,"36,215","1,310","2,647","1,322","2,369",488,137,"1,819",243,147,"2,415","1,349","1,600",902,"1,307",583,257,"1,262",646,157,"7,357","4,001","2,222","1,675",,
