년도,월,나이,광주시,오포읍,초월읍,곤지암읍,도척면,퇴촌면,남종면,남한산성면,경안동,송정동,광남동,쌍령동,탄벌동,광남1동,광남2동
2021,12,총,"189,616","55,962","22,382","10,824","4,306","7,790",708,"1,173","13,885","10,936",,"9,156","19,226","16,227","17,041"
2021,12,0,"16,235","5,112","1,667",633,209,516,10,70,"1,292",742,,898,"1,406","1,172","2,508"
2021,12,10,"16,640","4,385","2,314",827,294,583,31,75,"1,178","1,049",,825,"1,773","1,273","2,033"
2021,12,20,"21,065","6,260","2,601","1,279",423,563,48,80,"1,742","1,287",,"1,107","2,311","1,968","1,396"
2021,12,30,"26,768","9,143","2,875","1,200",413,688,45,108,"2,153","1,310",,"1,357","2,305","2,176","2,995"
2021,12,40,"32,080","9,620","3,830","1,603",536,"1,179",60,146,"2,216","1,772",,"1,557","3,296","2,605","3,660"
2021,12,50,"31,885","9,107","3,788","2,043",839,"1,299",108,194,"2,156","2,002",,"1,605","3,727","2,988","2,029"
2021,12,60,"26,352","7,297","3,006","1,784",846,"1,631",193,242,"1,766","1,648",,"1,130","2,780","2,520","1,509"
2021,12,70,"11,816","3,290","1,411",828,406,835,114,143,866,737,,469,"1,081","1,013",623
2021,12,80,"5,702","1,465",761,537,280,410,80,93,433,328,,169,481,427,238
2021,12,90,"1,035",276,125,88,57,83,19,21,82,58,,35,62,81,48
2021,12,100,38,7,4,2,3,3,0,1,1,3,,4,4,4,2
