년도,월,나이,영암군,영암읍,삼호읍,삼호읍서부출장소,덕진면,금정면,신북면,시종면,도포면,군서면,서호면,학산면,미암면
2021,10,0,"1,571",254,744,242,26,26,48,44,20,36,36,62,33
2021,10,10,"2,045",366,863,315,43,22,89,51,35,73,35,103,50
2021,10,20,"2,006",372,717,335,40,40,73,68,69,82,44,113,53
2021,10,30,"2,038",329,886,307,35,40,82,72,46,73,43,73,52
2021,10,40,"2,905",481,"1,162",465,62,71,149,102,70,117,51,111,64
2021,10,50,"4,027",678,"1,086",540,121,155,293,223,185,223,125,230,168
2021,10,60,"4,049",636,760,225,178,189,397,400,217,308,190,304,245
2021,10,70,"3,505",516,472,137,173,213,369,351,219,353,219,264,219
2021,10,80,"2,880",359,268,81,208,210,288,332,213,301,195,234,191
2021,10,90,470,83,31,20,30,38,35,59,20,51,35,42,26
2021,10,100,9,2,0,0,0,1,0,1,1,1,1,1,1
2021,11,총,"25,476","4,055","7,004","2,656",911,"1,010","1,823","1,696","1,085","1,631",969,"1,537","1,099"
2021,11,0,"1,560",247,743,238,27,26,47,45,17,39,36,61,34
2021,11,10,"2,031",366,860,310,42,22,88,51,35,73,35,101,48
2021,11,20,"2,018",364,727,334,38,40,76,72,68,88,43,115,53
2021,11,30,"2,027",326,882,306,37,42,81,70,42,74,41,73,53
2021,11,40,"2,896",480,"1,164",462,60,69,150,98,69,118,50,112,64
2021,11,50,"4,028",676,"1,085",545,122,157,296,220,179,223,126,230,169
2021,11,60,"4,068",634,770,225,176,193,396,402,222,311,189,306,244
2021,11,70,"3,490",517,466,134,173,212,367,351,220,353,215,265,217
2021,11,80,"2,880",362,275,83,204,211,285,330,212,300,198,230,190
2021,11,90,467,81,32,19,32,36,37,55,20,51,35,43,26
2021,11,100,11,2,0,0,0,2,0,2,1,1,1,1,1
2021,12,총,"25,452","4,055","7,031","2,622",912,"1,008","1,823","1,696","1,085","1,629",971,"1,532","1,088"
2021,12,0,"1,553",246,747,229,27,26,47,48,18,38,37,60,30
2021,12,10,"2,022",364,861,306,42,21,85,51,35,72,35,102,48
2021,12,20,"2,013",367,727,326,41,42,77,74,67,87,42,109,54
2021,12,30,"2,032",326,890,299,37,42,82,69,43,77,42,75,50
2021,12,40,"2,881",482,"1,163",450,59,69,149,101,68,116,50,110,64
2021,12,50,"4,027",674,"1,085",552,121,157,294,220,179,225,128,228,164
2021,12,60,"4,079",639,779,222,179,193,399,397,224,306,186,309,246
2021,12,70,"3,484",513,467,133,171,210,368,350,217,357,216,264,218
2021,12,80,"2,880",360,276,85,200,209,285,334,213,299,200,231,188
2021,12,90,471,82,35,20,35,37,37,52,20,51,34,43,25
2021,12,100,10,2,1,0,0,2,0,0,1,1,1,1,1
