년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020,12,30,"11,032",899,453,686,907,"1,376","1,305",628,"1,506",957,626,842,847
2020,12,40,"13,883","1,120",636,948,"1,288","2,276","1,632",823,"1,421","1,143",665,852,"1,079"
2020,12,50,"17,121","1,494",730,"1,262","1,566","2,868","1,915","1,136","1,311","1,432",634,"1,213","1,560"
2020,12,60,"12,194","1,320",677,"1,126","1,140","1,324","1,434",876,863,850,370,920,"1,294"
2020,12,70,"5,467",632,294,550,544,496,657,474,307,448,145,414,506
2020,12,80,"1,866",181,86,209,191,212,211,155,125,162,43,121,170
2020,12,90,142,11,6,22,15,16,12,6,8,16,4,14,12
2020,12,100,10,2,0,4,2,1,0,1,0,0,0,0,0
2021,1,총,"89,563","7,779","3,778","6,452","8,266","13,790","10,151","5,629","8,484","7,305","3,637","6,271","8,021"
2021,1,0,"5,649",344,165,339,470,"1,039",477,232,"1,050",414,229,403,487
2021,1,10,"8,661",550,274,533,900,"1,959",861,479,770,641,310,541,843
2021,1,20,"13,551","1,255",458,791,"1,268","2,224","1,646",828,"1,108","1,224",604,919,"1,226"
2021,1,30,"10,985",897,450,687,889,"1,373","1,282",622,"1,506",963,624,854,838
2021,1,40,"13,841","1,107",631,943,"1,282","2,265","1,633",809,"1,426","1,135",675,857,"1,078"
2021,1,50,"17,073","1,476",725,"1,253","1,561","2,870","1,906","1,139","1,307","1,435",625,"1,219","1,557"
2021,1,60,"12,293","1,327",687,"1,126","1,139","1,331","1,450",882,879,866,377,928,"1,301"
2021,1,70,"5,486",630,294,546,550,501,669,477,304,447,143,417,508
2021,1,80,"1,867",179,88,208,189,210,214,155,125,164,46,119,170
2021,1,90,148,12,6,22,16,17,13,6,9,16,4,14,13
2021,1,100,9,2,0,4,2,1,0,0,0,0,0,0,0
2021,2,총,"89,483","7,761","3,774","6,424","8,235","13,732","10,154","5,641","8,466","7,313","3,634","6,316","8,033"
2021,2,0,"5,611",337,165,337,470,"1,018",479,234,"1,038",412,227,413,481
2021,2,10,"8,608",547,267,527,888,"1,953",854,471,774,640,309,535,843
2021,2,20,"13,501","1,247",457,784,"1,260","2,192","1,654",831,"1,098","1,219",602,922,"1,235"
2021,2,30,"10,908",881,445,677,879,"1,358","1,277",613,"1,499",957,624,870,828
